team,conference
Air Force,WAC
Akron,MAC
Alabama,SEC
Alabama State,SWAC
Alcorn State,SWAC
American,CAA
Appalachian State,Southern
Arizona,Pac 10
Arizona State,Pac 10
Arkansas,SEC
Arkansas State,Sun Belt
Army,Patriot
Auburn,SEC
Austin Peay,Ohio Valley
Ball State,MAC
Baylor,Southwestern
Bethune Cookman,MEAC
Boise State,Big Sky
Boston College,Big East
Boston University,North Atlantic
Bowling Green,MAC
Bradley,Missouri Valley
Brigham Young,WAC
Brown,Ivy
Bucknell,Patriot
Buffalo,Mid-Continent
Butler,Midwestern
Cal Poly,American West
Cal State Fullerton,Big West
Cal State Northridge,American West
California,Pac 10
Campbell,TAAC
Canisius,MAAC
Centenary LA,TAAC
Central Connecticut State,Mid-Continent
Central Michigan,MAC
Charleston Southern,Big South
Charlotte,Conference USA
Chattanooga,Southern
Chicago State,Mid-Continent
Cincinnati,Conference USA
Clemson,ACC
Cleveland State,Midwestern
Coastal Carolina,Big South
Colgate,Patriot
College of Charleston,TAAC
Colorado,Big Eight
Colorado State,WAC
Columbia,Ivy
Connecticut,Big East
Coppin State,MEAC
Cornell,Ivy
Creighton,Missouri Valley
Dartmouth,Ivy
Davidson,Southern
Dayton,Atlantic 10
Delaware,North Atlantic
Delaware State,MEAC
DePaul,Conference USA
Detroit Mercy,Midwestern
Drake,Missouri Valley
Drexel,North Atlantic
Duke,ACC
Duquesne,Atlantic 10
East Carolina,CAA
East Tennessee State,Southern
Eastern Illinois,Mid-Continent
Eastern Kentucky,Ohio Valley
Eastern Michigan,MAC
Eastern Washington,Big Sky
Evansville,Missouri Valley
Fairfield,MAAC
FDU,Northeast
Florida,SEC
Florida A&M,MEAC
Florida Atlantic,TAAC
Florida International,TAAC
Florida State,ACC
Fordham,Atlantic 10
Fresno State,WAC
Furman,Southern
George Mason,CAA
George Washington,Atlantic 10
Georgetown,Big East
Georgia,SEC
Georgia Southern,Southern
Georgia State,TAAC
Georgia Tech,ACC
Gonzaga,West Coast
Grambling,SWAC
Green Bay,Midwestern
Hampton,MEAC
Hartford,North Atlantic
Harvard,Ivy
Hawaii,WAC
Hofstra,North Atlantic
Holy Cross,Patriot
Houston,Southwestern
Howard,MEAC
Idaho,Big Sky
Idaho State,Big Sky
Illinois Chicago,Midwestern
Illinois,Big Ten
Illinois State,Missouri Valley
Indiana,Big Ten
Indiana State,Missouri Valley
Iona,MAAC
Iowa,Big Ten
Iowa State,Big Eight
Jackson State,SWAC
Jacksonville,Sun Belt
Jacksonville State,TAAC
James Madison,CAA
Kansas,Big Eight
Kansas City,Mid-Continent
Kansas State,Big Eight
Kent State,MAC
Kentucky,SEC
La Salle,Atlantic 10
Lafayette,Patriot
Lamar,Sun Belt
Lehigh,Patriot
Liberty,Big South
Little Rock,Sun Belt
Long Beach State,Big West
Long Island University,Northeast
Louisiana Monroe,Southland
Louisiana,Sun Belt
Louisiana State,SEC
Louisiana Tech,Sun Belt
Louisville,Conference USA
Loyola IL,Midwestern
Loyola Marymount,West Coast
Loyola MD,MAAC
Maine,North Atlantic
Manhattan,MAAC
Marist,Northeast
Marquette,Conference USA
Marshall,Southern
Maryland Eastern Shore,MEAC
Maryland,ACC
Massachusetts,Atlantic 10
McNeese,Southland
Memphis,Conference USA
Mercer,TAAC
Miami FL,Big East
Miami OH,MAC
Michigan,Big Ten
Michigan State,Big Ten
Middle Tennessee,Ohio Valley
Milwaukee,Midwestern
Minnesota,Big Ten
Mississippi,SEC
Mississippi State,SEC
Mississippi Valley State,SWAC
Missouri,Big Eight
Missouri State,Missouri Valley
Monmouth,Northeast
Montana,Big Sky
Montana State,Big Sky
Morehead State,Ohio Valley
Morgan State,MEAC
Mount St Marys,Northeast
Murray State,Ohio Valley
Navy,Patriot
NC State,ACC
Nebraska,Big Eight
Nevada Las Vegas,Big West
Nevada,Big West
New Hampshire,North Atlantic
New Mexico,WAC
New Mexico State,Big West
New Orleans,Sun Belt
Niagara,MAAC
Nicholls State,Southland
North Carolina,ACC
North Carolina A&T,MEAC
North Texas,Southland
Northeastern,North Atlantic
Northeastern Illinois,Mid-Continent
Northern Arizona,Big Sky
Northern Illinois,Midwestern
Northern Iowa,Missouri Valley
Northwestern,Big Ten
Northwestern State,Southland
Notre Dame,Big East
Ohio,MAC
Ohio State,Big Ten
Oklahoma,Big Eight
Oklahoma State,Big Eight
Old Dominion,CAA
Oral Roberts,D1 Independents
Oregon,Pac 10
Oregon State,Pac 10
Pacific,Big West
Penn State,Big Ten
Pennsylvania,Ivy
Pepperdine,West Coast
Pittsburgh,Big East
Portland,West Coast
Prairie View A&M,SWAC
Princeton,Ivy
Providence,Big East
Purdue,Big Ten
Radford,Big South
Rhode Island,Atlantic 10
Rice,Southwestern
Richmond,CAA
Rider,Northeast
Robert Morris,Northeast
Rutgers,Big East
Sacramento State,American West
Saint Francis PA,Northeast
Saint Josephs,Atlantic 10
Saint Louis,Conference USA
Saint Marys,West Coast
Saint Peters,MAAC
Sam Houston,Southland
Samford,TAAC
San Diego,West Coast
San Diego State,WAC
San Francisco,West Coast
San Jose State,Big West
Santa Clara,West Coast
Seton Hall,Big East
Siena,MAAC
South Alabama,Sun Belt
South Carolina,SEC
South Carolina State,MEAC
South Florida,Conference USA
Southeast Missouri State,Ohio Valley
Southeastern Louisiana,TAAC
Southern,SWAC
Southern California,Pac 10
Southern Illinois,Missouri Valley
Southern Methodist,Southwestern
Southern Mississippi,Conference USA
Southern Utah,American West
St Bonaventure,Atlantic 10
St Francis Brooklyn,Northeast
St Johns NY,Big East
Stanford,Pac 10
Stephen F Austin,Southland
Stetson,TAAC
Syracuse,Big East
Temple,Atlantic 10
Tennessee Martin,Ohio Valley
Tennessee,SEC
Tennessee State,Ohio Valley
Tennessee Tech,Ohio Valley
Texas Rio Grande Valley,Sun Belt
Texas,Southwestern
Texas A&M,Southwestern
Texas Christian,Southwestern
Texas Southern,SWAC
Texas State,Southland
Texas Tech,Southwestern
The Citadel,Southern
Toledo,MAC
Towson,North Atlantic
Troy,Mid-Continent
Tulane,Conference USA
Tulsa,Missouri Valley
UAB,Conference USA
UC Irvine,Big West
UC Santa Barbara,Big West
UCF,TAAC
UCLA,Pac 10
UMBC,Big South
UNC Asheville,Big South
UNC Greensboro,Big South
UNC Wilmington,CAA
UT Arlington,Southland
Utah,WAC
Utah State,Big West
UTEP,WAC
UTSA,Southland
Valparaiso,Mid-Continent
Vanderbilt,SEC
Vermont,North Atlantic
Villanova,Big East
Virginia,ACC
Virginia Commonwealth,CAA
Virginia Tech,Atlantic 10
VMI,Southern
Wagner,Northeast
Wake Forest,ACC
Washington,Pac 10
Washington State,Pac 10
Weber State,Big Sky
West Virginia,Big East
Western Carolina,Southern
Western Illinois,Mid-Continent
Western Kentucky,Sun Belt
Western Michigan,MAC
Wichita State,Missouri Valley
William Mary,CAA
Winthrop,Big South
Wisconsin,Big Ten
Wofford,D1 Independents
Wright State,Midwestern
Wyoming,WAC
Xavier,Atlantic 10
Yale,Ivy
Youngstown State,Mid-Continent
