source_file,window_title,team_name,dest
sportsref_download (16).xls,1995-96 Kentucky Wildcats Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Kentucky,Kentucky.xls
sportsref_download (17).xls,1995-96 Florida Gators Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Florida,Florida.xls
sportsref_download (18).xls,1995-96 Tennessee Volunteers Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Tennessee,Tennessee.xls
sportsref_download (19).xls,1995-96 Vanderbilt Commodores Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Vanderbilt,Vanderbilt.xls
sportsref_download (19).xls,1995-96 Georgia Bulldogs Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Georgia,Georgia.xls
sportsref_download (19).xls,1995-96 South Carolina Gamecocks Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,South Carolina,South_Carolina.xls
sportsref_download (19).xls,1995-96 Alabama Crimson Tide Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Alabama Crimson,Alabama_Crimson.xls
sportsref_download (19).xls,1995-96 Auburn Tigers Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Auburn,Auburn.xls
sportsref_download (19).xls,1995-96 LSU Fighting Tigers Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,LSU Fighting,LSU_Fighting.xls
sportsref_download (19).xls,1995-96 Mississippi State Bulldogs Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Mississippi State,Mississippi_State.xls
sportsref_download (19).xls,1995-96 Ole Miss Rebels Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Ole Miss,Ole_Miss.xls
sportsref_download (19).xls,Task Switching,Task Switching,Task_Switching.xls
sportsref_download (19).xls,1995-96 Arkansas Razorbacks Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Arkansas,Arkansas.xls
sportsref_download (19).xls,1995-96 Arizona Wildcats Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Arizona,Arizona.xls
sportsref_download (19).xls,1995-96 Arizona State Sun Devils Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Arizona State Sun,Arizona_State_Sun.xls
sportsref_download (19).xls,1995-96 Arizona State Sun Devils Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Arizona State Sun,Arizona_State_Sun_dup1785036412.xls
sportsref_download (19).xls,1995-96 Washington Huskies Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Washington,Washington.xls
sportsref_download (19).xls,1995-96 Washington State Cougars Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Washington State,Washington_State.xls
sportsref_download (19).xls,1995-96 Oregon State Beavers Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Oregon State,Oregon_State.xls
sportsref_download (19).xls,1995-96 Oregon Ducks Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Oregon,Oregon.xls
