date,season,week,season_type,away_team,away_conference,home_team,home_conference,away_points,home_points,neutral,conference_game,venue,notes
2007-08-25,2007,1,regular,North Carolina Central,FCS Independents,Albany State GA,,10,16,TRUE,FALSE,,
2007-08-30,2007,1,regular,Quincy,,Southern Illinois,MVFC,14,59,TRUE,FALSE,,
2007-08-30,2007,1,regular,Central Connecticut,NEC,Towson,CAA,10,20,FALSE,FALSE,Johnny Unitas Stadium,
2007-08-30,2007,1,regular,Buffalo,Mid-American,Rutgers,Big East,3,38,FALSE,FALSE,High Point Solutions Stadium,
2007-08-30,2007,1,regular,Carson-Newman College,,Chattanooga,Southern,29,17,FALSE,FALSE,Finley Stadium,
2007-08-30,2007,1,regular,Sacred Heart,NEC,Assumption,,41,20,TRUE,FALSE,,
2007-08-30,2007,1,regular,Miami (OH),Mid-American,Ball State,Mid-American,14,13,FALSE,TRUE,Scheumann Stadium,
2007-08-30,2007,1,regular,Southeast Missouri State,OVC,Cincinnati,Big East,3,59,FALSE,FALSE,Nippert Stadium,
2007-08-30,2007,1,regular,Tennessee Tech,OVC,Eastern Illinois,OVC,24,45,FALSE,TRUE,O'Brien Stadium,
2007-08-30,2007,1,regular,Savannah St,FCS Independents,Morgan State,MEAC,7,47,FALSE,FALSE,Hughes Stadium,
2007-08-30,2007,1,regular,Tulsa,Conference USA,UL Monroe,Sun Belt,35,17,FALSE,FALSE,Malone Stadium,
2007-08-30,2007,1,regular,Angelo State,,Sam Houston,Southland,13,17,FALSE,FALSE,Elliott T. Bowers Stadium,
2007-08-30,2007,1,regular,South Dakota State,Great West,Western Illinois,MVFC,26,29,FALSE,FALSE,Hanson Field,
2007-08-30,2007,1,regular,Murray State,OVC,Louisville,Big East,10,73,FALSE,FALSE,L&N Federal Credit Union Stadium,
2007-08-30,2007,1,regular,Drake,Pioneer,Illinois State,MVFC,27,24,FALSE,FALSE,Hancock Stadium,
2007-08-30,2007,1,regular,Ursinus,,La Salle,Metro Atlantic Athletic,28,0,TRUE,FALSE,,
2007-08-30,2007,1,regular,Delaware,CAA,William & Mary,CAA,49,31,FALSE,TRUE,Zable Stadium,
2007-08-31,2007,1,regular,Kent State,Mid-American,Iowa State,Big 12,23,14,FALSE,FALSE,Jack Trice Stadium,
2007-08-31,2007,1,regular,SE Louisiana,Southland,New Mexico State,Western Athletic,14,35,FALSE,FALSE,Aggie Memorial Stadium,
2007-08-31,2007,1,regular,LSU,SEC,Mississippi State,SEC,45,0,FALSE,TRUE,Davis Wade Stadium,
2007-08-31,2007,1,regular,West Alabama,,Samford,OVC,21,23,FALSE,FALSE,Seibert Stadium,
2007-08-31,2007,1,regular,Missouri S&T,,Missouri State,MVFC,17,62,FALSE,FALSE,Plaster Sports Complex,
2007-08-31,2007,1,regular,UNLV,Mountain West,Utah State,Western Athletic,23,16,FALSE,FALSE,Maverik Stadium,
