--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Aug 29 1998,Sat,(15) Colorado State,23,@,(23) Michigan State,16,
2,1,Aug 29 1998,Sat,(4) Nebraska,56,,Louisiana Tech,27,
3,1,Aug 30 1998,Sun,Southern California,27,,Purdue,17,
4,1,Aug 31 1998,Mon,(2) Florida State,23,N,(14) Texas A&M,14,
5,2,Sep 3 1998,Thu,(24) Arizona,27,@,Hawaii,6,
6,2,Sep 3 1998,Thu,North Carolina State,34,,Ohio,31,
7,2,Sep 3 1998,Thu,Northern Iowa,13,@,Eastern Michigan,10,
8,2,Sep 3 1998,Thu,(16) Virginia,19,@,(25) Auburn,0,
9,2,Sep 3 1998,Thu,Western Michigan,37,,Northern Illinois,23,
10,2,Sep 5 1998,Sat,Air Force,42,,Wake Forest,0,
11,2,Sep 5 1998,Sat,Alabama,38,,Brigham Young,31,
12,2,Sep 5 1998,Sat,Arkansas,38,,Louisiana,17,
13,2,Sep 5 1998,Sat,Boise State,26,,Cal State Northridge,13,
14,2,Sep 5 1998,Sat,Boston College,41,@,Georgia Tech,31,
15,2,Sep 5 1998,Sat,California,14,,Houston,10,
16,2,Sep 5 1998,Sat,Central Florida,64,@,Louisiana Tech,30,
17,2,Sep 5 1998,Sat,Clemson,33,,Furman,0,
18,2,Sep 5 1998,Sat,Colorado,42,N,(15) Colorado State,14,
19,2,Sep 5 1998,Sat,Duke,24,,Western Carolina,10,
20,2,Sep 5 1998,Sat,(3) Florida,49,,Citadel,10,
21,2,Sep 5 1998,Sat,(19) Georgia,56,,Kent State,3,
22,2,Sep 5 1998,Sat,Idaho,31,,Eastern Washington,14,
23,2,Sep 5 1998,Sat,Iowa,38,,Central Michigan,0,
24,2,Sep 5 1998,Sat,(6) Kansas State,66,,Indiana State,0,
25,2,Sep 5 1998,Sat,Kentucky,68,@,Louisville,34,
26,2,Sep 5 1998,Sat,Louisiana-Monroe,44,,Nicholls State,10,
27,2,Sep 5 1998,Sat,Marshall,27,@,Akron,16,
28,2,Sep 5 1998,Sat,Maryland,23,,James Madison,15,
29,2,Sep 5 1998,Sat,Miami (FL),66,,East Tennessee State,17,
30,2,Sep 5 1998,Sat,Miami (OH),13,@,(12) North Carolina,10,
31,2,Sep 5 1998,Sat,Minnesota,17,,Arkansas State,14,
32,2,Sep 5 1998,Sat,Mississippi,30,,Memphis,10,
33,2,Sep 5 1998,Sat,Mississippi State,42,,Vanderbilt,0,
34,2,Sep 5 1998,Sat,Missouri,37,,Bowling Green,0,
35,2,Sep 5 1998,Sat,(4) Nebraska,38,,Alabama-Birmingham,7,
36,2,Sep 5 1998,Sat,New Mexico,38,,Idaho State,9,
37,2,Sep 5 1998,Sat,Northwestern,41,,Nevada-Las Vegas,7,
38,2,Sep 5 1998,Sat,(22) Notre Dame,36,,(5) Michigan,20,
39,2,Sep 5 1998,Sat,(1) Ohio State,34,@,(11) West Virginia,17,
40,2,Sep 5 1998,Sat,Oklahoma,37,,North Texas,9,
41,2,Sep 5 1998,Sat,Oklahoma State,38,@,Kansas,28,
42,2,Sep 5 1998,Sat,Oregon,48,,(23) Michigan State,14,
43,2,Sep 5 1998,Sat,Oregon State,48,,Nevada,6,
44,2,Sep 5 1998,Sat,(13) Penn State,34,,(21) Southern Mississippi,6,
45,2,Sep 5 1998,Sat,Pittsburgh,48,,Villanova,41,
46,2,Sep 5 1998,Sat,Rice,23,,Southern Methodist,17,
47,2,Sep 5 1998,Sat,Rutgers,7,,Richmond,6,
48,2,Sep 5 1998,Sat,San Jose State,35,@,Stanford,23,
49,2,Sep 5 1998,Sat,South Carolina,38,,Ball State,20,
50,2,Sep 5 1998,Sat,(10) Tennessee,34,@,(17) Syracuse,33,
51,2,Sep 5 1998,Sat,Texas,66,,New Mexico State,36,
52,2,Sep 5 1998,Sat,Texas Christian,31,@,Iowa State,21,
53,2,Sep 5 1998,Sat,Texas Tech,35,,Texas-El Paso,3,
54,2,Sep 5 1998,Sat,Toledo,24,,Temple,12,
55,2,Sep 5 1998,Sat,Tulane,52,@,Cincinnati,34,
56,2,Sep 5 1998,Sat,Tulsa,49,,Missouri State,14,
57,2,Sep 5 1998,Sat,Utah,20,@,Utah State,12,
58,2,Sep 5 1998,Sat,Virginia Tech,38,,East Carolina,3,
59,2,Sep 5 1998,Sat,(18) Washington,42,@,(8) Arizona State,38,
60,2,Sep 5 1998,Sat,Washington State,20,,Illinois,13,
61,2,Sep 5 1998,Sat,(20) Wisconsin,26,@,San Diego State,14,
62,3,Sep 10 1998,Thu,Wake Forest,26,,Navy,14,
63,3,Sep 12 1998,Sat,Air Force,52,@,Nevada-Las Vegas,10,
64,3,Sep 12 1998,Sat,Akron,35,@,Temple,28,
65,3,Sep 12 1998,Sat,Alabama,32,,Vanderbilt,7,
66,3,Sep 12 1998,Sat,(21) Arizona,31,@,Stanford,14,
67,3,Sep 12 1998,Sat,Auburn,17,@,Mississippi,0,
68,3,Sep 12 1998,Sat,Boston College,41,,Rutgers,14,
69,3,Sep 12 1998,Sat,Brigham Young,26,,(14) Arizona State,6,
70,3,Sep 12 1998,Sat,Central Florida,48,,Eastern Illinois,0,
71,3,Sep 12 1998,Sat,Central Michigan,35,,Western Illinois,14,
72,3,Sep 12 1998,Sat,(16) Colorado,29,,Fresno State,21,
73,3,Sep 12 1998,Sat,Colorado State,26,@,Nevada,14,
74,3,Sep 12 1998,Sat,Duke,44,@,Northwestern,10,
75,3,Sep 12 1998,Sat,East Carolina,31,,Chattanooga,0,
76,3,Sep 12 1998,Sat,Eastern Michigan,13,@,Ball State,7,
77,3,Sep 12 1998,Sat,(3) Florida,42,,Louisiana-Monroe,10,
78,3,Sep 12 1998,Sat,(15) Georgia,17,@,South Carolina,3,
79,3,Sep 12 1998,Sat,Georgia Tech,42,,New Mexico State,7,
80,3,Sep 12 1998,Sat,Idaho,17,@,San Jose State,12,
81,3,Sep 12 1998,Sat,Illinois,48,,Middle Tennessee State,20,
82,3,Sep 12 1998,Sat,Indiana,45,,Western Michigan,30,
83,3,Sep 12 1998,Sat,Iowa State,27,@,Iowa,9,
84,3,Sep 12 1998,Sat,(5) Kansas State,73,,Northern Illinois,7,
85,3,Sep 12 1998,Sat,Kentucky,52,,Eastern Kentucky,7,
86,3,Sep 12 1998,Sat,(7) Louisiana State,42,,Arkansas State,6,
87,3,Sep 12 1998,Sat,Marshall,42,,Troy,12,
88,3,Sep 12 1998,Sat,Miami (FL),38,@,Cincinnati,12,
89,3,Sep 12 1998,Sat,Miami (OH),14,@,Army,13,
90,3,Sep 12 1998,Sat,Michigan State,45,,(10) Notre Dame,23,
91,3,Sep 12 1998,Sat,Minnesota,14,@,Houston,7,
92,3,Sep 12 1998,Sat,Mississippi State,14,@,Memphis,6,
93,3,Sep 12 1998,Sat,(25) Missouri,41,,Kansas,23,
94,3,Sep 12 1998,Sat,(4) Nebraska,24,@,California,3,
95,3,Sep 12 1998,Sat,New Mexico,39,,Utah State,36,
96,3,Sep 12 1998,Sat,North Carolina State,24,,(2) Florida State,7,
97,3,Sep 12 1998,Sat,Northwestern State,24,@,Louisiana,22,
98,3,Sep 12 1998,Sat,(1) Ohio State,49,,Toledo,0,
99,3,Sep 12 1998,Sat,Oklahoma,10,@,Texas Christian,9,
100,3,Sep 12 1998,Sat,(24) Oregon,33,@,Texas-El Paso,26,
101,3,Sep 12 1998,Sat,Oregon State,27,,Baylor,17,
102,3,Sep 12 1998,Sat,(9) Penn State,48,,Bowling Green,3,
103,3,Sep 12 1998,Sat,Purdue,21,,Rice,19,
104,3,Sep 12 1998,Sat,(22) Southern California,35,,San Diego State,6,
105,3,Sep 12 1998,Sat,(19) Syracuse,38,@,(13) Michigan,28,
106,3,Sep 12 1998,Sat,(18) Texas A&M,28,,Louisiana Tech,7,
107,3,Sep 12 1998,Sat,Texas Tech,30,@,North Texas,0,
108,3,Sep 12 1998,Sat,Tulane,31,@,Southern Methodist,21,
109,3,Sep 12 1998,Sat,Tulsa,35,,Oklahoma State,20,
110,3,Sep 12 1998,Sat,(6) UCLA,49,,(23) Texas,31,
111,3,Sep 12 1998,Sat,Utah,45,,Louisville,22,
112,3,Sep 12 1998,Sat,(12) Virginia,31,,Maryland,19,
113,3,Sep 12 1998,Sat,Virginia Tech,37,@,Clemson,0,
114,3,Sep 12 1998,Sat,Washington State,33,@,Boise State,21,
115,3,Sep 12 1998,Sat,(17) Wisconsin,45,,Ohio,0,
116,3,Sep 12 1998,Sat,Wyoming,17,,Montana State,9,
117,3,Sep 12 1998,Sat,Youngstown State,24,@,Kent State,10,
118,4,Sep 17 1998,Thu,Air Force,30,,Colorado State,27,
119,4,Sep 19 1998,Sat,Alabama-Birmingham,38,,Tennessee Tech,6,
120,4,Sep 19 1998,Sat,(16) Arizona,35,,Iowa,11,
121,4,Sep 19 1998,Sat,Arizona State,34,,North Texas,15,
122,4,Sep 19 1998,Sat,Arkansas,44,,Southern Methodist,17,
123,4,Sep 19 1998,Sat,Arkansas State,28,,Missouri State,24,
124,4,Sep 19 1998,Sat,Army,37,,Cincinnati,20,
125,4,Sep 19 1998,Sat,Baylor,33,,(20) North Carolina State,30,
126,4,Sep 19 1998,Sat,Boise State,42,,Portland State,24,
127,4,Sep 19 1998,Sat,Boston College,31,,Temple,7,
128,4,Sep 19 1998,Sat,California,13,@,Oklahoma,12,
129,4,Sep 19 1998,Sat,(15) Colorado,25,,Utah State,6,
130,4,Sep 19 1998,Sat,East Carolina,21,@,Ohio,14,
131,4,Sep 19 1998,Sat,Eastern Illinois,24,@,Northern Illinois,10,
132,4,Sep 19 1998,Sat,(11) Florida State,62,,Duke,13,
133,4,Sep 19 1998,Sat,(12) Georgia,16,,Wyoming,9,
134,4,Sep 19 1998,Sat,Iowa State,38,,Ball State,0,
135,4,Sep 19 1998,Sat,Kansas,63,,Illinois State,21,
136,4,Sep 19 1998,Sat,(5) Kansas State,48,,Texas,7,
137,4,Sep 19 1998,Sat,Kentucky,31,,Indiana,27,
138,4,Sep 19 1998,Sat,(7) Louisiana State,31,@,Auburn,19,
139,4,Sep 19 1998,Sat,Louisiana Tech,77,,Louisiana,14,
140,4,Sep 19 1998,Sat,Louisiana-Monroe,21,,Stephen F. Austin,10,
141,4,Sep 19 1998,Sat,Louisville,35,@,Illinois,9,
142,4,Sep 19 1998,Sat,Marshall,24,@,South Carolina,21,
143,4,Sep 19 1998,Sat,Michigan,59,,Eastern Michigan,20,
144,4,Sep 19 1998,Sat,Minnesota,41,,Memphis,14,
145,4,Sep 19 1998,Sat,Mississippi,30,@,Vanderbilt,6,
146,4,Sep 19 1998,Sat,Navy,38,,Kent State,24,
147,4,Sep 19 1998,Sat,New Mexico State,28,,New Mexico,27,
148,4,Sep 19 1998,Sat,Northwestern,23,@,Rice,14,
149,4,Sep 19 1998,Sat,(1) Ohio State,35,,(21) Missouri,14,
150,4,Sep 19 1998,Sat,Oklahoma State,42,,(25) Mississippi State,23,
151,4,Sep 19 1998,Sat,(22) Oregon,58,,San Jose State,3,
152,4,Sep 19 1998,Sat,(8) Penn State,20,@,Pittsburgh,13,
153,4,Sep 19 1998,Sat,Purdue,35,,Central Florida,7,
154,4,Sep 19 1998,Sat,(18) Southern California,40,,Oregon State,20,
155,4,Sep 19 1998,Sat,Stanford,37,,North Carolina,34,
156,4,Sep 19 1998,Sat,(13) Syracuse,70,,Rutgers,14,
157,4,Sep 19 1998,Sat,(6) Tennessee,20,,(2) Florida,17,
158,4,Sep 19 1998,Sat,(17) Texas A&M,24,@,Southern Mississippi,6,
159,4,Sep 19 1998,Sat,Texas Tech,34,,Fresno State,28,
160,4,Sep 19 1998,Sat,Toledo,35,,Western Michigan,7,
161,4,Sep 19 1998,Sat,(4) UCLA,42,@,Houston,24,
162,4,Sep 19 1998,Sat,Utah,30,,Hawaii,21,
163,4,Sep 19 1998,Sat,(10) Virginia,20,,Clemson,18,
164,4,Sep 19 1998,Sat,Virginia Tech,27,@,Miami (FL),20,
165,4,Sep 19 1998,Sat,(9) Washington,20,,Brigham Young,10,
166,4,Sep 19 1998,Sat,Washington State,24,,Idaho,16,
167,4,Sep 19 1998,Sat,(19) West Virginia,42,,Maryland,20,
168,4,Sep 19 1998,Sat,(14) Wisconsin,52,,Nevada-Las Vegas,7,
169,5,Sep 24 1998,Thu,(16) Arizona,35,@,San Diego State,16,
170,5,Sep 26 1998,Sat,Akron,52,,Ball State,14,
171,5,Sep 26 1998,Sat,Arizona State,24,,Oregon State,3,
172,5,Sep 26 1998,Sat,Arkansas,42,,(22) Alabama,6,
173,5,Sep 26 1998,Sat,Arkansas State,20,@,Hawaii,0,
174,5,Sep 26 1998,Sat,Boise State,31,@,Utah,28,
175,5,Sep 26 1998,Sat,Brigham Young,43,,Murray State,9,
176,5,Sep 26 1998,Sat,California,24,,Washington State,14,
177,5,Sep 26 1998,Sat,Central Florida,38,@,Bowling Green,31,
178,5,Sep 26 1998,Sat,Central Michigan,46,,Kent State,7,
179,5,Sep 26 1998,Sat,(15) Colorado,18,,Baylor,16,
180,5,Sep 26 1998,Sat,Colorado State,38,,Nevada-Las Vegas,16,
181,5,Sep 26 1998,Sat,(8) Florida,51,,Kentucky,35,
182,5,Sep 26 1998,Sat,(10) Florida State,30,,(18) Southern California,10,
183,5,Sep 26 1998,Sat,Georgia Tech,43,@,North Carolina,21,
184,5,Sep 26 1998,Sat,Indiana,48,@,Cincinnati,14,
185,5,Sep 26 1998,Sat,Iowa,37,@,Illinois,14,
186,5,Sep 26 1998,Sat,Kansas,39,@,Alabama-Birmingham,37,
187,5,Sep 26 1998,Sat,(5) Kansas State,62,,Louisiana-Monroe,7,
188,5,Sep 26 1998,Sat,(6) Louisiana State,53,,Idaho,20,
189,5,Sep 26 1998,Sat,Louisville,52,,Boston College,28,
190,5,Sep 26 1998,Sat,Marshall,26,@,Eastern Michigan,23,
191,5,Sep 26 1998,Sat,Maryland,30,,Temple,20,
192,5,Sep 26 1998,Sat,Miami (OH),28,,Toledo,14,
193,5,Sep 26 1998,Sat,Michigan,29,,Michigan State,17,
194,5,Sep 26 1998,Sat,Mississippi,48,@,Southern Methodist,41,
195,5,Sep 26 1998,Sat,Mississippi State,38,@,South Carolina,0,
196,5,Sep 26 1998,Sat,(2) Nebraska,55,,(9) Washington,7,
197,5,Sep 26 1998,Sat,Nevada,27,@,Fresno State,24,
198,5,Sep 26 1998,Sat,New Mexico State,33,,Texas-El Paso,24,
199,5,Sep 26 1998,Sat,(23) Notre Dame,31,,Purdue,30,
200,5,Sep 26 1998,Sat,Ohio,37,@,Western Michigan,35,
201,5,Sep 26 1998,Sat,(20) Oregon,63,,Stanford,28,
202,5,Sep 26 1998,Sat,Rutgers,27,,Army,15,
203,5,Sep 26 1998,Sat,San Jose State,37,,New Mexico,20,
204,5,Sep 26 1998,Sat,Southern Mississippi,55,,Louisiana,0,
205,5,Sep 26 1998,Sat,(4) Tennessee,42,,Houston,7,
206,5,Sep 26 1998,Sat,Texas,59,,Rice,21,
207,5,Sep 26 1998,Sat,(17) Texas A&M,28,,North Texas,9,
208,5,Sep 26 1998,Sat,Texas Christian,35,,(23) Air Force,34,
209,5,Sep 26 1998,Sat,Texas Tech,31,@,Iowa State,24,
210,5,Sep 26 1998,Sat,Tulane,42,,Navy,24,
211,5,Sep 26 1998,Sat,Utah State,47,,Sam Houston,17,
212,5,Sep 26 1998,Sat,(11) Virginia,24,@,Duke,0,
213,5,Sep 26 1998,Sat,(21) Virginia Tech,27,,Pittsburgh,7,
214,5,Sep 26 1998,Sat,Wake Forest,29,@,Clemson,19,
215,5,Sep 26 1998,Sat,(19) West Virginia,44,,Tulsa,21,
216,5,Sep 26 1998,Sat,(14) Wisconsin,38,,Northwestern,7,
217,5,Sep 26 1998,Sat,Wyoming,31,,Louisiana Tech,19,
