--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
1,1,Aug 26 2016,10:00 PM,Fri,California,51,N,Hawaii,31,ANZ Stadium - Sydney AUS
2,1,Aug 27 2016,4:00 AM,Sat,California,51,N,Hawaii,31,
3,2,Sep 1 2016,7:00 PM,Thu,Central Michigan,49,,Presbyterian,3,Kelly/Shorts Stadium - Mount Pleasant Michigan
4,2,Sep 1 2016,7:00 PM,Thu,Cincinnati,28,,Tennessee-Martin,7,Nippert Stadium - Cincinnati Ohio
5,2,Sep 1 2016,7:00 PM,Thu,Connecticut,24,,Maine,21,Rentschler Field - East Hartford Connecticut
6,2,Sep 1 2016,9:00 PM,Thu,Idaho,20,,Montana State,17,Kibbie Dome - Moscow Idaho
7,2,Sep 1 2016,7:30 PM,Thu,Indiana,34,@,Florida International,13,FIU Stadium - Miami Florida
8,2,Sep 1 2016,7:00 PM,Thu,(19) Louisville,70,,Charlotte,14,Papa John's Cardinal Stadium - Louisville Kentucky
9,2,Sep 1 2016,9:00 PM,Thu,Minnesota,30,,Oregon State,23,TCF Bank Stadium - Minneapolis Minnesota
10,2,Sep 1 2016,10:00 PM,Thu,Nevada-Las Vegas,63,,Jackson State,13,Sam Boyd Stadium - Las Vegas Nevada
11,2,Sep 1 2016,9:00 PM,Thu,New Mexico,48,,South Dakota,21,University Stadium - Albuquerque New Mexico
12,2,Sep 1 2016,7:30 PM,Thu,North Carolina State,48,,William & Mary,14,Carter Finley Stadium - Raleigh North Carolina
13,2,Sep 1 2016,8:00 PM,Thu,South Carolina,13,@,Vanderbilt,10,Vanderbilt Stadium - Nashville Tennessee
14,2,Sep 1 2016,7:30 PM,Thu,(9) Tennessee,20,,Appalachian State,13,Neyland Stadium - Knoxville Tennessee
15,2,Sep 1 2016,8:00 PM,Thu,Utah,24,,Southern Utah,0,Rice-Eccles Stadium - Salt Lake City Utah
16,2,Sep 1 2016,8:00 PM,Thu,Utah State,45,,Weber State,6,Merlin Olsen Field at Maverik Stadium - Logan Utah
17,2,Sep 1 2016,7:00 PM,Thu,Wake Forest,7,,Tulane,3,BB&T Field - Winston-Salem North Carolina
18,2,Sep 1 2016,8:00 PM,Thu,Western Kentucky,46,,Rice,14,Houchens Industries-L.T. Smith Stadium - Bowling Green Kentucky
19,2,Sep 2 2016,7:00 PM,Fri,Albany,22,@,Buffalo,16,University of Buffalo Stadium - Buffalo New York
20,2,Sep 2 2016,7:00 PM,Fri,Army,28,@,Temple,13,Lincoln Financial Field - Philadelphia Pennsylvania
21,2,Sep 2 2016,7:00 PM,Fri,Ball State,31,@,Georgia State,21,Georgia Dome - Atlanta Georgia
22,2,Sep 2 2016,7:30 PM,Fri,(23) Baylor,55,,Northwestern State,7,McLane Stadium - Waco Texas
23,2,Sep 2 2016,8:00 PM,Fri,Colorado,44,N,Colorado State,7,Sports Authority Field - Denver Colorado
24,2,Sep 2 2016,6:00 PM,Fri,Eastern Michigan,61,,Mississippi Valley State,14,Rynearson Stadium - Ypsilanti Michigan
25,2,Sep 2 2016,7:00 PM,Fri,(12) Michigan State,28,,Furman,13,Spartan Stadium - East Lansing Michigan
26,2,Sep 2 2016,9:30 PM,Fri,Nevada,30,,Cal Poly,27,MacKay Stadium - Reno Nevada
27,2,Sep 2 2016,9:00 PM,Fri,(8) Stanford,26,,Kansas State,13,Stanford Stadium - Stanford California
28,2,Sep 2 2016,7:00 PM,Fri,Syracuse,33,,Colgate,7,Carrier Dome - Syracuse New York
29,2,Sep 2 2016,9:00 PM,Fri,Toledo,31,@,Arkansas State,10,Centennial Bank Stadium - Jonesboro Arkansas
30,2,Sep 3 2016,2:00 PM,Sat,Air Force,37,,Abilene Christian,21,Falcon Stadium - Colorado Springs Colorado
31,2,Sep 3 2016,6:30 PM,Sat,Akron,47,,Virginia Military Institute,24,InfoCision Stadium - Akron Ohio
32,2,Sep 3 2016,8:00 PM,Sat,(1) Alabama,52,N,(20) Southern California,6,AT&T Stadium - Arlington Texas
33,2,Sep 3 2016,11:00 PM,Sat,Arizona State,44,,Northern Arizona,13,Sun Devil Stadium - Tempe Arizona
34,2,Sep 3 2016,4:00 PM,Sat,Arkansas,21,,Louisiana Tech,20,Donald W. Reynolds Razorback Stadium - Fayetteville Arkansas
35,2,Sep 3 2016,12:00 PM,Sat,Boise State,45,@,Louisiana,10,Cajun Field - Lafayette Louisiana
36,2,Sep 3 2016,10:30 PM,Sat,Brigham Young,18,N,Arizona,16,University of Phoenix Stadium - Glendale Arizona
37,2,Sep 3 2016,7:00 PM,Sat,Central Florida,38,,South Carolina State,0,Bright House Networks Stadium - Orlando Florida
38,2,Sep 3 2016,9:00 PM,Sat,(2) Clemson,19,@,Auburn,13,Jordan Hare Stadium - Auburn Alabama
39,2,Sep 3 2016,4:00 AM,Sat,Coastal Carolina,38,@,Lamar,14,
40,2,Sep 3 2016,6:00 PM,Sat,Duke,49,,North Carolina Central,6,Wallace Wade Stadium - Durham North Carolina
41,2,Sep 3 2016,6:00 PM,Sat,East Carolina,52,,Western Carolina,7,Dowdy-Ficklen Stadium - Greenville North Carolina
42,2,Sep 3 2016,8:00 PM,Sat,Eastern Washington,45,@,Washington State,42,Martin Stadium - Pullman Washington
43,2,Sep 3 2016,7:30 PM,Sat,(25) Florida,24,,Massachusetts,7,Ben Hill Griffin Stadium - Gainesville Florida
44,2,Sep 3 2016,6:00 PM,Sat,Florida Atlantic,38,,Southern Illinois,30,FAU Football Stadium - Boca Raton Florida
45,2,Sep 3 2016,5:30 PM,Sat,(18) Georgia,33,N,(22) North Carolina,24,Georgia Dome - Atlanta Georgia
46,2,Sep 3 2016,6:00 PM,Sat,Georgia Southern,54,,Savannah State,0,Allen E. Paulson Stadium - Statesboro Georgia
47,2,Sep 3 2016,7:30 AM,Sat,Georgia Tech,17,N,Boston College,14,Aviva Stadium - Dublin IRL
48,2,Sep 3 2016,12:00 PM,Sat,(15) Houston,33,N,(3) Oklahoma,23,NRG Stadium - Houston Texas
49,2,Sep 3 2016,3:30 PM,Sat,Illinois,52,,Murray State,3,Memorial Stadium - Champaign Illinois
50,2,Sep 3 2016,3:30 PM,Sat,(17) Iowa,45,,Miami (OH),21,Kinnick Stadium - Iowa City Iowa
51,2,Sep 3 2016,7:00 PM,Sat,Kansas,55,,Rhode Island,6,Memorial Stadium - Lawrence Kansas
52,2,Sep 3 2016,7:00 PM,Sat,Louisiana-Monroe,38,,Southern,21,Malone Stadium - Monroe Louisiana
53,2,Sep 3 2016,12:00 PM,Sat,Maryland,52,,Howard,13,Maryland Stadium - College Park Maryland
54,2,Sep 3 2016,7:00 PM,Sat,Memphis,35,,Southeast Missouri State,17,Liberty Bowl Memorial Stadium - Memphis Tennessee
55,2,Sep 3 2016,6:00 PM,Sat,Miami (FL),70,,Florida A&M,3,Hard Rock Stadium - Miami Gardens Florida
56,2,Sep 3 2016,12:00 PM,Sat,(7) Michigan,63,,Hawaii,3,Michigan Stadium - Ann Arbor Michigan
57,2,Sep 3 2016,7:00 PM,Sat,Middle Tennessee State,55,,Alabama A&M,0,Johnny "Red" Floyd Stadium - Murfreesboro Tennessee
58,2,Sep 3 2016,12:00 PM,Sat,Navy,52,,Fordham,16,Navy Marine Corps Memorial Stadium - Annapolis Maryland
59,2,Sep 3 2016,8:00 PM,Sat,Nebraska,43,,Fresno State,10,Memorial Stadium - Lincoln Nebraska
60,2,Sep 3 2016,8:00 PM,Sat,Northern Iowa,25,@,Iowa State,20,Jack Trice Stadium - Ames Iowa
61,2,Sep 3 2016,12:00 PM,Sat,(6) Ohio State,77,,Bowling Green,10,Ohio Stadium - Columbus Ohio
62,2,Sep 3 2016,3:30 PM,Sat,(21) Oklahoma State,61,,Southeastern Louisiana,7,Boone Pickens Stadium - Stillwater Oklahoma
63,2,Sep 3 2016,5:00 PM,Sat,(24) Oregon,53,,California-Davis,28,Autzen Stadium - Eugene Oregon
64,2,Sep 3 2016,3:30 PM,Sat,Penn State,33,,Kent State,13,Beaver Stadium - University Park Pennsylvania
65,2,Sep 3 2016,1:30 PM,Sat,Pittsburgh,28,,Villanova,7,Heinz Field - Pittsburgh Pennsylvania
66,2,Sep 3 2016,12:00 PM,Sat,Purdue,45,,Eastern Kentucky,24,Ross Ade Stadium - West Lafayette Indiana
67,2,Sep 3 2016,3:30 PM,Sat,Richmond,37,@,Virginia,20,Scott Stadium - Charlottesville Virginia
68,2,Sep 3 2016,8:30 PM,Sat,San Diego State,31,,New Hampshire,0,Qualcomm Stadium - San Diego California
69,2,Sep 3 2016,12:00 PM,Sat,South Alabama,21,@,Mississippi State,20,Davis Wade Stadium - Starkville Mississippi
70,2,Sep 3 2016,7:00 PM,Sat,South Florida,56,,Towson,20,Raymond James Stadium - Tampa Florida
71,2,Sep 3 2016,,Sat,Southern Methodist,34,@,North Texas,21,Apogee Stadium - Denton Texas
72,2,Sep 3 2016,7:30 PM,Sat,Southern Mississippi,44,@,Kentucky,35,Commonwealth Stadium - Lexington Kentucky
73,2,Sep 3 2016,,Sat,Texas A&M,31,,(16) UCLA,24,Kyle Field - College Station Texas
74,2,Sep 3 2016,8:00 PM,Sat,(13) Texas Christian,59,,South Dakota State,41,Amon G. Carter Stadium - Fort Worth Texas
75,2,Sep 3 2016,3:30 PM,Sat,Texas State,56,@,Ohio,54,Peden Stadium - Athens Ohio
76,2,Sep 3 2016,8:00 PM,Sat,Texas Tech,69,,Stephen F. Austin,17,Jones AT&T Stadium - Lubbock Texas
77,2,Sep 3 2016,,Sat,Texas-El Paso,38,,New Mexico State,22,Sun Bowl Stadium - El Paso Texas
78,2,Sep 3 2016,7:00 PM,Sat,Texas-San Antonio,26,,Alabama State,13,Alamodome - San Antonio Texas
79,2,Sep 3 2016,6:00 PM,Sat,Troy,57,,Austin Peay,17,Veterans Memorial Stadium - Troy Alabama
80,2,Sep 3 2016,7:00 PM,Sat,Tulsa,45,,San Jose State,10,Chapman Stadium - Tulsa Oklahoma
