--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
1,Clemson,ACC,10,4,.714,7,1,.875,34.7,23.4,12.23,3.66,14,9,14,
2,SMU,ACC,11,3,.786,8,0,1.000,36.5,22.1,14.19,2.76,,8,12,
3,Miami (FL),ACC,10,3,.769,6,2,.750,43.9,25.3,14.20,1.58,19,4,18,
4,Syracuse,ACC,10,3,.769,5,3,.625,34.1,29.2,7.36,2.06,,20,20,
5,Duke,ACC,9,4,.692,5,3,.625,26.3,24.5,3.56,0.79,,,,
6,Louisville,ACC,9,4,.692,5,3,.625,36.5,24.1,13.05,4.36,,15,,
7,Georgia Tech,ACC,7,6,.538,5,3,.625,28.9,25.6,5.78,4.40,,23,,
8,Boston College,ACC,7,6,.538,4,4,.500,28.2,23.8,5.02,2.79,,24,,
9,Virginia Tech,ACC,6,7,.462,4,4,.500,28.2,22.8,9.84,5.37,,,,
10,Pitt,ACC,7,6,.538,3,5,.375,32.9,28.4,3.04,1.19,,18,,
11,North Carolina,ACC,6,7,.462,3,5,.375,30.9,28.1,0.90,-0.64,,,,
12,North Carolina State,ACC,6,7,.462,3,5,.375,28.5,30.2,-0.90,0.18,24,24,,
13,Virginia,ACC,5,7,.417,3,5,.375,22.7,28.8,-1.08,4.17,,,,
14,California,ACC,6,7,.462,2,6,.250,25.1,22.3,1.06,-0.17,,,,
15,Wake Forest,ACC,4,8,.333,2,6,.250,25.7,32.5,-3.45,1.97,,,,
16,Stanford,ACC,3,9,.250,2,6,.250,22.8,33.7,-4.40,4.77,,,,
17,Florida State,ACC,2,10,.167,1,7,.125,15.4,28.0,-5.14,6.20,10,10,,
18,Army,American,12,2,.857,8,0,1.000,31.1,15.5,8.33,-5.10,,16,21,
19,Tulane,American,9,5,.643,7,1,.875,35.1,20.6,5.73,-1.20,,18,,
20,Memphis,American,11,2,.846,6,2,.750,35.7,23.8,4.48,-5.60,,24,24,
21,Navy,American,10,3,.769,6,2,.750,31.3,22.2,7.91,-2.02,,24,,
22,East Carolina,American,8,5,.615,5,3,.625,32.0,27.3,-2.45,-5.53,,,,
23,South Florida,American,7,6,.538,4,4,.500,32.2,29.8,-2.55,-3.94,,,,
24,UTSA,American,7,6,.538,4,4,.500,33.2,30.1,-1.57,-5.26,,,,
25,Charlotte,American,5,7,.417,4,4,.500,23.7,35.1,-8.58,-1.33,,,,
26,North Texas,American,6,7,.462,3,5,.375,33.5,34.2,-4.09,-4.09,,,,
27,Rice,American,4,8,.333,3,5,.375,22.2,25.4,-7.88,-1.71,,,,
28,Temple,American,3,9,.250,2,6,.250,19.6,35.4,-13.16,-2.08,,,,
29,UAB,American,3,9,.250,2,6,.250,26.2,34.3,-9.39,-2.55,,,,
30,Florida Atlantic,American,3,9,.250,1,7,.125,25.9,30.3,-11.89,-6.14,,,,
31,Tulsa,American,3,9,.250,1,7,.125,25.0,42.5,-17.34,-6.50,,,,
32,Arizona State,Big 12,11,3,.786,7,2,.778,32.9,22.6,11.85,3.28,,7,7,
33,Colorado,Big 12,9,4,.692,7,2,.778,32.9,23.1,8.60,1.60,,16,25,
34,Cincinnati,Big 12,5,7,.417,3,6,.333,25.2,24.6,2.21,3.05,,,,
35,Houston,Big 12,4,8,.333,3,6,.333,14.0,22.9,-2.75,4.92,,,,
36,Utah,Big 12,5,7,.417,2,7,.222,23.6,20.7,1.63,1.63,12,10,,
37,Arizona,Big 12,4,8,.333,2,7,.222,21.8,31.8,-4.97,1.86,21,20,,
38,UCF,Big 12,4,8,.333,2,7,.222,30.4,26.9,2.08,3.25,,,,
39,BYU,Big 12,11,2,.846,7,2,.778,31.2,19.6,13.09,1.47,,7,13,
40,Iowa State,Big 12,11,3,.786,7,2,.778,31.1,22.9,10.80,3.01,,9,15,
41,Texas Christian,Big 12,9,4,.692,6,3,.667,33.5,24.6,6.49,0.11,,,,
42,Baylor,Big 12,8,5,.615,6,3,.667,34.4,26.7,8.04,2.11,,,,
43,Texas Tech,Big 12,8,5,.615,6,3,.667,37.6,34.8,2.55,1.55,,,,
44,Kansas State,Big 12,9,4,.692,5,4,.556,30.8,23.4,10.01,2.54,18,13,,
45,West Virginia,Big 12,6,7,.462,5,4,.556,29.2,31.9,0.66,3.05,,,,
46,Kansas,Big 12,5,7,.417,4,5,.444,29.7,26.0,6.28,5.45,22,19,,
47,Oklahoma State,Big 12,3,9,.250,0,9,.000,27.2,35.6,-4.98,2.61,17,13,,
48,Oregon,Big Ten,13,1,.929,9,0,1.000,34.9,19.4,20.04,5.83,3,1,3,
49,Indiana,Big Ten,11,2,.846,8,1,.889,41.3,15.6,16.33,1.95,,5,10,
50,Penn State,Big Ten,13,3,.813,8,1,.889,33.1,16.5,19.60,6.91,8,3,5,
51,Ohio State,Big Ten,14,2,.875,7,2,.778,35.7,12.9,25.21,8.96,2,1,1,
52,Illinois,Big Ten,10,3,.769,6,3,.667,28.3,21.7,10.63,4.48,,16,16,
53,Iowa,Big Ten,8,5,.615,6,3,.667,27.7,17.8,10.97,3.58,25,21,,
54,Michigan,Big Ten,8,5,.615,5,4,.556,22.0,19.9,10.76,9.38,9,9,,
55,Minnesota,Big Ten,8,5,.615,5,4,.556,26.2,16.9,10.65,4.50,,,,
56,Rutgers,Big Ten,7,6,.538,4,5,.444,28.9,25.4,6.05,3.51,,,,
57,USC,Big Ten,7,6,.538,4,5,.444,30.2,24.1,11.29,7.98,23,11,,
58,Washington,Big Ten,6,7,.462,4,5,.444,23.4,23.8,5.20,6.28,,,,
59,Nebraska,Big Ten,7,6,.538,3,6,.333,23.5,19.5,8.79,4.40,,22,,
60,Michigan State,Big Ten,5,7,.417,3,6,.333,19.3,26.1,-0.46,5.54,,,,record adjusted to 0-7-0 by NCAA
61,UCLA,Big Ten,5,7,.417,3,6,.333,18.4,25.3,3.46,9.21,,,,
62,Wisconsin,Big Ten,5,7,.417,3,6,.333,22.6,23.1,3.67,5.92,,,,
63,Northwestern,Big Ten,4,8,.333,2,7,.222,17.8,26.3,-1.72,5.20,,,,
64,Maryland,Big Ten,4,8,.333,1,8,.111,23.7,30.4,-0.74,6.01,,,,
65,Purdue,Big Ten,1,11,.083,0,9,.000,15.8,39.9,-6.43,8.23,,,,
66,Jacksonville State,CUSA,9,5,.643,7,1,.875,36.0,26.1,-2.25,-8.18,,,,
67,Sam Houston,CUSA,10,3,.769,6,2,.750,23.8,20.5,-2.62,-7.93,,,,
68,Western Kentucky,CUSA,8,6,.571,6,2,.750,24.9,24.6,-3.85,-6.99,,,,
69,Liberty,CUSA,8,4,.667,5,3,.625,28.8,23.5,-6.12,-11.20,,,,
70,Louisiana Tech,CUSA,5,8,.385,4,4,.500,20.9,21.0,-10.74,-9.43,,,,
71,Florida International,CUSA,4,8,.333,3,5,.375,26.3,25.8,-12.32,-10.40,,,,
72,UTEP,CUSA,3,9,.250,3,5,.375,19.5,32.3,-18.02,-8.27,,,,
73,Middle Tennessee State,CUSA,3,9,.250,2,6,.250,18.1,34.3,-20.42,-7.26,,,,
74,New Mexico State,CUSA,3,9,.250,2,6,.250,21.6,36.3,-18.55,-8.47,,,,
75,Kennesaw State,CUSA,2,10,.167,2,6,.250,16.5,31.2,-20.36,-8.44,,,,
76,Notre Dame,Ind,14,2,.875,0,0,,36.1,15.5,21.69,7.57,7,2,2,
77,Connecticut,Ind,9,4,.692,0,0,,31.9,23.1,-0.03,-6.03,,,,
78,Washington State,Ind,8,5,.615,0,0,,36.6,29.9,-0.23,-4.84,,19,,
79,Oregon State,Ind,5,7,.417,0,0,,24.3,29.9,-5.47,-2.30,,,,
80,Massachusetts,Ind,2,10,.167,0,0,,22.5,35.5,-13.10,-2.35,,,,
81,Ohio,MAC,11,3,.786,7,1,.875,29.3,18.1,5.37,-4.63,,,,
82,Miami (OH),MAC,9,5,.643,7,1,.875,24.1,18.8,2.72,-2.35,,,,
83,Buffalo,MAC,9,4,.692,6,2,.750,28.8,26.4,-0.97,-5.74,,,,
84,Bowling Green,MAC,7,6,.538,6,2,.750,27.1,21.6,1.51,-3.49,,,,
85,Western Michigan,MAC,6,7,.462,5,3,.625,28.9,31.3,-4.08,-3.23,,,,
86,Northern Illinois,MAC,8,5,.615,4,4,.500,24.5,18.5,1.07,-3.47,,23,,
87,Toledo,MAC,8,5,.615,4,4,.500,28.3,23.2,0.29,-4.10,,,,
88,Akron,MAC,4,8,.333,3,5,.375,20.4,32.0,-7.23,0.02,,,,
89,Eastern Michigan,MAC,5,7,.417,2,6,.250,25.9,27.9,-8.51,-5.43,,,,
90,Central Michigan,MAC,4,8,.333,2,6,.250,22.6,29.7,-10.66,-3.99,,,,
91,Ball State,MAC,3,9,.250,2,6,.250,25.3,40.1,-11.01,-1.93,,,,
92,Kent State,MAC,0,12,.000,0,8,.000,13.9,44.1,-20.93,-0.68,,,,
93,Boise State,MWC,12,2,.857,7,0,1.000,37.3,22.6,10.50,-1.85,,8,8,
94,Nevada-Las Vegas,MWC,11,3,.786,6,1,.857,35.4,21.3,7.48,-2.88,,19,23,
95,Colorado State,MWC,8,5,.615,6,1,.857,24.4,25.8,-4.48,-5.48,,,,
96,Fresno State,MWC,6,7,.462,4,3,.571,26.1,24.8,-3.87,-4.80,,,,
97,San Jose State,MWC,7,6,.538,3,4,.429,28.4,27.5,-4.88,-5.49,,,,
98,Air Force,MWC,5,7,.417,3,4,.429,18.9,23.3,-8.76,-5.01,,,,
99,Hawaii,MWC,5,7,.417,3,4,.429,22.3,26.0,-7.94,-5.69,,,,
100,New Mexico,MWC,5,7,.417,3,4,.429,33.5,38.0,-12.37,-8.20,,,,
101,Utah State,MWC,4,8,.333,3,4,.429,31.9,37.8,-9.18,-4.35,,,,
102,San Diego State,MWC,3,9,.250,2,5,.286,21.3,29.6,-14.03,-5.53,,,,
103,Wyoming,MWC,3,9,.250,2,5,.286,19.3,28.3,-11.34,-3.51,,,,
104,Nevada,MWC,3,10,.231,0,7,.000,23.1,28.8,-8.43,-1.50,,,,
105,Georgia,SEC,11,3,.786,6,2,.750,31.5,20.6,16.37,7.37,1,1,6,
106,Texas,SEC,13,3,.813,7,1,.875,33.0,15.3,19.30,7.37,4,1,4,
107,Tennessee,SEC,10,3,.769,6,2,.750,35.7,16.1,10.89,1.89,15,4,9,
108,Missouri,SEC,10,3,.769,5,3,.625,28.9,20.4,9.18,3.18,11,6,22,
109,Ole Miss,SEC,10,3,.769,5,3,.625,38.6,14.4,16.57,2.03,6,5,11,
110,Alabama,SEC,9,4,.692,5,3,.625,33.8,17.4,15.33,5.33,5,1,17,
111,LSU,SEC,9,4,.692,5,3,.625,30.5,24.3,13.36,6.82,13,8,,
112,South Carolina,SEC,9,4,.692,5,3,.625,30.5,18.1,14.78,5.78,,13,19,
113,Texas A&M,SEC,8,5,.615,5,3,.625,30.4,22.2,10.49,5.41,20,10,,
114,Florida,SEC,8,5,.615,4,4,.500,28.3,23.1,10.75,6.44,,,,
