Date,Season,Type,Round,Team,Opp,HomeAway,PointsFor,PointsAgainst,OT,TeamAPRank,OppAPRank
2007-08-30,2007,R,,boise-state,weber-state,H,56,7,0,24.0,
2007-08-30,2007,R,,weber-state,boise-state,A,7,56,0,,24.0
2007-08-30,2007,R,,cincinnati,southeast-missouri-state,H,59,3,0,,
2007-08-30,2007,R,,southeast-missouri-state,cincinnati,A,3,59,0,,
2007-08-30,2007,R,,kent-state,iowa-state,A,23,14,0,,
2007-08-30,2007,R,,iowa-state,kent-state,H,14,23,0,,
2007-08-30,2007,R,,louisiana-state,mississippi-state,A,45,0,0,2.0,
2007-08-30,2007,R,,mississippi-state,louisiana-state,H,0,45,0,,2.0
2007-08-30,2007,R,,louisville,murray-state,H,73,10,0,10.0,
2007-08-30,2007,R,,murray-state,louisville,A,10,73,0,,10.0
2007-08-30,2007,R,,miami-oh,ball-state,A,14,13,0,,
2007-08-30,2007,R,,ball-state,miami-oh,H,13,14,0,,
2007-08-30,2007,R,,nevada-las-vegas,utah-state,A,23,16,0,,
2007-08-30,2007,R,,utah-state,nevada-las-vegas,H,16,23,0,,
2007-08-30,2007,R,,new-mexico-state,southeastern-louisiana,H,35,14,0,,
2007-08-30,2007,R,,southeastern-louisiana,new-mexico-state,A,14,35,0,,
2007-08-30,2007,R,,oregon-state,utah,H,24,7,0,,
2007-08-30,2007,R,,utah,oregon-state,A,7,24,0,,
2007-08-30,2007,R,,rutgers,buffalo,H,38,3,0,16.0,
2007-08-30,2007,R,,buffalo,rutgers,A,3,38,0,,16.0
2007-08-30,2007,R,,tulsa,louisiana-monroe,A,35,17,0,,
2007-08-30,2007,R,,louisiana-monroe,tulsa,H,17,35,0,,
2007-08-31,2007,R,,navy,temple,A,30,19,0,,
2007-08-31,2007,R,,temple,navy,H,19,30,0,,
2007-08-31,2007,R,,washington,syracuse,A,42,12,0,,
2007-08-31,2007,R,,syracuse,washington,H,12,42,0,,
2007-09-01,2007,R,,air-force,south-carolina-state,H,34,3,0,,
2007-09-01,2007,R,,south-carolina-state,air-force,A,3,34,0,,
2007-09-01,2007,R,,akron,army,H,22,14,0,,
2007-09-01,2007,R,,army,akron,A,14,22,0,,
2007-09-01,2007,R,,alabama,western-carolina,H,52,6,0,,
2007-09-01,2007,R,,western-carolina,alabama,A,6,52,0,,
2007-09-01,2007,R,,appalachian-state,michigan,A,34,32,0,,5.0
2007-09-01,2007,R,,michigan,appalachian-state,H,32,34,0,5.0,
2007-09-01,2007,R,,arizona-state,san-jose-state,H,45,3,0,,
2007-09-01,2007,R,,san-jose-state,arizona-state,A,3,45,0,,
2007-09-01,2007,R,,arkansas,troy,H,46,26,0,21.0,
2007-09-01,2007,R,,troy,arkansas,A,26,46,0,,21.0
2007-09-01,2007,R,,auburn,kansas-state,H,23,13,0,18.0,
2007-09-01,2007,R,,kansas-state,auburn,A,13,23,0,,18.0
2007-09-01,2007,R,,boston-college,wake-forest,H,38,28,0,,
2007-09-01,2007,R,,wake-forest,boston-college,A,28,38,0,,
2007-09-01,2007,R,,bowling-green,minnesota,A,32,31,0,,
2007-09-01,2007,R,,minnesota,bowling-green,H,31,32,0,,
2007-09-01,2007,R,,brigham-young,arizona,H,20,7,0,,
2007-09-01,2007,R,,arizona,brigham-young,A,7,20,0,,
2007-09-01,2007,R,,california,tennessee,H,45,31,0,12.0,15.0
2007-09-01,2007,R,,tennessee,california,A,31,45,0,15.0,12.0
2007-09-01,2007,R,,central-florida,north-carolina-state,A,25,23,0,,
2007-09-01,2007,R,,north-carolina-state,central-florida,H,23,25,0,,
2007-09-01,2007,R,,colorado,colorado-state,N,31,28,0,,
2007-09-01,2007,R,,colorado-state,colorado,N,28,31,0,,
2007-09-01,2007,R,,connecticut,duke,A,45,14,0,,
2007-09-01,2007,R,,duke,connecticut,H,14,45,0,,
2007-09-01,2007,R,,florida,western-kentucky,H,49,3,0,6.0,
2007-09-01,2007,R,,western-kentucky,florida,A,3,49,0,,6.0
2007-09-01,2007,R,,florida-atlantic,middle-tennessee-state,H,27,14,0,,
2007-09-01,2007,R,,middle-tennessee-state,florida-atlantic,A,14,27,0,,
2007-09-01,2007,R,,fresno-state,sacramento-state,H,24,3,0,,
2007-09-01,2007,R,,sacramento-state,fresno-state,A,3,24,0,,
2007-09-01,2007,R,,georgia,oklahoma-state,H,35,14,0,13.0,
2007-09-01,2007,R,,oklahoma-state,georgia,A,14,35,0,,13.0
2007-09-01,2007,R,,georgia-tech,notre-dame,A,33,3,0,,
2007-09-01,2007,R,,notre-dame,georgia-tech,H,3,33,0,,
2007-09-01,2007,R,,hawaii,northern-colorado,H,63,6,0,23.0,
