Date,Season,Type,Round,Team,Opp,HomeAway,PointsFor,PointsAgainst,OT,TeamAPRank,OppAPRank,Notes
2008-08-28,2008,R,,ball-state,northeastern,H,48,14,0,,,
2008-08-28,2008,R,,northeastern,ball-state,A,14,48,0,,,
2008-08-28,2008,R,,buffalo,texas-el-paso,H,42,17,0,,,
2008-08-28,2008,R,,texas-el-paso,buffalo,A,17,42,0,,,
2008-08-28,2008,R,,central-michigan,eastern-illinois,H,31,12,0,,,
2008-08-28,2008,R,,eastern-illinois,central-michigan,A,12,31,0,,,
2008-08-28,2008,R,,cincinnati,eastern-kentucky,H,40,7,0,,,
2008-08-28,2008,R,,eastern-kentucky,cincinnati,A,7,40,0,,,
2008-08-28,2008,R,,connecticut,hofstra,H,35,3,0,,,
2008-08-28,2008,R,,hofstra,connecticut,A,3,35,0,,,
2008-08-28,2008,R,,eastern-michigan,indiana-state,H,52,0,0,,,
2008-08-28,2008,R,,indiana-state,eastern-michigan,A,0,52,0,,,
2008-08-28,2008,R,,georgia-tech,jacksonville-state,H,41,14,0,,,
2008-08-28,2008,R,,jacksonville-state,georgia-tech,A,14,41,0,,,
2008-08-28,2008,R,,iowa-state,south-dakota-state,H,44,17,0,,,
2008-08-28,2008,R,,south-dakota-state,iowa-state,A,17,44,0,,,
2008-08-28,2008,R,,miami-fl,charleston-southern,H,52,7,0,,,
2008-08-28,2008,R,,charleston-southern,miami-fl,A,7,52,0,,,
2008-08-28,2008,R,,south-carolina,north-carolina-state,H,34,0,0,,,
2008-08-28,2008,R,,north-carolina-state,south-carolina,A,0,34,0,,,
2008-08-28,2008,R,,stanford,oregon-state,H,36,28,0,,,
2008-08-28,2008,R,,oregon-state,stanford,A,28,36,0,,,
2008-08-28,2008,R,,troy,middle-tennessee-state,A,31,17,0,,,
2008-08-28,2008,R,,middle-tennessee-state,troy,H,17,31,0,,,
2008-08-28,2008,R,,vanderbilt,miami-oh,A,34,13,0,,,
2008-08-28,2008,R,,miami-oh,vanderbilt,H,13,34,0,,,
2008-08-28,2008,R,,wake-forest,baylor,A,41,13,0,23.0,,
2008-08-28,2008,R,,baylor,wake-forest,H,13,41,0,,23.0,
2008-08-29,2008,R,,rice,southern-methodist,H,56,27,0,,,
2008-08-29,2008,R,,southern-methodist,rice,A,27,56,0,,,
2008-08-29,2008,R,,temple,army,A,35,7,0,,,
2008-08-29,2008,R,,army,temple,H,7,35,0,,,
2008-08-30,2008,R,,air-force,southern-utah,H,41,7,0,,,
2008-08-30,2008,R,,southern-utah,air-force,A,7,41,0,,,
2008-08-30,2008,R,,alabama,clemson,N,34,10,0,24.0,9.0,
2008-08-30,2008,R,,clemson,alabama,N,10,34,0,9.0,24.0,
2008-08-30,2008,R,,arizona,idaho,H,70,0,0,,,
2008-08-30,2008,R,,idaho,arizona,A,0,70,0,,,
2008-08-30,2008,R,,arizona-state,northern-arizona,H,30,13,0,15.0,,
2008-08-30,2008,R,,northern-arizona,arizona-state,A,13,30,0,,15.0,
2008-08-30,2008,R,,arkansas,western-illinois,H,28,24,0,,,
2008-08-30,2008,R,,western-illinois,arkansas,A,24,28,0,,,
2008-08-30,2008,R,,arkansas-state,texas-a-m,A,18,14,0,,,
2008-08-30,2008,R,,texas-a-m,arkansas-state,H,14,18,0,,,
2008-08-30,2008,R,,auburn,louisiana-monroe,H,34,0,0,10.0,,
2008-08-30,2008,R,,louisiana-monroe,auburn,A,0,34,0,,10.0,
2008-08-30,2008,R,,boise-state,idaho-state,H,49,7,0,,,
2008-08-30,2008,R,,idaho-state,boise-state,A,7,49,0,,,
2008-08-30,2008,R,,boston-college,kent-state,A,21,0,0,,,
2008-08-30,2008,R,,kent-state,boston-college,H,0,21,0,,,
2008-08-30,2008,R,,bowling-green,pittsburgh,A,27,17,0,,25.0,
2008-08-30,2008,R,,pittsburgh,bowling-green,H,17,27,0,25.0,,
2008-08-30,2008,R,,brigham-young,northern-iowa,H,41,17,0,16.0,,
2008-08-30,2008,R,,northern-iowa,brigham-young,A,17,41,0,,16.0,
2008-08-30,2008,R,,cal-poly,san-diego-state,A,29,27,0,,,
2008-08-30,2008,R,,san-diego-state,cal-poly,H,27,29,0,,,
2008-08-30,2008,R,,california,michigan-state,H,38,31,0,,,
2008-08-30,2008,R,,michigan-state,california,A,31,38,0,,,
2008-08-30,2008,R,,central-florida,south-carolina-state,H,17,0,0,,,
2008-08-30,2008,R,,south-carolina-state,central-florida,A,0,17,0,,,
2008-08-30,2008,R,,duke,james-madison,H,31,7,0,,,
2008-08-30,2008,R,,james-madison,duke,A,7,31,0,,,
2008-08-30,2008,R,,east-carolina,virginia-tech,N,27,22,0,,17.0,
2008-08-30,2008,R,,virginia-tech,east-carolina,N,22,27,0,17.0,,
2008-08-30,2008,R,,florida,hawaii,H,56,10,0,5.0,,
2008-08-30,2008,R,,hawaii,florida,A,10,56,0,,5.0,
2008-08-30,2008,R,,georgia,georgia-southern,H,45,21,0,1.0,,
2008-08-30,2008,R,,georgia-southern,georgia,A,21,45,0,,1.0,
2008-08-30,2008,R,,houston,southern,H,55,3,0,,,
2008-08-30,2008,R,,southern,houston,A,3,55,0,,,
2008-08-30,2008,R,,indiana,western-kentucky,H,31,13,0,,,
2008-08-30,2008,R,,western-kentucky,indiana,A,13,31,0,,,
2008-08-30,2008,R,,iowa,maine,H,46,3,0,,,
2008-08-30,2008,R,,maine,iowa,A,3,46,0,,,
2008-08-30,2008,R,,kansas,florida-international,H,40,10,0,14.0,,
2008-08-30,2008,R,,florida-international,kansas,A,10,40,0,,14.0,
2008-08-30,2008,R,,kansas-state,north-texas,H,45,6,0,,,
2008-08-30,2008,R,,north-texas,kansas-state,A,6,45,0,,,
2008-08-30,2008,R,,louisiana-state,appalachian-state,H,41,13,0,7.0,,
2008-08-30,2008,R,,appalachian-state,louisiana-state,A,13,41,0,,7.0,
2008-08-30,2008,R,,louisiana-tech,mississippi-state,H,22,14,0,,,
2008-08-30,2008,R,,mississippi-state,louisiana-tech,A,14,22,0,,,
2008-08-30,2008,R,,marshall,illinois-state,H,35,10,0,,,
2008-08-30,2008,R,,illinois-state,marshall,A,10,35,0,,,
2008-08-30,2008,R,,maryland,delaware,H,14,7,0,,,
2008-08-30,2008,R,,delaware,maryland,A,7,14,0,,,
2008-08-30,2008,R,,minnesota,northern-illinois,H,31,27,0,,,
2008-08-30,2008,R,,northern-illinois,minnesota,A,27,31,0,,,
2008-08-30,2008,R,,mississippi,memphis,H,41,24,0,,,
2008-08-30,2008,R,,memphis,mississippi,A,24,41,0,,,
2008-08-30,2008,R,,missouri,illinois,N,52,42,0,6.0,20.0,
2008-08-30,2008,R,,illinois,missouri,N,42,52,0,20.0,6.0,
2008-08-30,2008,R,,navy,towson,H,41,13,0,,,
2008-08-30,2008,R,,towson,navy,A,13,41,0,,,
2008-08-30,2008,R,,nebraska,western-michigan,H,47,24,0,,,
2008-08-30,2008,R,,western-michigan,nebraska,A,24,47,0,,,
2008-08-30,2008,R,,nevada,grambling-state,H,49,13,0,,,
2008-08-30,2008,R,,grambling-state,nevada,A,13,49,0,,,
