--- When using SR data, please cite us and provide a link and/or a mention.


 
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Tue Oct 31 1950,,Washington Capitols,70,Rochester Royals,78,Box Score,,,,Edgerton Park Arena,
Wed Nov 1 1950,,Boston Celtics,84,Fort Wayne Pistons,107,Box Score,,2743,,North Side High School Gym,
Wed Nov 1 1950,,Indianapolis Olympians,84,Washington Capitols,100,Box Score,,,,Uline Arena,
Wed Nov 1 1950,,Minneapolis Lakers,71,Baltimore Bullets,81,Box Score,,,,Baltimore Coliseum,
Thu Nov 2 1950,,Fort Wayne Pistons,77,Syracuse Nationals,92,Box Score,,,,State Fair Coliseum,
Thu Nov 2 1950,,Boston Celtics,65,Tri-Cities Blackhawks,79,Box Score,,4200,,Wharton Field House,
Sat Nov 4 1950,,Minneapolis Lakers,91,Washington Capitols,85,Box Score,,,,Uline Arena,
Sat Nov 4 1950,,New York Knicks,76,Tri-Cities Blackhawks,87,Box Score,,,,Wharton Field House,
Sat Nov 4 1950,,Fort Wayne Pistons,71,Rochester Royals,95,Box Score,,,,Edgerton Park Arena,
Sat Nov 4 1950,,Boston Celtics,68,Philadelphia Warriors,77,Box Score,,5603,,Philadelphia Arena,
Sat Nov 4 1950,,Indianapolis Olympians,86,Baltimore Bullets,102,Box Score,,,,Baltimore Coliseum,
Sun Nov 5 1950,,Indianapolis Olympians,63,Fort Wayne Pistons,68,Box Score,,,,North Side High School Gym,
Sun Nov 5 1950,,Minneapolis Lakers,87,Syracuse Nationals,90,Box Score,,,,State Fair Coliseum,
Sun Nov 5 1950,,New York Knicks,95,Tri-Cities Blackhawks,98,Box Score,OT,,,Wharton Field House,
Tue Nov 7 1950,,Boston Celtics,83,Baltimore Bullets,64,Box Score,,1151,,Rhode Island Auditorium,at Providence RI
Tue Nov 7 1950,,New York Knicks,73,Indianapolis Olympians,86,Box Score,,,,Hinkle Fieldhouse,
Wed Nov 8 1950,,Tri-Cities Blackhawks,79,Fort Wayne Pistons,87,Box Score,,,,North Side High School Gym,
Wed Nov 8 1950,,Baltimore Bullets,81,Washington Capitols,86,Box Score,,,,Uline Arena,
