--- When using SR data, please cite us and provide a link and/or a mention.


 
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Fri Oct 30 1953,Minneapolis Lakers,59,Milwaukee Hawks,69,Box Score,,,,Milwaukee Arena,
Sat Oct 31 1953,Rochester Royals,72,Baltimore Bullets,68,Box Score,,,,Madison Square Garden (III),at New York NY
Sat Oct 31 1953,Minneapolis Lakers,67,New York Knicks,91,Box Score,,,,Madison Square Garden (III),
Sat Oct 31 1953,Syracuse Nationals,73,Philadelphia Warriors,79,Box Score,,,,Convention Hall,
Sun Nov 1 1953,Minneapolis Lakers,84,Boston Celtics,79,Box Score,,8618,,Boston Garden,
Sun Nov 1 1953,Rochester Royals,80,Baltimore Bullets,72,Box Score,,,,Baltimore Coliseum,
Sun Nov 1 1953,Philadelphia Warriors,61,Syracuse Nationals,85,Box Score,,,,Onondaga War Memorial,
Sun Nov 1 1953,Milwaukee Hawks,67,Fort Wayne Pistons,77,Box Score,,,,War Memorial Coliseum,
Wed Nov 4 1953,Minneapolis Lakers,77,Baltimore Bullets,75,Box Score,,,,Baltimore Coliseum,
Wed Nov 4 1953,New York Knicks,73,Milwaukee Hawks,67,Box Score,,,,Baltimore Coliseum,at Baltimore MD
Thu Nov 5 1953,Boston Celtics,79,Fort Wayne Pistons,83,Box Score,,,,War Memorial Coliseum,
Thu Nov 5 1953,Minneapolis Lakers,77,Syracuse Nationals,65,Box Score,,,,Onondaga War Memorial,
Fri Nov 6 1953,New York Knicks,80,Milwaukee Hawks,68,Box Score,,,,Milwaukee Arena,
Sat Nov 7 1953,Syracuse Nationals,88,Baltimore Bullets,77,Box Score,,,,Philadelphia Arena,at Philadelphia PA
Sat Nov 7 1953,New York Knicks,62,Minneapolis Lakers,70,Box Score,,,,Minneapolis Auditorium,
Sat Nov 7 1953,Boston Celtics,79,Philadelphia Warriors,77,Box Score,,5000,,Philadelphia Arena,
Sat Nov 7 1953,Fort Wayne Pistons,76,Rochester Royals,91,Box Score,,,,Edgerton Park Arena,
Sun Nov 8 1953,Philadelphia Warriors,85,Baltimore Bullets,75,Box Score,,,,Baltimore Coliseum,
Sun Nov 8 1953,New York Knicks,75,Fort Wayne Pistons,70,Box Score,,,,War Memorial Coliseum,
Sun Nov 8 1953,Rochester Royals,66,Syracuse Nationals,85,Box Score,,,,Onondaga War Memorial,
Tue Nov 10 1953,Philadelphia Warriors,66,Rochester Royals,64,Box Score,,,,Edgerton Park Arena,
Tue Nov 10 1953,Minneapolis Lakers,62,Fort Wayne Pistons,78,Box Score,,,,Milwaukee Arena,at Milwaukee WI
Tue Nov 10 1953,Syracuse Nationals,74,Milwaukee Hawks,59,Box Score,,,,Milwaukee Arena,
Wed Nov 11 1953,Philadelphia Warriors,78,Boston Celtics,72,Box Score,,13909,,Boston Garden,
Thu Nov 12 1953,Syracuse Nationals,74,Fort Wayne Pistons,78,Box Score,,,,War Memorial Coliseum,
