week,checkpoint_date,games_played,games_remaining,mae,rho
1,2025-10-26,42,1188,9.2022,0.5733036707452726
2,2025-11-02,94,1136,8.097266666666666,0.646718576195773
3,2025-11-09,147,1083,6.711133333333334,0.7588431590656285
4,2025-11-16,199,1031,5.808800000000001,0.8242491657397109
5,2025-11-23,250,980,5.569533333333335,0.8349276974416018
6,2025-11-30,299,931,5.483133333333333,0.8562847608453837
7,2025-12-07,354,876,5.484266666666667,0.885650723025584
8,2025-12-14,382,848,5.251066666666666,0.885650723025584
9,2025-12-21,422,808,5.148666666666667,0.8865406006674083
10,2025-12-28,472,758,5.274466666666666,0.871412680756396
11,2026-01-04,527,703,4.665333333333333,0.9052280311457175
12,2026-01-11,582,648,4.0882,0.9296996662958843
13,2026-01-18,632,598,4.315,0.9016685205784205
14,2026-01-25,683,547,4.168066666666666,0.9016685205784205
15,2026-02-01,739,491,3.5272666666666663,0.935483870967742
16,2026-02-08,788,442,2.7916666666666665,0.950166852057842
17,2026-02-15,819,411,2.8861333333333334,0.9443826473859844
18,2026-02-22,855,375,2.7545333333333333,0.9457174638487208
19,2026-03-01,906,324,2.1089333333333338,0.9572858731924361
20,2026-03-08,958,272,1.815133333333333,0.9612903225806452
21,2026-03-15,1011,219,1.5533333333333337,0.9746384872080089
22,2026-03-22,1065,165,1.038533333333333,0.9888765294771968
23,2026-03-29,1119,111,0.8689999999999997,0.9897664071190211
24,2026-04-05,1172,58,0.47013333333333357,0.9946607341490545
25,2026-04-12,1230,0,0.0,1.0
