NBA Echo - Dynamic vs Damped(x0.7) vs Frozen (2026)
====================================================================================================
1000 trials per checkpoint. DYNAMIC = simulate_season.py's real method
(full-strength rating drift within each trial). DAMPED = same, but each simulated
game's rating change is scaled by 0.7 before being applied. FROZEN = win
probabilities fixed at the start, no mid-trial rating updates at all. COINFLIP
RATIO = band width / pure 50/50 coin-flip baseline - 1.0 means no more confident
than random. COVERAGE target is ~80% (a 10th-90th percentile band).

Week   Remain   DynBand  DynRat  DynCov    DmpBand  DmpRat  DmpCov    FrzBand  FrzRat  FrzCov
----------------------------------------------------------------------------------------------------
1        1188     22.33   2.00x   73.3%      18.97   1.69x   63.3%      10.50   0.94x   40.0%
2        1136     21.20   1.84x   73.3%      17.87   1.55x   66.7%      10.17   0.88x   50.0%
3        1083     19.93   1.91x   76.7%      16.90   1.62x   66.7%       9.90   0.95x   46.7%
4        1031     18.47   1.77x   83.3%      15.87   1.52x   76.7%       9.60   0.92x   63.3%
5         980     17.57   1.69x   83.3%      15.03   1.45x   80.0%       9.43   0.91x   56.7%
6         931     16.43   1.54x   80.0%      14.03   1.32x   76.7%       9.10   0.86x   53.3%
7         876     15.50   1.65x   76.7%      13.37   1.42x   76.7%       8.93   0.95x   66.7%
8         848     14.90   1.58x   80.0%      13.03   1.38x   73.3%       8.67   0.92x   56.7%
9         808     14.23   1.50x   83.3%      12.63   1.33x   73.3%       8.47   0.89x   60.0%
10        758     13.60   1.44x   76.7%      12.00   1.27x   70.0%       8.30   0.88x   53.3%
11        703     12.63   1.49x   76.7%      11.30   1.33x   76.7%       7.90   0.93x   56.7%
12        648     11.83   1.40x   86.7%      10.47   1.24x   80.0%       7.57   0.90x   60.0%
13        598     11.03   1.41x   76.7%       9.97   1.28x   73.3%       7.20   0.92x   60.0%
14        547     10.13   1.34x   73.3%       9.13   1.21x   70.0%       7.00   0.93x   56.7%
15        491      9.17   1.22x   70.0%       8.47   1.13x   73.3%       6.63   0.89x   63.3%
16        442      8.57   1.24x   83.3%       7.73   1.11x   83.3%       6.17   0.89x   76.7%
17        411      7.93   1.22x   76.7%       7.47   1.15x   73.3%       5.87   0.90x   63.3%
18        375      7.30   1.16x   80.0%       6.97   1.10x   80.0%       5.57   0.88x   63.3%
19        324      6.40   1.08x   76.7%       6.03   1.02x   76.7%       5.03   0.85x   73.3%
20        272      5.70   1.05x   83.3%       5.40   1.00x   83.3%       4.70   0.87x   83.3%
21        219      4.73   1.02x   93.3%       4.67   1.00x   90.0%       4.27   0.92x   86.7%
22        165      4.00   0.90x   90.0%       3.93   0.88x   93.3%       3.57   0.80x   90.0%
23        111      3.27   0.91x   93.3%       3.13   0.87x   86.7%       2.93   0.81x   83.3%
24         58      2.20   1.06x   96.7%       2.13   1.02x   96.7%       2.10   1.01x   96.7%
25          0      0.00   0.00x  100.0%       0.00   0.00x  100.0%       0.00   0.00x  100.0%
