NBA Echo - Pooled Multi-Season Trust Check
Seasons: [1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026]
====================================================================================================
200 trials per checkpoint per season. Each week's stats are POOLED
across every season's team at that week index (week 1 = each season's first
checkpoint, etc.) - not averaged per-season, but combined at the team level, so
the sample size (n_teams) is much larger than any single season alone.
COVERAGE target ~80%. COINFLIP RATIO: 1.0 = no better than a coin flip.

Week    nSea  nTeam   DynBand  DynRat  DynCov    DmpBand  DmpRat  DmpCov    FrzBand  FrzRat  FrzCov
----------------------------------------------------------------------------------------------------
1         31    921     22.68   2.04x   79.7%      17.82   1.60x   69.6%      10.53   0.95x   48.2%
2         31    921     21.34   1.90x   81.3%      17.00   1.51x   70.7%      10.29   0.92x   49.3%
3         31    921     20.10   1.82x   81.9%      16.12   1.46x   71.9%       9.97   0.91x   52.1%
4         31    921     18.85   1.83x   82.5%      15.27   1.48x   73.3%       9.71   0.94x   55.7%
5         31    921     17.81   1.73x   83.0%      14.53   1.42x   74.7%       9.41   0.92x   58.3%
6         31    921     16.75   1.64x   83.5%      13.64   1.33x   76.1%       9.11   0.89x   58.5%
7         31    921     15.75   1.60x   85.1%      12.96   1.32x   75.9%       8.81   0.90x   58.1%
8         31    921     14.74   1.59x   82.6%      12.19   1.32x   75.1%       8.51   0.92x   59.4%
9         31    921     13.83   1.50x   83.4%      11.60   1.26x   75.0%       8.24   0.90x   60.5%
10        31    921     13.00   1.43x   83.0%      10.99   1.21x   75.9%       7.99   0.88x   63.3%
11        31    921     12.12   1.45x   82.2%      10.31   1.24x   76.1%       7.67   0.93x   64.2%
12        31    921     11.19   1.37x   83.5%       9.62   1.18x   77.4%       7.31   0.90x   65.8%
13        31    921     10.34   1.35x   83.8%       8.92   1.17x   78.2%       6.93   0.91x   67.8%
14        30    892      9.86   1.34x   84.0%       8.59   1.17x   79.0%       6.82   0.93x   67.5%
15        30    892      9.00   1.23x   84.5%       7.94   1.09x   79.8%       6.47   0.89x   71.5%
16        30    892      8.20   1.17x   83.4%       7.38   1.06x   80.0%       6.10   0.88x   71.7%
17        30    892      7.66   1.18x   84.1%       6.87   1.06x   80.7%       5.78   0.90x   74.2%
18        30    892      6.87   1.12x   85.5%       6.30   1.03x   82.2%       5.37   0.88x   75.4%
19        29    862      6.40   1.14x   86.0%       5.89   1.05x   82.1%       5.12   0.91x   77.6%
20        29    862      5.59   1.05x   87.6%       5.19   0.98x   85.0%       4.64   0.88x   79.7%
21        29    862      4.75   1.07x   88.1%       4.46   1.00x   86.0%       4.12   0.93x   83.1%
22        28    832      4.11   0.95x   89.1%       3.96   0.91x   87.6%       3.66   0.84x   85.6%
23        28    832      3.29   0.95x   88.6%       3.17   0.91x   87.6%       3.04   0.88x   87.9%
24        28    832      2.32   1.02x   91.5%       2.30   1.01x   92.7%       2.27   1.00x   91.1%
25        28    832      0.25   0.95x   98.7%       0.25   0.93x   98.4%       0.25   0.93x   98.4%
26         3     90      0.94   0.97x   96.7%       0.92   0.94x   96.7%       0.83   0.85x   95.6%
27         1     30      2.70   0.92x   90.0%       2.63   0.90x   90.0%       2.50   0.85x   90.0%
28         1     30      2.67   0.91x   90.0%       2.70   0.92x   86.7%       2.57   0.88x   90.0%
29         1     30      2.67   0.91x   90.0%       2.73   0.93x   90.0%       2.57   0.88x   90.0%
30         1     30      2.87   0.98x   90.0%       2.60   0.89x   90.0%       2.60   0.89x   86.7%
31         1     30      2.73   0.93x   86.7%       2.67   0.91x   90.0%       2.53   0.86x   90.0%
32         1     30      2.83   0.97x   90.0%       2.57   0.88x   90.0%       2.53   0.86x   86.7%
33         1     30      2.67   0.91x   90.0%       2.50   0.85x   86.7%       2.53   0.86x   86.7%
34         1     30      2.70   0.92x   90.0%       2.70   0.92x   90.0%       2.60   0.89x   86.7%
35         1     30      2.67   0.91x   90.0%       2.63   0.90x   90.0%       2.53   0.86x   86.7%
36         1     30      2.87   0.98x   90.0%       2.70   0.92x   90.0%       2.67   0.91x   90.0%
37         1     30      2.70   0.92x   90.0%       2.73   0.93x   90.0%       2.57   0.88x   86.7%
38         1     30      2.77   0.94x   90.0%       2.67   0.91x   90.0%       2.53   0.86x   90.0%
39         1     30      2.67   0.91x   90.0%       2.60   0.89x   90.0%       2.50   0.85x   86.7%
40         1     30      2.77   0.94x   90.0%       2.67   0.91x   90.0%       2.53   0.86x   86.7%
41         1     30      2.53   1.06x   86.7%       2.50   1.05x   83.3%       2.33   0.98x   83.3%
42         1     30      1.83   1.08x   93.3%       1.70   1.00x   93.3%       1.53   0.89x   86.7%
43         1     30      0.00   0.00x  100.0%       0.00   0.00x  100.0%       0.00   0.00x  100.0%
