Date,Season,Type,Round,Team,Opp,HomeAway,PointsFor,PointsAgainst,OT
2008-09-04,2008,R,RS,NYG,WAS,H,16,7,0
2008-09-04,2008,R,RS,WAS,NYG,A,7,16,0
2008-09-07,2008,R,RS,BUF,SEA,H,34,10,0
2008-09-07,2008,R,RS,SEA,BUF,A,10,34,0
2008-09-07,2008,R,RS,PIT,HOU,H,38,17,0
2008-09-07,2008,R,RS,HOU,PIT,A,17,38,0
2008-09-07,2008,R,RS,NE,KC,H,17,10,0
2008-09-07,2008,R,RS,KC,NE,A,10,17,0
2008-09-07,2008,R,RS,NYJ,MIA,A,20,14,0
2008-09-07,2008,R,RS,MIA,NYJ,H,14,20,0
2008-09-07,2008,R,RS,NO,TB,H,24,20,0
2008-09-07,2008,R,RS,TB,NO,A,20,24,0
2008-09-07,2008,R,RS,PHI,STL,H,38,3,0
2008-09-07,2008,R,RS,STL,PHI,A,3,38,0
2008-09-07,2008,R,RS,ATL,DET,H,34,21,0
2008-09-07,2008,R,RS,DET,ATL,A,21,34,0
2008-09-07,2008,R,RS,TEN,JAX,H,17,10,0
2008-09-07,2008,R,RS,JAX,TEN,A,10,17,0
2008-09-07,2008,R,RS,BAL,CIN,H,17,10,0
2008-09-07,2008,R,RS,CIN,BAL,A,10,17,0
2008-09-07,2008,R,RS,CAR,SD,A,26,24,0
2008-09-07,2008,R,RS,SD,CAR,H,24,26,0
2008-09-07,2008,R,RS,DAL,CLE,A,28,10,0
2008-09-07,2008,R,RS,CLE,DAL,H,10,28,0
2008-09-07,2008,R,RS,ARI,SF,A,23,13,0
2008-09-07,2008,R,RS,SF,ARI,H,13,23,0
2008-09-07,2008,R,RS,CHI,IND,A,29,13,0
2008-09-07,2008,R,RS,IND,CHI,H,13,29,0
2008-09-08,2008,R,RS,GB,MIN,H,24,19,0
2008-09-08,2008,R,RS,MIN,GB,A,19,24,0
2008-09-08,2008,R,RS,DEN,OAK,A,41,14,0
2008-09-08,2008,R,RS,OAK,DEN,H,14,41,0
2008-09-14,2008,R,RS,OAK,KC,A,23,8,0
2008-09-14,2008,R,RS,KC,OAK,H,8,23,0
2008-09-14,2008,R,RS,NYG,STL,A,41,13,0
2008-09-14,2008,R,RS,STL,NYG,H,13,41,0
2008-09-14,2008,R,RS,TEN,CIN,A,24,7,0
2008-09-14,2008,R,RS,CIN,TEN,H,7,24,0
2008-09-14,2008,R,RS,BUF,JAX,A,20,16,0
2008-09-14,2008,R,RS,JAX,BUF,H,16,20,0
2008-09-14,2008,R,RS,CAR,CHI,H,20,17,0
2008-09-14,2008,R,RS,CHI,CAR,A,17,20,0
2008-09-14,2008,R,RS,GB,DET,A,48,25,0
2008-09-14,2008,R,RS,DET,GB,H,25,48,0
2008-09-14,2008,R,RS,WAS,NO,H,29,24,0
2008-09-14,2008,R,RS,NO,WAS,A,24,29,0
2008-09-14,2008,R,RS,IND,MIN,A,18,15,0
2008-09-14,2008,R,RS,MIN,IND,H,15,18,0
2008-09-14,2008,R,RS,TB,ATL,H,24,9,0
2008-09-14,2008,R,RS,ATL,TB,A,9,24,0
2008-09-14,2008,R,RS,SF,SEA,A,33,30,1
2008-09-14,2008,R,RS,SEA,SF,H,30,33,1
2008-09-14,2008,R,RS,ARI,MIA,H,31,10,0
2008-09-14,2008,R,RS,MIA,ARI,A,10,31,0
2008-09-14,2008,R,RS,DEN,SD,H,39,38,0
2008-09-14,2008,R,RS,SD,DEN,A,38,39,0
2008-09-14,2008,R,RS,NE,NYJ,A,19,10,0
2008-09-14,2008,R,RS,NYJ,NE,H,10,19,0
2008-09-14,2008,R,RS,PIT,CLE,A,10,6,0
2008-09-14,2008,R,RS,CLE,PIT,H,6,10,0
2008-09-15,2008,R,RS,DAL,PHI,H,41,37,0
2008-09-15,2008,R,RS,PHI,DAL,A,37,41,0
2008-09-21,2008,R,RS,TEN,HOU,H,31,12,0
2008-09-21,2008,R,RS,HOU,TEN,A,12,31,0
2008-09-21,2008,R,RS,ATL,KC,H,38,14,0
2008-09-21,2008,R,RS,KC,ATL,A,14,38,0
2008-09-21,2008,R,RS,BUF,OAK,H,24,23,0
2008-09-21,2008,R,RS,OAK,BUF,A,23,24,0
2008-09-21,2008,R,RS,TB,CHI,A,27,24,1
2008-09-21,2008,R,RS,CHI,TB,H,24,27,1
2008-09-21,2008,R,RS,NYG,CIN,H,26,23,1
2008-09-21,2008,R,RS,CIN,NYG,A,23,26,1
2008-09-21,2008,R,RS,WAS,ARI,H,24,17,0
2008-09-21,2008,R,RS,ARI,WAS,A,17,24,0
2008-09-21,2008,R,RS,MIA,NE,A,38,13,0
2008-09-21,2008,R,RS,NE,MIA,H,13,38,0
2008-09-21,2008,R,RS,MIN,CAR,H,20,10,0
2008-09-21,2008,R,RS,CAR,MIN,A,10,20,0
2008-09-21,2008,R,RS,DEN,NO,H,34,32,0
2008-09-21,2008,R,RS,NO,DEN,A,32,34,0
2008-09-21,2008,R,RS,SF,DET,H,31,13,0
2008-09-21,2008,R,RS,DET,SF,A,13,31,0
2008-09-21,2008,R,RS,SEA,STL,H,37,13,0
2008-09-21,2008,R,RS,STL,SEA,A,13,37,0
2008-09-21,2008,R,RS,PHI,PIT,H,15,6,0
2008-09-21,2008,R,RS,PIT,PHI,A,6,15,0
2008-09-21,2008,R,RS,JAX,IND,A,23,21,0
2008-09-21,2008,R,RS,IND,JAX,H,21,23,0
2008-09-21,2008,R,RS,BAL,CLE,H,28,10,0
2008-09-21,2008,R,RS,CLE,BAL,A,10,28,0
2008-09-21,2008,R,RS,DAL,GB,A,27,16,0
2008-09-21,2008,R,RS,GB,DAL,H,16,27,0
2008-09-22,2008,R,RS,SD,NYJ,H,48,29,0
2008-09-22,2008,R,RS,NYJ,SD,A,29,48,0
2008-09-28,2008,R,RS,KC,DEN,H,33,19,0
2008-09-28,2008,R,RS,DEN,KC,A,19,33,0
2008-09-28,2008,R,RS,JAX,HOU,H,30,27,1
2008-09-28,2008,R,RS,HOU,JAX,A,27,30,1
2008-09-28,2008,R,RS,CLE,CIN,A,20,12,0
2008-09-28,2008,R,RS,CIN,CLE,H,12,20,0
2008-09-28,2008,R,RS,NYJ,ARI,H,56,35,0
2008-09-28,2008,R,RS,ARI,NYJ,A,35,56,0
2008-09-28,2008,R,RS,TB,GB,H,30,21,0
2008-09-28,2008,R,RS,GB,TB,A,21,30,0
2008-09-28,2008,R,RS,TEN,MIN,H,30,17,0
2008-09-28,2008,R,RS,MIN,TEN,A,17,30,0
2008-09-28,2008,R,RS,NO,SF,H,31,17,0
2008-09-28,2008,R,RS,SF,NO,A,17,31,0
2008-09-28,2008,R,RS,CAR,ATL,H,24,9,0
2008-09-28,2008,R,RS,ATL,CAR,A,9,24,0
2008-09-28,2008,R,RS,BUF,STL,A,31,14,0
2008-09-28,2008,R,RS,STL,BUF,H,14,31,0
2008-09-28,2008,R,RS,SD,OAK,A,28,18,0
2008-09-28,2008,R,RS,OAK,SD,H,18,28,0
2008-09-28,2008,R,RS,WAS,DAL,A,26,24,0
2008-09-28,2008,R,RS,DAL,WAS,H,24,26,0
2008-09-28,2008,R,RS,CHI,PHI,H,24,20,0
2008-09-28,2008,R,RS,PHI,CHI,A,20,24,0
2008-09-29,2008,R,RS,PIT,BAL,H,23,20,1
2008-09-29,2008,R,RS,BAL,PIT,A,20,23,1
2008-10-05,2008,R,RS,IND,HOU,A,31,27,0
2008-10-05,2008,R,RS,HOU,IND,H,27,31,0
2008-10-05,2008,R,RS,ATL,GB,A,27,24,0
2008-10-05,2008,R,RS,GB,ATL,H,24,27,0
2008-10-05,2008,R,RS,CHI,DET,A,34,7,0
2008-10-05,2008,R,RS,DET,CHI,H,7,34,0
2008-10-05,2008,R,RS,TEN,BAL,A,13,10,0
2008-10-05,2008,R,RS,BAL,TEN,H,10,13,0
2008-10-05,2008,R,RS,MIA,SD,H,17,10,0
2008-10-05,2008,R,RS,SD,MIA,A,10,17,0
2008-10-05,2008,R,RS,NYG,SEA,H,44,6,0
2008-10-05,2008,R,RS,SEA,NYG,A,6,44,0
2008-10-05,2008,R,RS,CAR,KC,H,34,0,0
2008-10-05,2008,R,RS,KC,CAR,A,0,34,0
2008-10-05,2008,R,RS,WAS,PHI,A,23,17,0
2008-10-05,2008,R,RS,PHI,WAS,H,17,23,0
2008-10-05,2008,R,RS,DEN,TB,H,16,13,0
2008-10-05,2008,R,RS,TB,DEN,A,13,16,0
2008-10-05,2008,R,RS,NE,SF,A,30,21,0
2008-10-05,2008,R,RS,SF,NE,H,21,30,0
2008-10-05,2008,R,RS,DAL,CIN,H,31,22,0
2008-10-05,2008,R,RS,CIN,DAL,A,22,31,0
2008-10-05,2008,R,RS,ARI,BUF,H,41,17,0
2008-10-05,2008,R,RS,BUF,ARI,A,17,41,0
2008-10-05,2008,R,RS,PIT,JAX,A,26,21,0
2008-10-05,2008,R,RS,JAX,PIT,H,21,26,0
2008-10-06,2008,R,RS,MIN,NO,A,30,27,0
2008-10-06,2008,R,RS,NO,MIN,H,27,30,0
2008-10-12,2008,R,RS,IND,BAL,H,31,3,0
2008-10-12,2008,R,RS,BAL,IND,A,3,31,0
2008-10-12,2008,R,RS,HOU,MIA,H,29,28,0
2008-10-12,2008,R,RS,MIA,HOU,A,28,29,0
2008-10-12,2008,R,RS,ATL,CHI,H,22,20,0
2008-10-12,2008,R,RS,CHI,ATL,A,20,22,0
2008-10-12,2008,R,RS,TB,CAR,H,27,3,0
2008-10-12,2008,R,RS,CAR,TB,A,3,27,0
2008-10-12,2008,R,RS,NYJ,CIN,H,26,14,0
2008-10-12,2008,R,RS,CIN,NYJ,A,14,26,0
2008-10-12,2008,R,RS,NO,OAK,H,34,3,0
2008-10-12,2008,R,RS,OAK,NO,A,3,34,0
2008-10-12,2008,R,RS,STL,WAS,A,19,17,0
2008-10-12,2008,R,RS,WAS,STL,H,17,19,0
2008-10-12,2008,R,RS,MIN,DET,H,12,10,0
2008-10-12,2008,R,RS,DET,MIN,A,10,12,0
2008-10-12,2008,R,RS,JAX,DEN,A,24,17,0
2008-10-12,2008,R,RS,DEN,JAX,H,17,24,0
2008-10-12,2008,R,RS,ARI,DAL,H,30,24,1
2008-10-12,2008,R,RS,DAL,ARI,A,24,30,1
2008-10-12,2008,R,RS,PHI,SF,A,40,26,0
2008-10-12,2008,R,RS,SF,PHI,H,26,40,0
2008-10-12,2008,R,RS,GB,SEA,A,27,17,0
2008-10-12,2008,R,RS,SEA,GB,H,17,27,0
2008-10-12,2008,R,RS,SD,NE,H,30,10,0
2008-10-12,2008,R,RS,NE,SD,A,10,30,0
2008-10-13,2008,R,RS,CLE,NYG,H,35,14,0
2008-10-13,2008,R,RS,NYG,CLE,A,14,35,0
2008-10-19,2008,R,RS,TEN,KC,A,34,10,0
2008-10-19,2008,R,RS,KC,TEN,H,10,34,0
2008-10-19,2008,R,RS,STL,DAL,H,34,14,0
