week,checkpoint_date,games_played,games_remaining,mae,rho
1,2025-09-08,16,256,2.5825625,0.37976539589442815
2,2025-09-15,32,240,2.6258749999999997,0.40175953079178883
3,2025-09-22,48,224,2.4997499999999997,0.4897360703812317
4,2025-09-29,64,208,2.17875,0.6154692082111437
5,2025-10-06,78,194,1.9176875000000002,0.7133431085043989
6,2025-10-13,93,179,1.9537499999999999,0.7016129032258065
7,2025-10-20,108,164,1.9143750000000002,0.7250733137829912
8,2025-10-27,121,151,1.9196875,0.7298387096774194
9,2025-11-03,135,137,1.6260625,0.7895894428152492
10,2025-11-10,149,123,1.5487499999999998,0.7965542521994134
11,2025-11-17,164,108,1.3719375,0.8368768328445748
12,2025-11-24,178,94,1.35325,0.8592375366568915
13,2025-12-01,194,78,1.1848124999999998,0.8944281524926686
14,2025-12-08,208,64,0.9554374999999999,0.9373167155425219
15,2025-12-15,224,48,0.7495625,0.9585777126099707
16,2025-12-22,240,32,0.574125,0.9717741935483871
17,2025-12-29,256,16,0.4165625,0.9908357771260997
18,2026-01-04,272,0,0.0,1.0
