NFL Echo - Weekly Stabilization Check (2025)
==============================================================
1000 trials per checkpoint. MAE = mean absolute error in
projected final wins vs. what actually happened. Rank corr = Spearman
correlation between projected and actual final standings (1.0 = perfect).

Week  Date          Played  Remaining     MAE  RankCorr
--------------------------------------------------------------
1     2025-09-08        16        256    2.58     0.380
2     2025-09-15        32        240    2.63     0.402
3     2025-09-22        48        224    2.50     0.490
4     2025-09-29        64        208    2.18     0.615
5     2025-10-06        78        194    1.92     0.713
6     2025-10-13        93        179    1.95     0.702
7     2025-10-20       108        164    1.91     0.725
8     2025-10-27       121        151    1.92     0.730
9     2025-11-03       135        137    1.63     0.790
10    2025-11-10       149        123    1.55     0.797
11    2025-11-17       164        108    1.37     0.837
12    2025-11-24       178         94    1.35     0.859
13    2025-12-01       194         78    1.18     0.894
14    2025-12-08       208         64    0.96     0.937
15    2025-12-15       224         48    0.75     0.959
16    2025-12-22       240         32    0.57     0.972
17    2025-12-29       256         16    0.42     0.991
18    2026-01-04       272          0    0.00     1.000
