week,n_seasons,n_teams,dyn_coverage,dyn_avg_band_width,dyn_coinflip_ratio,dyn_mae,dmp_coverage,dmp_avg_band_width,dmp_coinflip_ratio,dmp_mae,frz_coverage,frz_avg_band_width,frz_coinflip_ratio,frz_mae
1,30,951,0.8548895899053628,7.1198738170347005,1.3820539782684893,2.210042060988433,0.7917981072555205,6.233438485804417,1.2100595864002803,2.210262881177708,0.6898002103049422,4.769716088328075,0.9257974062390467,2.212334384858044
2,29,920,0.8695652173913043,6.691304347826087,1.6105434782608696,2.0636739130434782,0.816304347826087,5.828260869565217,1.4030978260869564,2.0659239130434783,0.7054347826086956,4.565217391304348,1.098858695652174,2.0459565217391305
3,30,951,0.8633017875920084,6.207150368033648,1.3202944269190324,1.9630599369085175,0.8317560462670873,5.523659305993691,1.174079915878023,1.9428706624605678,0.7276550998948476,4.412197686645636,0.9380651945320715,1.950820189274448
4,30,951,0.8643533123028391,5.833859095688749,1.3612513144058884,1.8288643533123028,0.8180862250262881,5.200841219768664,1.214248159831756,1.8254258675078865,0.7392218717139852,4.198738170347003,0.9802839116719243,1.8194637223974763
5,30,951,0.8654048370136698,5.468980021030494,1.2079390115667719,1.6856572029442691,0.8264984227129337,4.916929547844374,1.0859095688748686,1.6876656151419558,0.7465825446898002,4.068349106203995,0.8977917981072556,1.6904416403785487
6,30,951,0.8748685594111462,5.048370136698212,1.1370662460567822,1.5608096740273396,0.8443743427970557,4.598317560462671,1.0360147213459516,1.5675394321766563,0.7823343848580442,3.85068349106204,0.8677181913774974,1.5612933753943217
7,30,951,0.882229232386961,4.703470031545741,1.2975289169295479,1.4598948475289169,0.8496319663512093,4.296529968454259,1.18596214511041,1.4612407991587804,0.7970557308096741,3.6866456361724502,1.019260427620049,1.4569085173501577
8,30,951,0.879074658254469,4.3764458464773925,1.337714686295128,1.410410094637224,0.8370136698212408,4.03049421661409,1.2314230634419907,1.409789695057834,0.7939011566771819,3.5005257623554153,1.0698387662110058,1.4076866456361725
9,30,951,0.8832807570977917,4.027339642481598,1.0932351910269893,1.301503680336488,0.861198738170347,3.7318611987381702,1.0120049071153172,1.3022818086225028,0.8065194532071503,3.302839116719243,0.8966876971608833,1.304216614090431
10,30,951,0.9106203995793901,3.6708727655099893,1.1621976866456363,1.142975814931651,0.8937960042060988,3.4279705573080967,1.0840343498072205,1.1519137749737118,0.8538380651945321,3.077812828601472,0.9748510339992991,1.1514300736067298
11,30,951,0.9106203995793901,3.3533123028391167,0.888801261829653,1.0453522607781283,0.8906414300736067,3.1587802313354363,0.8372765509989485,1.0534700315457413,0.8633017875920084,2.8590956887486856,0.7581493165089379,1.0494111461619349
12,30,951,0.907465825446898,2.9621451104100944,0.9502278303540133,0.934931650893796,0.9032597266035752,2.858044164037855,0.9165790396074307,0.9365089379600421,0.8769716088328076,2.633017875920084,0.8460392569225377,0.941955835962145
13,30,951,0.9242902208201893,2.59726603575184,1.2111812127584998,0.8464773922187171,0.9116719242902208,2.4889589905362777,1.1612337889940412,0.8525657202944269,0.8927444794952681,2.341745531019979,1.0939362075008763,0.8469716088328076
14,30,951,0.9316508937960042,2.1682439537329126,0.8058184367332631,0.7286855941114616,0.9284963196635121,2.1156677181913777,0.784086926042762,0.7304206098843323,0.9211356466876972,2.0420609884332284,0.75639677532422,0.7341430073606731
15,30,951,0.9589905362776026,1.7245005257623554,0.7953031896249563,0.5801892744479495,0.9547844374342797,1.6971608832807572,0.7842621801612338,0.5847108307045216,0.9579390115667719,1.6677181913774974,0.77111812127585,0.5826288117770768
16,30,951,0.9852786540483701,1.0830704521556256,0.9236037934668072,0.43253417455310195,0.9852786540483701,1.0872765509989484,0.9293993677555321,0.4338590956887487,0.9884332281808622,1.085173501577287,0.9309799789251844,0.4338906414300736
17,30,951,1.0,0.1892744479495268,0.9473684210526315,0.08907465825446899,0.9978969505783386,0.19032597266035753,0.9526315789473684,0.0882229232386961,0.9978969505783386,0.19453207150368035,0.9736842105263158,0.08925341745531021
18,6,191,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
