date,season,type,round,home_team,away_team,home_pts,away_pts,expected_win,result,accuracy,brier,log_loss
1946-11-01,1947,R,,nba_0010,nba_0005,66,68,0.6186,0.0,0,0.3826,0.9639
1946-11-01,1947,R,,nba_0010,nba_0005,66,68,0.6186,0.0,0,0.3826,0.9639
1946-11-02,1947,R,,nba_0002,nba_0005,63,47,0.6273,1.0,1,0.1389,0.4664
1946-11-02,1947,R,,nba_0002,nba_0005,63,47,0.6273,1.0,1,0.1389,0.4664
1946-11-02,1947,R,,nba_0009,nba_0007,56,51,0.6186,1.0,1,0.1455,0.4803
1946-11-02,1947,R,,nba_0009,nba_0007,56,51,0.6186,1.0,1,0.1455,0.4803
1946-11-02,1947,R,,nba_0004,nba_0011,33,50,0.6186,0.0,0,0.3826,0.9639
1946-11-02,1947,R,,nba_0004,nba_0011,33,50,0.6186,0.0,0,0.3826,0.9639
1946-11-02,1947,R,,nba_0008,nba_0001,59,53,0.6186,1.0,1,0.1455,0.4803
1946-11-02,1947,R,,nba_0008,nba_0001,59,53,0.6186,1.0,1,0.1455,0.4803
1946-11-03,1947,R,,nba_0003,nba_0010,71,60,0.6527,1.0,1,0.1206,0.4267
1946-11-03,1947,R,,nba_0003,nba_0010,71,60,0.6527,1.0,1,0.1206,0.4267
1946-11-04,1947,R,,nba_0007,nba_0011,56,71,0.5822,0.0,0,0.3389,0.8727
1946-11-04,1947,R,,nba_0007,nba_0011,56,71,0.5822,0.0,0,0.3389,0.8727
1946-11-05,1947,R,,nba_0001,nba_0002,55,57,0.5927,0.0,0,0.3513,0.8982
1946-11-05,1947,R,,nba_0001,nba_0002,55,57,0.5927,0.0,0,0.3513,0.8982
1946-11-05,1947,R,,nba_0004,nba_0009,49,53,0.5822,0.0,0,0.3389,0.8727
1946-11-05,1947,R,,nba_0004,nba_0009,49,53,0.5822,0.0,0,0.3389,0.8727
1946-11-07,1947,R,,nba_0006,nba_0007,81,75,0.691,1.0,1,0.0955,0.3695
1946-11-07,1947,R,,nba_0006,nba_0007,81,75,0.691,1.0,1,0.0955,0.3695
1946-11-07,1947,R,,nba_0008,nba_0002,73,65,0.6449,1.0,1,0.1261,0.4387
1946-11-07,1947,R,,nba_0008,nba_0002,73,65,0.6449,1.0,1,0.1261,0.4387
1946-11-07,1947,R,,nba_0009,nba_0005,63,68,0.6008,0.0,0,0.361,0.9183
1946-11-07,1947,R,,nba_0009,nba_0005,63,68,0.6008,0.0,0,0.361,0.9183
1946-11-08,1947,R,,nba_0010,nba_0004,73,71,0.675,1.0,1,0.1056,0.3931
