WNBA Echo - Weekly Stabilization Check (2025)
==============================================================
1000 trials per checkpoint. MAE = mean absolute error in
projected final wins vs. what actually happened. Rank corr = Spearman
correlation between projected and actual final standings (1.0 = perfect).

Week  Date          Played  Remaining     MAE  RankCorr
--------------------------------------------------------------
1     2025-05-22        16        270    4.77     0.709
2     2025-05-29        34        252    4.58     0.879
3     2025-06-05        49        237    4.27     0.907
4     2025-06-12        62        224    4.06     0.879
5     2025-06-19        79        207    3.17     0.885
6     2025-06-26        97        189    3.64     0.742
7     2025-07-03       113        173    3.37     0.769
8     2025-07-10       128        158    3.42     0.736
9     2025-07-17       145        141    3.12     0.857
10    2025-07-24       154        132    2.90     0.852
11    2025-07-31       173        113    2.20     0.907
12    2025-08-07       193         93    1.56     0.951
13    2025-08-14       210         76    1.42     0.945
14    2025-08-21       231         55    0.92     0.973
15    2025-08-28       249         37    0.69     0.984
16    2025-09-04       267         19    0.71     0.967
17    2025-09-11       286          0    0.00     1.000
