week,checkpoint_date,games_played,games_remaining,mae,rho
1,2025-05-22,16,270,4.769384615384616,0.7087912087912087
2,2025-05-29,34,252,4.584769230769231,0.8791208791208791
3,2025-06-05,49,237,4.274,0.9065934065934066
4,2025-06-12,62,224,4.060153846153847,0.8791208791208791
5,2025-06-19,79,207,3.1715384615384616,0.8846153846153846
6,2025-06-26,97,189,3.640923076923077,0.7417582417582418
7,2025-07-03,113,173,3.372,0.7692307692307692
8,2025-07-10,128,158,3.416615384615385,0.7362637362637363
9,2025-07-17,145,141,3.1212307692307695,0.8571428571428572
10,2025-07-24,154,132,2.8998461538461537,0.8516483516483516
11,2025-07-31,173,113,2.202461538461539,0.9065934065934066
12,2025-08-07,193,93,1.557846153846154,0.9505494505494505
13,2025-08-14,210,76,1.4204615384615382,0.945054945054945
14,2025-08-21,231,55,0.918153846153846,0.9725274725274725
15,2025-08-28,249,37,0.6898461538461541,0.9835164835164835
16,2025-09-04,267,19,0.7129230769230763,0.967032967032967
17,2025-09-11,286,0,0.0,1.0
