--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Monday Apr 1,boxscore,ATL,,SFG,W,10,8,,1-0,1,Tied,Maddux,Leiter,Borbón,3:05,D,48961,.98,+,
2,Wednesday Apr 3,boxscore,ATL,,SFG,W,15,2,,2-0,1,up 1.0,Glavine,VanLandingham,,2:54,N,28728,1.03,++,
3,Thursday Apr 4,boxscore,ATL,,SFG,L,1,7,,2-1,1,Tied,Watson,Smoltz,,2:46,N,30271,1.08,-,
4,Friday Apr 5,boxscore,ATL,,STL,L,4,5,14,2-2,2,1.0,Bailey,Bielecki,Eckersley,4:25,N,31071,1.00,--,
5,Saturday Apr 6,boxscore,ATL,,STL,L,2,3,12,2-3,2,1.0,Parrett,Clontz,,3:28,N,34649,.99,---,
6,Sunday Apr 7,boxscore,ATL,,STL,W,13,3,,3-3,2,1.0,Schmidt,Busby,,2:50,D,28498,.96,+,
7,Monday Apr 8,boxscore,ATL,@,LAD,L,0,1,,3-4,3,2.0,Nomo,Glavine,,2:24,D,53180,.96,-,
8,Tuesday Apr 9,boxscore,ATL,@,LAD,W,3,1,,4-4,2,1.5,Smoltz,Astacio,Wohlers,2:52,N,35570,.95,+,
9,Wednesday Apr 10,boxscore,ATL,@,LAD,L,2,9,,4-5,3,1.5,Candiotti,Avery,,2:53,N,48194,1.02,-,
10,Thursday Apr 11,boxscore,ATL,@,SDP,L,1,2,,4-6,3,2.5,Ashby,Maddux,Hoffman,2:03,D,19047,.98,--,
11,Friday Apr 12,boxscore,ATL,@,SDP,W,5,3,,5-6,2,2.5,Schmidt,Bergman,Wohlers,2:59,N,25747,.95,+,
12,Saturday Apr 13,boxscore,ATL,@,SDP,L,2,6,,5-7,3,2.5,Hamilton,Glavine,Bochtler,2:20,N,45250,1.00,-,
13,Sunday Apr 14,boxscore,ATL,@,SDP,W,4,0,,6-7,2,1.5,Smoltz,Valenzuela,,2:25,D,45014,.96,+,
14,Tuesday Apr 16,boxscore,ATL,,FLA,W,5,2,,7-7,2,1.5,Avery,Brown,Wohlers,2:55,N,26625,1.10,++,
15,Wednesday Apr 17,boxscore,ATL,,FLA,W,4,2,,8-7,2,0.5,Maddux,Burkett,Wohlers,2:18,N,28884,1.13,+++,
