--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Tuesday Apr 2,boxscore,BAL,,KCR,W,4,2,,1-0,1,Tied,Mussina,Appier,Myers,2:50,D,46818,1.00,+,1996-04-01 (Rain)
2,Wednesday Apr 3,boxscore,BAL,,KCR,W,7,1,,2-0,1,Tied,Wells,Gubicza,,2:41,N,40068,1.00,++,
3,Thursday Apr 4,boxscore,BAL,,KCR,W,5,3,,3-0,1,up 0.5,Rhodes,Pichardo,Myers,2:34,D,38753,1.04,+++,
4,Friday Apr 5,boxscore,BAL,@,MIN,W,2,1,,4-0,1,up 0.5,Mercker,Guardado,Myers,2:36,N,22744,1.12,++++,
5,Saturday Apr 6,boxscore,BAL,@,MIN,L,3,8,,4-1,1,up 0.5,Radke,Haynes,,2:30,N,22334,1.14,-,
6,Sunday Apr 7,boxscore,BAL,@,MIN,W,4,2,,5-1,1,up 1.5,Mussina,Robertson,Myers,2:46,D,14580,1.12,+,
7,Wednesday Apr 10,boxscore,BAL,,CLE,W-wo,3,2,10,6-1,1,up 2.0,Orosco,Tavárez,,3:25,N,45097,1.11,++,
8,Thursday Apr 11,boxscore,BAL,,CLE,W,14,4,,7-1,1,up 2.0,Erickson,Hershiser,Rhodes,2:45,N,43189,1.17,+++,1996-04-09 (Rain)
9,Friday Apr 12,boxscore,BAL,,MIN,W,3,2,,8-1,1,up 2.5,Mussina,Robertson,,2:09,N,42602,1.20,++++,
10,Saturday Apr 13,boxscore,BAL,,MIN,W-wo,7,6,,9-1,1,up 3.5,Benítez,Mahomes,,3:14,D,42644,1.20,+++++,
11,Sunday Apr 14,boxscore,BAL,,MIN,L,1,4,,9-2,1,up 2.5,Rodriguez,Haynes,Stevens,2:51,D,42660,1.19,-,
12,Tuesday Apr 16,boxscore,BAL,,BOS,W,6,1,,10-2,1,up 3.5,Wells,Clemens,,3:01,N,40017,1.23,+,
13,Wednesday Apr 17,boxscore,BAL,,BOS,W-wo,6,5,12,11-2,1,up 4.5,Rhodes,Maddux,,4:24,N,40258,1.26,++,
14,Thursday Apr 18,boxscore,BAL,,BOS,L,7,10,,11-3,1,up 4.0,Moyer,Mussina,Slocumb,3:25,D,47283,1.22,-,
15,Friday Apr 19,boxscore,BAL,@,TEX,L,7,26,,11-4,1,up 4.0,Cook,Mercker,Vosberg,4:15,N,41184,1.26,--,
16,Saturday Apr 20,boxscore,BAL,@,TEX,L,3,8,,11-5,1,up 3.0,Gross,Haynes,,2:36,N,45358,1.24,---,
17,Sunday Apr 21,boxscore,BAL,@,TEX,L,6,9,,11-6,1,up 2.0,Oliver,Wells,,3:11,D,39456,1.23,----,
18,Monday Apr 22,boxscore,BAL,@,CLE,L,3,6,,11-7,1,up 1.0,Nagy,Erickson,Mesa,3:15,N,42236,1.19,-----,
19,Tuesday Apr 23,boxscore,BAL,@,CLE,L,8,9,,11-8,1,up 1.0,Ogea,Mussina,Mesa,3:27,N,40770,1.19,------,
20,Wednesday Apr 24,boxscore,BAL,@,KCR,W,11,8,,12-8,1,up 1.0,Mercker,Haney,,3:25,N,13962,1.12,+,
21,Thursday Apr 25,boxscore,BAL,@,KCR,W,3,2,,13-8,1,up 2.0,Rhodes,Valera,Myers,3:04,N,16090,1.17,++,
22,Friday Apr 26,boxscore,BAL,,TEX,L,4,5,,13-9,1,up 1.0,Brandenburg,Wells,Henneman,3:23,N,44022,1.23,-,
23,Saturday Apr 27,boxscore,BAL,,TEX,L,2,4,,13-10,1,up 1.0,Witt,Erickson,Vosberg,2:44,D,47311,1.21,--,
24,Sunday Apr 28,boxscore,BAL,,TEX,L,4,5,10,13-11,1,Tied,Heredia,McDowell,Henneman,3:58,D,47327,1.19,---,
25,Monday Apr 29,boxscore,BAL,,TEX,W,8,7,,14-11,1,up 0.5,Haynes,Helling,Myers,3:32,N,41503,1.19,+,
26,Tuesday Apr 30,boxscore,BAL,,NYY,L,10,13,,14-12,2,0.5,Nelson,Shepherd,Wetteland,4:21,N,43117,1.48,-,
27,Wednesday May 1,boxscore,BAL,,NYY,L,6,11,15,14-13,2,1.5,Pettitte,Mercker,,5:34,N,47472,1.44,--,
28,Friday May 3,boxscore,BAL,,MIL,W,8,2,,15-13,2,2.0,Erickson,Bones,,2:26,N,41037,1.09,+,
29,Saturday May 4,boxscore,BAL,,MIL,W,10,5,,16-13,2,1.0,Mussina,Sparks,,2:59,D,44175,1.12,++,
30,Sunday May 5,boxscore,BAL,,MIL,L,1,13,,16-14,2,2.0,McDonald,Haynes,,3:23,D,46027,1.17,-,
31,Tuesday May 7,boxscore,BAL,@,CHW,L,2,3,,16-15,2,3.5,Fernandez,Wells,Hernández,2:17,N,16130,1.15,--,
32,Wednesday May 8,boxscore,BAL,@,CHW,L,2,11,,16-16,2,4.5,Baldwin,Erickson,,2:31,N,14974,1.12,---,
33,Thursday May 9,boxscore,BAL,@,CHW,W,6,4,,17-16,2,3.5,Mussina,Álvarez,Myers,3:07,N,14507,1.09,+,
34,Friday May 10,boxscore,BAL,@,MIL,W,10,7,12,18-16,2,2.5,Orosco,García,McDowell,4:39,N,9520,1.14,++,
35,Saturday May 11,boxscore,BAL,@,MIL,W,5,3,10,19-16,2,1.5,Rhodes,Potts,Myers,3:29,D,21081,1.15,+++,
36,Sunday May 12,boxscore,BAL,@,MIL,L,4,6,,19-17,2,2.5,Miranda,Erickson,Fetters,2:40,D,14333,1.22,-,
37,Monday May 13,boxscore,BAL,@,OAK,W,4,3,,20-17,2,2.0,Krivda,Johns,Myers,2:44,N,8204,1.16,+,
38,Tuesday May 14,boxscore,BAL,@,OAK,W,9,1,,21-17,2,2.0,Mussina,Reyes,,2:56,N,8466,1.29,++,
39,Friday May 17,boxscore,BAL,,SEA,W-wo,14,13,,22-17,2,1.5,Mills,Charlton,,4:20,N,47259,1.29,+++,
40,Saturday May 18,boxscore,BAL,,SEA,L,3,7,,22-18,2,2.5,Milacki,Mercker,,3:00,N,46434,1.32,-,
41,Sunday May 19,boxscore,BAL,,SEA,W,8,7,,23-18,2,1.5,Mussina,Hurtado,Myers,3:07,D,47565,1.27,+,
42,Monday May 20,boxscore,BAL,,CAL,W,13,1,,24-18,2,1.0,Wells,Grimsley,,3:12,N,43492,1.27,++,
43,Tuesday May 21,boxscore,BAL,,CAL,L,2,5,,24-19,2,2.0,Boskie,Krivda,Percival,2:54,N,39974,1.32,-,
44,Wednesday May 22,boxscore,BAL,,CAL,W,10,5,,25-19,2,1.0,Haynes,Abbott,McDowell,3:17,N,45817,1.24,+,
45,Friday May 24,boxscore,BAL,,OAK,W-wo,5,4,10,26-19,2,0.5,McDowell,Reyes,,3:33,N,45024,1.31,++,
