--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Monday Apr 1,boxscore,BOS,@,TEX,L,3,5,,0-1,4,1.0,Hill,Clemens,Vosberg,2:41,D,40484,.99,-,
2,Wednesday Apr 3,boxscore,BOS,@,TEX,L,2,7,,0-2,5,2.0,Pavlik,Gordon,,2:55,N,24483,.95,--,
3,Thursday Apr 4,boxscore,BOS,@,TEX,L,2,13,,0-3,5,3.0,Gross,Wakefield,,3:01,N,18086,.89,---,
4,Friday Apr 5,boxscore,BOS,@,KCR,L-wo,4,5,12,0-4,5,4.0,Clark,Pennington,,4:24,D,39526,.83,----,
5,Saturday Apr 6,boxscore,BOS,@,KCR,L,3,7,,0-5,5,4.0,Pichardo,Belinda,,3:04,D,17339,.79,-----,
6,Sunday Apr 7,boxscore,BOS,@,KCR,W,3,1,,1-5,5,4.0,Moyer,Gubicza,Slocumb,2:35,D,13183,.73,+,
7,Tuesday Apr 9,boxscore,BOS,,MIN,W,9,1,,2-5,5,3.5,Gordon,Rodriguez,,2:40,D,30843,.76,++,1996-04-08 (Snow)
8,Thursday Apr 11,boxscore,BOS,,MIN,L,5,6,,2-6,5,5.0,Radke,Clemens,Stevens,3:20,D,15594,.82,-,
9,Friday Apr 12,boxscore,BOS,,CLE,L,1,3,,2-7,5,6.0,Nagy,Sele,Mesa,3:07,N,26703,.75,--,
10,Saturday Apr 13,boxscore,BOS,,CLE,L,2,14,,2-8,5,7.0,Martínez,Moyer,,3:12,D,31827,.67,---,
11,Sunday Apr 14,boxscore,BOS,,CLE,L,6,7,11,2-9,5,7.0,Tavárez,Stanton,Mesa,4:42,D,31796,.66,----,
12,Monday Apr 15,boxscore,BOS,,CLE,L,0,8,,2-10,5,7.5,McDowell,Wakefield,,2:32,D,32861,.61,-----,
13,Tuesday Apr 16,boxscore,BOS,@,BAL,L,1,6,,2-11,5,8.5,Wells,Clemens,,3:01,N,40017,.62,------,
14,Wednesday Apr 17,boxscore,BOS,@,BAL,L-wo,5,6,12,2-12,5,9.5,Rhodes,Maddux,,4:24,N,40258,.58,-------,
15,Thursday Apr 18,boxscore,BOS,@,BAL,W,10,7,,3-12,5,8.5,Moyer,Mussina,Slocumb,3:25,D,47283,.53,+,
16,Friday Apr 19,boxscore,BOS,@,CLE,L,4,9,,3-13,5,8.5,Martínez,Gordon,,2:55,N,40521,.51,-,
17,Saturday Apr 20,boxscore,BOS,@,CLE,L,1,2,,3-14,5,8.5,McDowell,Wakefield,Mesa,2:37,D,40498,.50,--,
18,Sunday Apr 21,boxscore,BOS,@,CLE,L,7,11,,3-15,5,8.5,Ogea,Pennington,,3:27,D,42256,.46,---,
19,Monday Apr 22,boxscore,BOS,@,MIN,W,4,1,,4-15,5,7.5,Sele,Robertson,Slocumb,2:59,N,11340,.39,+,
20,Tuesday Apr 23,boxscore,BOS,@,MIN,L,6,8,,4-16,5,7.5,Naulty,Hudson,Stevens,3:01,D,11533,.44,-,
21,Wednesday Apr 24,boxscore,BOS,,TEX,W,11,9,,5-16,5,7.5,Stanton,Heredia,Slocumb,3:33,N,19217,.40,+,
22,Thursday Apr 25,boxscore,BOS,,TEX,W,8,3,,6-16,5,7.5,Wakefield,Gross,,2:56,N,20350,.45,++,
23,Friday Apr 26,boxscore,BOS,,KCR,L,3,4,,6-17,5,7.5,Belcher,Clemens,Montgomery,2:56,N,22385,.48,-,
24,Saturday Apr 27,boxscore,BOS,,KCR,L,0,10,,6-18,5,7.5,Appier,Sele,,2:43,D,29459,.45,--,
25,Sunday Apr 28,boxscore,BOS,,KCR,L,7,9,,6-19,5,7.5,Robinson,Slocumb,Montgomery,3:17,D,32491,.41,---,
26,Tuesday Apr 30,boxscore,BOS,,DET,W,13,4,,7-19,5,7.5,Wakefield,Lima,,2:47,N,18504,.39,+,
27,Wednesday May 1,boxscore,BOS,,DET,W,5,1,,8-19,5,7.5,Clemens,Aldred,,2:23,N,20828,.43,++,
28,Friday May 3,boxscore,BOS,,TOR,W,8,7,,9-19,4,8.0,Moyer,Quantrill,Slocumb,3:20,N,25570,.46,+++,
29,Saturday May 4,boxscore,BOS,,TOR,W,8,4,,10-19,4,7.0,Gordon,Viola,Slocumb,3:30,D,29785,.53,++++,
30,Sunday May 5,boxscore,BOS,,TOR,L,4,11,,10-20,4,8.0,Hentgen,Wakefield,,2:54,D,29866,.57,-,
31,Tuesday May 7,boxscore,BOS,@,MIL,W,4,2,,11-20,4,8.5,Clemens,Miranda,Slocumb,3:24,N,7039,.46,+,
32,Thursday May 9,boxscore,BOS,@,MIL,L,2,17,,11-21,4,9.0,Bones,Sele,,2:59,D,7379,.53,-,
33,Friday May 10,boxscore,BOS,@,TOR,W,6,5,11,12-21,4,8.0,Slocumb,Carrara,,3:24,N,31159,.53,+,
