--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Monday Apr 1,boxscore,CHC,,SDP,W-wo,5,4,10,1-0,1,Tied,Patterson,Hoffman,,2:52,D,38734,1.00,+,
2,Wednesday Apr 3,boxscore,CHC,,SDP,L,5,7,,1-1,3,1.0,Hamilton,Castillo,Hoffman,3:00,D,29638,1.03,-,
3,Thursday Apr 4,boxscore,CHC,,LAD,W,9,4,,2-1,1,Tied,Foster,Astacio,,2:53,D,12626,.97,+,
4,Friday Apr 5,boxscore,CHC,,LAD,W,11,1,,3-1,1,Tied,Bullinger,Candiotti,,2:59,D,19324,1.03,++,
5,Saturday Apr 6,boxscore,CHC,,LAD,L,1,3,,3-2,2,1.0,Park,Navarro,Worrell,3:39,D,24428,1.05,-,
6,Sunday Apr 7,boxscore,CHC,,LAD,W-wo,5,4,,4-2,2,0.5,Jones,Osuna,,3:12,D,19002,.98,+,
7,Monday Apr 8,boxscore,CHC,@,COL,W,9,6,,5-2,1,up 0.5,Adams,Ritz,Jones,3:13,D,50185,1.04,++,
8,Wednesday Apr 10,boxscore,CHC,@,COL,L,9,10,,5-3,1,Tied,Leskanic,Jones,,3:22,D,50083,1.11,-,
9,Friday Apr 12,boxscore,CHC,@,SFG,L,1,4,,5-4,2,0.5,Leiter,Navarro,Beck,2:41,D,45589,1.11,--,
10,Saturday Apr 13,boxscore,CHC,@,SFG,L-wo,2,3,10,5-5,2,0.5,Juden,Myers,,3:07,D,22120,1.07,---,
11,Sunday Apr 14,boxscore,CHC,@,SFG,W,6,2,,6-5,3,0.5,Foster,Watson,Wendell,2:29,D,23137,1.05,+,
12,Monday Apr 15,boxscore,CHC,,CIN,L,2,3,10,6-6,3,1.5,Moore,Patterson,Brantley,3:26,N,20395,1.19,-,
13,Tuesday Apr 16,boxscore,CHC,,CIN,W,6,3,,7-6,3,0.5,Trachsel,Portugal,,2:43,D,11464,1.14,+,
14,Wednesday Apr 17,boxscore,CHC,,CIN,W-wo,8,6,10,8-6,2,0.5,Wendell,Ruffin,,2:52,D,13023,1.21,++,
15,Thursday Apr 18,boxscore,CHC,,SFG,W,7,6,,9-6,1,up 0.5,Pérez,VanLandingham,Wendell,3:10,D,15857,1.09,+++,
16,Friday Apr 19,boxscore,CHC,,SFG,W,10,6,,10-6,1,up 0.5,Foster,Watson,,2:41,D,17662,1.15,++++,
17,Saturday Apr 20,boxscore,CHC,,SFG,L,4,8,,10-7,2,0.5,Gardner,Bullinger,,2:54,D,28047,1.17,-,
18,Sunday Apr 21,boxscore,CHC,,SFG,L,6,7,,10-8,2,0.5,Fernández,Trachsel,Beck,3:16,D,28065,1.17,--,
19,Monday Apr 22,boxscore,CHC,,COL,L,2,4,,10-9,2,0.5,Freeman,Navarro,Leskanic,2:38,N,21227,1.09,---,
20,Tuesday Apr 23,boxscore,CHC,,COL,L,3,4,,10-10,3,1.0,Rekar,Castillo,Leskanic,3:14,D,14325,1.04,----,
21,Wednesday Apr 24,boxscore,CHC,@,SDP,L,4,5,,10-11,3,1.5,Hamilton,Foster,Hoffman,2:51,N,15608,1.04,-----,
22,Thursday Apr 25,boxscore,CHC,@,SDP,L,3,8,,10-12,3,1.5,Tewksbury,Bullinger,,2:48,D,18736,.96,------,
23,Friday Apr 26,boxscore,CHC,@,LAD,L,0,1,,10-13,4,1.5,Astacio,Trachsel,Worrell,2:40,N,31172,.96,-------,
24,Saturday Apr 27,boxscore,CHC,@,LAD,W,4,3,10,11-13,3,1.0,Navarro,Osuna,Jones,3:24,N,43519,.93,+,
25,Sunday Apr 28,boxscore,CHC,@,LAD,W,3,0,,12-13,2,1.0,Castillo,Park,,2:36,N,45441,.98,++,
26,Monday Apr 29,boxscore,CHC,@,LAD,L,4,10,,12-14,2,1.0,Valdez,Foster,,2:50,N,39003,1.02,-,
27,Tuesday Apr 30,boxscore,CHC,,STL,W-wo,7,6,,13-14,1,Tied,Wendell,Eckersley,,3:18,N,20771,1.14,+,
28,Wednesday May 1,boxscore,CHC,,STL,W,9,3,,14-14,1,Tied,Trachsel,Benes,,2:47,D,25668,1.21,++,
29,Friday May 3,boxscore,CHC,,NYM,W-wo,4,2,,15-14,1,Tied,Navarro,Wilson,,2:13,D,19822,1.10,+++,
30,Saturday May 4,boxscore,CHC,,NYM,L,3,7,,15-15,1,Tied,Jones,Castillo,Henry,2:35,N,30041,1.12,-,
31,Sunday May 5,boxscore,CHC,,NYM,W-wo,5,4,,16-15,1,up 0.5,Wendell,Dipoto,,2:42,D,25949,1.10,+,
32,Monday May 6,boxscore,CHC,@,MON,L,2,6,,16-16,1,Tied,Martínez,Bullinger,,2:50,N,46893,1.17,-,
33,Tuesday May 7,boxscore,CHC,@,MON,L,3,8,,16-17,2,1.0,Veres,Adams,,2:47,N,13236,1.10,--,
34,Wednesday May 8,boxscore,CHC,@,MON,L,2,4,,16-18,3,1.0,Cormier,Navarro,Rojas,2:39,N,12484,1.04,---,
35,Friday May 10,boxscore,CHC,@,NYM,L,0,2,,16-19,3,1.5,Jones,Castillo,Franco,2:13,N,16687,.96,----,
36,Saturday May 11,boxscore,CHC,@,NYM,L-wo,6,7,,16-20,3,1.5,Henry,Jones,,3:24,D,23237,.94,-----,
37,Sunday May 12,boxscore,CHC,@,NYM,W,3,0,,17-20,3,0.5,Bullinger,Clark,,2:00,D,19122,.90,+,
38,Monday May 13,boxscore,CHC,,HOU,W,6,0,,18-20,1,Tied,Trachsel,Reynolds,,2:23,N,22610,1.21,++,
39,Tuesday May 14,boxscore,CHC,,HOU,L,3,6,,18-21,2,0.5,Kile,Navarro,Jones,2:35,D,17562,1.29,-,
40,Wednesday May 15,boxscore,CHC,,HOU,L,5,7,,18-22,3,1.5,Wall,Castillo,Jones,2:27,D,16093,1.26,--,
41,Thursday May 16,boxscore,CHC,,HOU,W,13,1,,19-22,2,0.5,Telemaco,Drabek,,2:39,D,15902,1.19,+,
42,Friday May 17,boxscore,CHC,,FLA,W,3,1,,20-22,2,0.5,Bullinger,Leiter,Wendell,2:35,D,32528,1.03,++,
43,Saturday May 18,boxscore,CHC,,FLA,L,2,3,,20-23,2,0.5,Burkett,Trachsel,Nen,2:37,D,38003,1.07,-,
44,Sunday May 19,boxscore,CHC,,FLA,L,7,8,11,20-24,2,1.5,Mantei,Wendell,Nen,3:43,D,30420,1.03,--,
45,Monday May 20,boxscore,CHC,@,ATL,L,1,18,,20-25,2,1.5,Avery,Castillo,,2:27,N,29984,.97,---,
46,Tuesday May 21,boxscore,CHC,@,ATL,W,4,2,,21-25,2,0.5,Telemaco,Wohlers,Patterson,2:24,N,31045,.95,+,
47,Wednesday May 22,boxscore,CHC,@,ATL,L,4,9,,21-26,2,0.5,Glavine,Bullinger,,2:45,D,33186,1.05,-,
48,Friday May 24,boxscore,CHC,@,HOU,L-wo,7,8,10,21-27,4,1.5,Jones,Patterson,,3:27,N,23910,1.23,--,
49,Saturday May 25,boxscore,CHC,@,HOU,L,2,5,,21-28,4,2.5,Drabek,Navarro,Jones,2:34,N,34326,1.14,---,
50,Sunday May 26,boxscore,CHC,@,HOU,L,2,7,,21-29,4,3.5,Reynolds,Castillo,,2:43,D,33245,1.02,----,
51,Monday May 27,boxscore,CHC,,ATL,L,1,9,,21-30,4,4.5,Glavine,Telemaco,,2:36,D,33070,.73,-----,
52,Wednesday May 29,boxscore,CHC,,ATL,L,0,2,,21-31,4,5.0,Smoltz,Trachsel,,2:17,D,30601,.75,------,
53,Friday May 31,boxscore,CHC,@,FLA,W,2,1,,22-31,3,4.0,Navarro,Rapp,,2:22,N,19552,.62,+,
54,Saturday Jun 1,boxscore,CHC,@,FLA,W,5,4,10,23-31,3,3.0,Wendell,Mathews,,3:16,N,30133,.70,++,
55,Sunday Jun 2,boxscore,CHC,@,FLA,L,2,3,,23-32,3,3.0,Brown,Telemaco,Nen,2:31,D,22174,.80,-,
56,Monday Jun 3,boxscore,CHC,,PHI,W-wo,4,3,,24-32,3,3.0,Patterson,Ryan,,2:46,N,26320,.76,+,
57,Tuesday Jun 4,boxscore,CHC,,PHI,L,3,12,,24-33,3,4.0,Williams,Bullinger,,2:47,D,15431,.79,-,
58,Wednesday Jun 5,boxscore,CHC,,PHI,W,9,6,,25-33,3,3.5,Adams,Borland,Wendell,2:17,D,18189,.64,+,
59,Friday Jun 7,boxscore,CHC,,MON,L,3,9,,25-34,4,4.0,Fassero,Castillo,,2:54,D,23860,.77,-,
60,Saturday Jun 8,boxscore,CHC,,MON,W,6,4,,26-34,4,4.0,Telemaco,Martínez,Wendell,2:52,N,37373,.63,+,
61,Sunday Jun 9,boxscore,CHC,,MON,W,4,2,,27-34,4,4.0,Trachsel,Rueter,Wendell,2:29,D,30785,.70,++,
62,Monday Jun 10,boxscore,CHC,@,PHI,W,2,1,,28-34,4,4.0,Navarro,Mulholland,,2:05,N,19588,.77,+++,
63,Tuesday Jun 11,boxscore,CHC,@,PHI,W,9,2,,29-34,4,3.0,Campbell,Muñoz,,2:39,N,23220,.82,++++,
64,Wednesday Jun 12,boxscore,CHC,@,PHI,L,3,4,,29-35,4,3.0,Fernandez,Castillo,Bottalico,3:07,D,27287,.88,-,
65,Thursday Jun 13,boxscore,CHC,,SDP,W-wo,6,3,14,30-35,3,2.0,Jones,Blair,,4:01,N,28953,.85,+,
66,Friday Jun 14,boxscore,CHC,,SDP,W,5,1,,31-35,3,2.0,Trachsel,Tewksbury,,2:26,D,30877,.94,++,
67,Saturday Jun 15,boxscore,CHC,,SDP,L,1,2,,31-36,4,3.0,Worrell,Navarro,Hoffman,2:27,D,39465,.97,-,
68,Sunday Jun 16,boxscore,CHC,,SDP,W,8,4,,32-36,3,2.0,Castillo,Valenzuela,Bullinger,2:33,D,33376,.86,+,
69,Tuesday Jun 18 (1),boxscore,CHC,,LAD,L,6,9,,32-37,3,2.0,Martínez,Telemaco,Worrell,3:01,D,,.95,-,1996-06-17 (Rain)
70,Tuesday Jun 18 (2),boxscore,CHC,,LAD,W,7,4,,33-37,3,2.0,Campbell,Valdez,,2:23,D,23362,.86,+,
71,Wednesday Jun 19,boxscore,CHC,,LAD,L,3,4,13,33-38,3,3.0,Park,Adams,Worrell,4:59,D,28477,.94,-,
72,Thursday Jun 20,boxscore,CHC,@,SDP,W,3,2,,34-38,3,2.0,Navarro,Worrell,Wendell,2:24,D,19969,.84,+,
73,Friday Jun 21,boxscore,CHC,@,SDP,L-wo,1,2,10,34-39,3,3.0,Hoffman,Wendell,,2:48,N,49503,.93,-,
74,Saturday Jun 22,boxscore,CHC,@,SDP,W,9,6,16,35-39,3,2.0,Myers,Blair,,5:14,N,51917,.85,+,
75,Sunday Jun 23,boxscore,CHC,@,SDP,L,4,5,,35-40,4,2.0,Hamilton,Telemaco,Hoffman,2:31,D,30672,.95,-,
76,Tuesday Jun 25,boxscore,CHC,@,LAD,W,2,0,,36-40,3,2.0,Trachsel,Nomo,,2:30,N,37448,.86,+,
77,Wednesday Jun 26,boxscore,CHC,@,LAD,W,6,4,,37-40,3,2.0,Navarro,Candiotti,Adams,3:16,N,35200,.94,++,
78,Friday Jun 28,boxscore,CHC,@,CIN,L,4,7,,37-41,4,2.0,Smiley,Castillo,Smith,2:49,N,27864,1.16,-,
79,Saturday Jun 29,boxscore,CHC,@,CIN,L,5,9,,37-42,4,3.0,Portugal,Bullinger,,2:57,D,32273,1.10,--,
80,Sunday Jun 30,boxscore,CHC,@,CIN,W,6,0,,38-42,4,3.0,Trachsel,Burba,,3:08,D,30352,.92,+,
81,Monday Jul 1,boxscore,CHC,@,PIT,L,1,4,,38-43,4,4.0,Darwin,Navarro,Plesac,2:21,N,15910,.88,-,
82,Tuesday Jul 2,boxscore,CHC,@,PIT,W,15,7,,39-43,4,4.0,Telemaco,Wagner,,3:09,N,13241,.84,+,
83,Wednesday Jul 3,boxscore,CHC,@,PIT,L,2,3,,39-44,4,5.0,Neagle,Castillo,Plesac,2:49,N,22157,.86,-,
84,Thursday Jul 4,boxscore,CHC,,CIN,L,1,2,,39-45,4,6.0,Portugal,Bullinger,Brantley,2:45,D,38047,.80,--,
85,Friday Jul 5,boxscore,CHC,,CIN,L,0,3,,39-46,4,7.0,Burba,Trachsel,Brantley,2:20,D,40743,.68,---,
86,Saturday Jul 6,boxscore,CHC,,CIN,W,6,2,,40-46,4,6.0,Patterson,Carrasco,,3:03,N,38690,.54,+,
87,Sunday Jul 7,boxscore,CHC,,CIN,W-wo,7,6,13,41-46,4,5.0,Sturtze,Ruffin,,4:16,D,36352,.63,++,
88,Thursday Jul 11,boxscore,CHC,,STL,W,6,0,,42-46,3,4.0,Navarro,Osborne,,2:15,N,38802,.82,+++,
89,Friday Jul 12,boxscore,CHC,,STL,L,3,13,,42-47,4,5.0,Benes,Trachsel,,2:34,D,38918,.97,-,
90,Saturday Jul 13,boxscore,CHC,,STL,L,5,10,,42-48,4,6.0,Stottlemyre,Bullinger,Eckersley,3:09,D,39254,.84,--,
91,Sunday Jul 14,boxscore,CHC,,STL,L,6,7,,42-49,4,7.0,Benes,Adams,Eckersley,3:20,D,38638,.67,---,
92,Monday Jul 15,boxscore,CHC,,PIT,W,12,2,,43-49,4,7.0,Castillo,Miceli,,2:43,N,32119,.42,+,
93,Tuesday Jul 16,boxscore,CHC,,PIT,L,5,10,,43-50,4,8.0,Neagle,Navarro,,2:40,D,26502,.50,-,
94,Thursday Jul 18,boxscore,CHC,@,STL,W,6,5,,44-50,3,7.5,Bottenfield,Petkovsek,Wendell,3:11,N,38983,.54,+,
95,Friday Jul 19,boxscore,CHC,@,STL,L,1,9,,44-51,4,8.5,Benes,Castillo,,2:33,N,45336,.69,-,
