--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Sunday Mar 31,boxscore,CHW,@,SEA,L-wo,2,3,12,0-1,5,0.5,Hurtado,Simas,,4:07,N,57467,.99,-,1996-04-01 (Schedule change)
2,Tuesday Apr 2,boxscore,CHW,@,SEA,L,2,3,,0-2,5,1.5,Hitchcock,Álvarez,Charlton,2:41,N,38570,.98,--,
3,Wednesday Apr 3,boxscore,CHW,@,SEA,W,4,2,,1-2,3,1.0,Magrane,Wolcott,Hernández,2:49,D,22783,.92,+,
4,Friday Apr 5,boxscore,CHW,@,CAL,L-wo,6,7,11,1-3,3,1.5,James,McCaskill,,4:07,N,22812,.96,-,
5,Saturday Apr 6,boxscore,CHW,@,CAL,W,8,4,,2-3,3,1.0,Fernandez,Abbott,,2:49,N,26447,.97,+,
6,Sunday Apr 7,boxscore,CHW,@,CAL,L,5,6,,2-4,4,1.0,Finley,Álvarez,Percival,3:03,D,16970,.99,-,
7,Tuesday Apr 9,boxscore,CHW,,TEX,L,2,3,,2-5,4,1.5,Gross,Thomas,Henneman,3:00,D,34750,.97,--,
8,Thursday Apr 11,boxscore,CHW,,TEX,W-wo,8,5,11,3-5,3,1.0,Thomas,Henneman,,3:46,D,16685,.90,+,
9,Friday Apr 12,boxscore,CHW,,OAK,L,2,7,,3-6,4,1.0,Reyes,Fernandez,,2:45,D,13623,.96,-,
10,Saturday Apr 13,boxscore,CHW,,OAK,W-wo,6,5,12,4-6,2,0.5,Karchner,Wengert,,4:03,D,15812,.90,+,
11,Sunday Apr 14,boxscore,CHW,,OAK,L,5,10,,4-7,4,1.5,Groom,Simas,,3:23,D,15236,.95,-,
12,Monday Apr 15,boxscore,CHW,@,KCR,W,11,10,,5-7,3,1.5,Karchner,Pichardo,Hernández,2:53,N,12653,1.01,+,
13,Tuesday Apr 16,boxscore,CHW,@,KCR,L,5,6,,5-8,4,2.5,Belcher,Bere,Montgomery,3:08,N,12399,1.07,-,
14,Wednesday Apr 17,boxscore,CHW,@,KCR,W,3,1,,6-8,4,1.5,Fernandez,Appier,Hernández,2:53,N,13350,1.03,+,
15,Friday Apr 19,boxscore,CHW,@,OAK,W,4,3,,7-8,4,1.5,Karchner,Briscoe,Hernández,3:13,N,31320,.97,++,
16,Saturday Apr 20,boxscore,CHW,@,OAK,W,8,3,,8-8,3,1.5,Tapani,Van Poppel,,2:46,D,16480,1.01,+++,
17,Sunday Apr 21,boxscore,CHW,@,OAK,L,5,6,,8-9,3,2.5,Corsi,Simas,Mohler,2:58,D,16125,1.03,-,
18,Monday Apr 22,boxscore,CHW,@,TEX,W,12,4,,9-9,3,2.5,Fernandez,Witt,Karchner,3:11,N,22348,1.01,+,
19,Tuesday Apr 23,boxscore,CHW,@,TEX,W,6,5,,10-9,3,2.5,Baldwin,Hill,Hernández,3:14,D,29123,1.06,++,
20,Wednesday Apr 24,boxscore,CHW,,SEA,W,2,1,,11-9,2,1.5,Álvarez,Bosio,Hernández,2:33,N,15882,1.13,+++,
21,Thursday Apr 25,boxscore,CHW,,SEA,W,4,3,,12-9,2,1.5,Tapani,Wolcott,Hernández,2:28,N,14679,1.17,++++,
22,Saturday Apr 27,boxscore,CHW,,CAL,W,2,1,,13-9,2,1.0,Fernandez,Abbott,Hernández,2:37,N,18139,1.19,+++++,
23,Sunday Apr 28,boxscore,CHW,,CAL,W,10,1,,14-9,2,1.0,Baldwin,Finley,,3:02,D,15574,1.24,++++++,
24,Monday Apr 29,boxscore,CHW,,CAL,W,4,3,,15-9,2,0.5,Álvarez,Grimsley,Hernández,3:05,N,12549,1.28,+++++++,
25,Tuesday Apr 30,boxscore,CHW,@,CLE,L,3,5,,15-10,2,1.5,Martínez,Tapani,Mesa,2:44,N,40268,1.50,-,
26,Wednesday May 1,boxscore,CHW,@,CLE,L,5,9,,15-11,2,2.5,McDowell,McCaskill,Plunk,3:01,N,40447,1.45,--,
27,Thursday May 2,boxscore,CHW,@,NYY,L,1,5,,15-12,2,3.5,Cone,Fernandez,,2:11,N,19773,1.23,---,
28,Friday May 3,boxscore,CHW,@,NYY,L,0,2,,15-13,2,4.5,Rivera,Thomas,Wetteland,3:01,N,15599,1.16,----,
29,Saturday May 4,boxscore,CHW,@,NYY,W,11,5,,16-13,2,3.5,Karchner,Nelson,,3:37,D,20661,1.15,+,
30,Sunday May 5,boxscore,CHW,@,NYY,L,1,7,,16-14,2,4.5,Pettitte,Tapani,,2:50,D,26525,1.17,-,
31,Tuesday May 7,boxscore,CHW,,BAL,W,3,2,,17-14,2,3.0,Fernandez,Wells,Hernández,2:17,N,16130,1.18,+,
32,Wednesday May 8,boxscore,CHW,,BAL,W,11,2,,18-14,2,3.0,Baldwin,Erickson,,2:31,N,14974,1.22,++,
33,Thursday May 9,boxscore,CHW,,BAL,L,4,6,,18-15,2,3.5,Mussina,Álvarez,Myers,3:07,N,14507,1.24,-,
34,Friday May 10,boxscore,CHW,,NYY,W,5,2,,19-15,2,2.5,Tapani,Pettitte,Hernández,2:36,N,15784,1.20,+,
35,Saturday May 11,boxscore,CHW,,NYY,W-wo,7,5,,20-15,2,2.5,McCaskill,Wetteland,,3:10,N,25722,1.21,++,
36,Sunday May 12,boxscore,CHW,,NYY,L,8,9,,20-16,2,3.5,Wickman,Thomas,Wetteland,3:33,D,17405,1.31,-,
37,Monday May 13,boxscore,CHW,@,MIL,L,2,6,,20-17,2,4.0,Sparks,Baldwin,Boze,2:40,N,9544,1.34,--,
38,Wednesday May 15,boxscore,CHW,@,MIL,W,20,8,,21-17,2,4.5,Álvarez,Bones,Keyser,3:12,N,8733,1.29,+,
39,Thursday May 16,boxscore,CHW,@,MIL,L,2,3,,21-18,2,5.5,Lloyd,Tapani,Fetters,2:40,D,13849,1.31,-,
40,Friday May 17,boxscore,CHW,@,DET,W,11,6,10,22-18,2,5.5,Hernández,Lewis,,3:36,N,12094,1.16,+,
41,Saturday May 18,boxscore,CHW,@,DET,W,16,4,,23-18,2,4.5,McCaskill,Farrell,Simas,3:05,D,21673,1.22,++,
42,Sunday May 19,boxscore,CHW,@,DET,W,14,3,,24-18,2,4.5,Álvarez,Gohr,,3:09,N,9709,1.25,+++,
43,Tuesday May 21,boxscore,CHW,,TOR,W,2,1,,25-18,2,4.5,Tapani,Ware,Hernández,2:29,N,17483,1.37,++++,
44,Wednesday May 22,boxscore,CHW,,TOR,W-wo,2,1,11,26-18,2,3.5,McCaskill,Timlin,,3:26,D,17882,1.34,+++++,
