--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Tuesday Apr 2,boxscore,CIN,,MON,W,4,1,,1-0,2,0.5,Schourek,Fassero,Moore,3:27,D,53136,.99,+,1996-04-01 (Death of Umpire John McSherry)
2,Wednesday Apr 3,boxscore,CIN,,MON,L,4,8,,1-1,3,1.0,Veres,Shaw,,3:14,N,19104,1.04,-,
3,Thursday Apr 4,boxscore,CIN,,MON,L,2,10,,1-2,4,1.0,Paniagua,Burba,,3:24,D,17067,.97,--,
4,Friday Apr 5,boxscore,CIN,@,PHI,W,6,5,10,2-2,3,1.0,Shaw,Borland,Moore,3:16,N,17318,.94,+,
5,Saturday Apr 6,boxscore,CIN,@,PHI,W,8,4,,3-2,2,1.0,Salkeld,Hunter,,3:19,N,17958,.97,++,
6,Monday Apr 8,boxscore,CIN,,NYM,W,7,6,,4-2,2,0.5,Schourek,Jones,Brantley,3:06,N,17623,1.02,+++,
7,Tuesday Apr 9,boxscore,CIN,,NYM,L,5,12,,4-3,3,1.0,Isringhausen,Smiley,Franco,2:46,N,15958,1.07,-,
8,Wednesday Apr 10,boxscore,CIN,,NYM,W,9,7,,5-3,1,Tied,Pugh,MacDonald,Brantley,3:16,N,16775,1.02,+,
9,Thursday Apr 11,boxscore,CIN,,HOU,L,4,9,,5-4,2,0.5,Reynolds,Portugal,,3:20,N,18946,1.17,-,
10,Friday Apr 12,boxscore,CIN,,HOU,L,8,10,10,5-5,3,1.0,Jones,Moore,Tabaka,3:37,N,24960,1.15,--,
11,Sunday Apr 14 (1),boxscore,CIN,,HOU,W,5,3,,6-5,1,Tied,Schourek,Hampton,Brantley,2:33,D,,1.12,+,1996-04-13 (Rain)
12,Sunday Apr 14 (2),boxscore,CIN,,HOU,W,9,8,,7-5,1,Tied,Shaw,Young,Brantley,3:27,D,21552,1.16,++,
13,Monday Apr 15,boxscore,CIN,@,CHC,W,3,2,10,8-5,1,Tied,Moore,Patterson,Brantley,3:26,N,20395,1.21,+++,
14,Tuesday Apr 16,boxscore,CIN,@,CHC,L,3,6,,8-6,1,Tied,Trachsel,Portugal,,2:43,D,11464,1.25,-,
15,Wednesday Apr 17,boxscore,CIN,@,CHC,L-wo,6,8,10,8-7,3,1.0,Wendell,Ruffin,,2:52,D,13023,1.23,--,
16,Friday Apr 19,boxscore,CIN,@,HOU,L,5,13,,8-8,3,2.0,Brocail,Schourek,,2:58,N,22728,1.13,---,
17,Saturday Apr 20,boxscore,CIN,@,HOU,W,6,1,,9-8,3,1.5,Smiley,Drabek,,2:56,N,34098,1.10,+,
18,Sunday Apr 21,boxscore,CIN,@,HOU,L,5,7,,9-9,3,1.5,Jones,Brantley,,3:06,D,27845,1.15,-,
19,Monday Apr 22,boxscore,CIN,@,NYM,L,1,5,,9-10,4,1.5,Wilson,Portugal,,2:26,N,14568,1.01,--,
20,Tuesday Apr 23,boxscore,CIN,@,NYM,L-wo,6,8,10,9-11,4,2.0,Henry,Shaw,,2:51,N,14357,.96,---,
21,Wednesday Apr 24,boxscore,CIN,@,MON,L-wo,6,7,10,9-12,5,2.5,Dyer,Moore,,3:35,N,10126,.96,----,
22,Thursday Apr 25,boxscore,CIN,@,MON,L,4,8,,9-13,5,2.5,Martínez,Smiley,,2:33,D,13067,.88,-----,
23,Friday Apr 26,boxscore,CIN,,PHI,L,0,2,,9-14,5,2.5,Grace,Burba,Bottalico,2:36,N,21842,.84,------,
24,Saturday Apr 27,boxscore,CIN,,PHI,L,2,3,,9-15,5,3.0,Leiper,Portugal,Bottalico,2:25,D,22555,.81,-------,
25,Tuesday Apr 30,boxscore,CIN,,PIT,L,7,10,,9-16,5,3.0,Neagle,Smiley,Córdova,2:57,N,16243,.86,--------,
26,Wednesday May 1,boxscore,CIN,,PIT,L,3,4,,9-17,5,4.0,Hope,Burba,Plesac,2:56,N,18197,.80,---------,
27,Friday May 3,boxscore,CIN,@,SFG,W,5,3,,10-17,5,4.0,McElroy,Creek,Brantley,2:49,N,12884,.64,+,
28,Saturday May 4,boxscore,CIN,@,SFG,W,9,7,,11-17,5,3.0,Moore,Leiter,Brantley,3:28,D,18989,.67,++,
29,Sunday May 5,boxscore,CIN,@,SFG,W,12,6,,12-17,5,3.0,Smiley,VanLandingham,,2:48,N,18052,.77,+++,
30,Tuesday May 7,boxscore,CIN,,LAD,W-wo,3,2,12,13-17,4,2.5,Moore,Worrell,,3:44,N,18147,.78,++++,
31,Wednesday May 8,boxscore,CIN,,LAD,W,5,0,,14-17,4,1.5,Schourek,Park,Shaw,2:50,N,17820,.89,+++++,
32,Friday May 10,boxscore,CIN,,SDP,W,8,6,,15-17,2,1.0,McElroy,Florie,Brantley,2:51,N,22508,.92,++++++,
33,Saturday May 11,boxscore,CIN,,SDP,W,1,0,,16-17,1,Tied,Smiley,Hamilton,Brantley,2:06,N,24983,1.03,+++++++,
34,Sunday May 12,boxscore,CIN,,SDP,L,0,5,,16-18,1,Tied,Tewksbury,Burba,,2:37,D,22786,1.09,-,
35,Tuesday May 14,boxscore,CIN,,COL,L,3,5,,16-19,2,0.5,Reed,Schourek,Ruffin,2:42,N,20535,1.02,--,
36,Friday May 17,boxscore,CIN,@,ATL,L,2,8,,16-20,3,1.5,Maddux,Smiley,,2:30,N,40612,1.02,---,
37,Saturday May 18,boxscore,CIN,@,ATL,L,1,2,,16-21,3,1.5,Clontz,Ruffin,Wohlers,2:40,N,49553,.96,----,
38,Sunday May 19,boxscore,CIN,@,ATL,L,5,9,,16-22,3,2.5,Smoltz,Schourek,Wohlers,2:42,D,41153,.97,-----,
39,Monday May 20,boxscore,CIN,,FLA,L,3,5,,16-23,3,2.5,Rapp,Burba,Nen,2:56,N,18023,.88,------,
40,Tuesday May 21,boxscore,CIN,,FLA,L,2,3,,16-24,4,2.5,Weathers,Salkeld,Mathews,2:34,N,19534,.85,-------,
41,Wednesday May 22,boxscore,CIN,,FLA,W,4,1,,17-24,4,1.5,Smiley,Leiter,Brantley,2:32,D,22055,.76,+,
42,Thursday May 23,boxscore,CIN,@,COL,W,7,5,,18-24,3,1.0,Carrasco,Ruffin,Brantley,2:45,N,48040,.85,++,
43,Friday May 24,boxscore,CIN,@,COL,W,11,9,,19-24,2,1.0,Ruffin,Thompson,,3:40,N,48019,.91,+++,
44,Saturday May 25,boxscore,CIN,@,COL,L,5,7,,19-25,3,2.0,Leskanic,Moore,,3:07,N,48012,.96,-,
45,Monday May 27,boxscore,CIN,@,FLA,L,2,6,,19-26,3,3.5,Leiter,Smiley,,2:24,N,15919,.95,--,
46,Tuesday May 28,boxscore,CIN,@,FLA,L,2,6,,19-27,3,3.5,Brown,Burba,Mathews,2:28,N,14052,.86,---,
47,Friday May 31,boxscore,CIN,,ATL,L,1,9,,19-28,3,4.0,Avery,Schourek,,2:25,N,33455,.83,----,
48,Saturday Jun 1,boxscore,CIN,,ATL,W,3,2,,20-28,3,3.0,Portugal,Maddux,Brantley,2:23,D,34023,.75,+,
49,Sunday Jun 2,boxscore,CIN,,ATL,L,2,6,,20-29,3,3.0,Glavine,Smiley,,2:39,N,23482,.80,-,
50,Monday Jun 3,boxscore,CIN,,SFG,L,3,6,,20-30,4,4.0,VanLandingham,Burba,,2:43,D,20028,.74,--,
51,Tuesday Jun 4,boxscore,CIN,,SFG,W,4,1,,21-30,3,4.0,Salkeld,Watson,Brantley,2:27,N,28549,.64,+,
52,Wednesday Jun 5,boxscore,CIN,,SFG,L,4,15,,21-31,5,4.5,Gardner,Jarvis,,3:00,N,21881,.68,-,
53,Friday Jun 7,boxscore,CIN,@,LAD,W,2,1,,22-31,4,4.0,Smiley,Valdez,Brantley,2:39,N,35197,.63,+,
54,Saturday Jun 8,boxscore,CIN,@,LAD,L-wo,4,5,10,22-32,5,5.0,Worrell,Carrasco,,3:20,N,44575,.67,-,
55,Sunday Jun 9,boxscore,CIN,@,LAD,L,2,3,,22-33,5,6.0,Nomo,Smith,Worrell,2:39,D,47847,.59,--,
56,Monday Jun 10,boxscore,CIN,@,SDP,W,6,3,,23-33,5,6.0,Smith,Bochtler,Brantley,3:12,N,41120,.53,+,
57,Tuesday Jun 11,boxscore,CIN,@,SDP,W,4,1,,24-33,5,5.0,Jarvis,Valenzuela,Brantley,3:10,N,12029,.57,++,
58,Wednesday Jun 12,boxscore,CIN,@,SDP,W,9,4,,25-33,5,4.0,Smiley,Florie,,2:59,N,11411,.63,+++,
59,Friday Jun 14,boxscore,CIN,,MON,L,1,6,,25-34,5,4.5,Martínez,Portugal,,2:10,N,26691,.72,-,
60,Saturday Jun 15,boxscore,CIN,,MON,L,5,6,,25-35,5,5.5,Rueter,Burba,Rojas,3:31,N,32833,.63,--,
61,Sunday Jun 16,boxscore,CIN,,MON,W,7,0,,26-35,5,4.5,Salkeld,Cormier,,2:22,D,25657,.52,+,
62,Monday Jun 17,boxscore,CIN,@,HOU,L,4,5,,26-36,5,5.5,Young,Shaw,Jones,3:15,N,24977,.74,-,
63,Tuesday Jun 18,boxscore,CIN,@,HOU,W,6,4,10,27-36,5,4.5,Brantley,Hernandez,,3:18,N,20505,.69,+,
64,Wednesday Jun 19,boxscore,CIN,@,HOU,W,10,7,,28-36,5,4.5,Portugal,Hampton,Brantley,3:03,D,38218,.77,++,
65,Thursday Jun 20,boxscore,CIN,@,NYM,W,5,3,,29-36,5,3.5,Burba,Jones,Shaw,2:49,N,16994,.67,+++,
