--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Tuesday Apr 2,boxscore,CLE,,NYY,L,1,7,,0-1,3,1.0,Cone,Martínez,,3:08,D,42289,.99,-,1996-04-01 (Snow)
2,Wednesday Apr 3,boxscore,CLE,,NYY,L,1,5,,0-2,4,1.5,Pettitte,McDowell,Nelson,3:18,N,41843,.96,--,
3,Friday Apr 5,boxscore,CLE,,TOR,L,1,7,,0-3,5,2.0,Guzmán,Hershiser,,2:49,N,41782,.91,---,
4,Saturday Apr 6,boxscore,CLE,,TOR,W,5,3,,1-3,5,1.5,Nagy,Hanson,Mesa,2:57,D,41852,.87,+,
5,Sunday Apr 7,boxscore,CLE,,TOR,W,8,3,,2-3,2,0.5,Martínez,Quantrill,,2:29,D,41689,.93,++,
6,Wednesday Apr 10,boxscore,CLE,@,BAL,L-wo,2,3,10,2-4,3,1.0,Orosco,Tavárez,,3:25,N,45097,.99,-,
7,Thursday Apr 11,boxscore,CLE,@,BAL,L,4,14,,2-5,4,1.5,Erickson,Hershiser,Rhodes,2:45,N,43189,.94,--,1996-04-09 (Rain)
8,Friday Apr 12,boxscore,CLE,@,BOS,W,3,1,,3-5,2,0.5,Nagy,Sele,Mesa,3:07,N,26703,.89,+,
9,Saturday Apr 13,boxscore,CLE,@,BOS,W,14,2,,4-5,1,up 0.5,Martínez,Moyer,,3:12,D,31827,.95,++,
10,Sunday Apr 14,boxscore,CLE,@,BOS,W,7,6,11,5-5,1,up 0.5,Tavárez,Stanton,Mesa,4:42,D,31796,1.00,+++,
11,Monday Apr 15,boxscore,CLE,@,BOS,W,8,0,,6-5,1,up 1.0,McDowell,Wakefield,,2:32,D,32861,1.03,++++,
12,Tuesday Apr 16,boxscore,CLE,@,MIN,W,7,2,,7-5,1,up 1.5,Hershiser,Radke,,2:44,N,13103,1.24,+++++,
13,Wednesday Apr 17,boxscore,CLE,@,MIN,L,8,9,,7-6,1,up 0.5,Hansell,Shuey,Stevens,3:12,N,11276,1.26,-,
14,Friday Apr 19,boxscore,CLE,,BOS,W,9,4,,8-6,1,Tied,Martínez,Gordon,,2:55,N,40521,1.08,+,
15,Saturday Apr 20,boxscore,CLE,,BOS,W,2,1,,9-6,1,Tied,McDowell,Wakefield,Mesa,2:37,D,40498,1.10,++,
16,Sunday Apr 21,boxscore,CLE,,BOS,W,11,7,,10-6,1,Tied,Ogea,Pennington,,3:27,D,42256,1.09,+++,
17,Monday Apr 22,boxscore,CLE,,BAL,W,6,3,,11-6,1,up 1.0,Nagy,Erickson,Mesa,3:15,N,42236,1.20,++++,
18,Tuesday Apr 23,boxscore,CLE,,BAL,W,9,8,,12-6,1,up 2.0,Ogea,Mussina,Mesa,3:27,N,40770,1.18,+++++,
