--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Tuesday Apr 2,boxscore,COL,@,PHI,W,5,3,,1-0,1,up 0.5,Ritz,Fernandez,,2:55,N,36751,1.02,+,1996-04-01 (Inclement weather)
2,Wednesday Apr 3,boxscore,COL,@,PHI,L,1,3,,1-1,1,Tied,Grace,Freeman,Bottalico,2:27,N,15648,1.07,-,
3,Thursday Apr 4,boxscore,COL,@,PHI,L,4,7,,1-2,2,0.5,Mulholland,Rekar,Bottalico,2:40,N,16220,1.04,--,
4,Friday Apr 5,boxscore,COL,@,MON,L,4,6,,1-3,3,1.5,Dyer,Munoz,Rojas,3:41,D,45042,1.02,---,
5,Saturday Apr 6,boxscore,COL,@,MON,W,5,4,,2-3,2,1.5,Thompson,Rueter,Leskanic,2:41,D,27040,.98,+,
6,Sunday Apr 7,boxscore,COL,@,MON,L,1,9,,2-4,3,2.5,Fassero,Painter,,2:27,D,11212,1.04,-,
7,Monday Apr 8,boxscore,COL,,CHC,L,6,9,,2-5,4,3.5,Adams,Ritz,Jones,3:13,D,50185,.96,--,
8,Wednesday Apr 10,boxscore,COL,,CHC,W,10,9,,3-5,3,3.0,Leskanic,Jones,,3:22,D,50083,.93,+,
9,Thursday Apr 11,boxscore,COL,,NYM,W,7,3,,4-5,3,3.0,Reynoso,Mlicki,,2:54,N,48010,.93,++,
10,Friday Apr 12,boxscore,COL,,NYM,W,6,5,,5-5,3,2.0,Freeman,Clark,Leskanic,2:41,N,50045,.95,+++,
11,Sunday Apr 14,boxscore,COL,,NYM,L,4,10,,5-6,4,2.5,Harnisch,Ritz,Henry,3:01,N,48051,1.00,-,
12,Monday Apr 15,boxscore,COL,,SDP,W,11,9,,6-6,3,1.5,Ruffin,Blair,Leskanic,3:22,N,48027,1.18,+,
13,Tuesday Apr 16,boxscore,COL,,SDP,L,6,10,,6-7,3,2.5,Ashby,Reynoso,,3:25,N,48031,1.21,-,
14,Wednesday Apr 17,boxscore,COL,,SDP,L,6,11,,6-8,4,3.5,Florie,Freeman,,3:25,D,48011,1.15,--,
15,Friday Apr 19,boxscore,COL,@,NYM,W,5,3,,7-8,3,2.5,Ritz,Harnisch,Leskanic,2:50,N,16225,.94,+,
16,Saturday Apr 20,boxscore,COL,@,NYM,L-wo,3,4,10,7-9,3,2.5,Franco,Habyan,,2:40,D,20847,.97,-,
17,Sunday Apr 21,boxscore,COL,@,NYM,W,6,4,,8-9,3,2.5,Leskanic,Franco,,2:56,D,22737,.94,+,
18,Monday Apr 22,boxscore,COL,@,CHC,W,4,2,,9-9,3,2.5,Freeman,Navarro,Leskanic,2:38,N,21227,1.00,++,
19,Tuesday Apr 23,boxscore,COL,@,CHC,W,4,3,,10-9,2,2.5,Rekar,Castillo,Leskanic,3:14,D,14325,1.05,+++,
20,Wednesday Apr 24,boxscore,COL,,PHI,L,8,10,,10-10,2,3.5,Borland,Reed,Bottalico,3:23,N,48047,1.11,-,
21,Thursday Apr 25,boxscore,COL,,PHI,L,1,7,,10-11,3,4.5,Fernandez,Thompson,Ryan,3:22,D,48033,1.04,--,
22,Friday Apr 26,boxscore,COL,,MON,L,2,6,,10-12,4,5.5,Álvarez,Reynoso,,3:07,N,48024,1.01,---,
23,Saturday Apr 27,boxscore,COL,,MON,W-wo,6,5,13,11-12,3,4.5,Painter,Daal,,4:51,D,48013,.93,+,
24,Sunday Apr 28,boxscore,COL,,MON,L,9,21,,11-13,3,4.5,Rueter,Rekar,,3:23,D,48006,1.00,-,
25,Tuesday Apr 30,boxscore,COL,@,LAD,L,4,7,,11-14,4,5.0,Nomo,Ritz,Worrell,3:15,N,31037,1.03,--,
26,Wednesday May 1,boxscore,COL,@,LAD,W,4,1,,12-14,4,5.0,Thompson,Astacio,Ruffin,2:43,N,30377,.98,+,
27,Friday May 3,boxscore,COL,,FLA,W,9,5,,13-14,4,4.0,Reynoso,Burkett,,2:43,N,48129,.91,++,
28,Saturday May 4,boxscore,COL,,FLA,W,17,5,,14-14,2,3.0,Freeman,Hammond,,2:51,D,48101,.96,+++,
29,Sunday May 5,boxscore,COL,,FLA,W-wo,5,4,,15-14,2,3.0,Ritz,Pérez,,2:46,D,48134,1.06,++++,
