--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Monday Apr 1,boxscore,DET,@,MIN,L,6,8,,0-1,4,1.0,Radke,Lira,Stevens,2:54,D,30185,.99,-,
2,Tuesday Apr 2,boxscore,DET,@,MIN,W,10,6,,1-1,4,0.5,Sodowsky,Robertson,,3:07,N,20164,.95,+,
3,Wednesday Apr 3,boxscore,DET,@,MIN,L,7,16,,1-2,4,1.5,Mahomes,Aldred,,2:51,D,12256,.98,-,
4,Thursday Apr 4,boxscore,DET,@,OAK,W,10,9,15,2-2,4,1.5,Keagle,Small,,4:47,D,8346,.96,+,1996-04-04 (Renovations at OAK; Played at LVN; OAK home team)
5,Friday Apr 5,boxscore,DET,@,OAK,L,2,13,,2-3,4,2.5,Johns,Gohr,,2:50,N,11149,.98,-,1996-04-05 (Renovations at OAK; Played at LVN; OAK home team)
6,Saturday Apr 6,boxscore,DET,@,OAK,W,6,1,,3-3,4,1.5,Lira,Reyes,,3:03,D,10424,.97,+,1996-04-06 (Renovations at OAK; Played at LVN; OAK home team)
7,Sunday Apr 7,boxscore,DET,@,OAK,L-wo,6,7,,3-4,3,2.5,Corsi,Williams,,3:03,D,9723,.98,-,1996-04-07 (Renovations at OAK; Played at LVN; OAK home team)
8,Tuesday Apr 9,boxscore,DET,,SEA,W,10,9,,4-4,3,2.0,Keagle,Menhart,Williams,3:05,D,42932,.97,+,
9,Wednesday Apr 10,boxscore,DET,,SEA,W,7,3,,5-4,2,2.0,Olivares,Hurtado,,2:31,D,9299,1.03,++,
10,Thursday Apr 11,boxscore,DET,,SEA,L,1,9,,5-5,4,3.0,Johnson,Gohr,,2:39,D,12272,1.07,-,
11,Friday Apr 12,boxscore,DET,,CAL,L,4,5,,5-6,4,4.0,Finley,Lira,Percival,3:06,N,9921,.99,--,
12,Saturday Apr 13,boxscore,DET,,CAL,W,9,5,,6-6,3,4.0,Keagle,Sanderson,,3:05,D,11719,.97,+,
13,Sunday Apr 14,boxscore,DET,,CAL,W-wo,5,4,,7-6,3,3.0,Lewis,James,,2:56,D,12009,1.00,++,
14,Monday Apr 15,boxscore,DET,@,TOR,L,2,8,,7-7,3,3.5,Guzmán,Olivares,,2:37,N,26127,1.15,-,
15,Tuesday Apr 16,boxscore,DET,@,TOR,W,13,8,,8-7,2,3.5,Gohr,Hanson,Lewis,3:12,D,25503,1.11,+,
16,Wednesday Apr 17,boxscore,DET,@,SEA,L,3,8,,8-8,2,4.5,Jackson,Veres,,3:24,N,18008,1.11,-,
17,Thursday Apr 18,boxscore,DET,@,SEA,L,3,11,,8-9,3,4.5,Bosio,Sodowsky,Hurtado,2:38,N,17536,1.08,--,
18,Friday Apr 19,boxscore,DET,@,CAL,L-wo,3,4,,8-10,3,4.5,Langston,Myers,,2:28,N,32693,1.03,---,
19,Saturday Apr 20,boxscore,DET,@,CAL,L,1,2,,8-11,4,4.5,Grimsley,Keagle,Percival,2:29,N,25685,.93,----,
20,Sunday Apr 21,boxscore,DET,@,CAL,L,5,6,,8-12,4,4.5,Eichhorn,Lewis,Percival,2:46,N,36733,.92,-----,
21,Monday Apr 22,boxscore,DET,@,CAL,L,5,6,,8-13,4,4.5,James,Christopher,Percival,3:10,N,17039,.89,------,
22,Wednesday Apr 24,boxscore,DET,,MIN,L,11,24,,8-14,4,5.0,Bennett,Veres,,3:43,D,12189,.79,-------,
23,Thursday Apr 25,boxscore,DET,,MIN,L,1,11,,8-15,4,6.0,Hawkins,Aldred,Hansell,3:20,D,11804,.74,--------,
24,Friday Apr 26,boxscore,DET,,OAK,W,14,5,,9-15,4,5.0,Christopher,Johns,,3:15,N,7941,.68,+,
25,Saturday Apr 27,boxscore,DET,,OAK,L,1,4,,9-16,4,5.0,Reyes,Lira,Taylor,2:50,D,13067,.73,-,
26,Sunday Apr 28,boxscore,DET,,OAK,L,3,6,,9-17,4,5.0,Wojciechowski,Gohr,Taylor,2:58,D,8907,.69,--,
27,Tuesday Apr 30,boxscore,DET,@,BOS,L,4,13,,9-18,4,6.0,Wakefield,Lima,,2:47,N,18504,.70,---,
28,Wednesday May 1,boxscore,DET,@,BOS,L,1,5,,9-19,4,7.0,Clemens,Aldred,,2:23,N,20828,.62,----,
29,Thursday May 2,boxscore,DET,,TEX,W,5,2,,10-19,4,7.0,Lira,Witt,Williams,2:35,N,7416,.53,+,
30,Friday May 3,boxscore,DET,,TEX,L,0,11,,10-20,4,8.0,Hill,Keagle,,2:19,N,9079,.55,-,
31,Saturday May 4,boxscore,DET,,TEX,L,1,3,,10-21,5,8.0,Pavlik,Gohr,,2:32,D,10734,.50,--,
32,Sunday May 5,boxscore,DET,,TEX,L,2,3,,10-22,5,9.0,Gross,Lima,Henneman,2:35,D,12337,.46,---,
33,Monday May 6,boxscore,DET,@,NYY,L,5,10,,10-23,5,10.0,Wickman,Myers,,3:22,N,12838,.46,----,
34,Tuesday May 7,boxscore,DET,@,NYY,L,5,12,,10-24,5,11.0,Mecir,Lewis,Nelson,3:20,N,12760,.43,-----,
35,Wednesday May 8,boxscore,DET,@,NYY,L,3,10,,10-25,5,12.0,Gooden,Keagle,,2:45,N,18729,.36,------,
36,Thursday May 9,boxscore,DET,@,NYY,W,4,2,,11-25,5,11.0,Gohr,Key,Myers,2:41,N,13098,.34,+,
37,Friday May 10,boxscore,DET,@,TEX,L,2,6,,11-26,5,11.0,Pavlik,Lima,Henneman,2:48,N,31426,.29,-,
38,Saturday May 11,boxscore,DET,@,TEX,L,7,11,,11-27,5,11.0,Gross,Aldred,,3:12,N,42732,.25,--,
39,Sunday May 12,boxscore,DET,@,TEX,W,5,3,,12-27,5,11.0,Lira,Oliver,Myers,2:35,D,35677,.23,+,
40,Tuesday May 14,boxscore,DET,@,CLE,L,1,5,,12-28,5,12.0,Nagy,Gohr,,2:32,N,40765,.25,-,
41,Wednesday May 15,boxscore,DET,@,CLE,L,2,5,,12-29,5,12.0,Martínez,Lima,Mesa,2:54,N,42259,.21,--,
42,Thursday May 16,boxscore,DET,@,CLE,L,3,8,,12-30,5,12.5,McDowell,Williams,,2:24,N,42330,.19,---,
43,Friday May 17,boxscore,DET,,CHW,L,6,11,10,12-31,5,13.5,Hernández,Lewis,,3:36,N,12094,.17,----,
44,Saturday May 18,boxscore,DET,,CHW,L,4,16,,12-32,5,14.5,McCaskill,Farrell,Simas,3:05,D,21673,.12,-----,
45,Sunday May 19,boxscore,DET,,CHW,L,3,14,,12-33,5,14.5,Álvarez,Gohr,,3:09,N,9709,.10,------,
46,Tuesday May 21,boxscore,DET,,KCR,L,1,7,,12-34,5,15.5,Linton,Williams,Valera,2:25,N,24372,.07,-------,
47,Wednesday May 22,boxscore,DET,,KCR,L,4,6,,12-35,5,15.5,Belcher,Farrell,Montgomery,2:52,D,12890,.06,--------,
48,Friday May 24,boxscore,DET,,CLE,L,3,6,,12-36,5,16.0,Plunk,Veres,Mesa,2:58,N,26967,.05,---------,
49,Saturday May 25,boxscore,DET,,CLE,L,6,7,,12-37,5,17.0,Nagy,Lewis,Mesa,3:24,D,41527,.04,----------,
