--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Monday Apr 1,boxscore,FLA,,PIT,L,0,4,,0-1,5,1.0,Wagner,Brown,,2:32,D,41815,.99,-,
2,Tuesday Apr 2,boxscore,FLA,,PIT,L,1,4,,0-2,5,1.5,Christiansen,Peña,Miceli,2:13,N,20243,.94,--,
3,Thursday Apr 4,boxscore,FLA,,PIT,W,6,2,,1-2,5,1.0,Leiter,Ericks,,2:45,D,19008,.91,+,
4,Friday Apr 5,boxscore,FLA,,SFG,L,1,7,,1-3,5,2.0,Fernández,Rapp,,2:35,N,24769,.89,-,
5,Saturday Apr 6,boxscore,FLA,,SFG,W-wo,1,0,10,2-3,2,1.0,Nen,Dewey,,2:30,N,34002,.88,+,
6,Sunday Apr 7,boxscore,FLA,,SFG,L,7,14,,2-4,5,2.0,Bourgeois,Burkett,,3:07,D,19842,.97,-,
7,Monday Apr 8,boxscore,FLA,@,SDP,L,2,9,,2-5,5,3.0,Hamilton,Hammond,,2:32,D,44470,.87,--,
8,Tuesday Apr 9,boxscore,FLA,@,SDP,W,5,2,10,3-5,5,2.5,Leiter,Blair,,3:19,N,15160,.86,+,
9,Wednesday Apr 10,boxscore,FLA,@,SDP,L,0,3,,3-6,5,2.5,Tewksbury,Rapp,Hoffman,2:39,N,10510,.90,-,
10,Thursday Apr 11,boxscore,FLA,@,LAD,L,0,5,,3-7,5,3.5,Park,Brown,Worrell,2:38,N,36023,.82,--,
11,Friday Apr 12,boxscore,FLA,@,LAD,W,3,1,,4-7,4,3.5,Burkett,Valdez,,2:18,N,40343,.82,+,
12,Saturday Apr 13,boxscore,FLA,@,LAD,L,1,3,,4-8,4,3.5,Nomo,Hammond,,2:10,N,46059,.88,-,
13,Sunday Apr 14,boxscore,FLA,@,LAD,L,1,6,,4-9,5,3.5,Astacio,Leiter,,3:03,D,49728,.82,--,
14,Tuesday Apr 16,boxscore,FLA,@,ATL,L,2,5,,4-10,5,4.5,Avery,Brown,Wohlers,2:55,N,26625,.87,---,
15,Wednesday Apr 17,boxscore,FLA,@,ATL,L,2,4,,4-11,5,4.5,Maddux,Burkett,Wohlers,2:18,N,28884,.83,----,
16,Thursday Apr 18,boxscore,FLA,@,ATL,W,5,3,,5-11,5,3.5,Hammond,Glavine,Nen,2:36,N,25300,.79,+,
17,Friday Apr 19,boxscore,FLA,,LAD,W,5,0,,6-11,4,3.5,Powell,Hall,,2:32,N,24143,.74,++,
18,Saturday Apr 20,boxscore,FLA,,LAD,W,7,4,,7-11,4,3.5,Leiter,Nomo,Nen,3:00,N,35542,.78,+++,
19,Sunday Apr 21,boxscore,FLA,,LAD,W,5,4,,8-11,4,3.5,Brown,Hall,Mathews,3:04,N,23842,.83,++++,
20,Monday Apr 22,boxscore,FLA,,SDP,L,3,5,,8-12,4,4.5,Ashby,Burkett,,2:25,N,17473,.88,-,
21,Tuesday Apr 23,boxscore,FLA,,SDP,L,2,7,,8-13,5,5.5,Bergman,Hammond,,2:39,D,19667,.83,--,
22,Wednesday Apr 24,boxscore,FLA,@,PIT,L,3,6,,8-14,5,6.5,Neagle,Rapp,,2:40,N,9812,.76,---,
23,Thursday Apr 25,boxscore,FLA,@,PIT,W,4,1,,9-14,5,6.5,Leiter,Hope,Nen,2:48,D,8315,.68,+,
24,Friday Apr 26,boxscore,FLA,@,SFG,W,3,0,,10-14,4,6.5,Brown,Fernández,,2:31,N,12461,.74,++,
25,Saturday Apr 27,boxscore,FLA,@,SFG,L,3,6,,10-15,5,6.5,Leiter,Burkett,Beck,2:36,D,15711,.77,-,
26,Sunday Apr 28,boxscore,FLA,@,SFG,L,4,10,,10-16,5,7.5,VanLandingham,Hammond,,2:39,D,23535,.71,--,
