--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Monday Apr 1,boxscore,HOU,,LAD,L,3,4,,0-1,4,1.0,Martínez,Reynolds,Worrell,2:59,D,34375,.97,-,
2,Tuesday Apr 2,boxscore,HOU,,LAD,W-wo,5,4,,1-1,4,1.0,Jones,Cummings,,3:15,N,20492,.93,+,
3,Wednesday Apr 3,boxscore,HOU,,LAD,W,5,2,,2-1,2,0.5,Hampton,Nomo,Jones,2:04,D,14858,.98,++,
4,Friday Apr 5,boxscore,HOU,,SDP,L,4,10,,2-2,3,1.0,Tewksbury,Kile,,3:06,N,28629,1.00,-,
5,Saturday Apr 6,boxscore,HOU,,SDP,L,4,8,13,2-3,5,2.0,Hoffman,Small,,4:13,N,24510,.96,--,
6,Sunday Apr 7,boxscore,HOU,,SDP,L,2,17,,2-4,5,2.5,Bergman,Swindell,,2:35,D,16258,.90,---,
7,Monday Apr 8,boxscore,HOU,,SFG,W,6,2,,3-4,4,2.0,Hampton,VanLandingham,,2:35,N,13488,.87,+,
8,Tuesday Apr 9,boxscore,HOU,,SFG,L,1,3,10,3-5,5,2.5,Juden,Tabaka,Beck,2:48,N,13588,.87,-,
9,Wednesday Apr 10,boxscore,HOU,,SFG,L,5,11,,3-6,5,2.5,Fernández,Kile,,2:52,D,14183,.85,--,
10,Thursday Apr 11,boxscore,HOU,@,CIN,W,9,4,,4-6,5,2.0,Reynolds,Portugal,,3:20,N,18946,.93,+,
11,Friday Apr 12,boxscore,HOU,@,CIN,W,10,8,10,5-6,4,1.5,Jones,Moore,Tabaka,3:37,N,24960,1.00,++,
12,Sunday Apr 14 (1),boxscore,HOU,@,CIN,L,3,5,,5-7,5,2.5,Schourek,Hampton,Brantley,2:33,D,,1.05,-,1996-04-13 (Rain)
13,Sunday Apr 14 (2),boxscore,HOU,@,CIN,L,8,9,,5-8,5,2.5,Shaw,Young,Brantley,3:27,D,21552,1.01,--,
14,Tuesday Apr 16,boxscore,HOU,@,NYM,W,9,6,,6-8,5,2.0,Reynolds,Isringhausen,Jones,3:17,N,13795,.82,+,
15,Wednesday Apr 17,boxscore,HOU,@,NYM,W,7,5,,7-8,5,2.0,Kile,Wilson,Jones,2:55,D,12065,.88,++,
16,Friday Apr 19,boxscore,HOU,,CIN,W,13,5,,8-8,3,2.0,Brocail,Schourek,,2:58,N,22728,1.03,+++,
17,Saturday Apr 20,boxscore,HOU,,CIN,L,1,6,,8-9,4,2.5,Smiley,Drabek,,2:56,N,34098,1.12,-,
18,Sunday Apr 21,boxscore,HOU,,CIN,W,7,5,,9-9,3,1.5,Jones,Brantley,,3:06,D,27845,1.05,+,
19,Monday Apr 22,boxscore,HOU,@,SFG,W,11,8,,10-9,2,0.5,Reynolds,Leiter,,3:03,N,8867,1.01,++,
20,Tuesday Apr 23,boxscore,HOU,@,SFG,W,8,4,,11-9,1,up 0.5,Kile,VanLandingham,,2:55,D,8439,1.07,+++,
21,Wednesday Apr 24,boxscore,HOU,@,LAD,L,2,5,,11-10,2,0.5,Valdez,Brocail,,2:50,N,26666,1.13,-,
22,Thursday Apr 25,boxscore,HOU,@,LAD,L,4,6,,11-11,2,0.5,Nomo,Drabek,Worrell,2:49,N,33530,1.09,--,
23,Friday Apr 26,boxscore,HOU,@,SDP,L,2,3,,11-12,2,0.5,Worrell,Hampton,Hoffman,2:49,N,21254,1.09,---,
24,Saturday Apr 27,boxscore,HOU,@,SDP,W,6,0,,12-12,1,up 0.5,Reynolds,Ashby,,2:59,N,38309,1.06,+,
25,Sunday Apr 28,boxscore,HOU,@,SDP,W,3,2,,13-12,1,up 1.0,Kile,Bergman,Jones,2:31,D,27208,1.12,++,
26,Monday Apr 29,boxscore,HOU,@,SDP,L,0,2,,13-13,1,up 1.0,Hamilton,Brocail,,2:08,D,8979,1.15,-,
27,Tuesday Apr 30,boxscore,HOU,,ATL,L,5,7,,13-14,1,Tied,Smoltz,Jones,McMichael,3:10,N,17795,1.13,--,
28,Wednesday May 1,boxscore,HOU,,ATL,W,3,0,,14-14,1,Tied,Hampton,Avery,,2:08,N,18546,1.07,+,
29,Friday May 3,boxscore,HOU,,MON,W,4,1,,15-14,1,Tied,Reynolds,Cormier,Jones,2:57,N,19633,1.12,++,
30,Saturday May 4,boxscore,HOU,,MON,L,1,2,,15-15,1,Tied,Veres,Hernandez,Rojas,2:48,N,22810,1.20,-,
31,Sunday May 5,boxscore,HOU,,MON,L,0,5,,15-16,3,1.0,Fassero,Brocail,,2:50,D,25207,1.10,--,
32,Monday May 6,boxscore,HOU,@,PHI,W,11,5,,16-16,1,Tied,Drabek,Hunter,,3:10,N,15906,1.10,+,
33,Tuesday May 7,boxscore,HOU,@,PHI,W,7,5,,17-16,1,up 1.0,Young,Springer,Jones,3:14,N,16569,1.12,++,
34,Wednesday May 8,boxscore,HOU,@,PHI,L-wo,1,2,10,17-17,1,up 0.5,Ryan,Tabaka,,3:15,N,16284,1.18,-,
35,Thursday May 9,boxscore,HOU,@,MON,W,11,4,,18-17,1,up 1.5,Kile,Rueter,,3:22,N,12470,1.14,+,
36,Friday May 10,boxscore,HOU,@,MON,L,2,5,,18-18,1,up 1.0,Fassero,Dougherty,Rojas,2:32,N,30315,1.21,-,
37,Saturday May 11,boxscore,HOU,@,MON,L-wo,9,10,13,18-19,1,Tied,Dyer,Dougherty,,4:29,N,26084,1.19,--,
38,Sunday May 12,boxscore,HOU,@,MON,L,6,7,,18-20,1,Tied,Urbina,Hampton,Rojas,3:15,D,19345,1.10,---,
39,Monday May 13,boxscore,HOU,@,CHC,L,0,6,,18-21,3,0.5,Trachsel,Reynolds,,2:23,N,22610,1.33,----,
40,Tuesday May 14,boxscore,HOU,@,CHC,W,6,3,,19-21,1,up 0.5,Kile,Navarro,Jones,2:35,D,17562,1.30,+,
41,Wednesday May 15,boxscore,HOU,@,CHC,W,7,5,,20-21,1,up 1.0,Wall,Castillo,Jones,2:27,D,16093,1.38,++,
42,Thursday May 16,boxscore,HOU,@,CHC,L,1,13,,20-22,1,up 0.5,Telemaco,Drabek,,2:39,D,15902,1.45,-,
43,Friday May 17,boxscore,HOU,,PIT,W,4,2,,21-22,1,up 0.5,Reynolds,Lieber,Jones,2:14,N,22882,1.30,+,
44,Saturday May 18,boxscore,HOU,,PIT,L,1,2,11,21-23,1,up 0.5,Córdova,Young,Plesac,3:10,N,21010,1.33,-,
45,Sunday May 19,boxscore,HOU,,PIT,W-wo,4,3,,22-23,1,up 1.5,Jones,Lieber,,2:35,D,18815,1.34,+,
46,Monday May 20,boxscore,HOU,,STL,L,3,5,,22-24,1,up 1.5,Osborne,Drabek,,3:03,N,14547,1.41,-,
47,Tuesday May 21,boxscore,HOU,,STL,L,2,8,,22-25,1,up 0.5,Stottlemyre,Reynolds,,3:05,N,17935,1.40,--,
48,Wednesday May 22,boxscore,HOU,,STL,L,2,5,,22-26,1,up 0.5,Benes,Kile,Mathews,2:31,N,15353,1.41,---,
49,Friday May 24,boxscore,HOU,,CHC,W-wo,8,7,10,23-26,1,up 1.0,Jones,Patterson,,3:27,N,23910,1.33,+,
50,Saturday May 25,boxscore,HOU,,CHC,W,5,2,,24-26,1,up 1.0,Drabek,Navarro,Jones,2:34,N,34326,1.35,++,
51,Sunday May 26,boxscore,HOU,,CHC,W,7,2,,25-26,1,up 2.0,Reynolds,Castillo,,2:43,D,33245,1.39,+++,
52,Monday May 27,boxscore,HOU,@,PIT,W,5,3,,26-26,1,up 3.0,Kile,Smith,,2:20,D,8906,1.40,++++,
53,Tuesday May 28,boxscore,HOU,@,PIT,L,5,6,,26-27,1,up 3.0,Miceli,Swindell,Córdova,2:39,N,7182,1.46,-,
54,Wednesday May 29,boxscore,HOU,@,PIT,W,7,4,,27-27,1,up 3.0,Morman,Darwin,Jones,2:56,N,11679,1.49,+,
55,Friday May 31,boxscore,HOU,@,STL,L,4,6,,27-28,1,up 2.0,Osborne,Swindell,Fossas,2:33,N,37625,1.69,-,
56,Saturday Jun 1,boxscore,HOU,@,STL,L-wo,4,5,10,27-29,1,up 1.0,Bailey,Hernandez,,3:29,N,34958,1.74,--,
57,Sunday Jun 2,boxscore,HOU,@,STL,L,0,2,,27-30,1,Tied,Stottlemyre,Kile,,2:43,D,32703,1.65,---,
58,Tuesday Jun 4,boxscore,HOU,,COL,W,16,8,,28-30,2,0.5,Hampton,Thompson,,3:31,N,18418,1.21,+,
59,Wednesday Jun 5,boxscore,HOU,,COL,W,4,1,,29-30,1,up 0.5,Wall,Reynoso,,2:13,N,14954,1.21,++,
60,Thursday Jun 6,boxscore,HOU,,COL,L,7,14,,29-31,1,Tied,Ritz,Drabek,,3:17,N,22112,1.31,-,
61,Friday Jun 7,boxscore,HOU,,PHI,W,11,5,,30-31,1,Tied,Reynolds,Crawford,,2:35,N,22585,1.26,+,
62,Saturday Jun 8,boxscore,HOU,,PHI,W,7,3,,31-31,1,up 1.0,Wagner,Springer,,2:57,D,23739,1.28,++,
63,Sunday Jun 9,boxscore,HOU,,PHI,W,2,1,,32-31,1,up 2.0,Young,Williams,Jones,2:42,D,30180,1.30,+++,
64,Monday Jun 10,boxscore,HOU,@,COL,W,10,9,,33-31,1,up 3.0,Wall,Reynoso,,3:06,N,48007,1.37,++++,
65,Tuesday Jun 11,boxscore,HOU,@,COL,L,5,7,,33-32,1,up 2.0,Alston,Young,Ruffin,3:18,N,48014,1.42,-,
66,Wednesday Jun 12,boxscore,HOU,@,COL,L,0,8,,33-33,1,up 1.5,Freeman,Reynolds,,2:31,D,48024,1.40,--,
