--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Tuesday Apr 2,boxscore,KCR,@,BAL,L,2,4,,0-1,3,1.0,Mussina,Appier,Myers,2:50,D,46818,1.01,-,1996-04-01 (Rain)
2,Wednesday Apr 3,boxscore,KCR,@,BAL,L,1,7,,0-2,4,1.5,Wells,Gubicza,,2:41,N,40068,.96,--,
3,Thursday Apr 4,boxscore,KCR,@,BAL,L,3,5,,0-3,5,2.0,Rhodes,Pichardo,Myers,2:34,D,38753,.91,---,
4,Friday Apr 5,boxscore,KCR,,BOS,W-wo,5,4,12,1-3,3,1.5,Clark,Pennington,,4:24,D,39526,.86,+,
5,Saturday Apr 6,boxscore,KCR,,BOS,W,7,3,,2-3,3,1.0,Pichardo,Belinda,,3:04,D,17339,.94,++,
6,Sunday Apr 7,boxscore,KCR,,BOS,L,1,3,,2-4,4,1.0,Moyer,Gubicza,Slocumb,2:35,D,13183,.96,-,
7,Tuesday Apr 9,boxscore,KCR,@,NYY,L,3,7,,2-5,4,1.5,Pettitte,Haney,,3:04,D,56329,.93,--,
8,Thursday Apr 11,boxscore,KCR,@,NYY,L,3,5,,2-6,5,2.0,Key,Belcher,Howe,2:41,D,17519,.90,---,
9,Friday Apr 12,boxscore,KCR,@,MIL,W,4,1,,3-6,4,1.0,Appier,Bones,Montgomery,2:34,N,7113,.97,+,
10,Saturday Apr 13,boxscore,KCR,@,MIL,W,3,2,,4-6,2,0.5,Gubicza,Sparks,Montgomery,2:26,D,9224,1.03,++,
11,Sunday Apr 14,boxscore,KCR,@,MIL,L,2,5,,4-7,4,1.5,McDonald,Haney,Miranda,3:04,D,19131,1.08,-,
12,Monday Apr 15,boxscore,KCR,,CHW,L,10,11,,4-8,5,2.5,Karchner,Pichardo,Hernández,2:53,N,12653,1.04,--,
13,Tuesday Apr 16,boxscore,KCR,,CHW,W,6,5,,5-8,4,2.5,Belcher,Bere,Montgomery,3:08,N,12399,.95,+,
14,Wednesday Apr 17,boxscore,KCR,,CHW,L,1,3,,5-9,5,2.5,Fernandez,Appier,Hernández,2:53,N,13350,1.00,-,
15,Thursday Apr 18,boxscore,KCR,,MIL,L,2,8,,5-10,5,3.0,Sparks,Gubicza,,2:24,N,13153,.95,--,
16,Friday Apr 19,boxscore,KCR,,MIL,L,2,8,,5-11,5,4.0,McDonald,Haney,,2:43,N,15321,.85,---,
17,Saturday Apr 20,boxscore,KCR,,MIL,L,4,12,,5-12,5,5.0,Miranda,Jacome,,3:02,D,17220,.77,----,
18,Sunday Apr 21,boxscore,KCR,,MIL,L,4,5,,5-13,5,6.0,Wickander,Pichardo,Fetters,3:08,D,14666,.71,-----,
19,Monday Apr 22,boxscore,KCR,,NYY,L,2,6,,5-14,5,7.0,Cone,Appier,,3:20,N,14763,.53,------,
20,Tuesday Apr 23,boxscore,KCR,,NYY,W,5,2,,6-14,5,7.0,Gubicza,Key,Montgomery,2:25,N,12536,.49,+,
21,Wednesday Apr 24,boxscore,KCR,,BAL,L,8,11,,6-15,5,7.0,Mercker,Haney,,3:25,N,13962,.52,-,
22,Thursday Apr 25,boxscore,KCR,,BAL,L,2,3,,6-16,5,8.0,Rhodes,Valera,Myers,3:04,N,16090,.48,--,
23,Friday Apr 26,boxscore,KCR,@,BOS,W,4,3,,7-16,5,8.0,Belcher,Clemens,Montgomery,2:56,N,22385,.39,+,
24,Saturday Apr 27,boxscore,KCR,@,BOS,W,10,0,,8-16,5,7.0,Appier,Sele,,2:43,D,29459,.44,++,
25,Sunday Apr 28,boxscore,KCR,@,BOS,W,9,7,,9-16,5,7.0,Robinson,Slocumb,Montgomery,3:17,D,32491,.51,+++,
26,Monday Apr 29,boxscore,KCR,@,MIN,L,6,11,,9-17,5,7.5,Hansell,Clark,Bennett,3:11,N,10237,.57,-,
