--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Monday Apr 1,boxscore,LAD,@,HOU,W,4,3,,1-0,1,up 0.5,Martínez,Reynolds,Worrell,2:59,D,34375,1.00,+,
2,Tuesday Apr 2,boxscore,LAD,@,HOU,L-wo,4,5,,1-1,2,0.5,Jones,Cummings,,3:15,N,20492,1.05,-,
3,Wednesday Apr 3,boxscore,LAD,@,HOU,L,2,5,,1-2,3,0.5,Hampton,Nomo,Jones,2:04,D,14858,1.05,--,
4,Thursday Apr 4,boxscore,LAD,@,CHC,L,4,9,,1-3,4,1.0,Foster,Astacio,,2:53,D,12626,1.01,---,
5,Friday Apr 5,boxscore,LAD,@,CHC,L,1,11,,1-4,4,2.0,Bullinger,Candiotti,,2:59,D,19324,.97,----,
6,Saturday Apr 6,boxscore,LAD,@,CHC,W,3,1,,2-4,4,2.0,Park,Navarro,Worrell,3:39,D,24428,.93,+,
7,Sunday Apr 7,boxscore,LAD,@,CHC,L-wo,4,5,,2-5,4,3.0,Jones,Osuna,,3:12,D,19002,.99,-,
8,Monday Apr 8,boxscore,LAD,,ATL,W,1,0,,3-5,3,3.0,Nomo,Glavine,,2:24,D,53180,.93,+,
9,Tuesday Apr 9,boxscore,LAD,,ATL,L,1,3,,3-6,3,3.0,Smoltz,Astacio,Wohlers,2:52,N,35570,.96,-,
10,Wednesday Apr 10,boxscore,LAD,,ATL,W,9,2,,4-6,3,3.0,Candiotti,Avery,,2:53,N,48194,.92,+,
11,Thursday Apr 11,boxscore,LAD,,FLA,W,5,0,,5-6,3,3.0,Park,Brown,Worrell,2:38,N,36023,.95,++,
12,Friday Apr 12,boxscore,LAD,,FLA,L,1,3,,5-7,4,3.0,Burkett,Valdez,,2:18,N,40343,.94,-,
13,Saturday Apr 13,boxscore,LAD,,FLA,W,3,1,,6-7,4,3.0,Nomo,Hammond,,2:10,N,46059,.92,+,
14,Sunday Apr 14,boxscore,LAD,,FLA,W,6,1,,7-7,3,2.0,Astacio,Leiter,,3:03,D,49728,.95,++,
15,Tuesday Apr 16,boxscore,LAD,@,SFG,L,3,5,,7-8,3,2.5,Dewey,Osuna,Beck,2:56,N,19716,1.21,-,
16,Wednesday Apr 17,boxscore,LAD,@,SFG,W,11,2,,8-8,3,2.5,Osuna,Leiter,,3:26,D,17039,1.18,+,
17,Friday Apr 19,boxscore,LAD,@,FLA,L,0,5,,8-9,3,2.5,Powell,Hall,,2:32,N,24143,1.04,-,
18,Saturday Apr 20,boxscore,LAD,@,FLA,L,4,7,,8-10,3,2.5,Leiter,Nomo,Nen,3:00,N,35542,1.00,--,
19,Sunday Apr 21,boxscore,LAD,@,FLA,L,4,5,,8-11,4,3.5,Brown,Hall,Mathews,3:04,N,23842,1.01,---,
20,Monday Apr 22,boxscore,LAD,@,ATL,L,1,4,,8-12,4,4.5,Maddux,Candiotti,,2:03,N,33080,.91,----,
21,Tuesday Apr 23,boxscore,LAD,@,ATL,W,3,2,,9-12,4,4.5,Osuna,Clontz,Worrell,2:55,N,30475,.87,+,
22,Wednesday Apr 24,boxscore,LAD,,HOU,W,5,2,,10-12,4,4.5,Valdez,Brocail,,2:50,N,26666,.91,++,
