--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Tuesday Apr 2,boxscore,MIL,@,CAL,W,15,9,,1-0,1,up 0.5,Wickander,Finley,,3:32,N,27836,1.01,+,
2,Wednesday Apr 3,boxscore,MIL,@,CAL,L-wo,2,3,11,1-1,2,0.5,James,Lloyd,,3:28,N,15024,1.05,-,
3,Friday Apr 5,boxscore,MIL,@,SEA,W,10,6,,2-1,1,up 0.5,Karl,Hurtado,,2:36,N,27768,1.03,+,
4,Saturday Apr 6,boxscore,MIL,@,SEA,L,5,8,,2-2,2,0.5,Johnson,Sparks,,2:36,N,56892,1.07,-,
5,Sunday Apr 7,boxscore,MIL,@,SEA,L,1,3,,2-3,2,0.5,Hitchcock,Bones,Jackson,2:32,D,21004,1.04,--,
6,Tuesday Apr 9,boxscore,MIL,,OAK,W,10,4,,3-3,1,up 0.5,McDonald,Van Poppel,,2:52,D,42090,1.02,+,
7,Thursday Apr 11,boxscore,MIL,,OAK,L,0,11,,3-4,2,0.5,Johns,Karl,,2:50,D,12236,1.00,-,
8,Friday Apr 12,boxscore,MIL,,KCR,L,1,4,,3-5,2,0.5,Appier,Bones,Montgomery,2:34,N,7113,1.13,--,
9,Saturday Apr 13,boxscore,MIL,,KCR,L,2,3,,3-6,5,1.0,Gubicza,Sparks,Montgomery,2:26,D,9224,1.04,---,
10,Sunday Apr 14,boxscore,MIL,,KCR,W,5,2,,4-6,3,1.0,McDonald,Haney,Miranda,3:04,D,19131,1.05,+,
11,Tuesday Apr 16,boxscore,MIL,,NYY,W,6,3,,5-6,2,1.5,Karl,Key,,2:40,N,7059,.95,++,
12,Wednesday Apr 17,boxscore,MIL,,NYY,W,8,4,,6-6,2,0.5,Bones,Cone,,3:00,D,7124,1.00,+++,
13,Thursday Apr 18,boxscore,MIL,@,KCR,W,8,2,,7-6,1,Tied,Sparks,Gubicza,,2:24,N,13153,1.14,++++,
14,Friday Apr 19,boxscore,MIL,@,KCR,W,8,2,,8-6,1,Tied,McDonald,Haney,,2:43,N,15321,1.17,+++++,
15,Saturday Apr 20,boxscore,MIL,@,KCR,W,12,4,,9-6,1,Tied,Miranda,Jacome,,3:02,D,17220,1.19,++++++,
16,Sunday Apr 21,boxscore,MIL,@,KCR,W,5,4,,10-6,1,Tied,Wickander,Pichardo,Fetters,3:08,D,14666,1.25,+++++++,
17,Monday Apr 22,boxscore,MIL,@,OAK,L,2,6,,10-7,2,1.0,Reyes,Bones,Briscoe,2:46,N,6021,1.18,-,
18,Tuesday Apr 23,boxscore,MIL,@,OAK,L,6,9,,10-8,2,2.0,Wojciechowski,Sparks,Mohler,2:38,D,7026,1.16,--,
19,Wednesday Apr 24,boxscore,MIL,,CAL,L,3,4,,10-9,3,2.0,Boskie,McDonald,Percival,3:17,N,7051,1.18,---,
20,Thursday Apr 25,boxscore,MIL,,CAL,W-wo,6,5,,11-9,3,2.0,Fetters,James,,3:09,D,6707,1.09,+,
21,Friday Apr 26,boxscore,MIL,,SEA,L,5,6,,11-10,3,3.0,Carmona,Potts,Charlton,3:38,N,13072,1.13,-,
22,Saturday Apr 27,boxscore,MIL,,SEA,L,5,6,,11-11,3,3.0,Wells,Bones,Charlton,2:59,D,17270,1.10,--,
23,Sunday Apr 28,boxscore,MIL,,SEA,W,16,9,,12-11,3,3.0,Potts,Davis,,3:38,D,19717,1.02,+,
24,Tuesday Apr 30,boxscore,MIL,@,TOR,L-wo,8,9,,12-12,4,4.0,Crabtree,Boze,,3:22,N,25467,1.02,-,
25,Wednesday May 1,boxscore,MIL,@,TOR,L,3,9,,12-13,4,5.0,Guzmán,Miranda,,2:27,N,25684,.98,--,
26,Thursday May 2,boxscore,MIL,@,TOR,L,5,7,,12-14,4,6.0,Hanson,Karl,Timlin,2:47,D,31299,.89,---,
27,Friday May 3,boxscore,MIL,@,BAL,L,2,8,,12-15,4,7.0,Erickson,Bones,,2:26,N,41037,.89,----,
28,Saturday May 4,boxscore,MIL,@,BAL,L,5,10,,12-16,4,7.0,Mussina,Sparks,,2:59,D,44175,.80,-----,
29,Sunday May 5,boxscore,MIL,@,BAL,W,13,1,,13-16,4,7.0,McDonald,Haynes,,3:23,D,46027,.80,+,
30,Tuesday May 7,boxscore,MIL,,BOS,L,2,4,,13-17,4,6.5,Clemens,Miranda,Slocumb,3:24,N,7039,.83,-,
31,Thursday May 9,boxscore,MIL,,BOS,W,17,2,,14-17,4,6.5,Bones,Sele,,2:59,D,7379,.73,+,
32,Friday May 10,boxscore,MIL,,BAL,L,7,10,12,14-18,4,6.5,Orosco,García,McDowell,4:39,N,9520,.78,-,
33,Saturday May 11,boxscore,MIL,,BAL,L,3,5,10,14-19,4,7.5,Rhodes,Potts,Myers,3:29,D,21081,.73,--,
34,Sunday May 12,boxscore,MIL,,BAL,W,6,4,,15-19,4,7.5,Miranda,Erickson,Fetters,2:40,D,14333,.66,+,
35,Monday May 13,boxscore,MIL,,CHW,W,6,2,,16-19,3,7.0,Sparks,Baldwin,Boze,2:40,N,9544,.82,++,
36,Wednesday May 15,boxscore,MIL,,CHW,L,8,20,,16-20,4,8.5,Álvarez,Bones,Keyser,3:12,N,8733,.89,-,
37,Thursday May 16,boxscore,MIL,,CHW,W,3,2,,17-20,4,8.5,Lloyd,Tapani,Fetters,2:40,D,13849,.79,+,
38,Friday May 17,boxscore,MIL,@,MIN,W,12,1,,18-20,3,8.5,Karl,Parra,,2:42,N,26733,.80,++,
39,Saturday May 18,boxscore,MIL,@,MIN,W,7,3,,19-20,3,7.5,Miranda,Mahomes,Fetters,2:58,N,30593,.87,+++,
40,Sunday May 19,boxscore,MIL,@,MIN,W,4,2,,20-20,3,7.5,Sparks,Robertson,Fetters,2:20,D,24411,.95,++++,
41,Monday May 20,boxscore,MIL,@,MIN,W,3,2,,21-20,3,7.0,Bones,Rodriguez,Fetters,2:22,N,13376,.97,+++++,
42,Tuesday May 21,boxscore,MIL,@,CLE,L-wo,5,6,,21-21,3,8.0,Tavárez,Boze,,3:23,N,39974,1.17,-,
43,Wednesday May 22,boxscore,MIL,@,CLE,W,10,8,,22-21,3,7.0,Karl,McDowell,Fetters,3:23,N,41027,1.08,+,
44,Thursday May 23,boxscore,MIL,@,CLE,L,1,5,,22-22,3,8.0,Hershiser,Miranda,,2:41,N,42395,1.12,-,
45,Friday May 24,boxscore,MIL,@,CHW,L,3,4,,22-23,3,9.0,Thomas,Sparks,Hernández,2:32,N,18346,1.10,--,
46,Saturday May 25,boxscore,MIL,@,CHW,L,7,9,,22-24,3,10.0,Álvarez,Bones,Hernández,3:06,N,20585,.96,---,
47,Sunday May 26,boxscore,MIL,@,CHW,L,1,12,,22-25,3,11.0,Tapani,McDonald,,3:03,D,21151,.90,----,
48,Tuesday May 28,boxscore,MIL,,MIN,W,7,3,,23-25,3,9.5,Karl,Mahomes,García,2:59,N,10117,.68,+,
49,Wednesday May 29,boxscore,MIL,,MIN,L,7,8,12,23-26,3,9.5,Hansell,Lloyd,,4:35,D,14324,.71,-,
50,Thursday May 30,boxscore,MIL,,CLE,L,0,2,,23-27,3,10.5,Nagy,Bones,Mesa,3:11,N,11543,.77,--,
51,Friday May 31,boxscore,MIL,,CLE,L,4,10,,23-28,3,11.5,Martínez,McDonald,,3:48,N,24050,.65,---,
52,Saturday Jun 1,boxscore,MIL,,CLE,W,2,1,,24-28,3,10.5,García,McDowell,Fetters,3:06,D,22004,.54,+,
53,Sunday Jun 2,boxscore,MIL,,CLE,L,6,11,,24-29,4,11.5,Poole,Karl,,3:13,D,21150,.66,-,
54,Monday Jun 3,boxscore,MIL,,TEX,L,6,9,,24-30,4,12.0,Witt,Sparks,Henneman,3:25,N,9748,.42,--,
55,Tuesday Jun 4,boxscore,MIL,,TEX,W,6,2,,25-30,4,11.0,Bones,Gross,,2:36,N,10685,.36,+,
56,Wednesday Jun 5,boxscore,MIL,,TEX,W,6,4,,26-30,4,11.0,McDonald,Hill,Fetters,3:10,D,11276,.42,++,
57,Friday Jun 7,boxscore,MIL,@,BOS,L,7,10,,26-31,4,11.5,Garcés,García,Slocumb,3:09,N,26861,.42,-,
58,Saturday Jun 8,boxscore,MIL,@,BOS,W,3,2,10,27-31,4,11.5,Lloyd,Hudson,Fetters,3:42,N,30399,.38,+,
59,Sunday Jun 9,boxscore,MIL,@,BOS,W,11,8,10,28-31,4,10.5,Burrows,Slocumb,Fetters,3:55,D,28120,.38,++,
60,Monday Jun 10,boxscore,MIL,@,TEX,L,3,8,,28-32,4,11.5,Gross,Givens,,3:05,N,43275,.48,-,
61,Tuesday Jun 11,boxscore,MIL,@,TEX,W,14,4,,29-32,4,11.5,McDonald,Hill,García,3:35,N,33519,.37,+,
62,Wednesday Jun 12,boxscore,MIL,@,TEX,L,6,13,,29-33,4,11.5,Pavlik,Miranda,,3:09,D,34842,.44,-,
63,Thursday Jun 13,boxscore,MIL,,OAK,W,16,3,,30-33,4,11.5,Karl,Wojciechowski,,3:20,N,12439,.38,+,
64,Friday Jun 14,boxscore,MIL,,OAK,W,6,2,,31-33,3,10.5,Bones,Wasdin,,2:37,N,14404,.43,++,
65,Saturday Jun 15,boxscore,MIL,,OAK,W,12,9,,32-33,3,10.5,Givens,Wengert,García,3:32,N,21064,.49,+++,
66,Sunday Jun 16,boxscore,MIL,,OAK,L,9,10,,32-34,3,10.5,Taylor,Fetters,Mohler,3:36,D,26744,.52,-,
