--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Monday Apr 1,boxscore,MIN,,DET,W,8,6,,1-0,1,up 0.5,Radke,Lira,Stevens,2:54,D,30185,1.00,+,
2,Tuesday Apr 2,boxscore,MIN,,DET,L,6,10,,1-1,2,0.5,Sodowsky,Robertson,,3:07,N,20164,1.05,-,
3,Wednesday Apr 3,boxscore,MIN,,DET,W,16,7,,2-1,1,up 0.5,Mahomes,Aldred,,2:51,D,12256,1.01,+,
4,Friday Apr 5,boxscore,MIN,,BAL,L,1,2,,2-2,2,0.5,Mercker,Guardado,Myers,2:36,N,22744,1.06,-,
5,Saturday Apr 6,boxscore,MIN,,BAL,W,8,3,,3-2,1,up 0.5,Radke,Haynes,,2:30,N,22334,1.04,+,
6,Sunday Apr 7,boxscore,MIN,,BAL,L,2,4,,3-3,1,up 0.5,Mussina,Robertson,Myers,2:46,D,14580,1.04,-,
7,Tuesday Apr 9,boxscore,MIN,@,BOS,L,1,9,,3-4,2,0.5,Gordon,Rodriguez,,2:40,D,30843,.99,--,1996-04-08 (Snow)
8,Thursday Apr 11,boxscore,MIN,@,BOS,W,6,5,,4-4,1,up 0.5,Radke,Clemens,Stevens,3:20,D,15594,1.00,+,
9,Friday Apr 12,boxscore,MIN,@,BAL,L,2,3,,4-5,1,up 0.5,Mussina,Robertson,,2:09,N,42602,1.05,-,
10,Saturday Apr 13,boxscore,MIN,@,BAL,L-wo,6,7,,4-6,2,0.5,Benítez,Mahomes,,3:14,D,42644,1.03,--,
11,Sunday Apr 14,boxscore,MIN,@,BAL,W,4,1,,5-6,2,0.5,Rodriguez,Haynes,Stevens,2:51,D,42660,.97,+,
12,Tuesday Apr 16,boxscore,MIN,,CLE,L,2,7,,5-7,3,2.0,Hershiser,Radke,,2:44,N,13103,1.15,-,
13,Wednesday Apr 17,boxscore,MIN,,CLE,W,9,8,,6-7,3,1.0,Hansell,Shuey,Stevens,3:12,N,11276,1.10,+,
14,Friday Apr 19,boxscore,MIN,,NYY,W,7,1,,7-7,3,1.0,Rodriguez,Gooden,,2:55,N,20279,.99,++,
15,Saturday Apr 20,boxscore,MIN,,NYY,L,6,7,,7-8,4,2.0,Wickman,Guardado,Wetteland,3:14,N,24586,1.00,-,
16,Sunday Apr 21,boxscore,MIN,,NYY,L,5,9,,7-9,4,3.0,Rogers,Radke,,3:00,D,20115,.93,--,
17,Monday Apr 22,boxscore,MIN,,BOS,L,1,4,,7-10,4,4.0,Sele,Robertson,Slocumb,2:59,N,11340,.86,---,
18,Tuesday Apr 23,boxscore,MIN,,BOS,W,8,6,,8-10,4,4.0,Naulty,Hudson,Stevens,3:01,D,11533,.80,+,
19,Wednesday Apr 24,boxscore,MIN,@,DET,W,24,11,,9-10,4,3.0,Bennett,Veres,,3:43,D,12189,.88,++,
20,Thursday Apr 25,boxscore,MIN,@,DET,W,11,1,,10-10,4,3.0,Hawkins,Aldred,Hansell,3:20,D,11804,.94,+++,
21,Friday Apr 26,boxscore,MIN,@,NYY,L,4,5,,10-11,4,4.0,Rivera,Radke,Wetteland,3:00,N,14450,1.01,-,
22,Saturday Apr 27,boxscore,MIN,@,NYY,W,8,6,10,11-11,3,3.0,Bennett,Wickman,,3:57,D,20025,.94,+,
23,Sunday Apr 28,boxscore,MIN,@,NYY,L,3,6,,11-12,4,4.0,Rivera,Rodriguez,Wetteland,3:02,D,24793,.98,-,
24,Monday Apr 29,boxscore,MIN,,KCR,W,11,6,,12-12,4,3.5,Hansell,Clark,Bennett,3:11,N,10237,.94,+,
25,Tuesday Apr 30,boxscore,MIN,,KCR,W,16,7,,13-12,3,3.5,Naulty,Magnante,,3:08,N,10503,.99,++,
26,Wednesday May 1,boxscore,MIN,,KCR,W-wo,6,5,10,14-12,3,3.5,Stevens,Montgomery,,2:45,N,11975,1.02,+++,
27,Friday May 3,boxscore,MIN,@,CAL,L,1,4,,14-13,3,5.0,Finley,Robertson,Percival,2:24,N,24505,1.11,-,
28,Saturday May 4,boxscore,MIN,@,CAL,L,2,5,,14-14,3,5.0,Grimsley,Rodriguez,,2:26,N,29264,1.05,--,
29,Sunday May 5,boxscore,MIN,@,CAL,L,1,5,,14-15,3,6.0,Boskie,Hawkins,,2:48,D,35541,1.05,---,
30,Monday May 6,boxscore,MIN,@,SEA,L,4,5,,14-16,3,6.0,Wells,Radke,Charlton,2:38,N,32203,.98,----,
31,Tuesday May 7,boxscore,MIN,@,SEA,W,2,0,,15-16,3,5.0,Parra,Wolcott,Stevens,2:44,N,15626,.92,+,
32,Wednesday May 8,boxscore,MIN,@,SEA,W,7,5,10,16-16,3,5.0,Guardado,Wells,Stevens,3:33,D,22175,.98,++,
33,Friday May 10,boxscore,MIN,@,OAK,L,5,15,,16-17,3,5.0,Wojciechowski,Rodriguez,,3:05,N,8278,1.02,-,
34,Saturday May 11,boxscore,MIN,@,OAK,L,5,12,,16-18,3,6.0,Prieto,Radke,,2:49,D,15791,.97,--,
35,Sunday May 12,boxscore,MIN,@,OAK,L,3,8,,16-19,3,7.0,Wengert,Parra,,2:36,D,13430,.91,---,
36,Tuesday May 14,boxscore,MIN,,TOR,L,2,4,,16-20,4,8.0,Hanson,Robertson,Timlin,2:50,N,13483,.82,----,
37,Wednesday May 15,boxscore,MIN,,TOR,W,2,1,,17-20,3,8.0,Rodriguez,Hentgen,,2:07,N,11793,.77,+,
38,Thursday May 16,boxscore,MIN,,TOR,W,4,1,,18-20,3,8.0,Radke,Quantrill,Stevens,2:24,D,13538,.79,++,
39,Friday May 17,boxscore,MIN,,MIL,L,1,12,,18-21,4,9.0,Karl,Parra,,2:42,N,26733,.90,-,
40,Saturday May 18,boxscore,MIN,,MIL,L,3,7,,18-22,4,9.0,Miranda,Mahomes,Fetters,2:58,N,30593,.81,--,
41,Sunday May 19,boxscore,MIN,,MIL,L,2,4,,18-23,4,10.0,Sparks,Robertson,Fetters,2:20,D,24411,.74,---,
42,Monday May 20,boxscore,MIN,,MIL,L,2,3,,18-24,4,10.5,Bones,Rodriguez,Fetters,2:22,N,13376,.62,----,
43,Tuesday May 21,boxscore,MIN,,TEX,W-wo,4,3,,19-24,4,10.5,Milchin,Henneman,,3:04,N,12323,.54,+,
44,Wednesday May 22,boxscore,MIN,,TEX,L,5,6,,19-25,5,10.5,Pavlik,Parra,Henneman,3:10,D,17955,.54,-,
45,Thursday May 23,boxscore,MIN,@,TOR,L-wo,4,5,10,19-26,5,11.5,Janzen,Milchin,,3:11,N,31163,.48,--,
46,Friday May 24,boxscore,MIN,@,TOR,W,4,0,,20-26,5,11.5,Robertson,Hanson,,2:26,N,33141,.41,+,
47,Saturday May 25,boxscore,MIN,@,TOR,W,6,4,10,21-26,5,11.5,Guardado,Castillo,Stevens,3:18,D,34118,.46,++,
48,Sunday May 26,boxscore,MIN,@,TOR,W,9,3,,22-26,4,11.5,Naulty,Bohanon,,2:53,D,30170,.50,+++,
49,Tuesday May 28,boxscore,MIN,@,MIL,L,3,7,,22-27,5,11.0,Karl,Mahomes,García,2:59,N,10117,.58,-,
50,Wednesday May 29,boxscore,MIN,@,MIL,W,8,7,12,23-27,4,10.0,Hansell,Lloyd,,4:35,D,14324,.51,+,
51,Friday May 31,boxscore,MIN,@,TEX,L,2,7,,23-28,3,11.5,Hill,Rodriguez,,2:56,N,32861,.56,-,
52,Saturday Jun 1,boxscore,MIN,@,TEX,W,9,5,,24-28,3,10.5,Milchin,Henneman,,3:11,N,43413,.50,+,
53,Sunday Jun 2,boxscore,MIN,@,TEX,W,6,5,,25-28,3,10.5,Guardado,Russell,,3:37,D,33809,.59,++,
54,Monday Jun 3,boxscore,MIN,,CAL,W,9,3,,26-28,3,10.0,Trombley,Finley,,3:06,N,10589,.57,+++,
55,Tuesday Jun 4,boxscore,MIN,,CAL,W,5,3,,27-28,3,9.0,Rodriguez,Grimsley,Guardado,2:43,N,10899,.63,++++,
56,Wednesday Jun 5,boxscore,MIN,,CAL,W,14,3,,28-28,3,9.0,Aldred,Langston,Hansell,3:14,N,10639,.69,+++++,
57,Friday Jun 7,boxscore,MIN,,OAK,L,4,6,,28-29,3,9.5,Reyes,Radke,Corsi,3:36,N,14999,.71,-,
58,Saturday Jun 8 (1),boxscore,MIN,,OAK,W,4,2,,29-29,3,10.0,Robertson,Wojciechowski,Guardado,2:37,D,,.65,+,
59,Saturday Jun 8 (2),boxscore,MIN,,OAK,L,7,13,,29-30,3,10.0,Wasdin,Mahomes,,3:31,N,22164,.70,-,
60,Sunday Jun 9,boxscore,MIN,,OAK,W,5,3,,30-30,3,9.0,Rodriguez,Wengert,,2:43,N,13291,.58,+,
61,Monday Jun 10,boxscore,MIN,,SEA,W,13,6,,31-30,3,9.0,Aldred,Wagner,Trombley,2:51,N,17134,.67,++,
62,Tuesday Jun 11,boxscore,MIN,,SEA,L,8,18,,31-31,3,10.0,Wells,Aguilera,Hurtado,3:17,N,14395,.71,-,
63,Wednesday Jun 12,boxscore,MIN,,SEA,L,3,5,,31-32,3,10.0,Wolcott,Radke,Charlton,2:59,N,15830,.66,--,
64,Friday Jun 14,boxscore,MIN,,DET,L,4,5,,31-33,3,10.5,Gohr,Robertson,Olson,3:08,N,22831,.53,---,
65,Saturday Jun 15,boxscore,MIN,,DET,L,4,6,,31-34,4,11.5,Olivares,Rodriguez,Olson,2:46,N,17099,.43,----,
66,Sunday Jun 16,boxscore,MIN,,DET,W,4,1,,32-34,3,10.5,Aguilera,Lira,Hansell,2:43,D,20641,.40,+,
67,Monday Jun 17,boxscore,MIN,@,NYY,W,6,3,,33-34,3,10.0,Aldred,Mendoza,Naulty,3:13,N,16189,.48,++,
