--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Tuesday Apr 2,boxscore,MON,@,CIN,L,1,4,,0-1,3,1.0,Schourek,Fassero,Moore,3:27,D,53136,1.00,-,1996-04-01 (Death of Umpire John McSherry)
2,Wednesday Apr 3,boxscore,MON,@,CIN,W,8,4,,1-1,2,1.0,Veres,Shaw,,3:14,N,19104,.97,+,
3,Thursday Apr 4,boxscore,MON,@,CIN,W,10,2,,2-1,1,Tied,Paniagua,Burba,,3:24,D,17067,.99,++,
4,Friday Apr 5,boxscore,MON,,COL,W,6,4,,3-1,1,up 1.0,Dyer,Munoz,Rojas,3:41,D,45042,1.03,+++,
5,Saturday Apr 6,boxscore,MON,,COL,L,4,5,,3-2,1,up 1.0,Thompson,Rueter,Leskanic,2:41,D,27040,1.09,-,
6,Sunday Apr 7,boxscore,MON,,COL,W,9,1,,4-2,1,up 1.0,Fassero,Painter,,2:27,D,11212,1.07,+,
7,Monday Apr 8,boxscore,MON,@,STL,W,4,3,10,5-2,1,up 1.5,Rojas,Parrett,,3:52,N,52841,1.14,++,
8,Wednesday Apr 10,boxscore,MON,@,STL,L,1,4,,5-3,1,up 0.5,Benes,Paniagua,,2:35,D,27734,1.13,-,
9,Thursday Apr 11,boxscore,MON,@,PIT,W,6,5,11,6-3,1,up 1.5,Rojas,Córdova,Veres,3:50,D,8084,1.15,+,
10,Friday Apr 12,boxscore,MON,@,PIT,W,13,3,,7-3,1,up 2.5,Rueter,Darwin,,2:54,N,13087,1.19,++,
11,Saturday Apr 13,boxscore,MON,@,PIT,L,3,9,,7-4,1,up 1.5,Wagner,Fassero,,2:42,D,13834,1.18,-,
12,Sunday Apr 14,boxscore,MON,@,PIT,L,2,5,,7-5,1,up 1.5,Neagle,Martínez,,2:35,D,12797,1.21,--,
13,Tuesday Apr 16,boxscore,MON,,PHI,W-wo,7,6,,8-5,1,up 1.5,Rojas,Springer,,3:00,N,8510,1.33,+,
14,Wednesday Apr 17,boxscore,MON,,PHI,L,3,9,,8-6,1,up 0.5,Mulholland,Cormier,,2:58,N,8728,1.38,-,
15,Thursday Apr 18,boxscore,MON,,PHI,L,8,9,,8-7,1,up 0.5,Bottalico,Rojas,,3:15,N,8316,1.33,--,
16,Friday Apr 19,boxscore,MON,,PIT,W-wo,2,1,,9-7,1,up 0.5,Manuel,Plesac,,2:23,N,13256,1.10,+,
17,Saturday Apr 20,boxscore,MON,,PIT,W,11,2,,10-7,1,up 0.5,Martínez,Ericks,,2:11,D,14022,1.16,++,
18,Sunday Apr 21,boxscore,MON,,PIT,W,9,4,,11-7,1,up 1.5,Veres,Christiansen,,2:38,D,11361,1.18,+++,
19,Monday Apr 22,boxscore,MON,,STL,W,8,0,,12-7,1,up 1.5,Cormier,Osborne,,2:24,N,9778,1.22,++++,
20,Tuesday Apr 23,boxscore,MON,,STL,W-wo,12,11,,13-7,1,up 2.5,Scott,Mathews,,3:46,N,8352,1.26,+++++,
21,Wednesday Apr 24,boxscore,MON,,CIN,W-wo,7,6,10,14-7,1,up 2.5,Dyer,Moore,,3:35,N,10126,1.26,++++++,
22,Thursday Apr 25,boxscore,MON,,CIN,W,8,4,,15-7,1,up 3.5,Martínez,Smiley,,2:33,D,13067,1.24,+++++++,
23,Friday Apr 26,boxscore,MON,@,COL,W,6,2,,16-7,1,up 3.5,Álvarez,Reynoso,,3:07,N,48024,1.29,++++++++,
24,Saturday Apr 27,boxscore,MON,@,COL,L-wo,5,6,13,16-8,1,up 2.5,Painter,Daal,,4:51,D,48013,1.28,-,
25,Sunday Apr 28,boxscore,MON,@,COL,W,21,9,,17-8,1,up 3.0,Rueter,Rekar,,3:23,D,48006,1.28,+,
26,Monday Apr 29,boxscore,MON,@,NYM,L,2,3,,17-9,1,up 2.0,Harnisch,Fassero,Franco,2:49,N,14011,1.38,-,
27,Wednesday May 1 (1),boxscore,MON,@,NYM,W,4,0,,18-9,1,up 2.0,Martínez,Clark,,2:16,N,,1.40,+,1996-04-30 (Rain)
28,Wednesday May 1 (2),boxscore,MON,@,NYM,L,0,6,,18-10,1,up 2.0,Isringhausen,Álvarez,,2:57,N,16937,1.41,-,
29,Friday May 3,boxscore,MON,@,HOU,L,1,4,,18-11,1,up 1.0,Reynolds,Cormier,Jones,2:57,N,19633,1.27,--,
30,Saturday May 4,boxscore,MON,@,HOU,W,2,1,,19-11,1,up 2.0,Veres,Hernandez,Rojas,2:48,N,22810,1.30,+,
31,Sunday May 5,boxscore,MON,@,HOU,W,5,0,,20-11,1,up 2.0,Fassero,Brocail,,2:50,D,25207,1.30,++,
32,Monday May 6,boxscore,MON,,CHC,W,6,2,,21-11,1,up 2.0,Martínez,Bullinger,,2:50,N,46893,1.32,+++,
33,Tuesday May 7,boxscore,MON,,CHC,W,8,3,,22-11,1,up 2.0,Veres,Adams,,2:47,N,13236,1.30,++++,
34,Wednesday May 8,boxscore,MON,,CHC,W,4,2,,23-11,1,up 2.0,Cormier,Navarro,Rojas,2:39,N,12484,1.29,+++++,
35,Thursday May 9,boxscore,MON,,HOU,L,4,11,,23-12,1,up 1.5,Kile,Rueter,,3:22,N,12470,1.28,-,
36,Friday May 10,boxscore,MON,,HOU,W,5,2,,24-12,1,up 1.5,Fassero,Dougherty,Rojas,2:32,N,30315,1.32,+,
37,Saturday May 11,boxscore,MON,,HOU,W-wo,10,9,13,25-12,1,up 1.5,Dyer,Dougherty,,4:29,N,26084,1.26,++,
38,Sunday May 12,boxscore,MON,,HOU,W,7,6,,26-12,1,up 2.5,Urbina,Hampton,Rojas,3:15,D,19345,1.28,+++,
39,Monday May 13,boxscore,MON,@,LAD,W,3,2,,27-12,1,up 2.5,Manuel,Worrell,Rojas,3:02,N,25600,1.24,++++,
40,Tuesday May 14,boxscore,MON,@,LAD,L,1,2,,27-13,1,up 1.5,Martínez,Veres,Worrell,3:15,N,37942,1.20,-,
41,Wednesday May 15,boxscore,MON,@,LAD,L,2,7,,27-14,1,up 1.5,Candiotti,Fassero,,2:45,N,26875,1.22,--,
42,Friday May 17,boxscore,MON,@,SDP,L-wo,1,2,12,27-15,1,up 0.5,Hoffman,Rojas,,3:14,N,26469,1.29,---,
43,Saturday May 18,boxscore,MON,@,SDP,W,3,2,,28-15,1,up 0.5,Urbina,Valenzuela,Rojas,3:18,N,31749,1.32,+,
44,Sunday May 19,boxscore,MON,@,SDP,L,3,4,,28-16,2,0.5,Worrell,Veres,Hoffman,2:57,D,28769,1.34,-,
45,Monday May 20,boxscore,MON,@,SFG,L,6,9,,28-17,2,1.5,Dewey,Dyer,Beck,3:19,N,10062,1.38,--,
46,Tuesday May 21,boxscore,MON,@,SFG,L,5,8,,28-18,2,1.5,Dewey,Aucoin,Beck,3:22,D,8911,1.43,---,
47,Wednesday May 22,boxscore,MON,@,SFG,W,4,3,,29-18,2,1.5,Martínez,VanLandingham,Rojas,3:02,D,11663,1.42,+,
48,Friday May 24,boxscore,MON,,LAD,L,4,5,11,29-19,2,2.5,Osuna,Daal,Worrell,4:13,N,27843,1.41,-,
49,Saturday May 25,boxscore,MON,,LAD,L,3,5,,29-20,2,2.5,Martínez,Cormier,Worrell,3:09,N,27104,1.46,--,
50,Sunday May 26,boxscore,MON,,LAD,L,3,4,,29-21,2,3.5,Candiotti,Rojas,Worrell,2:43,D,30718,1.46,---,
51,Monday May 27,boxscore,MON,,SDP,L,3,4,,29-22,2,4.5,Hamilton,Fassero,Hoffman,2:33,N,44636,1.47,----,
52,Tuesday May 28,boxscore,MON,,SDP,L,2,3,10,29-23,2,5.0,Hoffman,Scott,Bochtler,2:28,N,16537,1.44,-----,
53,Wednesday May 29,boxscore,MON,,SDP,W,9,4,,30-23,2,5.0,Urbina,Valenzuela,,2:39,N,14386,1.40,+,
54,Friday May 31,boxscore,MON,,SFG,W,7,4,,31-23,2,5.0,Daal,DeLucia,Veres,3:20,N,25712,1.40,++,
55,Saturday Jun 1,boxscore,MON,,SFG,W,5,1,,32-23,2,4.0,Fassero,Fernández,Dyer,2:44,N,36858,1.48,+++,
56,Sunday Jun 2,boxscore,MON,,SFG,L,1,8,,32-24,2,5.0,Leiter,Martínez,,2:52,D,25006,1.50,-,
57,Tuesday Jun 4,boxscore,MON,@,FLA,L,0,5,,32-25,2,5.5,Burkett,Rueter,,2:16,N,14821,1.57,--,
58,Wednesday Jun 5,boxscore,MON,@,FLA,W,2,1,,33-25,2,5.5,Cormier,Rapp,Veres,2:43,N,21342,1.59,+,
59,Friday Jun 7,boxscore,MON,@,CHC,W,9,3,,34-25,2,4.5,Fassero,Castillo,,2:54,D,23860,1.40,++,
60,Saturday Jun 8,boxscore,MON,@,CHC,L,4,6,,34-26,2,4.5,Telemaco,Martínez,Wendell,2:52,N,37373,1.42,-,
61,Sunday Jun 9,boxscore,MON,@,CHC,L,2,4,,34-27,2,5.5,Trachsel,Rueter,Wendell,2:29,D,30785,1.42,--,
62,Monday Jun 10,boxscore,MON,,FLA,L,2,5,,34-28,2,5.5,Nen,Dyer,,3:07,N,34867,1.61,---,
63,Tuesday Jun 11,boxscore,MON,,FLA,W,3,2,,35-28,2,5.5,Scott,Brown,Veres,2:34,N,10758,1.58,+,
64,Wednesday Jun 12,boxscore,MON,,FLA,W,8,0,,36-28,2,4.5,Fassero,Leiter,,2:39,N,12341,1.66,++,
65,Friday Jun 14,boxscore,MON,@,CIN,W,6,1,,37-28,2,4.0,Martínez,Portugal,,2:10,N,26691,1.47,+++,
66,Saturday Jun 15,boxscore,MON,@,CIN,W,6,5,,38-28,2,3.0,Rueter,Burba,Rojas,3:31,N,32833,1.45,++++,
67,Sunday Jun 16,boxscore,MON,@,CIN,L,0,7,,38-29,2,3.0,Salkeld,Cormier,,2:22,D,25657,1.44,-,
68,Monday Jun 17,boxscore,MON,@,COL,W,5,3,,39-29,2,3.0,Urbina,Freeman,Rojas,2:43,N,48021,1.63,+,
69,Tuesday Jun 18,boxscore,MON,@,COL,W,12,8,,40-29,2,3.0,Dyer,Holmes,,3:11,N,50025,1.61,++,
70,Wednesday Jun 19,boxscore,MON,@,COL,L-wo,6,7,10,40-30,2,4.0,Ruffin,Scott,,3:36,D,48007,1.57,-,
71,Thursday Jun 20,boxscore,MON,,STL,W,8,3,,41-30,2,3.5,Rueter,Stottlemyre,,2:17,N,15095,1.57,+,
