--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Monday Apr 1,boxscore,NYM,,STL,W,7,6,,1-0,1,Tied,Dipoto,Fossas,Franco,2:52,D,42060,1.01,+,
2,Wednesday Apr 3,boxscore,NYM,,STL,L,3,5,,1-1,2,1.0,Stottlemyre,Person,Eckersley,2:33,D,13323,1.07,-,
3,Thursday Apr 4,boxscore,NYM,,STL,W-wo,10,9,,2-1,1,Tied,Franco,Eckersley,,3:28,D,15507,1.03,+,
4,Friday Apr 5,boxscore,NYM,,PIT,L,5,7,,2-2,2,1.0,Smith,Mlicki,,2:52,N,16088,1.04,-,
5,Saturday Apr 6,boxscore,NYM,,PIT,L,0,5,,2-3,2,1.0,Darwin,Clark,,2:41,D,20756,1.00,--,
6,Monday Apr 8,boxscore,NYM,@,CIN,L,6,7,,2-4,4,2.5,Schourek,Jones,Brantley,3:06,N,17623,.94,---,
7,Tuesday Apr 9,boxscore,NYM,@,CIN,W,12,5,,3-4,4,2.0,Isringhausen,Smiley,Franco,2:46,N,15958,.91,+,
8,Wednesday Apr 10,boxscore,NYM,@,CIN,L,7,9,,3-5,4,2.0,Pugh,MacDonald,Brantley,3:16,N,16775,.96,-,
9,Thursday Apr 11,boxscore,NYM,@,COL,L,3,7,,3-6,4,3.0,Reynoso,Mlicki,,2:54,N,48010,.91,--,
10,Friday Apr 12,boxscore,NYM,@,COL,L,5,6,,3-7,5,4.0,Freeman,Clark,Leskanic,2:41,N,50045,.89,---,
11,Sunday Apr 14,boxscore,NYM,@,COL,W,10,4,,4-7,4,2.5,Harnisch,Ritz,Henry,3:01,N,48051,.84,+,
12,Tuesday Apr 16,boxscore,NYM,,HOU,L,6,9,,4-8,4,3.5,Reynolds,Isringhausen,Jones,3:17,N,13795,.87,-,
13,Wednesday Apr 17,boxscore,NYM,,HOU,L,5,7,,4-9,4,3.5,Kile,Wilson,Jones,2:55,D,12065,.83,--,
14,Friday Apr 19,boxscore,NYM,,COL,L,3,5,,4-10,5,4.0,Ritz,Harnisch,Leskanic,2:50,N,16225,.80,---,
15,Saturday Apr 20,boxscore,NYM,,COL,W-wo,4,3,10,5-10,5,4.0,Franco,Habyan,,2:40,D,20847,.69,+,
16,Sunday Apr 21,boxscore,NYM,,COL,L,4,6,,5-11,5,5.0,Leskanic,Franco,,2:56,D,22737,.74,-,
17,Monday Apr 22,boxscore,NYM,,CIN,W,5,1,,6-11,5,5.0,Wilson,Portugal,,2:26,N,14568,.69,+,
18,Tuesday Apr 23,boxscore,NYM,,CIN,W-wo,8,6,10,7-11,4,5.0,Henry,Shaw,,2:51,N,14357,.73,++,
19,Wednesday Apr 24,boxscore,NYM,@,STL,L,4,9,,7-12,4,6.0,Petkovsek,Harnisch,,2:42,N,23189,.79,-,
20,Thursday Apr 25,boxscore,NYM,@,STL,W,9,3,,8-12,4,6.0,Clark,Benes,,2:35,D,26933,.72,+,
21,Friday Apr 26,boxscore,NYM,@,PIT,L,6,10,,8-13,5,7.0,Christiansen,Isringhausen,,2:33,N,13185,.79,-,
22,Saturday Apr 27,boxscore,NYM,@,PIT,W,7,4,,9-13,4,6.0,Mlicki,Miceli,Franco,3:01,N,16698,.70,+,
23,Sunday Apr 28,boxscore,NYM,@,PIT,W,7,5,,10-13,4,6.0,Jones,Wagner,Franco,2:37,D,27706,.75,++,
24,Monday Apr 29,boxscore,NYM,,MON,W,3,2,,11-13,4,5.0,Harnisch,Fassero,Franco,2:49,N,14011,.93,+++,
25,Wednesday May 1 (1),boxscore,NYM,,MON,L,0,4,,11-14,4,5.0,Martínez,Clark,,2:16,N,,1.01,-,1996-04-30 (Rain)
26,Wednesday May 1 (2),boxscore,NYM,,MON,W,6,0,,12-14,4,5.0,Isringhausen,Álvarez,,2:57,N,16937,.92,+,
