--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Tuesday Apr 2,boxscore,NYY,@,CLE,W,7,1,,1-0,1,Tied,Cone,Martínez,,3:08,D,42289,1.01,+,1996-04-01 (Snow)
2,Wednesday Apr 3,boxscore,NYY,@,CLE,W,5,1,,2-0,1,Tied,Pettitte,McDowell,Nelson,3:18,N,41843,1.01,++,
3,Saturday Apr 6,boxscore,NYY,@,TEX,L,2,4,,2-1,3,1.0,Witt,Key,Henneman,2:48,N,35510,1.08,-,
4,Sunday Apr 7 (1),boxscore,NYY,@,TEX,L,2,7,,2-2,3,2.5,Hill,Gooden,,2:57,D,,1.08,--,1996-04-05 (Rain)
5,Sunday Apr 7 (2),boxscore,NYY,@,TEX,L,1,4,,2-3,3,2.5,Pavlik,Howe,Vosberg,2:52,N,36248,1.02,---,
6,Tuesday Apr 9,boxscore,NYY,,KCR,W,7,3,,3-3,3,2.0,Pettitte,Haney,,3:04,D,56329,.96,+,
7,Thursday Apr 11,boxscore,NYY,,KCR,W,5,3,,4-3,3,2.5,Key,Belcher,Howe,2:41,D,17519,1.00,++,
8,Friday Apr 12,boxscore,NYY,,TEX,W,4,3,,5-3,2,2.5,Cone,Hill,Wetteland,2:51,N,20238,1.08,+++,
9,Saturday Apr 13,boxscore,NYY,,TEX,L,6,10,,5-4,2,3.5,Pavlik,Gooden,Vosberg,3:32,D,19603,1.09,-,
10,Sunday Apr 14,boxscore,NYY,,TEX,W,12,3,,6-4,2,2.5,Pettitte,Gross,,3:00,D,20181,1.01,+,
11,Tuesday Apr 16,boxscore,NYY,@,MIL,L,3,6,,6-5,2,3.5,Karl,Key,,2:40,N,7059,1.10,-,
12,Wednesday Apr 17,boxscore,NYY,@,MIL,L,4,8,,6-6,2,4.5,Bones,Cone,,3:00,D,7124,1.08,--,
13,Friday Apr 19,boxscore,NYY,@,MIN,L,1,7,,6-7,2,4.0,Rodriguez,Gooden,,2:55,N,20279,1.03,---,
14,Saturday Apr 20,boxscore,NYY,@,MIN,W,7,6,,7-7,2,3.0,Wickman,Guardado,Wetteland,3:14,N,24586,.98,+,
15,Sunday Apr 21,boxscore,NYY,@,MIN,W,9,5,,8-7,2,2.0,Rogers,Radke,,3:00,D,20115,1.04,++,
16,Monday Apr 22,boxscore,NYY,@,KCR,W,6,2,,9-7,2,1.0,Cone,Appier,,3:20,N,14763,1.08,+++,
17,Tuesday Apr 23,boxscore,NYY,@,KCR,L,2,5,,9-8,2,1.0,Gubicza,Key,Montgomery,2:25,N,12536,1.13,-,
18,Wednesday Apr 24,boxscore,NYY,,CLE,W,10,8,,10-8,2,1.0,Kamieniecki,Martínez,,3:37,N,20187,1.10,+,
19,Thursday Apr 25,boxscore,NYY,,CLE,L,3,4,,10-9,2,2.0,Poole,Pettitte,Mesa,3:07,N,18580,1.16,-,
20,Friday Apr 26,boxscore,NYY,,MIN,W,5,4,,11-9,2,1.0,Rivera,Radke,Wetteland,3:00,N,14450,1.14,+,
21,Saturday Apr 27,boxscore,NYY,,MIN,L,6,8,10,11-10,2,1.0,Bennett,Wickman,,3:57,D,20025,1.14,-,
22,Sunday Apr 28,boxscore,NYY,,MIN,W,6,3,,12-10,1,Tied,Rivera,Rodriguez,Wetteland,3:02,D,24793,1.15,+,
