--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Monday Apr 1,boxscore,OAK,,TOR,L,6,9,,0-1,4,1.0,Hanson,Reyes,Timlin,3:02,N,7294,1.02,-,1996-04-01 (Renovations at OAK; Played at LVN; OAK home team)
2,Wednesday Apr 3,boxscore,OAK,,TOR,L,4,10,,0-2,4,2.0,Hentgen,Prieto,,3:12,N,8050,.99,--,1996-04-03 (Renovations at OAK; Played at LVN; OAK home team)
3,Thursday Apr 4,boxscore,OAK,,DET,L,9,10,15,0-3,4,3.0,Keagle,Small,,4:47,D,8346,.94,---,1996-04-04 (Renovations at OAK; Played at LVN; OAK home team)
4,Friday Apr 5,boxscore,OAK,,DET,W,13,2,,1-3,4,2.5,Johns,Gohr,,2:50,N,11149,.88,+,1996-04-05 (Renovations at OAK; Played at LVN; OAK home team)
5,Saturday Apr 6,boxscore,OAK,,DET,L,1,6,,1-4,4,3.5,Lira,Reyes,,3:03,D,10424,.93,-,1996-04-06 (Renovations at OAK; Played at LVN; OAK home team)
6,Sunday Apr 7,boxscore,OAK,,DET,W-wo,7,6,,2-4,4,4.0,Corsi,Williams,,3:03,D,9723,.85,+,1996-04-07 (Renovations at OAK; Played at LVN; OAK home team)
7,Tuesday Apr 9,boxscore,OAK,@,MIL,L,4,10,,2-5,4,5.0,McDonald,Van Poppel,,2:52,D,42090,.90,-,
8,Thursday Apr 11,boxscore,OAK,@,MIL,W,11,0,,3-5,4,4.0,Johns,Karl,,2:50,D,12236,.87,+,
9,Friday Apr 12,boxscore,OAK,@,CHW,W,7,2,,4-5,4,3.0,Reyes,Fernandez,,2:45,D,13623,.89,++,
10,Saturday Apr 13,boxscore,OAK,@,CHW,L-wo,5,6,12,4-6,4,4.0,Karchner,Wengert,,4:03,D,15812,.96,-,
11,Sunday Apr 14,boxscore,OAK,@,CHW,W,10,5,,5-6,3,3.0,Groom,Simas,,3:23,D,15236,.88,+,
12,Monday Apr 15,boxscore,OAK,@,TEX,W,8,3,,6-6,3,2.5,Mohler,Heredia,,3:12,N,19312,1.16,++,
13,Tuesday Apr 16,boxscore,OAK,@,TEX,L,3,5,,6-7,3,3.5,Witt,Johns,Henneman,2:59,N,20948,1.22,-,
14,Wednesday Apr 17,boxscore,OAK,@,TEX,L,1,12,,6-8,3,4.5,Hill,Reyes,,2:22,N,24120,1.17,--,
15,Friday Apr 19,boxscore,OAK,,CHW,L,3,4,,6-9,4,5.0,Karchner,Briscoe,Hernández,3:13,N,31320,.89,---,
16,Saturday Apr 20,boxscore,OAK,,CHW,L,3,8,,6-10,4,6.0,Tapani,Van Poppel,,2:46,D,16480,.82,----,
17,Sunday Apr 21,boxscore,OAK,,CHW,W,6,5,,7-10,4,6.0,Corsi,Simas,Mohler,2:58,D,16125,.76,+,
18,Monday Apr 22,boxscore,OAK,,MIL,W,6,2,,8-10,4,5.0,Reyes,Bones,Briscoe,2:46,N,6021,.79,++,
19,Tuesday Apr 23,boxscore,OAK,,MIL,W,9,6,,9-10,4,4.0,Wojciechowski,Sparks,Mohler,2:38,D,7026,.89,+++,
20,Wednesday Apr 24,boxscore,OAK,@,TOR,W,7,6,,10-10,4,3.0,Prieto,Hentgen,Corsi,3:12,N,28029,.93,++++,
21,Thursday Apr 25,boxscore,OAK,@,TOR,W,4,3,11,11-10,4,2.0,Mohler,Crabtree,,3:08,N,26163,1.01,+++++,
22,Friday Apr 26,boxscore,OAK,@,DET,L,5,14,,11-11,4,3.0,Christopher,Johns,,3:15,N,7941,1.06,-,
23,Saturday Apr 27,boxscore,OAK,@,DET,W,4,1,,12-11,4,3.0,Reyes,Lira,Taylor,2:50,D,13067,1.01,+,
24,Sunday Apr 28,boxscore,OAK,@,DET,W,6,3,,13-11,3,3.0,Wojciechowski,Gohr,Taylor,2:58,D,8907,1.03,++,
25,Tuesday Apr 30,boxscore,OAK,,CAL,L,3,7,,13-12,3,2.5,Langston,Prieto,,2:53,N,7154,1.23,-,
26,Wednesday May 1,boxscore,OAK,,CAL,L,4,6,,13-13,4,3.5,Boskie,Van Poppel,Percival,2:44,N,6721,1.19,--,
27,Thursday May 2,boxscore,OAK,,CAL,L,1,3,,13-14,4,3.5,Abbott,Johns,Percival,2:41,D,9102,1.15,---,
28,Friday May 3,boxscore,OAK,@,KCR,L,1,3,,13-15,4,4.5,Appier,Reyes,Montgomery,2:56,N,14452,.94,----,
29,Saturday May 4,boxscore,OAK,@,KCR,W,5,2,,14-15,4,4.5,Wojciechowski,Gubicza,Groom,2:44,N,15987,.86,+,
30,Sunday May 5,boxscore,OAK,@,KCR,L,0,2,,14-16,4,5.5,Haney,Prieto,,2:16,D,16589,.93,-,
31,Monday May 6,boxscore,OAK,,CLE,W,5,3,,15-16,4,5.0,Taylor,Assenmacher,Mohler,2:52,N,47313,.84,+,
32,Tuesday May 7,boxscore,OAK,,CLE,W,8,4,,16-16,4,5.0,Johns,Hershiser,,2:58,D,10126,.91,++,
33,Wednesday May 8,boxscore,OAK,,CLE,L,3,7,,16-17,4,6.0,Nagy,Reyes,,2:46,N,9288,1.01,-,
34,Friday May 10,boxscore,OAK,,MIN,W,15,5,,17-17,4,5.5,Wojciechowski,Rodriguez,,3:05,N,8278,.98,+,
35,Saturday May 11,boxscore,OAK,,MIN,W,12,5,,18-17,4,5.5,Prieto,Radke,,2:49,D,15791,1.01,++,
36,Sunday May 12,boxscore,OAK,,MIN,W,8,3,,19-17,3,4.5,Wengert,Parra,,2:36,D,13430,1.04,+++,
37,Monday May 13,boxscore,OAK,,BAL,L,3,4,,19-18,3,5.5,Krivda,Johns,Myers,2:44,N,8204,1.13,-,
38,Tuesday May 14,boxscore,OAK,,BAL,L,1,9,,19-19,3,6.5,Mussina,Reyes,,2:56,N,8466,1.07,--,
39,Friday May 17,boxscore,OAK,@,BOS,L-wo,3,5,11,19-20,3,6.0,Stanton,Van Poppel,,3:25,N,28690,.97,---,
40,Saturday May 18,boxscore,OAK,@,BOS,W,6,5,10,20-20,3,6.0,Groom,Garcés,Taylor,3:26,D,31663,.92,+,
41,Sunday May 19,boxscore,OAK,@,BOS,L,2,12,,20-21,3,6.0,Sele,Wengert,,3:07,D,32601,.97,-,
42,Monday May 20,boxscore,OAK,@,BOS,L,4,16,,20-22,3,6.5,Gordon,Johns,,3:07,N,20890,.93,--,
43,Tuesday May 21,boxscore,OAK,@,NYY,L,3,7,,20-23,4,6.5,Gooden,Reyes,,2:47,N,15614,.91,---,
44,Wednesday May 22,boxscore,OAK,@,NYY,W,5,1,,21-23,3,6.5,Wojciechowski,Pettitte,Mohler,2:29,N,18544,.86,+,
45,Thursday May 23,boxscore,OAK,@,NYY,L,3,4,,21-24,3,6.5,Rogers,Taylor,Wetteland,2:27,D,19315,.84,-,
46,Friday May 24,boxscore,OAK,@,BAL,L-wo,4,5,10,21-25,4,6.5,McDowell,Reyes,,3:33,N,45024,.84,--,
47,Saturday May 25,boxscore,OAK,@,BAL,W,6,3,,22-25,3,6.5,Johns,Wells,Groom,3:19,D,47353,.76,+,
48,Sunday May 26,boxscore,OAK,@,BAL,L,1,6,,22-26,4,7.5,Mercker,Chouinard,McDowell,2:28,D,47401,.83,-,
49,Monday May 27,boxscore,OAK,,BOS,L,3,10,,22-27,4,8.5,Wakefield,Wojciechowski,,2:30,D,21688,.70,--,
50,Tuesday May 28,boxscore,OAK,,BOS,W,6,2,,23-27,4,8.5,Wasdin,Clemens,,2:35,N,9338,.62,+,
51,Wednesday May 29,boxscore,OAK,,BOS,W-wo,7,6,10,24-27,4,8.5,Mohler,Slocumb,,3:10,N,8282,.67,++,
52,Friday May 31,boxscore,OAK,,NYY,L,1,4,,24-28,4,9.5,Key,Johns,Wetteland,2:44,N,13279,.73,-,
53,Saturday Jun 1,boxscore,OAK,,NYY,L,3,6,,24-29,4,9.5,Pettitte,Chouinard,Wetteland,3:12,D,21354,.61,--,
54,Sunday Jun 2,boxscore,OAK,,NYY,L,4,11,,24-30,4,9.5,Rogers,Wojciechowski,Wetteland,3:11,D,26331,.57,---,
55,Monday Jun 3,boxscore,OAK,,KCR,W,2,1,,25-30,4,9.5,Wasdin,Appier,Taylor,2:29,N,6465,.49,+,
56,Tuesday Jun 4,boxscore,OAK,,KCR,W,8,3,,26-30,4,8.5,Wengert,Gubicza,,2:42,D,11524,.53,++,
