--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Tuesday Apr 2,boxscore,PHI,,COL,L,3,5,,0-1,3,1.0,Ritz,Fernandez,,2:55,N,36751,.97,-,1996-04-01 (Inclement weather)
2,Wednesday Apr 3,boxscore,PHI,,COL,W,3,1,,1-1,2,1.0,Grace,Freeman,Bottalico,2:27,N,15648,.94,+,
3,Thursday Apr 4,boxscore,PHI,,COL,W,7,4,,2-1,1,Tied,Mulholland,Rekar,Bottalico,2:40,N,16220,1.01,++,
4,Friday Apr 5,boxscore,PHI,,CIN,L,5,6,10,2-2,2,1.0,Shaw,Borland,Moore,3:16,N,17318,1.05,-,
5,Saturday Apr 6,boxscore,PHI,,CIN,L,4,8,,2-3,2,1.0,Salkeld,Hunter,,3:19,N,17958,1.00,--,
6,Monday Apr 8,boxscore,PHI,@,PIT,W,6,3,,3-3,2,1.5,Fernandez,Neagle,,3:04,N,41416,.96,+,
7,Wednesday Apr 10,boxscore,PHI,@,PIT,W,7,6,,4-3,2,0.5,Grace,Christiansen,Bottalico,2:45,D,7075,1.00,++,
8,Thursday Apr 11,boxscore,PHI,@,STL,L,1,2,,4-4,2,1.5,Benes,Mulholland,Mathews,2:19,N,23412,1.09,-,
9,Friday Apr 12,boxscore,PHI,@,STL,L,1,6,,4-5,2,2.5,Urbani,Williams,,2:36,N,26753,1.02,--,
10,Saturday Apr 13,boxscore,PHI,@,STL,W,4,2,,5-5,2,1.5,Hunter,Fossas,Bottalico,3:06,D,28913,.97,+,
11,Sunday Apr 14,boxscore,PHI,@,STL,L,5,6,,5-6,2,1.5,Mathews,Fernandez,Eckersley,3:15,D,27545,1.04,-,
12,Tuesday Apr 16,boxscore,PHI,@,MON,L-wo,6,7,,5-7,3,2.5,Rojas,Springer,,3:00,N,8510,1.19,--,
13,Wednesday Apr 17,boxscore,PHI,@,MON,W,9,3,,6-7,3,1.5,Mulholland,Cormier,,2:58,N,8728,1.14,+,
14,Thursday Apr 18,boxscore,PHI,@,MON,W,9,8,,7-7,2,0.5,Bottalico,Rojas,,3:15,N,8316,1.20,++,
15,Friday Apr 19,boxscore,PHI,,STL,L,0,1,,7-8,3,1.5,Bailey,Springer,Eckersley,2:51,N,25614,1.06,-,
16,Saturday Apr 20,boxscore,PHI,,STL,L,0,1,,7-9,3,2.5,Benes,Bottalico,Eckersley,2:46,N,23630,1.04,--,
17,Sunday Apr 21,boxscore,PHI,,STL,W,4,2,,8-9,3,2.5,Grace,Benes,Bottalico,2:33,D,32896,.96,+,
18,Monday Apr 22,boxscore,PHI,,PIT,L,3,9,,8-10,3,3.5,Darwin,Mulholland,,2:33,N,17604,1.01,-,
19,Tuesday Apr 23,boxscore,PHI,,PIT,W,6,2,,9-10,3,3.5,Springer,Wagner,Ryan,2:46,D,19254,.94,+,
20,Wednesday Apr 24,boxscore,PHI,@,COL,W,10,8,,10-10,3,3.5,Borland,Reed,Bottalico,3:23,N,48047,.97,++,
21,Thursday Apr 25,boxscore,PHI,@,COL,W,7,1,,11-10,2,3.5,Fernandez,Thompson,Ryan,3:22,D,48033,1.03,+++,
22,Friday Apr 26,boxscore,PHI,@,CIN,W,2,0,,12-10,2,3.5,Grace,Burba,Bottalico,2:36,N,21842,1.09,++++,
23,Saturday Apr 27,boxscore,PHI,@,CIN,W,3,2,,13-10,2,2.5,Leiper,Portugal,Bottalico,2:25,D,22555,1.10,+++++,
24,Tuesday Apr 30,boxscore,PHI,@,FLA,L,2,7,,13-11,3,3.0,Rapp,Williams,Nen,2:40,N,15252,1.20,-,
25,Wednesday May 1,boxscore,PHI,@,FLA,W,6,5,,14-11,3,2.5,Ryan,Leiter,Bottalico,3:24,N,14672,1.16,+,
26,Thursday May 2,boxscore,PHI,@,FLA,W,2,0,,15-11,2,2.0,Grace,Brown,Bottalico,2:52,N,14888,1.24,++,
27,Friday May 3,boxscore,PHI,@,ATL,W,6,3,,16-11,2,1.0,Mulholland,Maddux,Bottalico,2:13,N,39697,1.39,+++,
