--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Monday Apr 1,boxscore,PIT,@,FLA,W,4,0,,1-0,1,Tied,Wagner,Brown,,2:32,D,41815,.99,+,
2,Tuesday Apr 2,boxscore,PIT,@,FLA,W,4,1,,2-0,1,up 0.5,Christiansen,Peña,Miceli,2:13,N,20243,1.03,++,
3,Thursday Apr 4,boxscore,PIT,@,FLA,L,2,6,,2-1,1,Tied,Leiter,Ericks,,2:45,D,19008,1.07,-,
4,Friday Apr 5,boxscore,PIT,@,NYM,W,7,5,,3-1,1,Tied,Smith,Mlicki,,2:52,N,16088,1.06,+,
5,Saturday Apr 6,boxscore,PIT,@,NYM,W,5,0,,4-1,1,up 1.0,Darwin,Clark,,2:41,D,20756,1.09,++,
6,Monday Apr 8,boxscore,PIT,,PHI,L,3,6,,4-2,2,0.5,Fernandez,Neagle,,3:04,N,41416,1.07,-,
7,Wednesday Apr 10,boxscore,PIT,,PHI,L,6,7,,4-3,3,0.5,Grace,Christiansen,Bottalico,2:45,D,7075,1.06,--,
8,Thursday Apr 11,boxscore,PIT,,MON,L,5,6,11,4-4,4,1.0,Rojas,Córdova,Veres,3:50,D,8084,1.06,---,
9,Friday Apr 12,boxscore,PIT,,MON,L,3,13,,4-5,4,1.5,Rueter,Darwin,,2:54,N,13087,1.03,----,
10,Saturday Apr 13,boxscore,PIT,,MON,W,9,3,,5-5,2,0.5,Wagner,Fassero,,2:42,D,13834,.97,+,
11,Sunday Apr 14,boxscore,PIT,,MON,W,5,2,,6-5,3,0.5,Neagle,Martínez,,2:35,D,12797,1.03,++,
12,Monday Apr 15,boxscore,PIT,@,STL,L,4,6,,6-6,3,1.5,Benes,Ericks,Honeycutt,2:52,N,18731,1.17,-,
13,Tuesday Apr 16,boxscore,PIT,@,STL,W,13,3,,7-6,3,0.5,Smith,Benes,Lieber,2:37,N,21349,1.14,+,
14,Wednesday Apr 17,boxscore,PIT,@,STL,L,1,6,,7-7,4,1.5,Osborne,Darwin,,2:22,N,23074,1.19,-,
15,Thursday Apr 18,boxscore,PIT,@,STL,W,6,2,,8-7,3,1.0,Wagner,Stottlemyre,,2:40,D,25700,1.15,+,
16,Friday Apr 19,boxscore,PIT,@,MON,L-wo,1,2,,8-8,3,2.0,Manuel,Plesac,,2:23,N,13256,1.09,-,
17,Saturday Apr 20,boxscore,PIT,@,MON,L,2,11,,8-9,4,2.5,Martínez,Ericks,,2:11,D,14022,1.06,--,
18,Sunday Apr 21,boxscore,PIT,@,MON,L,4,9,,8-10,5,2.5,Veres,Christiansen,,2:38,D,11361,.99,---,
19,Monday Apr 22,boxscore,PIT,@,PHI,W,9,3,,9-10,4,1.5,Darwin,Mulholland,,2:33,N,17604,.92,+,
20,Tuesday Apr 23,boxscore,PIT,@,PHI,L,2,6,,9-11,4,2.0,Springer,Wagner,Ryan,2:46,D,19254,1.01,-,
21,Wednesday Apr 24,boxscore,PIT,,FLA,W,6,3,,10-11,3,1.5,Neagle,Rapp,,2:40,N,9812,.97,+,
22,Thursday Apr 25,boxscore,PIT,,FLA,L,1,4,,10-12,3,1.5,Leiter,Hope,Nen,2:48,D,8315,1.02,-,
23,Friday Apr 26,boxscore,PIT,,NYM,W,10,6,,11-12,2,0.5,Christiansen,Isringhausen,,2:33,N,13185,1.00,+,
24,Saturday Apr 27,boxscore,PIT,,NYM,L,4,7,,11-13,3,1.0,Mlicki,Miceli,Franco,3:01,N,16698,1.02,-,
25,Sunday Apr 28,boxscore,PIT,,NYM,L,5,7,,11-14,4,2.0,Jones,Wagner,Franco,2:37,D,27706,1.02,--,
26,Tuesday Apr 30,boxscore,PIT,@,CIN,W,10,7,,12-14,3,0.5,Neagle,Smiley,Córdova,2:57,N,16243,1.07,+,
27,Wednesday May 1,boxscore,PIT,@,CIN,W,4,3,,13-14,3,0.5,Hope,Burba,Plesac,2:56,N,18197,1.13,++,
28,Friday May 3,boxscore,PIT,,LAD,L,1,10,,13-15,3,1.5,Park,Darwin,,3:06,N,18268,1.08,-,
29,Saturday May 4,boxscore,PIT,,LAD,W,7,2,,14-15,3,0.5,Wagner,Candiotti,,2:48,N,20321,1.00,+,
30,Sunday May 5,boxscore,PIT,,LAD,W,4,2,,15-15,2,0.5,Neagle,Valdez,Plesac,2:30,D,19206,1.04,++,
31,Monday May 6,boxscore,PIT,,LAD,L,4,8,,15-16,3,0.5,Nomo,Hope,Radinsky,2:50,D,9415,1.10,-,
32,Wednesday May 8 (1),boxscore,PIT,,SDP,L,4,5,,15-17,2,0.5,Tewksbury,May,Hoffman,2:09,N,,1.06,--,1996-05-07 (Rain)
33,Wednesday May 8 (2),boxscore,PIT,,SDP,W,4,3,,16-17,2,0.5,Christiansen,Sanders,Córdova,2:52,N,8508,1.02,+,
34,Thursday May 9,boxscore,PIT,,SDP,L,1,7,,16-18,2,1.5,Ashby,Wagner,,2:38,N,10863,1.03,-,
35,Friday May 10,boxscore,PIT,,SFG,L,4,5,10,16-19,3,1.5,DeLucia,Córdova,Beck,2:58,N,17611,1.00,--,
36,Saturday May 11,boxscore,PIT,,SFG,L,7,12,,16-20,3,1.5,VanLandingham,Hope,,3:19,N,16591,.94,---,
37,Sunday May 12,boxscore,PIT,,SFG,L,2,7,,16-21,4,1.5,Watson,Smith,,2:34,D,17132,.89,----,
38,Monday May 13,boxscore,PIT,@,ATL,L,3,9,,16-22,4,2.0,Glavine,Darwin,,2:27,N,28583,.83,-----,
