--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Monday Apr 1,boxscore,SDP,@,CHC,L-wo,4,5,10,0-1,3,1.0,Patterson,Hoffman,,2:52,D,38734,1.06,-,
2,Wednesday Apr 3,boxscore,SDP,@,CHC,W,7,5,,1-1,1,Tied,Hamilton,Castillo,Hoffman,3:00,D,29638,1.02,+,
3,Friday Apr 5,boxscore,SDP,@,HOU,W,10,4,,2-1,1,up 0.5,Tewksbury,Kile,,3:06,N,28629,1.02,++,
4,Saturday Apr 6,boxscore,SDP,@,HOU,W,8,4,13,3-1,1,up 1.5,Hoffman,Small,,4:13,N,24510,1.10,+++,
5,Sunday Apr 7,boxscore,SDP,@,HOU,W,17,2,,4-1,1,up 1.5,Bergman,Swindell,,2:35,D,16258,1.14,++++,
6,Monday Apr 8,boxscore,SDP,,FLA,W,9,2,,5-1,1,up 2.5,Hamilton,Hammond,,2:32,D,44470,1.14,+++++,
7,Tuesday Apr 9,boxscore,SDP,,FLA,L,2,5,10,5-2,1,up 1.5,Leiter,Blair,,3:19,N,15160,1.12,-,
8,Wednesday Apr 10,boxscore,SDP,,FLA,W,3,0,,6-2,1,up 1.5,Tewksbury,Rapp,Hoffman,2:39,N,10510,1.16,+,
9,Thursday Apr 11,boxscore,SDP,,ATL,W,2,1,,7-2,1,up 2.0,Ashby,Maddux,Hoffman,2:03,D,19047,1.17,++,
10,Friday Apr 12,boxscore,SDP,,ATL,L,3,5,,7-3,1,up 1.0,Schmidt,Bergman,Wohlers,2:59,N,25747,1.18,-,
11,Saturday Apr 13,boxscore,SDP,,ATL,W,6,2,,8-3,1,up 1.0,Hamilton,Glavine,Bochtler,2:20,N,45250,1.17,+,
12,Sunday Apr 14,boxscore,SDP,,ATL,L,0,4,,8-4,1,up 1.0,Smoltz,Valenzuela,,2:25,D,45014,1.17,-,
13,Monday Apr 15,boxscore,SDP,@,COL,L,9,11,,8-5,1,up 0.5,Ruffin,Blair,Leskanic,3:22,N,48027,1.35,--,
14,Tuesday Apr 16,boxscore,SDP,@,COL,W,10,6,,9-5,1,up 0.5,Ashby,Reynoso,,3:25,N,48031,1.32,+,
15,Wednesday Apr 17,boxscore,SDP,@,COL,W,11,6,,10-5,1,up 1.5,Florie,Freeman,,3:25,D,48011,1.36,++,
16,Friday Apr 19,boxscore,SDP,@,ATL,L,1,7,,10-6,1,up 2.0,Smoltz,Hamilton,,2:06,N,27375,1.20,-,
17,Saturday Apr 20,boxscore,SDP,@,ATL,L,5,6,,10-7,1,up 1.0,McMichael,Bochtler,Wohlers,2:47,N,31893,1.19,--,
18,Sunday Apr 21,boxscore,SDP,@,ATL,W,2,1,15,11-7,1,up 1.0,Worrell,Thobe,Bochtler,4:37,D,28829,1.23,+,
19,Monday Apr 22,boxscore,SDP,@,FLA,W,5,3,,12-7,1,up 2.0,Ashby,Burkett,,2:25,N,17473,1.19,++,
20,Tuesday Apr 23,boxscore,SDP,@,FLA,W,7,2,,13-7,1,up 2.5,Bergman,Hammond,,2:39,D,19667,1.20,+++,
21,Wednesday Apr 24,boxscore,SDP,,CHC,W,5,4,,14-7,1,up 3.5,Hamilton,Foster,Hoffman,2:51,N,15608,1.22,++++,
22,Thursday Apr 25,boxscore,SDP,,CHC,W,8,3,,15-7,1,up 4.0,Tewksbury,Bullinger,,2:48,D,18736,1.23,+++++,
23,Friday Apr 26,boxscore,SDP,,HOU,W,3,2,,16-7,1,up 4.5,Worrell,Hampton,Hoffman,2:49,N,21254,1.26,++++++,
24,Saturday Apr 27,boxscore,SDP,,HOU,L,0,6,,16-8,1,up 4.0,Reynolds,Ashby,,2:59,N,38309,1.24,-,
25,Sunday Apr 28,boxscore,SDP,,HOU,L,2,3,,16-9,1,up 3.0,Kile,Bergman,Jones,2:31,D,27208,1.24,--,
26,Monday Apr 29,boxscore,SDP,,HOU,W,2,0,,17-9,1,up 3.5,Hamilton,Brocail,,2:08,D,8979,1.25,+,
27,Tuesday Apr 30,boxscore,SDP,,SFG,L,4,9,,17-10,1,up 2.5,Watson,Tewksbury,,2:23,N,14170,1.47,-,
28,Wednesday May 1,boxscore,SDP,,SFG,W,9,4,,18-10,1,up 3.5,Valenzuela,Gardner,,2:35,N,14878,1.55,+,
29,Friday May 3,boxscore,SDP,,STL,L,1,3,,18-11,1,up 3.5,Osborne,Ashby,Eckersley,2:29,N,21335,1.24,-,
30,Saturday May 4,boxscore,SDP,,STL,L,3,4,,18-12,1,up 3.0,Stottlemyre,Bergman,Eckersley,2:44,N,44375,1.26,--,
31,Sunday May 5,boxscore,SDP,,STL,W,10,4,,19-12,1,up 3.0,Hamilton,Benes,,2:44,D,27435,1.27,+,
32,Wednesday May 8 (1),boxscore,SDP,@,PIT,W,5,4,,20-12,1,up 3.5,Tewksbury,May,Hoffman,2:09,N,,1.25,++,1996-05-07 (Rain)
33,Wednesday May 8 (2),boxscore,SDP,@,PIT,L,3,4,,20-13,1,up 3.5,Christiansen,Sanders,Córdova,2:52,N,8508,1.26,-,
34,Thursday May 9,boxscore,SDP,@,PIT,W,7,1,,21-13,1,up 4.5,Ashby,Wagner,,2:38,N,10863,1.27,+,
35,Friday May 10,boxscore,SDP,@,CIN,L,6,8,,21-14,1,up 3.5,McElroy,Florie,Brantley,2:51,N,22508,1.26,-,
36,Saturday May 11,boxscore,SDP,@,CIN,L,0,1,,21-15,1,up 2.5,Smiley,Hamilton,Brantley,2:06,N,24983,1.27,--,
37,Sunday May 12,boxscore,SDP,@,CIN,W,5,0,,22-15,1,up 2.5,Tewksbury,Burba,,2:37,D,22786,1.28,+,
38,Monday May 13,boxscore,SDP,,NYM,W,5,2,,23-15,1,up 2.5,Valenzuela,Isringhausen,,2:27,N,12829,1.27,++,
39,Tuesday May 14,boxscore,SDP,,NYM,W,9,4,,24-15,1,up 3.5,Ashby,Wilson,,2:57,N,12168,1.27,+++,
40,Wednesday May 15,boxscore,SDP,,NYM,W-wo,4,3,10,25-15,1,up 4.5,Worrell,Franco,,2:48,N,12166,1.29,++++,
41,Thursday May 16,boxscore,SDP,,NYM,L,3,6,,25-16,1,up 4.0,Harnisch,Hamilton,Franco,2:29,D,17341,1.21,-,
