--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Sunday Mar 31,boxscore,SEA,,CHW,W-wo,3,2,12,1-0,1,up 0.5,Hurtado,Simas,,4:07,N,57467,1.03,+,1996-04-01 (Schedule change)
2,Tuesday Apr 2,boxscore,SEA,,CHW,W,3,2,,2-0,1,up 0.5,Hitchcock,Álvarez,Charlton,2:41,N,38570,1.05,++,
3,Wednesday Apr 3,boxscore,SEA,,CHW,L,2,4,,2-1,2,0.5,Magrane,Wolcott,Hernández,2:49,D,22783,1.10,-,
4,Friday Apr 5,boxscore,SEA,,MIL,L,6,10,,2-2,3,1.5,Karl,Hurtado,,2:36,N,27768,1.13,--,
5,Saturday Apr 6,boxscore,SEA,,MIL,W,8,5,,3-2,2,1.5,Johnson,Sparks,,2:36,N,56892,1.04,+,
6,Sunday Apr 7,boxscore,SEA,,MIL,W,3,1,,4-2,2,2.0,Hitchcock,Bones,Jackson,2:32,D,21004,1.06,++,
7,Tuesday Apr 9,boxscore,SEA,@,DET,L,9,10,,4-3,2,3.0,Keagle,Menhart,Williams,3:05,D,42932,1.10,-,
8,Wednesday Apr 10,boxscore,SEA,@,DET,L,3,7,,4-4,3,3.5,Olivares,Hurtado,,2:31,D,9299,1.11,--,
9,Thursday Apr 11,boxscore,SEA,@,DET,W,9,1,,5-4,2,2.5,Johnson,Gohr,,2:39,D,12272,1.02,+,
10,Friday Apr 12,boxscore,SEA,@,TOR,W,9,6,,6-4,2,1.5,Hitchcock,Quantrill,,3:11,N,31293,1.10,++,
11,Saturday Apr 13,boxscore,SEA,@,TOR,W,14,3,,7-4,2,1.5,Bosio,Ware,,2:58,D,33645,1.15,+++,
12,Sunday Apr 14,boxscore,SEA,@,TOR,W,9,4,,8-4,2,0.5,Wolcott,Hentgen,,2:17,D,29301,1.17,++++,
13,Monday Apr 15,boxscore,SEA,,CAL,W,11,10,,9-4,1,up 0.5,Charlton,Eichhorn,,3:39,N,36960,1.36,+++++,
14,Tuesday Apr 16,boxscore,SEA,,CAL,W,5,3,,10-4,1,up 0.5,Johnson,Abbott,,2:38,N,25404,1.34,++++++,
15,Wednesday Apr 17,boxscore,SEA,,DET,W,8,3,,11-4,1,up 0.5,Jackson,Veres,,3:24,N,18008,1.26,+++++++,
16,Thursday Apr 18,boxscore,SEA,,DET,W,11,3,,12-4,1,up 1.0,Bosio,Sodowsky,Hurtado,2:38,N,17536,1.24,++++++++,
17,Friday Apr 19,boxscore,SEA,,TOR,L,4,10,,12-5,1,Tied,Hentgen,Wolcott,Bohanon,2:59,N,32189,1.23,-,
18,Saturday Apr 20,boxscore,SEA,,TOR,L,1,3,,12-6,2,1.0,Guzmán,Menhart,Timlin,2:41,N,47487,1.21,--,
19,Sunday Apr 21,boxscore,SEA,,TOR,W,9,5,,13-6,2,1.0,Johnson,Hanson,,2:43,D,34915,1.25,+,
20,Monday Apr 22,boxscore,SEA,,TOR,L,7,16,,13-7,2,1.0,Castillo,Hurtado,,3:09,N,18467,1.28,-,
21,Wednesday Apr 24,boxscore,SEA,@,CHW,L,1,2,,13-8,2,0.5,Álvarez,Bosio,Hernández,2:33,N,15882,1.27,--,
22,Thursday Apr 25,boxscore,SEA,@,CHW,L,3,4,,13-9,2,0.5,Tapani,Wolcott,Hernández,2:28,N,14679,1.27,---,
23,Friday Apr 26,boxscore,SEA,@,MIL,W,6,5,,14-9,2,0.5,Carmona,Potts,Charlton,3:38,N,13072,1.22,+,
24,Saturday Apr 27,boxscore,SEA,@,MIL,W,6,5,,15-9,2,0.5,Wells,Bones,Charlton,2:59,D,17270,1.25,++,
25,Sunday Apr 28,boxscore,SEA,@,MIL,L,9,16,,15-10,2,1.5,Potts,Davis,,3:38,D,19717,1.26,-,
26,Tuesday Apr 30,boxscore,SEA,@,TEX,W,8,0,,16-10,1,Tied,Bosio,Gross,,2:57,N,27272,1.47,+,
27,Wednesday May 1,boxscore,SEA,@,TEX,L,4,5,,16-11,2,1.0,Russell,Jackson,Henneman,2:52,N,31775,1.49,-,
28,Thursday May 2,boxscore,SEA,,CLE,L,4,6,,16-12,2,1.0,Hershiser,Wolcott,Mesa,2:41,N,21711,1.30,--,
29,Friday May 3,boxscore,SEA,,CLE,L,2,5,,16-13,3,2.0,Nagy,Hitchcock,Mesa,2:59,N,38086,1.28,---,
30,Saturday May 4,boxscore,SEA,,CLE,W,5,1,,17-13,3,2.0,Menhart,Lopez,,2:44,N,57133,1.21,+,
31,Sunday May 5,boxscore,SEA,,CLE,L,0,2,,17-14,3,3.0,Martínez,Bosio,Mesa,3:08,D,56883,1.24,-,
32,Monday May 6,boxscore,SEA,,MIN,W,5,4,,18-14,3,2.5,Wells,Radke,Charlton,2:38,N,32203,1.18,+,
33,Tuesday May 7,boxscore,SEA,,MIN,L,0,2,,18-15,3,3.5,Parra,Wolcott,Stevens,2:44,N,15626,1.23,-,
34,Wednesday May 8,boxscore,SEA,,MIN,L,5,7,10,18-16,3,4.5,Guardado,Wells,Stevens,3:33,D,22175,1.18,--,
35,Friday May 10,boxscore,SEA,,KCR,L,10,14,,18-17,3,5.0,Valera,Davis,,3:20,N,24231,1.13,---,
36,Saturday May 11,boxscore,SEA,,KCR,W,11,1,,19-17,2,5.0,Wolcott,Belcher,Carmona,2:49,N,43297,1.07,+,
37,Sunday May 12,boxscore,SEA,,KCR,W,8,5,,20-17,2,4.0,Johnson,Linton,Charlton,3:13,D,27470,1.12,++,
38,Tuesday May 14,boxscore,SEA,@,NYY,L,0,2,,20-18,2,5.5,Gooden,Hitchcock,,2:43,N,20786,1.18,-,
39,Wednesday May 15,boxscore,SEA,@,NYY,W,10,5,,21-18,2,4.5,Hurtado,Key,,3:25,N,20680,1.17,+,
40,Friday May 17,boxscore,SEA,@,BAL,L-wo,13,14,,21-19,2,4.5,Mills,Charlton,,4:20,N,47259,1.21,-,
41,Saturday May 18,boxscore,SEA,@,BAL,W,7,3,,22-19,2,4.5,Milacki,Mercker,,3:00,N,46434,1.19,+,
42,Sunday May 19,boxscore,SEA,@,BAL,L,7,8,,22-20,2,4.5,Mussina,Hurtado,Myers,3:07,D,47565,1.20,-,
43,Tuesday May 21,boxscore,SEA,@,BOS,W,13,7,,23-20,2,3.5,Wells,Eshelman,,3:15,N,24528,1.16,+,
44,Wednesday May 22,boxscore,SEA,@,BOS,W,6,1,,24-20,2,3.5,Wolcott,Wakefield,,2:37,N,26753,1.17,++,
45,Thursday May 23,boxscore,SEA,@,BOS,L,4,11,,24-21,2,3.5,Clemens,Milacki,,3:10,N,31551,1.20,-,
46,Friday May 24,boxscore,SEA,,NYY,W,10,4,,25-21,2,2.5,Hitchcock,Kamieniecki,,2:58,N,44236,1.24,+,
47,Saturday May 25,boxscore,SEA,,NYY,L,4,5,,25-22,2,3.5,Mendoza,Hurtado,Wetteland,2:51,N,57173,1.25,-,
48,Sunday May 26,boxscore,SEA,,NYY,W,4,3,,26-22,2,3.5,Menhart,Gooden,Charlton,2:43,N,42410,1.22,+,
49,Tuesday May 28,boxscore,SEA,,BAL,L,8,12,,26-23,2,5.0,Rhodes,Guetterman,Haynes,3:19,N,23235,1.28,-,
50,Wednesday May 29,boxscore,SEA,,BAL,W-wo,9,8,,27-23,2,5.0,Charlton,Myers,,3:34,N,20253,1.20,+,
51,Thursday May 30,boxscore,SEA,,BOS,L,1,10,,27-24,2,5.5,Gordon,Torres,,2:29,N,17395,1.18,-,
52,Friday May 31,boxscore,SEA,,BOS,W,9,6,,28-24,2,5.5,Wells,Garcés,,2:55,N,29119,1.13,+,
53,Saturday Jun 1,boxscore,SEA,,BOS,L,5,6,,28-25,2,5.5,Wakefield,Milacki,Slocumb,2:54,D,34822,1.15,-,
54,Sunday Jun 2,boxscore,SEA,,BOS,W,3,1,,29-25,2,4.5,Wolcott,Clemens,Jackson,2:48,D,47540,1.12,+,
55,Tuesday Jun 4,boxscore,SEA,@,CLE,W,10,7,,30-25,2,4.0,Carmona,Mesa,Charlton,3:23,N,42179,1.26,++,
56,Wednesday Jun 5,boxscore,SEA,@,CLE,L,5,13,,30-26,2,4.0,Plunk,Milacki,,3:24,N,42274,1.33,-,
57,Thursday Jun 6,boxscore,SEA,@,CLE,W,5,2,,31-26,2,3.5,Wells,Martínez,Charlton,3:02,N,42236,1.27,+,
58,Friday Jun 7,boxscore,SEA,@,KCR,L,5,9,,31-27,2,4.5,Valera,Wolcott,,2:59,N,20891,1.26,-,
