--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Monday Apr 1,boxscore,SFG,@,ATL,L,8,10,,0-1,3,1.0,Maddux,Leiter,Borbón,3:05,D,48961,1.04,-,
2,Wednesday Apr 3,boxscore,SFG,@,ATL,L,2,15,,0-2,4,1.0,Glavine,VanLandingham,,2:54,N,28728,1.02,--,
3,Thursday Apr 4,boxscore,SFG,@,ATL,W,7,1,,1-2,2,0.5,Watson,Smoltz,,2:46,N,30271,.96,+,
4,Friday Apr 5,boxscore,SFG,@,FLA,W,7,1,,2-2,2,0.5,Fernández,Rapp,,2:35,N,24769,1.01,++,
5,Saturday Apr 6,boxscore,SFG,@,FLA,L-wo,0,1,10,2-3,2,1.5,Nen,Dewey,,2:30,N,34002,1.03,-,
6,Sunday Apr 7,boxscore,SFG,@,FLA,W,14,7,,3-3,2,1.5,Bourgeois,Burkett,,3:07,D,19842,1.05,+,
7,Monday Apr 8,boxscore,SFG,@,HOU,L,2,6,,3-4,2,2.5,Hampton,VanLandingham,,2:35,N,13488,1.07,-,
8,Tuesday Apr 9,boxscore,SFG,@,HOU,W,3,1,10,4-4,2,1.5,Juden,Tabaka,Beck,2:48,N,13588,1.00,+,
9,Wednesday Apr 10,boxscore,SFG,@,HOU,W,11,5,,5-4,2,1.5,Fernández,Kile,,2:52,D,14183,1.08,++,
10,Friday Apr 12,boxscore,SFG,,CHC,W,4,1,,6-4,2,1.0,Leiter,Navarro,Beck,2:41,D,45589,1.11,+++,
11,Saturday Apr 13,boxscore,SFG,,CHC,W-wo,3,2,10,7-4,2,1.0,Juden,Myers,,3:07,D,22120,1.15,++++,
12,Sunday Apr 14,boxscore,SFG,,CHC,L,2,6,,7-5,2,1.0,Foster,Watson,Wendell,2:29,D,23137,1.16,-,
13,Tuesday Apr 16,boxscore,SFG,,LAD,W,5,3,,8-5,2,0.5,Dewey,Osuna,Beck,2:56,N,19716,1.31,+,
14,Wednesday Apr 17,boxscore,SFG,,LAD,L,2,11,,8-6,2,1.5,Osuna,Leiter,,3:26,D,17039,1.35,-,
15,Thursday Apr 18,boxscore,SFG,@,CHC,L,6,7,,8-7,2,2.0,Pérez,VanLandingham,Wendell,3:10,D,15857,1.16,--,
16,Friday Apr 19,boxscore,SFG,@,CHC,L,6,10,,8-8,2,2.0,Foster,Watson,,2:41,D,17662,1.12,---,
17,Saturday Apr 20,boxscore,SFG,@,CHC,W,8,4,,9-8,2,1.0,Gardner,Bullinger,,2:54,D,28047,1.10,+,
18,Sunday Apr 21,boxscore,SFG,@,CHC,W,7,6,,10-8,2,1.0,Fernández,Trachsel,Beck,3:16,D,28065,1.16,++,
19,Monday Apr 22,boxscore,SFG,,HOU,L,8,11,,10-9,2,2.0,Reynolds,Leiter,,3:03,N,8867,1.14,-,
20,Tuesday Apr 23,boxscore,SFG,,HOU,L,4,8,,10-10,3,3.0,Kile,VanLandingham,,2:55,D,8439,1.11,--,
21,Wednesday Apr 24,boxscore,SFG,,ATL,L,3,8,,10-11,3,4.0,Smoltz,Watson,,2:22,N,13296,1.08,---,
22,Thursday Apr 25,boxscore,SFG,,ATL,W,8,0,,11-11,2,4.0,Gardner,Schmidt,,2:12,D,12436,1.02,+,
23,Friday Apr 26,boxscore,SFG,,FLA,L,0,3,,11-12,3,5.0,Brown,Fernández,,2:31,N,12461,1.04,-,
24,Saturday Apr 27,boxscore,SFG,,FLA,W,6,3,,12-12,2,4.0,Leiter,Burkett,Beck,2:36,D,15711,.98,+,
25,Sunday Apr 28,boxscore,SFG,,FLA,W,10,4,,13-12,2,3.0,VanLandingham,Hammond,,2:39,D,23535,1.07,++,
26,Tuesday Apr 30,boxscore,SFG,@,SDP,W,9,4,,14-12,2,2.5,Watson,Tewksbury,,2:23,N,14170,1.37,+++,
27,Wednesday May 1,boxscore,SFG,@,SDP,L,4,9,,14-13,2,3.5,Valenzuela,Gardner,,2:35,N,14878,1.45,-,
28,Friday May 3,boxscore,SFG,,CIN,L,3,5,,14-14,2,3.5,McElroy,Creek,Brantley,2:49,N,12884,1.11,--,
29,Saturday May 4,boxscore,SFG,,CIN,L,7,9,,14-15,3,3.5,Moore,Leiter,Brantley,3:28,D,18989,1.05,---,
30,Sunday May 5,boxscore,SFG,,CIN,L,6,12,,14-16,3,4.5,Smiley,VanLandingham,,2:48,N,18052,1.03,----,
31,Tuesday May 7,boxscore,SFG,@,STL,W,4,2,,15-16,2,4.0,Watson,Fossas,Beck,2:56,N,23492,.96,+,
32,Wednesday May 8,boxscore,SFG,@,STL,W,10,7,,16-16,2,3.5,Gardner,Benes,Beck,3:27,N,22517,1.03,++,
33,Thursday May 9,boxscore,SFG,@,STL,L,8,16,,16-17,2,4.5,Parrett,Dewey,,3:19,D,37920,1.09,-,
34,Friday May 10,boxscore,SFG,@,PIT,W,5,4,10,17-17,2,3.5,DeLucia,Córdova,Beck,2:58,N,17611,1.03,+,
35,Saturday May 11,boxscore,SFG,@,PIT,W,12,7,,18-17,2,2.5,VanLandingham,Hope,,3:19,N,16591,1.10,++,
36,Sunday May 12,boxscore,SFG,@,PIT,W,7,2,,19-17,2,2.5,Watson,Smith,,2:34,D,17132,1.14,+++,
37,Monday May 13,boxscore,SFG,@,PHI,W,2,1,,20-17,2,2.5,Gardner,Fernandez,Beck,3:14,N,18758,1.21,++++,
