--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Monday Apr 1,boxscore,STL,@,NYM,L,6,7,,0-1,4,1.0,Dipoto,Fossas,Franco,2:52,D,42060,.98,-,
2,Wednesday Apr 3,boxscore,STL,@,NYM,W,5,3,,1-1,3,1.0,Stottlemyre,Person,Eckersley,2:33,D,13323,.93,+,
3,Thursday Apr 4,boxscore,STL,@,NYM,L-wo,9,10,,1-2,4,1.0,Franco,Eckersley,,3:28,D,15507,.98,-,
4,Friday Apr 5,boxscore,STL,@,ATL,W,5,4,14,2-2,3,1.0,Bailey,Bielecki,Eckersley,4:25,N,31071,.94,+,
5,Saturday Apr 6,boxscore,STL,@,ATL,W,3,2,12,3-2,2,1.0,Parrett,Clontz,,3:28,N,34649,1.02,++,
6,Sunday Apr 7,boxscore,STL,@,ATL,L,3,13,,3-3,4,1.5,Schmidt,Busby,,2:50,D,28498,1.04,-,
7,Monday Apr 8,boxscore,STL,,MON,L,3,4,10,3-4,4,2.0,Rojas,Parrett,,3:52,N,52841,1.02,--,
8,Wednesday Apr 10,boxscore,STL,,MON,W,4,1,,4-4,4,1.0,Benes,Paniagua,,2:35,D,27734,.94,+,
9,Thursday Apr 11,boxscore,STL,,PHI,W,2,1,,5-4,2,0.5,Benes,Mulholland,Mathews,2:19,N,23412,1.02,++,
10,Friday Apr 12,boxscore,STL,,PHI,W,6,1,,6-4,1,up 0.5,Urbani,Williams,,2:36,N,26753,1.03,+++,
11,Saturday Apr 13,boxscore,STL,,PHI,L,2,4,,6-5,1,up 0.5,Hunter,Fossas,Bottalico,3:06,D,28913,1.12,-,
12,Sunday Apr 14,boxscore,STL,,PHI,W,6,5,,7-5,1,Tied,Mathews,Fernandez,Eckersley,3:15,D,27545,1.08,+,
13,Monday Apr 15,boxscore,STL,,PIT,W,6,4,,8-5,1,Tied,Benes,Ericks,Honeycutt,2:52,N,18731,1.22,++,
14,Tuesday Apr 16,boxscore,STL,,PIT,L,3,13,,8-6,1,Tied,Smith,Benes,Lieber,2:37,N,21349,1.29,-,
15,Wednesday Apr 17,boxscore,STL,,PIT,W,6,1,,9-6,1,up 0.5,Osborne,Darwin,,2:22,N,23074,1.23,+,
16,Thursday Apr 18,boxscore,STL,,PIT,L,2,6,,9-7,2,0.5,Wagner,Stottlemyre,,2:40,D,25700,1.27,-,
17,Friday Apr 19,boxscore,STL,@,PHI,W,1,0,,10-7,2,0.5,Bailey,Springer,Eckersley,2:51,N,25614,1.09,+,
18,Saturday Apr 20,boxscore,STL,@,PHI,W,1,0,,11-7,1,up 0.5,Benes,Bottalico,Eckersley,2:46,N,23630,1.17,++,
19,Sunday Apr 21,boxscore,STL,@,PHI,L,2,4,,11-8,1,up 0.5,Grace,Benes,Bottalico,2:33,D,32896,1.19,-,
20,Monday Apr 22,boxscore,STL,@,MON,L,0,8,,11-9,1,up 0.5,Cormier,Osborne,,2:24,N,9778,1.15,--,
21,Tuesday Apr 23,boxscore,STL,@,MON,L-wo,11,12,,11-10,2,0.5,Scott,Mathews,,3:46,N,8352,1.17,---,
22,Wednesday Apr 24,boxscore,STL,,NYM,W,9,4,,12-10,1,up 0.5,Petkovsek,Harnisch,,2:42,N,23189,1.11,+,
23,Thursday Apr 25,boxscore,STL,,NYM,L,3,9,,12-11,1,up 0.5,Clark,Benes,,2:35,D,26933,1.16,-,
24,Friday Apr 26,boxscore,STL,,ATL,L,1,6,,12-12,1,up 0.5,Avery,Benes,,2:43,N,34598,1.15,--,
25,Saturday Apr 27,boxscore,STL,,ATL,L,2,7,,12-13,2,0.5,Maddux,Osborne,,2:39,D,20757,1.10,---,
26,Monday Apr 29,boxscore,STL,,ATL,L,1,4,,12-14,2,1.0,Glavine,Stottlemyre,Wohlers,2:41,N,25452,1.05,----,1996-04-28 (Rain)
27,Tuesday Apr 30,boxscore,STL,@,CHC,L-wo,6,7,,12-15,4,1.0,Wendell,Eckersley,,3:18,N,20771,1.15,-----,
28,Wednesday May 1,boxscore,STL,@,CHC,L,3,9,,12-16,4,2.0,Trachsel,Benes,,2:47,D,25668,1.13,------,
29,Friday May 3,boxscore,STL,@,SDP,W,3,1,,13-16,4,2.0,Osborne,Ashby,Eckersley,2:29,N,21335,.89,+,
30,Saturday May 4,boxscore,STL,@,SDP,W,4,3,,14-16,4,1.0,Stottlemyre,Bergman,Eckersley,2:44,N,44375,.94,++,
31,Sunday May 5,boxscore,STL,@,SDP,L,4,10,,14-17,4,2.0,Hamilton,Benes,,2:44,D,27435,1.00,-,
32,Tuesday May 7,boxscore,STL,,SFG,L,2,4,,14-18,4,2.5,Watson,Fossas,Beck,2:56,N,23492,.92,--,
33,Wednesday May 8,boxscore,STL,,SFG,L,7,10,,14-19,5,2.5,Gardner,Benes,Beck,3:27,N,22517,.87,---,
34,Thursday May 9,boxscore,STL,,SFG,W,16,8,,15-19,5,2.5,Parrett,Dewey,,3:19,D,37920,.78,+,
35,Friday May 10,boxscore,STL,,LAD,L,2,3,12,15-20,5,2.5,Worrell,Eckersley,,4:00,N,36821,.86,-,
36,Saturday May 11,boxscore,STL,,LAD,L,2,4,,15-21,5,2.5,Valdez,Benes,Worrell,2:41,D,38008,.82,--,
37,Sunday May 12,boxscore,STL,,LAD,W,6,5,,16-21,4,1.5,Petkovsek,Nomo,Eckersley,3:17,D,38549,.74,+,
38,Monday May 13,boxscore,STL,@,FLA,L,2,5,,16-22,4,2.0,Burkett,Benes,Powell,2:21,N,19227,.84,-,
39,Tuesday May 14,boxscore,STL,@,FLA,L,5,11,,16-23,4,2.5,Mathews,Parrett,,2:44,N,16070,.79,--,
40,Wednesday May 15,boxscore,STL,@,FLA,W,6,0,,17-23,4,2.5,Stottlemyre,Rapp,,2:46,N,18066,.74,+,
41,Friday May 17,boxscore,STL,@,COL,L,11,12,,17-24,4,3.0,Leskanic,Bailey,Ruffin,3:32,N,48074,.83,-,
42,Saturday May 18,boxscore,STL,@,COL,L-wo,8,9,,17-25,5,3.0,Habyan,Eckersley,,3:14,N,48103,.75,--,
