--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Monday Apr 1,boxscore,TEX,,BOS,W,5,3,,1-0,1,Tied,Hill,Clemens,Vosberg,2:41,D,40484,1.00,+,
2,Wednesday Apr 3,boxscore,TEX,,BOS,W,7,2,,2-0,1,up 0.5,Pavlik,Gordon,,2:55,N,24483,1.01,++,
3,Thursday Apr 4,boxscore,TEX,,BOS,W,13,2,,3-0,1,up 1.0,Gross,Wakefield,,3:01,N,18086,1.06,+++,
4,Saturday Apr 6,boxscore,TEX,,NYY,W,4,2,,4-0,1,up 1.5,Witt,Key,Henneman,2:48,N,35510,1.10,++++,
5,Sunday Apr 7 (1),boxscore,TEX,,NYY,W,7,2,,5-0,1,up 2.0,Hill,Gooden,,2:57,D,,1.16,+++++,1996-04-05 (Rain)
6,Sunday Apr 7 (2),boxscore,TEX,,NYY,W,4,1,,6-0,1,up 2.0,Pavlik,Howe,Vosberg,2:52,N,36248,1.16,++++++,
7,Tuesday Apr 9,boxscore,TEX,@,CHW,W,3,2,,7-0,1,up 3.0,Gross,Thomas,Henneman,3:00,D,34750,1.17,+++++++,
8,Thursday Apr 11,boxscore,TEX,@,CHW,L-wo,5,8,11,7-1,1,up 2.5,Thomas,Henneman,,3:46,D,16685,1.17,-,
9,Friday Apr 12,boxscore,TEX,@,NYY,L,3,4,,7-2,1,up 1.5,Cone,Hill,Wetteland,2:51,N,20238,1.21,--,
10,Saturday Apr 13,boxscore,TEX,@,NYY,W,10,6,,8-2,1,up 1.5,Pavlik,Gooden,Vosberg,3:32,D,19603,1.17,+,
11,Sunday Apr 14,boxscore,TEX,@,NYY,L,3,12,,8-3,1,up 0.5,Pettitte,Gross,,3:00,D,20181,1.20,-,
12,Monday Apr 15,boxscore,TEX,,OAK,L,3,8,,8-4,2,0.5,Mohler,Heredia,,3:12,N,19312,1.35,--,
13,Tuesday Apr 16,boxscore,TEX,,OAK,W,5,3,,9-4,2,0.5,Witt,Johns,Henneman,2:59,N,20948,1.35,+,
14,Wednesday Apr 17,boxscore,TEX,,OAK,W,12,1,,10-4,2,0.5,Hill,Reyes,,2:22,N,24120,1.34,++,
15,Friday Apr 19,boxscore,TEX,,BAL,W,26,7,,11-4,1,Tied,Cook,Mercker,Vosberg,4:15,N,41184,1.21,+++,
16,Saturday Apr 20,boxscore,TEX,,BAL,W,8,3,,12-4,1,up 1.0,Gross,Haynes,,2:36,N,45358,1.23,++++,
17,Sunday Apr 21,boxscore,TEX,,BAL,W,9,6,,13-4,1,up 1.0,Oliver,Wells,,3:11,D,39456,1.24,+++++,
18,Monday Apr 22,boxscore,TEX,,CHW,L,4,12,,13-5,1,up 1.0,Fernandez,Witt,Karchner,3:11,N,22348,1.22,-,
19,Tuesday Apr 23,boxscore,TEX,,CHW,L,5,6,,13-6,1,up 0.5,Baldwin,Hill,Hernández,3:14,D,29123,1.28,--,
20,Wednesday Apr 24,boxscore,TEX,@,BOS,L,9,11,,13-7,1,up 0.5,Stanton,Heredia,Slocumb,3:33,N,19217,1.20,---,
21,Thursday Apr 25,boxscore,TEX,@,BOS,L,3,8,,13-8,1,up 0.5,Wakefield,Gross,,2:56,N,20350,1.21,----,
22,Friday Apr 26,boxscore,TEX,@,BAL,W,5,4,,14-8,1,up 0.5,Brandenburg,Wells,Henneman,3:23,N,44022,1.20,+,
23,Saturday Apr 27,boxscore,TEX,@,BAL,W,4,2,,15-8,1,up 0.5,Witt,Erickson,Vosberg,2:44,D,47311,1.20,++,
24,Sunday Apr 28,boxscore,TEX,@,BAL,W,5,4,10,16-8,1,up 1.5,Heredia,McDowell,Henneman,3:58,D,47327,1.24,+++,
25,Monday Apr 29,boxscore,TEX,@,BAL,L,7,8,,16-9,1,up 1.0,Haynes,Helling,Myers,3:32,N,41503,1.26,-,
26,Tuesday Apr 30,boxscore,TEX,,SEA,L,0,8,,16-10,1,Tied,Bosio,Gross,,2:57,N,27272,1.49,--,
27,Wednesday May 1,boxscore,TEX,,SEA,W,5,4,,17-10,1,up 1.0,Russell,Jackson,Henneman,2:52,N,31775,1.50,+,
28,Thursday May 2,boxscore,TEX,@,DET,L,2,5,,17-11,1,up 1.0,Lira,Witt,Williams,2:35,N,7416,1.22,-,
29,Friday May 3,boxscore,TEX,@,DET,W,11,0,,18-11,1,up 1.5,Hill,Keagle,,2:19,N,9079,1.20,+,
30,Saturday May 4,boxscore,TEX,@,DET,W,3,1,,19-11,1,up 1.5,Pavlik,Gohr,,2:32,D,10734,1.23,++,
31,Sunday May 5,boxscore,TEX,@,DET,W,3,2,,20-11,1,up 1.5,Gross,Lima,Henneman,2:35,D,12337,1.25,+++,
32,Tuesday May 7,boxscore,TEX,,TOR,W,5,1,,21-11,1,up 3.0,Oliver,Guzmán,,2:30,N,23005,1.27,++++,
33,Wednesday May 8,boxscore,TEX,,TOR,W,4,2,,22-11,1,up 4.0,Witt,Hanson,Henneman,2:56,N,20694,1.27,+++++,
34,Thursday May 9,boxscore,TEX,,TOR,L,2,5,,22-12,1,up 4.0,Quantrill,Hill,Timlin,3:01,N,34451,1.26,-,
35,Friday May 10,boxscore,TEX,,DET,W,6,2,,23-12,1,up 4.0,Pavlik,Lima,Henneman,2:48,N,31426,1.25,+,
36,Saturday May 11,boxscore,TEX,,DET,W,11,7,,24-12,1,up 5.0,Gross,Aldred,,3:12,N,42732,1.24,++,
37,Sunday May 12,boxscore,TEX,,DET,L,3,5,,24-13,1,up 4.0,Lira,Oliver,Myers,2:35,D,35677,1.22,-,
38,Monday May 13,boxscore,TEX,,KCR,W,7,6,,25-13,1,up 4.5,Cook,Montgomery,Henneman,3:18,N,22981,1.28,+,
39,Tuesday May 14,boxscore,TEX,,KCR,W,10,0,,26-13,1,up 5.5,Hill,Gubicza,,2:18,N,28999,1.27,++,
40,Wednesday May 15,boxscore,TEX,,KCR,L,1,3,,26-14,1,up 4.5,Haney,Pavlik,Montgomery,2:34,N,26881,1.24,-,
41,Friday May 17,boxscore,TEX,@,CLE,L,10,12,,26-15,1,up 4.5,Embree,Heredia,Mesa,3:42,N,41225,1.27,--,
42,Saturday May 18,boxscore,TEX,@,CLE,W,6,3,,27-15,1,up 4.5,Oliver,Anderson,Henneman,2:48,D,40973,1.29,+,
43,Sunday May 19,boxscore,TEX,@,CLE,L,5,8,,27-16,1,up 4.5,Nagy,Witt,Mesa,2:47,D,43299,1.31,-,
44,Tuesday May 21,boxscore,TEX,@,MIN,L-wo,3,4,,27-17,1,up 3.5,Milchin,Henneman,,3:04,N,12323,1.22,--,
45,Wednesday May 22,boxscore,TEX,@,MIN,W,6,5,,28-17,1,up 3.5,Pavlik,Parra,Henneman,3:10,D,17955,1.28,+,
