--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Monday Apr 1,boxscore,TOR,@,OAK,W,9,6,,1-0,1,up 0.5,Hanson,Reyes,Timlin,3:02,N,7294,1.01,+,1996-04-01 (Renovations at OAK; Played at LVN; OAK home team)
2,Wednesday Apr 3,boxscore,TOR,@,OAK,W,10,4,,2-0,1,Tied,Hentgen,Prieto,,3:12,N,8050,1.02,++,1996-04-03 (Renovations at OAK; Played at LVN; OAK home team)
3,Friday Apr 5,boxscore,TOR,@,CLE,W,7,1,,3-0,2,0.5,Guzmán,Hershiser,,2:49,N,41782,1.09,+++,
4,Saturday Apr 6,boxscore,TOR,@,CLE,L,3,5,,3-1,2,0.5,Nagy,Hanson,Mesa,2:57,D,41852,1.10,-,
5,Sunday Apr 7,boxscore,TOR,@,CLE,L,3,8,,3-2,2,1.5,Martínez,Quantrill,,2:29,D,41689,1.07,--,
6,Tuesday Apr 9,boxscore,TOR,,CAL,W,5,0,,4-2,2,1.0,Hentgen,Langston,,2:27,D,36616,1.07,+,
7,Wednesday Apr 10,boxscore,TOR,,CAL,L,1,2,,4-3,2,2.0,Holzemer,Guzmán,Percival,2:24,N,25446,1.09,-,
8,Thursday Apr 11,boxscore,TOR,,CAL,W,7,4,,5-3,2,2.0,Hanson,Abbott,Timlin,2:46,N,25512,1.06,+,
9,Friday Apr 12,boxscore,TOR,,SEA,L,6,9,,5-4,3,3.0,Hitchcock,Quantrill,,3:11,N,31293,1.07,-,
10,Saturday Apr 13,boxscore,TOR,,SEA,L,3,14,,5-5,3,4.0,Bosio,Ware,,2:58,D,33645,1.07,--,
11,Sunday Apr 14,boxscore,TOR,,SEA,L,4,9,,5-6,4,4.0,Wolcott,Hentgen,,2:17,D,29301,.98,---,
12,Monday Apr 15,boxscore,TOR,,DET,W,8,2,,6-6,3,3.5,Guzmán,Olivares,,2:37,N,26127,1.05,+,
13,Tuesday Apr 16,boxscore,TOR,,DET,L,8,13,,6-7,4,4.5,Gohr,Hanson,Lewis,3:12,D,25503,1.09,-,
14,Wednesday Apr 17,boxscore,TOR,@,CAL,L,1,5,,6-8,4,5.5,Finley,Quantrill,,2:31,N,15361,.93,--,
15,Thursday Apr 18,boxscore,TOR,@,CAL,L,6,9,,6-9,4,5.5,James,Ware,Percival,3:01,N,25083,.89,---,
16,Friday Apr 19,boxscore,TOR,@,SEA,W,10,4,,7-9,3,4.5,Hentgen,Wolcott,Bohanon,2:59,N,32189,.87,+,
17,Saturday Apr 20,boxscore,TOR,@,SEA,W,3,1,,8-9,3,3.5,Guzmán,Menhart,Timlin,2:41,N,47487,.96,++,
18,Sunday Apr 21,boxscore,TOR,@,SEA,L,5,9,,8-10,3,3.5,Johnson,Hanson,,2:43,D,34915,1.01,-,
19,Monday Apr 22,boxscore,TOR,@,SEA,W,16,7,,9-10,3,2.5,Castillo,Hurtado,,3:09,N,18467,.99,+,
20,Wednesday Apr 24,boxscore,TOR,,OAK,L,6,7,,9-11,3,3.0,Prieto,Hentgen,Corsi,3:12,N,28029,1.01,-,
21,Thursday Apr 25,boxscore,TOR,,OAK,L,3,4,11,9-12,3,4.0,Mohler,Crabtree,,3:08,N,26163,.97,--,
22,Friday Apr 26,boxscore,TOR,,CLE,L,3,6,,9-13,3,4.0,Hershiser,Hanson,Mesa,2:30,N,30227,.91,---,
23,Saturday Apr 27,boxscore,TOR,,CLE,W,11,6,,10-13,3,3.0,Castillo,Nagy,,3:19,D,40140,.88,+,
24,Sunday Apr 28,boxscore,TOR,,CLE,L,3,17,,10-14,3,3.0,Lopez,Viola,,3:07,D,31143,.94,-,
25,Tuesday Apr 30,boxscore,TOR,,MIL,W-wo,9,8,,11-14,3,3.0,Crabtree,Boze,,3:22,N,25467,.86,+,
26,Wednesday May 1,boxscore,TOR,,MIL,W,9,3,,12-14,3,3.0,Guzmán,Miranda,,2:27,N,25684,.93,++,
27,Thursday May 2,boxscore,TOR,,MIL,W,7,5,,13-14,3,3.0,Hanson,Karl,Timlin,2:47,D,31299,.97,+++,
28,Friday May 3,boxscore,TOR,@,BOS,L,7,8,,13-15,3,4.0,Moyer,Quantrill,Slocumb,3:20,N,25570,1.04,-,
29,Saturday May 4,boxscore,TOR,@,BOS,L,4,8,,13-16,3,4.0,Gordon,Viola,Slocumb,3:30,D,29785,1.01,--,
30,Sunday May 5,boxscore,TOR,@,BOS,W,11,4,,14-16,3,4.0,Hentgen,Wakefield,,2:54,D,29866,.94,+,
31,Tuesday May 7,boxscore,TOR,@,TEX,L,1,5,,14-17,3,5.5,Oliver,Guzmán,,2:30,N,23005,.95,-,
32,Wednesday May 8,boxscore,TOR,@,TEX,L,2,4,,14-18,3,6.5,Witt,Hanson,Henneman,2:56,N,20694,.94,--,
33,Thursday May 9,boxscore,TOR,@,TEX,W,5,2,,15-18,3,5.5,Quantrill,Hill,Timlin,3:01,N,34451,.84,+,
34,Friday May 10,boxscore,TOR,,BOS,L,5,6,11,15-19,3,5.5,Slocumb,Carrara,,3:24,N,31159,.93,-,
35,Saturday May 11,boxscore,TOR,,BOS,W-wo,9,8,11,16-19,3,4.5,Quantrill,Knackert,,3:48,D,33163,.90,+,
36,Sunday May 12,boxscore,TOR,,BOS,W-wo,8,7,10,17-19,3,4.5,Janzen,Slocumb,,3:13,D,31188,.93,++,
37,Tuesday May 14,boxscore,TOR,@,MIN,W,4,2,,18-19,3,4.5,Hanson,Robertson,Timlin,2:50,N,13483,.97,+++,
38,Wednesday May 15,boxscore,TOR,@,MIN,L,1,2,,18-20,3,4.5,Rodriguez,Hentgen,,2:07,N,11793,1.00,-,
39,Thursday May 16,boxscore,TOR,@,MIN,L,1,4,,18-21,3,5.0,Radke,Quantrill,Stevens,2:24,D,13538,.94,--,
40,Friday May 17,boxscore,TOR,@,KCR,L,2,4,,18-22,3,6.0,Belcher,Guzmán,Montgomery,2:28,N,20079,.87,---,
41,Saturday May 18,boxscore,TOR,@,KCR,W,6,2,,19-22,3,6.0,Viola,Appier,,2:42,N,18116,.80,+,
42,Sunday May 19,boxscore,TOR,@,KCR,W,3,2,,20-22,3,5.0,Hanson,Gubicza,Timlin,2:28,D,15039,.86,++,
43,Monday May 20,boxscore,TOR,@,KCR,L,4,5,,20-23,3,5.5,Haney,Hentgen,Montgomery,2:05,N,14303,.92,-,
44,Tuesday May 21,boxscore,TOR,@,CHW,L,1,2,,20-24,3,6.5,Tapani,Ware,Hernández,2:29,N,17483,.89,--,
45,Wednesday May 22,boxscore,TOR,@,CHW,L-wo,1,2,11,20-25,3,6.5,McCaskill,Timlin,,3:26,D,17882,.83,---,
46,Thursday May 23,boxscore,TOR,,MIN,W-wo,5,4,10,21-25,3,6.5,Janzen,Milchin,,3:11,N,31163,.73,+,
47,Friday May 24,boxscore,TOR,,MIN,L,0,4,,21-26,3,6.5,Robertson,Hanson,,2:26,N,33141,.79,-,
48,Saturday May 25,boxscore,TOR,,MIN,L,4,6,10,21-27,3,7.5,Guardado,Castillo,Stevens,3:18,D,34118,.69,--,
49,Sunday May 26,boxscore,TOR,,MIN,L,3,9,,21-28,3,7.5,Naulty,Bohanon,,2:53,D,30170,.64,---,
50,Monday May 27,boxscore,TOR,,CHW,W,5,4,,22-28,3,7.5,Janzen,Fernandez,Timlin,2:40,N,30013,.60,+,
51,Tuesday May 28,boxscore,TOR,,CHW,L,5,8,,22-29,3,7.5,Baldwin,Viola,Hernández,3:06,N,30104,.62,-,
52,Wednesday May 29,boxscore,TOR,,CHW,W,6,5,,23-29,3,6.5,Hanson,Magrane,Timlin,2:31,N,31074,.58,+,
53,Friday May 31,boxscore,TOR,,KCR,W,4,2,,24-29,3,6.5,Hentgen,Gubicza,Timlin,2:28,N,33194,.62,++,
54,Saturday Jun 1,boxscore,TOR,,KCR,W-wo,5,3,10,25-29,3,6.5,Crabtree,Montgomery,,2:42,D,31107,.65,+++,
55,Sunday Jun 2,boxscore,TOR,,KCR,L,5,7,,25-30,3,7.5,Belcher,Janzen,Montgomery,2:43,D,32253,.73,-,
56,Tuesday Jun 4,boxscore,TOR,@,NYY,L,4,5,,25-31,3,8.5,Gooden,Hanson,Wetteland,2:53,N,17368,.83,--,
57,Wednesday Jun 5,boxscore,TOR,@,NYY,W,12,7,,26-31,3,7.5,Hentgen,Key,,3:04,N,17142,.71,+,
58,Thursday Jun 6,boxscore,TOR,@,NYY,L,1,8,,26-32,3,8.5,Pettitte,Quantrill,,2:48,N,18475,.77,-,
59,Friday Jun 7,boxscore,TOR,@,TEX,L,7,10,,26-33,3,8.5,Pavlik,Janzen,Henneman,3:02,N,40046,.48,--,
60,Saturday Jun 8,boxscore,TOR,@,TEX,L,0,2,,26-34,3,8.5,Oliver,Guzmán,,2:30,N,43439,.46,---,
61,Sunday Jun 9,boxscore,TOR,@,TEX,L,6,8,,26-35,3,9.5,Witt,Hanson,Henneman,3:08,D,41605,.45,----,
62,Monday Jun 10,boxscore,TOR,,NYY,L,3,5,,26-36,3,10.5,Key,Hentgen,Wetteland,2:40,N,37332,.51,-----,
63,Tuesday Jun 11,boxscore,TOR,,NYY,L,4,6,,26-37,3,11.5,Pettitte,Quantrill,Wetteland,2:37,N,32114,.45,------,
64,Wednesday Jun 12,boxscore,TOR,,NYY,W,7,4,,27-37,3,10.5,Janzen,Mendoza,,2:41,D,44238,.33,+,
65,Thursday Jun 13,boxscore,TOR,@,CAL,L,4,6,,27-38,4,10.5,Finley,Guzmán,James,2:47,N,20528,.28,-,
66,Friday Jun 14,boxscore,TOR,@,CAL,L,4,7,,27-39,4,11.5,Grimsley,Hanson,Percival,2:33,D,18503,.26,--,
67,Saturday Jun 15,boxscore,TOR,@,CAL,L,5,7,,27-40,4,11.5,Langston,Crabtree,Percival,2:09,N,40352,.20,---,
68,Sunday Jun 16,boxscore,TOR,@,CAL,W,6,4,,28-40,4,11.5,Quantrill,Abbott,Timlin,3:00,D,22979,.20,+,
69,Tuesday Jun 18,boxscore,TOR,@,SEA,W,11,3,,29-40,4,11.0,Guzmán,Wolcott,,3:08,D,25912,.22,++,
70,Wednesday Jun 19,boxscore,TOR,@,SEA,W,9,2,,30-40,3,10.5,Hanson,Harikkala,,3:01,N,26265,.26,+++,
71,Thursday Jun 20,boxscore,TOR,@,OAK,W,1,0,,31-40,3,10.0,Hentgen,Wengert,Timlin,2:36,N,8027,.30,++++,
72,Friday Jun 21,boxscore,TOR,@,OAK,W,7,5,,32-40,3,10.5,Quantrill,Johns,Timlin,2:43,N,10278,.36,+++++,
73,Saturday Jun 22,boxscore,TOR,@,OAK,L,4,8,,32-41,3,11.5,Chouinard,Ware,,2:49,D,20124,.37,-,
74,Sunday Jun 23,boxscore,TOR,@,OAK,W,5,4,,33-41,3,11.5,Guzmán,Wojciechowski,Timlin,2:30,D,14407,.28,+,
75,Tuesday Jun 25,boxscore,TOR,,SEA,W-wo,8,7,,34-41,3,10.5,Crabtree,Charlton,,2:50,N,31420,.35,++,
76,Wednesday Jun 26,boxscore,TOR,,SEA,W,6,5,,35-41,3,10.5,Ware,Ayala,Crabtree,2:35,N,30158,.39,+++,
77,Thursday Jun 27,boxscore,TOR,,SEA,L,1,9,,35-42,3,11.5,Wells,Quantrill,,3:10,D,31108,.49,-,
78,Friday Jun 28,boxscore,TOR,,MIL,L,1,5,,35-43,3,11.5,D'Amico,Guzmán,Fetters,2:58,N,31333,.38,--,
