season,rank,team_id,team_name,wins,losses,final_elo
1996,1,nba_0004,Chicago Bulls,72,10,1838.49
1996,2,nba_0025,Seattle SuperSonics,64,18,1720.4
1996,3,nba_0027,Utah Jazz,55,27,1689.16
1996,4,nba_0019,Orlando Magic,60,22,1661.57
1996,5,nba_0024,San Antonio Spurs,59,23,1632.15
1996,6,nba_0013,Los Angeles Lakers,53,29,1626.55
1996,7,nba_0011,Indiana Pacers,52,30,1593.67
1996,8,nba_0018,New York Knicks,47,35,1567.28
1996,9,nba_0001,Atlanta Hawks,46,36,1565.35
1996,10,nba_0022,Portland Trail Blazers,44,38,1560.95
1996,11,nba_0008,Detroit Pistons,46,36,1546.83
1996,12,nba_0005,Cleveland Cavaliers,47,35,1543.29
1996,13,nba_0014,Miami Heat,42,40,1526.28
1996,14,nba_0010,Houston Rockets,48,34,1516.54
1996,15,nba_0021,Phoenix Suns,41,41,1512.38
1996,16,nba_0029,Washington Bullets,39,43,1510.69
1996,17,nba_0003,Charlotte Hornets,41,41,1497.71
1996,18,nba_0009,Golden State Warriors,36,46,1459.08
1996,19,nba_0023,Sacramento Kings,39,43,1444.8
1996,20,nba_0002,Boston Celtics,33,49,1433.28
1996,21,nba_0007,Denver Nuggets,35,47,1416.68
1996,22,nba_0012,Los Angeles Clippers,29,53,1381.96
1996,23,nba_0016,Minnesota Timberwolves,26,56,1365.11
1996,24,nba_0017,New Jersey Nets,30,52,1364.65
1996,25,nba_0006,Dallas Mavericks,26,56,1349.58
1996,26,nba_0015,Milwaukee Bucks,25,57,1339.82
1996,27,nba_0026,Toronto Raptors,21,61,1296.69
1996,28,nba_0020,Philadelphia 76ers,18,64,1284.5
1996,29,nba_0028,Vancouver Grizzlies,15,67,1254.08
1997,1,nba_0004,Chicago Bulls,69,13,1828.68
1997,2,nba_0027,Utah Jazz,64,18,1755.39
1997,3,nba_0014,Miami Heat,61,21,1672.0
1997,4,nba_0025,Seattle SuperSonics,57,25,1661.4
1997,5,nba_0010,Houston Rockets,57,25,1655.51
1997,6,nba_0018,New York Knicks,57,25,1651.0
1997,7,nba_0001,Atlanta Hawks,56,26,1634.0
1997,8,nba_0013,Los Angeles Lakers,56,26,1633.73
1997,9,nba_0008,Detroit Pistons,54,28,1598.56
1997,10,nba_0003,Charlotte Hornets,54,28,1585.83
1997,11,nba_0022,Portland Trail Blazers,49,33,1576.53
1997,12,nba_0029,Washington Bullets,44,38,1559.59
1997,13,nba_0019,Orlando Magic,45,37,1558.95
1997,14,nba_0021,Phoenix Suns,40,42,1536.97
1997,15,nba_0005,Cleveland Cavaliers,42,40,1523.65
1997,16,nba_0011,Indiana Pacers,39,43,1520.22
1997,17,nba_0016,Minnesota Timberwolves,40,42,1450.15
1997,18,nba_0012,Los Angeles Clippers,36,46,1428.95
1997,19,nba_0023,Sacramento Kings,34,48,1419.79
1997,20,nba_0026,Toronto Raptors,30,52,1411.09
1997,21,nba_0015,Milwaukee Bucks,33,49,1401.86
1997,22,nba_0009,Golden State Warriors,30,52,1385.5
