Date,Season,Type,Round,Team,Opp,HomeAway,PointsFor,PointsAgainst,OT
2017-09-07,2017,R,RS,KC,NE,A,42,27,0
2017-09-07,2017,R,RS,NE,KC,H,27,42,0
2017-09-10,2017,R,RS,ATL,CHI,A,23,17,0
2017-09-10,2017,R,RS,CHI,ATL,H,17,23,0
2017-09-10,2017,R,RS,BUF,NYJ,H,21,12,0
2017-09-10,2017,R,RS,NYJ,BUF,A,12,21,0
2017-09-10,2017,R,RS,BAL,CIN,A,20,0,0
2017-09-10,2017,R,RS,CIN,BAL,H,0,20,0
2017-09-10,2017,R,RS,PIT,CLE,A,21,18,0
2017-09-10,2017,R,RS,CLE,PIT,H,18,21,0
2017-09-10,2017,R,RS,DET,ARI,H,35,23,0
2017-09-10,2017,R,RS,ARI,DET,A,23,35,0
2017-09-10,2017,R,RS,JAX,HOU,A,29,7,0
2017-09-10,2017,R,RS,HOU,JAX,H,7,29,0
2017-09-10,2017,R,RS,OAK,TEN,A,26,16,0
2017-09-10,2017,R,RS,TEN,OAK,H,16,26,0
2017-09-10,2017,R,RS,PHI,WAS,A,30,17,0
2017-09-10,2017,R,RS,WAS,PHI,H,17,30,0
2017-09-10,2017,R,RS,STL,IND,H,46,9,0
2017-09-10,2017,R,RS,IND,STL,A,9,46,0
2017-09-10,2017,R,RS,CAR,SF,A,23,3,0
2017-09-10,2017,R,RS,SF,CAR,H,3,23,0
2017-09-10,2017,R,RS,GB,SEA,H,17,9,0
2017-09-10,2017,R,RS,SEA,GB,A,9,17,0
2017-09-10,2017,R,RS,DAL,NYG,H,19,3,0
2017-09-10,2017,R,RS,NYG,DAL,A,3,19,0
2017-09-11,2017,R,RS,MIN,NO,H,29,19,0
2017-09-11,2017,R,RS,NO,MIN,A,19,29,0
2017-09-11,2017,R,RS,DEN,SD,H,24,21,0
2017-09-11,2017,R,RS,SD,DEN,A,21,24,0
2017-09-14,2017,R,RS,HOU,CIN,A,13,9,0
2017-09-14,2017,R,RS,CIN,HOU,H,9,13,0
2017-09-17,2017,R,RS,CAR,BUF,H,9,3,0
2017-09-17,2017,R,RS,BUF,CAR,A,3,9,0
2017-09-17,2017,R,RS,TB,CHI,H,29,7,0
2017-09-17,2017,R,RS,CHI,TB,A,7,29,0
2017-09-17,2017,R,RS,BAL,CLE,H,24,10,0
2017-09-17,2017,R,RS,CLE,BAL,A,10,24,0
2017-09-17,2017,R,RS,ARI,IND,A,16,13,1
2017-09-17,2017,R,RS,IND,ARI,H,13,16,1
2017-09-17,2017,R,RS,TEN,JAX,A,37,16,0
2017-09-17,2017,R,RS,JAX,TEN,H,16,37,0
2017-09-17,2017,R,RS,KC,PHI,H,27,20,0
2017-09-17,2017,R,RS,PHI,KC,A,20,27,0
2017-09-17,2017,R,RS,PIT,MIN,H,26,9,0
2017-09-17,2017,R,RS,MIN,PIT,A,9,26,0
2017-09-17,2017,R,RS,NE,NO,A,36,20,0
2017-09-17,2017,R,RS,NO,NE,H,20,36,0
2017-09-17,2017,R,RS,MIA,SD,A,19,17,0
2017-09-17,2017,R,RS,SD,MIA,H,17,19,0
2017-09-17,2017,R,RS,OAK,NYJ,H,45,20,0
2017-09-17,2017,R,RS,NYJ,OAK,A,20,45,0
2017-09-17,2017,R,RS,DEN,DAL,H,42,17,0
2017-09-17,2017,R,RS,DAL,DEN,A,17,42,0
2017-09-17,2017,R,RS,WAS,STL,A,27,20,0
2017-09-17,2017,R,RS,STL,WAS,H,20,27,0
2017-09-17,2017,R,RS,SEA,SF,H,12,9,0
2017-09-17,2017,R,RS,SF,SEA,A,9,12,0
2017-09-17,2017,R,RS,ATL,GB,H,34,23,0
2017-09-17,2017,R,RS,GB,ATL,A,23,34,0
2017-09-18,2017,R,RS,DET,NYG,A,24,10,0
2017-09-18,2017,R,RS,NYG,DET,H,10,24,0
2017-09-21,2017,R,RS,STL,SF,A,41,39,0
2017-09-21,2017,R,RS,SF,STL,H,39,41,0
2017-09-24,2017,R,RS,JAX,BAL,H,44,7,0
2017-09-24,2017,R,RS,BAL,JAX,A,7,44,0
2017-09-24,2017,R,RS,NYJ,MIA,H,20,6,0
2017-09-24,2017,R,RS,MIA,NYJ,A,6,20,0
2017-09-24,2017,R,RS,ATL,DET,A,30,26,0
2017-09-24,2017,R,RS,DET,ATL,H,26,30,0
2017-09-24,2017,R,RS,BUF,DEN,H,26,16,0
2017-09-24,2017,R,RS,DEN,BUF,A,16,26,0
2017-09-24,2017,R,RS,NO,CAR,A,34,13,0
2017-09-24,2017,R,RS,CAR,NO,H,13,34,0
2017-09-24,2017,R,RS,CHI,PIT,H,23,17,1
2017-09-24,2017,R,RS,PIT,CHI,A,17,23,1
2017-09-24,2017,R,RS,IND,CLE,H,31,28,0
2017-09-24,2017,R,RS,CLE,IND,A,28,31,0
2017-09-24,2017,R,RS,NE,HOU,H,36,33,0
2017-09-24,2017,R,RS,HOU,NE,A,33,36,0
2017-09-24,2017,R,RS,MIN,TB,H,34,17,0
2017-09-24,2017,R,RS,TB,MIN,A,17,34,0
2017-09-24,2017,R,RS,PHI,NYG,H,27,24,0
2017-09-24,2017,R,RS,NYG,PHI,A,24,27,0
2017-09-24,2017,R,RS,TEN,SEA,H,33,27,0
2017-09-24,2017,R,RS,SEA,TEN,A,27,33,0
2017-09-24,2017,R,RS,GB,CIN,H,27,24,1
2017-09-24,2017,R,RS,CIN,GB,A,24,27,1
2017-09-24,2017,R,RS,KC,SD,A,24,10,0
