Week,Season,Type,Round,Team,Opponent,Conf,OppConf,Div,OppDiv,ConfG,DivG,HomeAway,PreGmRate,OppPreGmRate,ExpectedWin%,PointsFor,PointsAgainst,OT,MOV,Result,Accuracy,Test,MOVMult,POMult,Keff,RatingChange,PostGmRate,W,L,T
1,1997,R,RS,DET,ATL,NFC,NFC,Central,West,1,0,H,1482.5610418318672,1469.1925348588206,0.5971395856896662,28,17,0,11,1.0,1,0.5156043810437838,1.089484689464092,1.0,20.4,8.953769168998296,1491.5148110008656,1,0,0
1,1997,R,RS,ATL,DET,NFC,NFC,West,Central,1,0,A,1469.1925348588206,1482.5610418318672,0.4028604143103338,17,28,0,-11,0.0,1,0.5156043810437838,1.089484689464092,1.0,20.4,-8.953769168998296,1460.2387656898222,0,1,0
1,1997,R,RS,MIN,BUF,NFC,AFC,Central,East,0,0,A,1495.1875563752578,1507.5077106267058,0.4043130172846472,34,13,0,21,1.0,0,0.9055659057608575,1.678217427617527,1.0,20.0,19.99384551595611,1515.181401891214,1,0,0
1,1997,R,RS,BUF,MIN,AFC,NFC,East,Central,0,0,H,1507.5077106267058,1495.1875563752578,0.5956869827153528,13,34,0,-21,0.0,0,0.9055659057608575,1.678217427617527,1.0,20.0,-19.99384551595611,1487.5138651107497,0,1,0
1,1997,R,RS,CIN,ARI,AFC,NFC,Central,East,0,0,H,1503.907476274707,1483.4283671619032,0.6069459667696431,24,21,0,3,1.0,1,0.49931550873883934,0.5500500667496859,1.0,20.0,4.323987944291822,1508.2314642189988,1,0,0
1,1997,R,RS,ARI,CIN,NFC,AFC,East,Central,0,0,A,1483.4283671619032,1503.907476274707,0.393054033230357,21,24,0,-3,0.0,1,0.49931550873883934,0.5500500667496859,1.0,20.0,-4.323987944291822,1479.1043792176115,0,1,0
1,1997,R,RS,MIA,IND,AFC,AFC,East,East,1,1,H,1500.9541069261236,1494.2171743053711,0.587923142938466,16,10,0,6,1.0,1,0.5311590489150367,0.7691275694828102,1.0,22.44,7.112126228725982,1508.0662331548497,1,0,0
1,1997,R,RS,IND,MIA,AFC,AFC,East,East,1,1,A,1494.2171743053711,1500.9541069261236,0.4120768570615339,10,16,0,-6,0.0,1,0.5311590489150365,0.7691275694828102,1.0,22.44,-7.11212622872598,1487.105048076645,0,1,0
1,1997,R,RS,DAL,PIT,NFC,AFC,East,Central,0,0,A,1512.0233277177297,1511.7049397931162,0.4219502157253969,37,7,0,30,1.0,0,0.8628679441200935,2.18594526536579,1.0,20.0,25.2717037816157,1537.2950314993454,1,0,0
1,1997,R,RS,PIT,DAL,AFC,NFC,Central,East,0,0,H,1511.7049397931162,1512.0233277177297,0.5780497842746031,7,37,0,-30,0.0,0,0.8628679441200935,2.18594526536579,1.0,20.0,-25.2717037816157,1486.4332360115004,0,1,0
1,1997,R,RS,STL,NO,NFC,NFC,West,West,1,1,H,1485.440596516769,1469.3317311811006,0.6009285414908417,38,24,0,14,1.0,1,0.5092792508656985,1.269804427370399,1.0,22.44,11.371306296880936,1496.8119028136498,1,0,0
1,1997,R,RS,NO,STL,NFC,NFC,West,West,1,1,A,1469.3317311811006,1485.440596516769,0.39907145850915826,24,38,0,-14,0.0,1,0.5092792508656985,1.269804427370399,1.0,22.44,-11.371306296880936,1457.9604248842197,0,1,0
1,1997,R,RS,NE,SD,AFC,AFC,East,West,1,0,H,1525.4792764306367,1491.40104696542,0.6254568926566658,41,7,0,34,1.0,1,0.46927286806607216,2.3324838530012393,1.0,20.4,17.82176130267723,1543.301037733314,1,0,0
1,1997,R,RS,SD,NE,AFC,AFC,West,East,1,0,A,1491.40104696542,1525.4792764306367,0.3745431073433341,7,41,0,-34,0.0,1,0.469272868066072,2.3324838530012393,1.0,20.4,-17.82176130267723,1473.5792856627427,0,1,0
1,1997,R,RS,NYG,PHI,NFC,NFC,East,East,1,1,H,1489.0539054808555,1504.996055479483,0.5559731721694139,31,17,0,14,1.0,1,0.5870352373895553,1.2699716513411667,1.0,22.44,12.653949296018475,1501.707854776874,1,0,0
1,1997,R,RS,PHI,NYG,NFC,NFC,East,East,1,1,A,1504.996055479483,1489.0539054808555,0.4440268278305861,17,31,0,-14,0.0,1,0.5870352373895553,1.2699716513411667,1.0,22.44,-12.653949296018475,1492.3421061834645,0,1,0
1,1997,R,RS,TEN,OAK,AFC,AFC,Central,West,1,0,H,1501.1136164170357,1507.5257214055762,0.5694713021236311,24,21,1,3,1.0,1,0.5630468887190542,0.3893459647498121,1.0,20.4,3.4195420690339664,1504.5331584860696,1,0,0
