Season,Rank,Team,PostGmRate,Week,Type,Round
1996,1,GB,1685.6864292254977,21,P,SB
1996,2,CAR,1591.562366043192,20,P,CC
1996,3,NE,1584.9309214354553,21,P,SB
1996,4,SF,1584.8137461832969,19,P,DV
1996,5,DEN,1578.8711681304442,19,P,DV
1996,6,DAL,1540.077759059099,19,P,DV
1996,7,PIT,1539.0164659770542,19,P,DV
1996,8,WAS,1533.9957138691684,17,R,RS
1996,9,OAK,1525.0857380185876,17,R,RS
1996,10,BUF,1525.0257020890197,18,P,WC
1996,11,PHI,1516.6535182649434,18,P,WC
1996,12,CIN,1513.02492091569,17,R,RS
1996,13,JAX,1507.148807229983,20,P,CC
1996,14,TEN,1503.712054723452,17,R,RS
1996,15,MIA,1503.1803564204117,17,R,RS
1996,16,KC,1498.0920754597164,17,R,RS
1996,17,MIN,1483.9585212508591,18,P,WC
1996,18,CHI,1481.170591703108,17,R,RS
1996,19,IND,1480.7239143512372,18,P,WC
1996,20,SEA,1478.4471965884543,17,R,RS
1996,21,SD,1471.3368232180662,17,R,RS
1996,22,NYG,1463.5130182695186,17,R,RS
1996,23,TB,1458.9104808884083,17,R,RS
1996,24,STL,1451.4686550558965,17,R,RS
1996,25,ARI,1444.7612238730105,17,R,RS
1996,26,BAL,1441.923657764474,17,R,RS
1996,27,DET,1441.8701394395573,17,R,RS
1996,28,NO,1397.7724372703356,17,R,RS
1996,29,ATL,1397.3084495294022,17,R,RS
1996,30,NYJ,1375.9571477526608,17,R,RS
1997,1,GB,1656.9309030645409,21,P,SB
1997,2,DEN,1652.2148680845944,21,P,SB
1997,3,KC,1593.6560785213885,19,P,DV
1997,4,SF,1582.5384605754064,20,P,CC
1997,5,NE,1572.1960212535723,19,P,DV
1997,6,PIT,1554.3026413286157,20,P,CC
1997,7,JAX,1543.5106032675099,18,P,WC
1997,8,NYG,1535.658484530686,18,P,WC
1997,9,WAS,1525.493149947964,17,R,RS
1997,10,DET,1523.4733675194298,18,P,WC
1997,11,TB,1518.6958647696435,19,P,DV
1997,12,TEN,1508.012926554892,17,R,RS
1997,13,NYJ,1502.6516967204927,17,R,RS
1997,14,SEA,1502.6250551609114,17,R,RS
1997,15,MIA,1501.585024245634,18,P,WC
1997,16,MIN,1492.758097154168,19,P,DV
1997,17,CAR,1488.0483956899564,17,R,RS
1997,18,CIN,1480.8077515508007,17,R,RS
1997,19,DAL,1480.7267045347648,17,R,RS
1997,20,BAL,1469.7974458579033,17,R,RS
1997,21,PHI,1462.5592741349724,17,R,RS
1997,22,ATL,1461.25021540583,17,R,RS
1997,23,STL,1447.4997260450693,17,R,RS
1997,24,BUF,1442.3119397191522,17,R,RS
