Season,Date,Team,Opponent,OT
1996,1996-09-01,ARI,IND,0
1996,1996-09-01,ATL,CAR,0
1996,1996-09-01,BAL,OAK,0
1996,1996-09-01,BUF,NYG,1
1996,1996-09-01,CAR,ATL,0
1996,1996-09-01,CIN,STL,0
1996,1996-09-01,DEN,NYJ,0
1996,1996-09-01,DET,MIN,0
1996,1996-09-01,GB,TB,0
1996,1996-09-01,IND,ARI,0
1996,1996-09-01,JAX,PIT,0
1996,1996-09-01,KC,TEN,0
1996,1996-09-01,MIA,NE,0
1996,1996-09-01,MIN,DET,0
1996,1996-09-01,NE,MIA,0
1996,1996-09-01,NO,SF,0
1996,1996-09-01,NYG,BUF,1
1996,1996-09-01,NYJ,DEN,0
1996,1996-09-01,OAK,BAL,0
1996,1996-09-01,PHI,WAS,0
1996,1996-09-01,PIT,JAX,0
1996,1996-09-01,SD,SEA,0
1996,1996-09-01,SEA,SD,0
1996,1996-09-01,SF,NO,0
1996,1996-09-01,STL,CIN,0
1996,1996-09-01,TB,GB,0
1996,1996-09-01,TEN,KC,0
1996,1996-09-01,WAS,PHI,0
1996,1996-09-02,CHI,DAL,0
1996,1996-09-02,DAL,CHI,0
1996,1996-09-08,ARI,MIA,0
1996,1996-09-08,ATL,MIN,0
1996,1996-09-08,BAL,PIT,0
1996,1996-09-08,BUF,NE,0
1996,1996-09-08,CAR,NO,0
1996,1996-09-08,CHI,WAS,0
1996,1996-09-08,CIN,SD,0
1996,1996-09-08,DAL,NYG,0
1996,1996-09-08,DEN,SEA,0
1996,1996-09-08,DET,TB,0
1996,1996-09-08,IND,NYJ,0
1996,1996-09-08,JAX,TEN,0
1996,1996-09-08,KC,OAK,0
1996,1996-09-08,MIA,ARI,0
1996,1996-09-08,MIN,ATL,0
1996,1996-09-08,NE,BUF,0
1996,1996-09-08,NO,CAR,0
1996,1996-09-08,NYG,DAL,0
1996,1996-09-08,NYJ,IND,0
1996,1996-09-08,OAK,KC,0
1996,1996-09-08,PIT,BAL,0
1996,1996-09-08,SD,CIN,0
1996,1996-09-08,SEA,DEN,0
1996,1996-09-08,SF,STL,0
1996,1996-09-08,STL,SF,0
1996,1996-09-08,TB,DET,0
1996,1996-09-08,TEN,JAX,0
1996,1996-09-08,WAS,CHI,0
1996,1996-09-09,GB,PHI,0
1996,1996-09-09,PHI,GB,0
1996,1996-09-15,ARI,NE,0
1996,1996-09-15,BAL,TEN,0
1996,1996-09-15,CHI,MIN,0
1996,1996-09-15,CIN,NO,0
1996,1996-09-15,DAL,IND,0
1996,1996-09-15,DEN,TB,0
1996,1996-09-15,DET,PHI,0
1996,1996-09-15,GB,SD,0
1996,1996-09-15,IND,DAL,0
1996,1996-09-15,JAX,OAK,0
1996,1996-09-15,KC,SEA,0
1996,1996-09-15,MIA,NYJ,0
1996,1996-09-15,MIN,CHI,0
1996,1996-09-15,NE,ARI,0
1996,1996-09-15,NO,CIN,0
1996,1996-09-15,NYG,WAS,0
1996,1996-09-15,NYJ,MIA,0
1996,1996-09-15,OAK,JAX,0
1996,1996-09-15,PHI,DET,0
1996,1996-09-15,SD,GB,0
1996,1996-09-15,SEA,KC,0
1996,1996-09-15,TB,DEN,0
1996,1996-09-15,TEN,BAL,0
1996,1996-09-15,WAS,NYG,0
1996,1996-09-16,BUF,PIT,0
1996,1996-09-16,PIT,BUF,0
1996,1996-09-22,ARI,NO,0
1996,1996-09-22,ATL,PHI,0
1996,1996-09-22,BUF,DAL,0
1996,1996-09-22,CAR,SF,0
1996,1996-09-22,CHI,DET,0
1996,1996-09-22,DAL,BUF,0
1996,1996-09-22,DEN,KC,0
1996,1996-09-22,DET,CHI,0
1996,1996-09-22,GB,MIN,0
1996,1996-09-22,JAX,NE,1
1996,1996-09-22,KC,DEN,0
1996,1996-09-22,MIN,GB,0
1996,1996-09-22,NE,JAX,1
1996,1996-09-22,NO,ARI,0
1996,1996-09-22,NYG,NYJ,0
1996,1996-09-22,NYJ,NYG,0
1996,1996-09-22,OAK,SD,0
1996,1996-09-22,PHI,ATL,0
1996,1996-09-22,SD,OAK,0
1996,1996-09-22,SEA,TB,0
1996,1996-09-22,SF,CAR,0
1996,1996-09-22,STL,WAS,0
1996,1996-09-22,TB,SEA,0
1996,1996-09-22,WAS,STL,0
1996,1996-09-23,IND,MIA,0
1996,1996-09-23,MIA,IND,0
1996,1996-09-29,ARI,STL,1
1996,1996-09-29,ATL,SF,0
1996,1996-09-29,BAL,NO,0
1996,1996-09-29,CAR,JAX,0
1996,1996-09-29,CHI,OAK,0
1996,1996-09-29,CIN,DEN,0
1996,1996-09-29,DEN,CIN,0
