season,week,round,date,home_team,home_score,away_team,away_score,winner
1996,1,Week 1,1996-09-01,49ers,27,Saints,11,49ers
1996,1,Week 1,1996-09-01,Broncos,31,Jets,6,Broncos
1996,1,Week 1,1996-09-01,Buccaneers,3,Packers,34,Packers
1996,1,Week 1,1996-09-01,Chargers,29,Seahawks,7,Chargers
1996,1,Week 1,1996-09-01,Colts,20,Cardinals,13,Colts
1996,1,Week 1,1996-09-01,Dolphins,24,Patriots,10,Dolphins
1996,1,Week 1,1996-09-01,Giants,20,Bills,23,Bills
1996,1,Week 1,1996-09-01,Jaguars,24,Steelers,9,Jaguars
1996,1,Week 1,1996-09-01,Oilers,19,Chiefs,20,Chiefs
1996,1,Week 1,1996-09-01,Panthers,29,Falcons,6,Panthers
1996,1,Week 1,1996-09-01,Rams,26,Bengals,16,Rams
1996,1,Week 1,1996-09-01,Ravens,19,Raiders,14,Ravens
1996,1,Week 1,1996-09-01,Redskins,14,Eagles,17,Eagles
1996,1,Week 1,1996-09-01,Vikings,17,Lions,13,Vikings
1996,1,Week 1,1996-09-02,Bears,22,Cowboys,6,Bears
1996,2,Week 2,1996-09-08,49ers,34,Rams,0,49ers
1996,2,Week 2,1996-09-08,Bills,17,Patriots,10,Bills
1996,2,Week 2,1996-09-08,Cardinals,10,Dolphins,38,Dolphins
1996,2,Week 2,1996-09-08,Chargers,27,Bengals,14,Chargers
1996,2,Week 2,1996-09-08,Chiefs,19,Raiders,3,Chiefs
1996,2,Week 2,1996-09-08,Cowboys,27,Giants,0,Cowboys
1996,2,Week 2,1996-09-08,Falcons,17,Vikings,23,Vikings
1996,2,Week 2,1996-09-08,Jaguars,27,Oilers,34,Oilers
1996,2,Week 2,1996-09-08,Jets,7,Colts,21,Colts
1996,2,Week 2,1996-09-08,Lions,21,Buccaneers,6,Lions
1996,2,Week 2,1996-09-08,Redskins,10,Bears,3,Redskins
1996,2,Week 2,1996-09-08,Saints,20,Panthers,22,Panthers
1996,2,Week 2,1996-09-08,Seahawks,20,Broncos,30,Broncos
1996,2,Week 2,1996-09-08,Steelers,31,Ravens,17,Steelers
1996,2,Week 2,1996-09-09,Packers,39,Eagles,13,Packers
1996,3,Week 3,1996-09-15,Bears,14,Vikings,20,Vikings
1996,3,Week 3,1996-09-15,Bengals,30,Saints,15,Bengals
1996,3,Week 3,1996-09-15,Broncos,27,Buccaneers,23,Broncos
1996,3,Week 3,1996-09-15,Cowboys,24,Colts,25,Colts
1996,3,Week 3,1996-09-15,Dolphins,36,Jets,27,Dolphins
1996,3,Week 3,1996-09-15,Eagles,24,Lions,17,Eagles
1996,3,Week 3,1996-09-15,Giants,10,Redskins,31,Redskins
1996,3,Week 3,1996-09-15,Oilers,29,Ravens,13,Oilers
1996,3,Week 3,1996-09-15,Packers,42,Chargers,10,Packers
1996,3,Week 3,1996-09-15,Patriots,31,Cardinals,0,Patriots
1996,3,Week 3,1996-09-15,Raiders,17,Jaguars,3,Raiders
1996,3,Week 3,1996-09-15,Seahawks,17,Chiefs,35,Chiefs
1996,3,Week 3,1996-09-16,Steelers,24,Bills,6,Steelers
1996,4,Week 4,1996-09-22,Bills,10,Cowboys,7,Bills
1996,4,Week 4,1996-09-22,Buccaneers,13,Seahawks,17,Seahawks
1996,4,Week 4,1996-09-22,Chiefs,17,Broncos,14,Chiefs
1996,4,Week 4,1996-09-22,Falcons,18,Eagles,33,Eagles
1996,4,Week 4,1996-09-22,Jets,6,Giants,13,Giants
1996,4,Week 4,1996-09-22,Lions,35,Bears,16,Lions
1996,4,Week 4,1996-09-22,Panthers,23,49ers,7,Panthers
1996,4,Week 4,1996-09-22,Patriots,28,Jaguars,25,Patriots
1996,4,Week 4,1996-09-22,Raiders,34,Chargers,40,Chargers
1996,4,Week 4,1996-09-22,Rams,10,Redskins,17,Redskins
1996,4,Week 4,1996-09-22,Saints,14,Cardinals,28,Cardinals
1996,4,Week 4,1996-09-22,Vikings,30,Packers,21,Vikings
1996,4,Week 4,1996-09-23,Colts,10,Dolphins,6,Colts
1996,5,Week 5,1996-09-29,49ers,39,Falcons,17,49ers
1996,5,Week 5,1996-09-29,Bears,19,Raiders,17,Bears
1996,5,Week 5,1996-09-29,Bengals,10,Broncos,14,Broncos
1996,5,Week 5,1996-09-29,Buccaneers,0,Lions,27,Lions
1996,5,Week 5,1996-09-29,Cardinals,31,Rams,28,Cardinals
1996,5,Week 5,1996-09-29,Chargers,22,Chiefs,19,Chargers
1996,5,Week 5,1996-09-29,Giants,15,Vikings,10,Giants
1996,5,Week 5,1996-09-29,Jaguars,24,Panthers,14,Jaguars
1996,5,Week 5,1996-09-29,Ravens,17,Saints,10,Ravens
1996,5,Week 5,1996-09-29,Redskins,31,Jets,16,Redskins
1996,5,Week 5,1996-09-29,Seahawks,10,Packers,31,Packers
1996,5,Week 5,1996-09-29,Steelers,30,Oilers,16,Steelers
1996,5,Week 5,1996-09-30,Eagles,19,Cowboys,23,Cowboys
