season,alpha,kmax,hfa,window
1996,0.3,50.0,68.0,"1996-2005 (warm-up, in-sample)"
1997,0.3,50.0,68.0,"1996-2005 (warm-up, in-sample)"
1998,0.3,50.0,68.0,"1996-2005 (warm-up, in-sample)"
1999,0.3,50.0,68.0,"1996-2005 (warm-up, in-sample)"
2000,0.3,50.0,68.0,"1996-2005 (warm-up, in-sample)"
2001,0.3,50.0,68.0,"1996-2005 (warm-up, in-sample)"
2002,0.3,50.0,68.0,"1996-2005 (warm-up, in-sample)"
2003,0.3,50.0,68.0,"1996-2005 (warm-up, in-sample)"
2004,0.3,50.0,68.0,"1996-2005 (warm-up, in-sample)"
2005,0.3,50.0,68.0,"1996-2005 (warm-up, in-sample)"
2006,0.3,50.0,68.0,"1996-2005 (rolling, out-of-sample)"
2007,0.3,48.0,64.0,"1997-2006 (rolling, out-of-sample)"
2008,0.3,52.0,60.0,"1998-2007 (rolling, out-of-sample)"
2009,0.4,48.0,56.0,"1999-2008 (rolling, out-of-sample)"
2010,0.4,48.0,56.0,"2000-2009 (rolling, out-of-sample)"
2011,0.4,48.0,56.0,"2001-2010 (rolling, out-of-sample)"
2012,0.4,50.0,56.0,"2002-2011 (rolling, out-of-sample)"
2013,0.5,48.0,56.0,"2003-2012 (rolling, out-of-sample)"
2014,0.4,54.0,56.0,"2004-2013 (rolling, out-of-sample)"
2015,0.5,52.0,56.0,"2005-2014 (rolling, out-of-sample)"
2016,0.5,46.0,52.0,"2006-2015 (rolling, out-of-sample)"
2017,0.5,48.0,56.0,"2007-2016 (rolling, out-of-sample)"
2018,0.5,48.0,56.0,"2008-2017 (rolling, out-of-sample)"
2019,0.5,48.0,56.0,"2009-2018 (rolling, out-of-sample)"
2020,0.5,46.0,52.0,"2010-2019 (rolling, out-of-sample)"
2021,0.5,50.0,48.0,"2011-2020 (rolling, out-of-sample)"
2022,0.5,44.0,44.0,"2012-2021 (rolling, out-of-sample)"
2023,0.5,44.0,44.0,"2013-2022 (rolling, out-of-sample)"
2024,0.5,40.0,40.0,"2014-2023 (rolling, out-of-sample)"
2025,0.5,42.0,36.0,"2015-2024 (rolling, out-of-sample)"
