Date,Season,Type,Round,Team,Opp,HomeAway,PointsFor,PointsAgainst,OT
2020-09-10,2020,R,RS,KC,HOU,H,34,20,0
2020-09-10,2020,R,RS,HOU,KC,A,20,34,0
2020-09-13,2020,R,RS,SEA,ATL,A,38,25,0
2020-09-13,2020,R,RS,ATL,SEA,H,25,38,0
2020-09-13,2020,R,RS,BUF,NYJ,H,27,17,0
2020-09-13,2020,R,RS,NYJ,BUF,A,17,27,0
2020-09-13,2020,R,RS,OAK,CAR,A,34,30,0
2020-09-13,2020,R,RS,CAR,OAK,H,30,34,0
2020-09-13,2020,R,RS,CHI,DET,A,27,23,0
2020-09-13,2020,R,RS,DET,CHI,H,23,27,0
2020-09-13,2020,R,RS,BAL,CLE,H,38,6,0
2020-09-13,2020,R,RS,CLE,BAL,A,6,38,0
2020-09-13,2020,R,RS,JAX,IND,H,27,20,0
2020-09-13,2020,R,RS,IND,JAX,A,20,27,0
2020-09-13,2020,R,RS,GB,MIN,A,43,34,0
2020-09-13,2020,R,RS,MIN,GB,H,34,43,0
2020-09-13,2020,R,RS,NE,MIA,H,21,11,0
2020-09-13,2020,R,RS,MIA,NE,A,11,21,0
2020-09-13,2020,R,RS,WAS,PHI,H,27,17,0
2020-09-13,2020,R,RS,PHI,WAS,A,17,27,0
2020-09-13,2020,R,RS,SD,CIN,A,16,13,0
2020-09-13,2020,R,RS,CIN,SD,H,13,16,0
2020-09-13,2020,R,RS,ARI,SF,A,24,20,0
2020-09-13,2020,R,RS,SF,ARI,H,20,24,0
2020-09-13,2020,R,RS,NO,TB,H,34,23,0
2020-09-13,2020,R,RS,TB,NO,A,23,34,0
2020-09-13,2020,R,RS,STL,DAL,H,20,17,0
2020-09-13,2020,R,RS,DAL,STL,A,17,20,0
2020-09-14,2020,R,RS,PIT,NYG,A,26,16,0
2020-09-14,2020,R,RS,NYG,PIT,H,16,26,0
2020-09-14,2020,R,RS,TEN,DEN,A,16,14,0
2020-09-14,2020,R,RS,DEN,TEN,H,14,16,0
2020-09-17,2020,R,RS,CLE,CIN,H,35,30,0
2020-09-17,2020,R,RS,CIN,CLE,A,30,35,0
2020-09-20,2020,R,RS,DAL,ATL,H,40,39,0
2020-09-20,2020,R,RS,ATL,DAL,A,39,40,0
2020-09-20,2020,R,RS,BUF,MIA,A,31,28,0
2020-09-20,2020,R,RS,MIA,BUF,H,28,31,0
2020-09-20,2020,R,RS,TB,CAR,H,31,17,0
2020-09-20,2020,R,RS,CAR,TB,A,17,31,0
2020-09-20,2020,R,RS,CHI,NYG,H,17,13,0
2020-09-20,2020,R,RS,NYG,CHI,A,13,17,0
2020-09-20,2020,R,RS,IND,MIN,H,28,11,0
2020-09-20,2020,R,RS,MIN,IND,A,11,28,0
2020-09-20,2020,R,RS,PIT,DEN,H,26,21,0
2020-09-20,2020,R,RS,DEN,PIT,A,21,26,0
2020-09-20,2020,R,RS,GB,DET,H,42,21,0
2020-09-20,2020,R,RS,DET,GB,A,21,42,0
2020-09-20,2020,R,RS,TEN,JAX,H,33,30,0
2020-09-20,2020,R,RS,JAX,TEN,A,30,33,0
2020-09-20,2020,R,RS,SF,NYJ,A,31,13,0
2020-09-20,2020,R,RS,NYJ,SF,H,13,31,0
2020-09-20,2020,R,RS,STL,PHI,A,37,19,0
2020-09-20,2020,R,RS,PHI,STL,H,19,37,0
2020-09-20,2020,R,RS,ARI,WAS,H,30,15,0
2020-09-20,2020,R,RS,WAS,ARI,A,15,30,0
2020-09-20,2020,R,RS,BAL,HOU,A,33,16,0
2020-09-20,2020,R,RS,HOU,BAL,H,16,33,0
2020-09-20,2020,R,RS,KC,SD,A,23,20,1
2020-09-20,2020,R,RS,SD,KC,H,20,23,1
2020-09-20,2020,R,RS,SEA,NE,H,35,30,0
2020-09-20,2020,R,RS,NE,SEA,A,30,35,0
2020-09-21,2020,R,RS,OAK,NO,H,34,24,0
2020-09-21,2020,R,RS,NO,OAK,A,24,34,0
2020-09-24,2020,R,RS,MIA,JAX,A,31,13,0
2020-09-24,2020,R,RS,JAX,MIA,H,13,31,0
2020-09-27,2020,R,RS,CHI,ATL,A,30,26,0
2020-09-27,2020,R,RS,ATL,CHI,H,26,30,0
2020-09-27,2020,R,RS,BUF,STL,H,35,32,0
2020-09-27,2020,R,RS,STL,BUF,A,32,35,0
2020-09-27,2020,R,RS,PHI,CIN,H,23,23,1
2020-09-27,2020,R,RS,CIN,PHI,A,23,23,1
2020-09-27,2020,R,RS,CLE,WAS,H,34,20,0
2020-09-27,2020,R,RS,WAS,CLE,A,20,34,0
2020-09-27,2020,R,RS,PIT,HOU,H,28,21,0
2020-09-27,2020,R,RS,HOU,PIT,A,21,28,0
2020-09-27,2020,R,RS,TEN,MIN,A,31,30,0
2020-09-27,2020,R,RS,MIN,TEN,H,30,31,0
2020-09-27,2020,R,RS,NE,OAK,H,36,20,0
2020-09-27,2020,R,RS,OAK,NE,A,20,36,0
2020-09-27,2020,R,RS,SF,NYG,A,36,9,0
2020-09-27,2020,R,RS,NYG,SF,H,9,36,0
2020-09-27,2020,R,RS,CAR,SD,A,21,16,0
2020-09-27,2020,R,RS,SD,CAR,H,16,21,0
2020-09-27,2020,R,RS,IND,NYJ,H,36,7,0
2020-09-27,2020,R,RS,NYJ,IND,A,7,36,0
2020-09-27,2020,R,RS,DET,ARI,A,26,23,0
2020-09-27,2020,R,RS,ARI,DET,H,23,26,0
2020-09-27,2020,R,RS,SEA,DAL,H,38,31,0
