date,season,type,round,home_team,away_team,home_pts,away_pts,expected_win,result,accuracy,brier,log_loss
1996-09-01,1996,R,,nfl_0005,nfl_0002,29,6,0.5966,1.0,1,0.1627,0.5165
1996-09-01,1996,R,,nfl_0027,nfl_0007,26,16,0.5966,1.0,1,0.1627,0.5165
1996-09-01,1996,R,,nfl_0012,nfl_0001,20,13,0.5966,1.0,1,0.1627,0.5165
1996-09-01,1996,R,,nfl_0016,nfl_0010,17,13,0.5966,1.0,1,0.1627,0.5165
1996-09-01,1996,R,,nfl_0013,nfl_0023,24,9,0.5966,1.0,1,0.1627,0.5165
1996-09-01,1996,R,,nfl_0029,nfl_0014,19,20,0.5966,0.0,0,0.356,0.9079
1996-09-01,1996,R,,nfl_0030,nfl_0022,14,17,0.5966,0.0,0,0.356,0.9079
1996-09-01,1996,R,,nfl_0003,nfl_0021,19,14,0.5966,1.0,1,0.1627,0.5165
1996-09-01,1996,R,,nfl_0009,nfl_0020,31,6,0.5966,1.0,1,0.1627,0.5165
1996-09-01,1996,R,,nfl_0028,nfl_0011,3,34,0.5966,0.0,0,0.356,0.9079
1996-09-01,1996,R,,nfl_0015,nfl_0017,24,10,0.5966,1.0,1,0.1627,0.5165
1996-09-01,1996,R,,nfl_0026,nfl_0018,27,11,0.5966,1.0,1,0.1627,0.5165
1996-09-01,1996,R,,nfl_0024,nfl_0025,29,7,0.5966,1.0,1,0.1627,0.5165
1996-09-01,1996,R,,nfl_0019,nfl_0004,20,23,0.5966,0.0,0,0.356,0.9079
1996-09-02,1996,R,,nfl_0006,nfl_0008,22,6,0.5966,1.0,1,0.1627,0.5165
1996-09-08,1996,R,,nfl_0002,nfl_0016,17,23,0.5198,0.0,0,0.2702,0.7335
1996-09-08,1996,R,,nfl_0004,nfl_0017,17,10,0.6507,1.0,1,0.122,0.4297
1996-09-08,1996,R,,nfl_0018,nfl_0005,20,22,0.495,0.0,1,0.2451,0.6833
1996-09-08,1996,R,,nfl_0030,nfl_0006,10,3,0.539,1.0,1,0.2125,0.618
1996-09-08,1996,R,,nfl_0020,nfl_0012,7,21,0.5181,0.0,0,0.2684,0.73
1996-09-08,1996,R,,nfl_0010,nfl_0028,21,6,0.6758,1.0,1,0.1051,0.3919
1996-09-08,1996,R,,nfl_0013,nfl_0029,27,34,0.6533,0.0,0,0.4267,1.0592
1996-09-08,1996,R,,nfl_0014,nfl_0021,19,3,0.6325,1.0,1,0.1351,0.4581
1996-09-08,1996,R,,nfl_0023,nfl_0003,31,17,0.5342,1.0,1,0.2169,0.6269
1996-09-08,1996,R,,nfl_0024,nfl_0007,27,14,0.6757,1.0,1,0.1052,0.392
1996-09-08,1996,R,,nfl_0008,nfl_0019,27,0,0.5645,1.0,1,0.1897,0.5719
1996-09-08,1996,R,,nfl_0025,nfl_0009,20,30,0.486,0.0,1,0.2362,0.6656
1996-09-08,1996,R,,nfl_0026,nfl_0027,34,0,0.6114,1.0,1,0.151,0.4921
1996-09-08,1996,R,,nfl_0001,nfl_0015,10,38,0.5327,0.0,0,0.2837,0.7607
1996-09-09,1996,R,,nfl_0011,nfl_0022,39,13,0.6703,1.0,1,0.1087,0.4
1996-09-15,1996,R,,nfl_0006,nfl_0016,14,20,0.5644,0.0,0,0.3185,0.831
1996-09-15,1996,R,,nfl_0007,nfl_0018,30,15,0.6025,1.0,1,0.158,0.5066
1996-09-15,1996,R,,nfl_0017,nfl_0001,31,0,0.6297,1.0,1,0.1371,0.4625
1996-09-15,1996,R,,nfl_0022,nfl_0010,24,17,0.5591,1.0,1,0.1944,0.5815
1996-09-15,1996,R,,nfl_0011,nfl_0024,42,10,0.6515,1.0,1,0.1214,0.4285
1996-09-15,1996,R,,nfl_0015,nfl_0020,36,27,0.7816,1.0,1,0.0477,0.2464
1996-09-15,1996,R,,nfl_0029,nfl_0003,29,13,0.6425,1.0,1,0.1278,0.4424
1996-09-15,1996,R,,nfl_0008,nfl_0012,24,25,0.5509,0.0,0,0.3035,0.8005
1996-09-15,1996,R,,nfl_0021,nfl_0013,17,3,0.5362,1.0,1,0.2151,0.6232
1996-09-15,1996,R,,nfl_0025,nfl_0014,17,35,0.4482,0.0,1,0.2008,0.5945
1996-09-15,1996,R,,nfl_0019,nfl_0030,10,31,0.5135,0.0,0,0.2636,0.7204
1996-09-15,1996,R,,nfl_0009,nfl_0028,27,23,0.7886,1.0,1,0.0447,0.2375
1996-09-16,1996,R,,nfl_0023,nfl_0004,24,6,0.5609,1.0,1,0.1928,0.5783
1996-09-22,1996,R,,nfl_0005,nfl_0026,23,7,0.5561,1.0,1,0.197,0.5868
1996-09-22,1996,R,,nfl_0027,nfl_0030,10,17,0.5263,0.0,0,0.277,0.7473
1996-09-22,1996,R,,nfl_0018,nfl_0001,14,28,0.648,0.0,0,0.42,1.0442
1996-09-22,1996,R,,nfl_0014,nfl_0009,17,14,0.6007,1.0,1,0.1595,0.5097
1996-09-22,1996,R,,nfl_0016,nfl_0011,30,21,0.4756,1.0,0,0.275,0.7432
1996-09-22,1996,R,,nfl_0017,nfl_0013,28,25,0.6257,1.0,1,0.1401,0.4688
1996-09-22,1996,R,,nfl_0020,nfl_0019,6,13,0.6233,0.0,0,0.3885,0.9762
1996-09-22,1996,R,,nfl_0004,nfl_0008,10,7,0.5697,1.0,1,0.1852,0.5626
1996-09-22,1996,R,,nfl_0010,nfl_0006,35,16,0.6017,1.0,1,0.1587,0.5081
1996-09-22,1996,R,,nfl_0021,nfl_0024,34,40,0.5476,0.0,0,0.2998,0.7931
1996-09-22,1996,R,,nfl_0028,nfl_0025,13,17,0.5915,0.0,0,0.3499,0.8954
1996-09-22,1996,R,,nfl_0002,nfl_0022,18,33,0.5394,0.0,0,0.291,0.7753
1996-09-23,1996,R,,nfl_0012,nfl_0015,10,6,0.5562,1.0,1,0.1969,0.5866
1996-09-29,1996,R,,nfl_0013,nfl_0005,24,14,0.4279,1.0,0,0.3273,0.8489
1996-09-29,1996,R,,nfl_0007,nfl_0009,10,14,0.5281,0.0,0,0.2789,0.7511
1996-09-29,1996,R,,nfl_0023,nfl_0029,30,16,0.5748,1.0,1,0.1808,0.5538
1996-09-29,1996,R,,nfl_0006,nfl_0021,19,17,0.5823,1.0,1,0.1745,0.5408
1996-09-29,1996,R,,nfl_0028,nfl_0010,0,27,0.3939,0.0,1,0.1552,0.5007
1996-09-29,1996,R,,nfl_0019,nfl_0016,15,10,0.3711,1.0,0,0.3955,0.9912
1996-09-29,1996,R,,nfl_0003,nfl_0018,17,10,0.7106,1.0,1,0.0837,0.3416
1996-09-29,1996,R,,nfl_0026,nfl_0002,39,17,0.7695,1.0,1,0.0531,0.2621
1996-09-29,1996,R,,nfl_0001,nfl_0027,31,28,0.5704,1.0,1,0.1846,0.5615
1996-09-29,1996,R,,nfl_0025,nfl_0011,10,31,0.3229,0.0,1,0.1042,0.3899
1996-09-29,1996,R,,nfl_0024,nfl_0014,22,19,0.5373,1.0,1,0.2141,0.6212
1996-09-29,1996,R,,nfl_0030,nfl_0020,31,16,0.7988,1.0,1,0.0405,0.2247
1996-09-30,1996,R,,nfl_0022,nfl_0008,19,23,0.6517,0.0,0,0.4247,1.0546
1996-10-06,1996,R,,nfl_0010,nfl_0002,28,24,0.7991,1.0,1,0.0404,0.2243
1996-10-06,1996,R,,nfl_0016,nfl_0005,14,12,0.6006,1.0,1,0.1595,0.5098
1996-10-06,1996,R,,nfl_0015,nfl_0025,15,22,0.8258,0.0,0,0.682,1.7477
1996-10-06,1996,R,,nfl_0003,nfl_0017,38,46,0.5148,0.0,0,0.265,0.7231
1996-10-06,1996,R,,nfl_0006,nfl_0011,6,37,0.3522,0.0,1,0.124,0.4341
1996-10-06,1996,R,,nfl_0020,nfl_0021,13,34,0.4915,0.0,1,0.2416,0.6763
1996-10-06,1996,R,,nfl_0004,nfl_0012,16,13,0.5064,1.0,1,0.2437,0.6805
1996-10-06,1996,R,,nfl_0027,nfl_0026,11,28,0.4183,0.0,1,0.175,0.5418
1996-10-06,1996,R,,nfl_0009,nfl_0024,28,17,0.6209,1.0,1,0.1437,0.4766
1996-10-06,1996,R,,nfl_0018,nfl_0013,17,13,0.4413,1.0,0,0.3122,0.818
1996-10-06,1996,R,,nfl_0007,nfl_0029,27,30,0.5354,0.0,0,0.2867,0.7666
1996-10-07,1996,R,,nfl_0014,nfl_0023,7,17,0.6109,0.0,0,0.3732,0.944
1996-10-13,1996,R,,nfl_0002,nfl_0029,13,23,0.3958,0.0,1,0.1567,0.5039
1996-10-13,1996,R,,nfl_0004,nfl_0015,7,21,0.5517,0.0,0,0.3043,0.8022
1996-10-13,1996,R,,nfl_0005,nfl_0027,45,13,0.7647,1.0,1,0.0554,0.2683
1996-10-13,1996,R,,nfl_0023,nfl_0007,20,10,0.7513,1.0,1,0.0618,0.2859
