Elo Model Accuracy Report
=============================================
Scope: all seasons

All games             n=8029   accuracy=0.636   brier=0.2200   log_loss=0.6305
Regular season        n=7687   accuracy=0.634   brier=0.2201   log_loss=0.6308
Playoffs              n= 342   accuracy=0.687   brier=0.2167   log_loss=0.6235

Baselines for context:
  Coin flip (always 50%):   Brier = 0.2500
  Always pick home team:    57.0% accuracy

By season:
  1996                  n= 251   accuracy=0.622   brier=0.2164   log_loss=0.6216
  1997                  n= 251   accuracy=0.614   brier=0.2188   log_loss=0.6303
  1998                  n= 251   accuracy=0.697   brier=0.1949   log_loss=0.5725
  1999                  n= 259   accuracy=0.660   brier=0.2214   log_loss=0.6328
  2000                  n= 259   accuracy=0.614   brier=0.2223   log_loss=0.6314
  2001                  n= 259   accuracy=0.618   brier=0.2282   log_loss=0.6492
  2002                  n= 267   accuracy=0.603   brier=0.2223   log_loss=0.6369
  2003                  n= 267   accuracy=0.663   brier=0.2201   log_loss=0.6300
  2004                  n= 267   accuracy=0.652   brier=0.2232   log_loss=0.6373
  2005                  n= 267   accuracy=0.700   brier=0.2074   log_loss=0.6030
  2006                  n= 267   accuracy=0.588   brier=0.2356   log_loss=0.6625
  2007                  n= 267   accuracy=0.637   brier=0.2156   log_loss=0.6180
  2008                  n= 267   accuracy=0.648   brier=0.2181   log_loss=0.6267
  2009                  n= 267   accuracy=0.670   brier=0.2101   log_loss=0.6100
  2010                  n= 267   accuracy=0.629   brier=0.2290   log_loss=0.6496
  2011                  n= 267   accuracy=0.663   brier=0.2135   log_loss=0.6146
  2012                  n= 267   accuracy=0.633   brier=0.2161   log_loss=0.6216
  2013                  n= 267   accuracy=0.659   brier=0.2107   log_loss=0.6104
  2014                  n= 267   accuracy=0.663   brier=0.2104   log_loss=0.6098
  2015                  n= 267   accuracy=0.637   brier=0.2288   log_loss=0.6508
  2016                  n= 267   accuracy=0.622   brier=0.2158   log_loss=0.6230
  2017                  n= 267   accuracy=0.648   brier=0.2182   log_loss=0.6256
  2018                  n= 267   accuracy=0.644   brier=0.2156   log_loss=0.6231
  2019                  n= 267   accuracy=0.640   brier=0.2270   log_loss=0.6499
  2020                  n= 269   accuracy=0.636   brier=0.2223   log_loss=0.6389
  2021                  n= 285   accuracy=0.572   brier=0.2408   log_loss=0.6771
  2022                  n= 284   accuracy=0.623   brier=0.2225   log_loss=0.6372
  2023                  n= 285   accuracy=0.575   brier=0.2329   log_loss=0.6583
  2024                  n= 285   accuracy=0.653   brier=0.2148   log_loss=0.6172
  2025                  n= 285   accuracy=0.611   brier=0.2229   log_loss=0.6361

By month:
  1996-09               n=  69   accuracy=0.652   brier=0.2114   log_loss=0.6124
  1996-10               n=  52   accuracy=0.654   brier=0.2147   log_loss=0.6190
  1996-11               n=  61   accuracy=0.541   brier=0.2384   log_loss=0.6675
  1996-12               n=  62   accuracy=0.613   brier=0.2074   log_loss=0.5995
  1997-01               n=   7   accuracy=0.857   brier=0.1658   log_loss=0.5264
  1997-08               n=  14   accuracy=0.643   brier=0.2343   log_loss=0.6613
  1997-09               n=  55   accuracy=0.618   brier=0.2075   log_loss=0.5999
  1997-10               n=  52   accuracy=0.577   brier=0.2331   log_loss=0.6583
  1997-11               n=  73   accuracy=0.630   brier=0.2057   log_loss=0.6138
  1997-12               n=  50   accuracy=0.600   brier=0.2339   log_loss=0.6577
  1998-01               n=   7   accuracy=0.714   brier=0.1985   log_loss=0.5762
  1998-09               n=  56   accuracy=0.696   brier=0.2042   log_loss=0.5973
  1998-10               n=  50   accuracy=0.740   brier=0.2070   log_loss=0.5998
  1998-11               n=  74   accuracy=0.649   brier=0.1874   log_loss=0.5527
  1998-12               n=  60   accuracy=0.700   brier=0.1879   log_loss=0.5558
  1999-01               n=  11   accuracy=0.818   brier=0.1807   log_loss=0.5471
  1999-09               n=  44   accuracy=0.591   brier=0.2484   log_loss=0.6912
  1999-10               n=  69   accuracy=0.652   brier=0.2288   log_loss=0.6462
  1999-11               n=  60   accuracy=0.650   brier=0.2159   log_loss=0.6264
  1999-12               n=  60   accuracy=0.683   brier=0.2064   log_loss=0.5974
  2000-01               n=  26   accuracy=0.769   brier=0.2036   log_loss=0.5952
  2000-09               n=  58   accuracy=0.603   brier=0.2376   log_loss=0.6670
  2000-10               n=  70   accuracy=0.657   brier=0.2177   log_loss=0.6249
  2000-11               n=  61   accuracy=0.557   brier=0.2328   log_loss=0.6508
  2000-12               n=  63   accuracy=0.619   brier=0.2051   log_loss=0.5900
  2001-01               n=   7   accuracy=0.714   brier=0.2069   log_loss=0.6043
  2001-09               n=  42   accuracy=0.476   brier=0.2471   log_loss=0.6854
  2001-10               n=  57   accuracy=0.526   brier=0.2471   log_loss=0.6906
  2001-11               n=  60   accuracy=0.683   brier=0.2336   log_loss=0.6643
  2001-12               n=  74   accuracy=0.703   brier=0.2094   log_loss=0.6103
  2002-01               n=  25   accuracy=0.680   brier=0.1869   log_loss=0.5544
  2002-02               n=   1   accuracy=0.000   brier=0.4435   log_loss=1.0965
  2002-09               n=  60   accuracy=0.567   brier=0.2297   log_loss=0.6482
  2002-10               n=  56   accuracy=0.500   brier=0.2438   log_loss=0.6791
  2002-11               n=  62   accuracy=0.629   brier=0.2163   log_loss=0.6320
  2002-12               n=  78   accuracy=0.654   brier=0.2128   log_loss=0.6171
  2003-01               n=  11   accuracy=0.818   brier=0.1735   log_loss=0.5297
  2003-09               n=  60   accuracy=0.683   brier=0.2397   log_loss=0.6732
  2003-10               n=  56   accuracy=0.679   brier=0.2179   log_loss=0.6250
  2003-11               n=  75   accuracy=0.613   brier=0.2235   log_loss=0.6373
  2003-12               n=  65   accuracy=0.692   brier=0.1973   log_loss=0.5792
  2004-01               n=  10   accuracy=0.600   brier=0.2482   log_loss=0.6941
  2004-02               n=   1   accuracy=1.000   brier=0.1193   log_loss=0.4237
  2004-09               n=  46   accuracy=0.587   brier=0.2457   log_loss=0.6844
  2004-10               n=  69   accuracy=0.609   brier=0.2422   log_loss=0.6786
  2004-11               n=  61   accuracy=0.721   brier=0.1997   log_loss=0.5877
  2004-12               n=  64   accuracy=0.688   brier=0.2000   log_loss=0.5855
  2005-01               n=  26   accuracy=0.615   brier=0.2504   log_loss=0.6983
  2005-02               n=   1   accuracy=1.000   brier=0.1030   log_loss=0.3870
  2005-09               n=  46   accuracy=0.652   brier=0.2272   log_loss=0.6447
  2005-10               n=  70   accuracy=0.686   brier=0.2032   log_loss=0.5944
  2005-11               n=  60   accuracy=0.767   brier=0.1986   log_loss=0.5837
  2005-12               n=  66   accuracy=0.727   brier=0.1947   log_loss=0.5770
  2006-01               n=  24   accuracy=0.583   brier=0.2395   log_loss=0.6692
  2006-02               n=   1   accuracy=1.000   brier=0.1898   log_loss=0.5721
  2006-09               n=  46   accuracy=0.478   brier=0.2398   log_loss=0.6686
  2006-10               n=  68   accuracy=0.691   brier=0.2116   log_loss=0.6092
  2006-11               n=  63   accuracy=0.619   brier=0.2255   log_loss=0.6445
  2006-12               n=  79   accuracy=0.506   brier=0.2680   log_loss=0.7324
  2007-01               n=  10   accuracy=0.800   brier=0.1857   log_loss=0.5570
  2007-02               n=   1   accuracy=1.000   brier=0.2445   log_loss=0.6822
