date,season,type,round,team,opponent,home_away,conf_game,div_game,points_for,points_against,ot,pre_rate,post_rate,rating_change,expected_win,result
1996-09-01,1996,R,,nfl_0005,nfl_0002,H,1,1,29,6,0,1500.0,1536.6064034250917,36.60640342509162,0.6021580931747169,1.0
1996-09-01,1996,R,,nfl_0002,nfl_0005,A,1,1,6,29,0,1500.0,1463.3935965749083,-36.60640342509162,0.3978419068252831,0.0
1996-09-01,1996,R,,nfl_0027,nfl_0007,H,0,0,26,16,0,1500.0,1518.7387323514977,18.73873235149758,0.6021580931747169,1.0
1996-09-01,1996,R,,nfl_0007,nfl_0027,A,0,0,16,26,0,1500.0,1481.2612676485023,-18.73873235149758,0.3978419068252831,0.0
1996-09-01,1996,R,,nfl_0012,nfl_0001,H,0,0,20,13,0,1500.0,1515.1909707076159,15.19097070761596,0.6021580931747169,1.0
1996-09-01,1996,R,,nfl_0001,nfl_0012,A,0,0,13,20,0,1500.0,1484.8090292923841,-15.19097070761596,0.3978419068252831,0.0
1996-09-01,1996,R,,nfl_0016,nfl_0010,H,1,1,17,13,0,1500.0,1512.8131766972738,12.81317669727372,0.6021580931747169,1.0
1996-09-01,1996,R,,nfl_0010,nfl_0016,A,1,1,13,17,0,1500.0,1487.1868233027262,-12.81317669727372,0.3978419068252831,0.0
1996-09-01,1996,R,,nfl_0013,nfl_0023,H,1,1,24,9,0,1500.0,1527.276986408421,27.27698640842094,0.6021580931747169,1.0
1996-09-01,1996,R,,nfl_0023,nfl_0013,A,1,1,9,24,0,1500.0,1472.723013591579,-27.27698640842094,0.3978419068252831,0.0
1996-09-01,1996,R,,nfl_0029,nfl_0014,H,1,0,19,20,0,1500.0,1488.7323411056705,-11.267658894329472,0.6021580931747169,0.0
1996-09-01,1996,R,,nfl_0014,nfl_0029,A,1,0,20,19,0,1500.0,1511.2676588943295,11.267658894329472,0.3978419068252831,1.0
1996-09-01,1996,R,,nfl_0030,nfl_0022,H,1,1,14,17,0,1500.0,1482.8565042729413,-17.1434957270588,0.6021580931747169,0.0
1996-09-01,1996,R,,nfl_0022,nfl_0030,A,1,1,17,14,0,1500.0,1517.1434957270587,17.1434957270588,0.3978419068252831,1.0
1996-09-01,1996,R,,nfl_0003,nfl_0021,H,1,0,19,14,0,1500.0,1512.961572328337,12.961572328337173,0.6021580931747169,1.0
1996-09-01,1996,R,,nfl_0021,nfl_0003,A,1,0,14,19,0,1500.0,1487.038427671663,-12.961572328337173,0.3978419068252831,0.0
1996-09-01,1996,R,,nfl_0009,nfl_0020,H,1,0,31,6,0,1500.0,1535.3111712539687,35.31117125396866,0.6021580931747169,1.0
1996-09-01,1996,R,,nfl_0020,nfl_0009,A,1,0,6,31,0,1500.0,1464.6888287460313,-35.31117125396866,0.3978419068252831,0.0
