date,season,type,round,home_team,away_team,home_pts,away_pts,expected_win,result,accuracy,brier,log_loss
1997-06-21,1997,R,,CLE,HOU,56,76,0.6186,0.0,0,0.3826,0.9639
1997-06-21,1997,R,,LAS,NYL,57,67,0.6186,0.0,0,0.3826,0.9639
1997-06-21,1997,R,,UTA,SAC,60,70,0.6186,0.0,0,0.3826,0.9639
1997-06-22,1997,R,,PHX,CHA,76,59,0.6186,1.0,1,0.1455,0.4803
1997-06-23,1997,R,,SAC,NYL,62,73,0.6186,0.0,0,0.3826,0.9639
1997-06-23,1997,R,,UTA,LAS,102,89,0.6186,1.0,1,0.1455,0.4803
1997-06-24,1997,R,,HOU,PHX,70,55,0.6517,1.0,1,0.1213,0.4282
1997-06-25,1997,R,,LAS,CHA,74,54,0.5774,1.0,1,0.1786,0.5492
1997-06-26,1997,R,,CLE,UTA,74,63,0.6403,1.0,1,0.1294,0.4458
1997-06-26,1997,R,,HOU,NYL,60,62,0.5963,0.0,0,0.3556,0.9071
1997-06-26,1997,R,,SAC,CHA,78,70,0.6925,1.0,1,0.0945,0.3674
1997-06-27,1997,R,,LAS,SAC,93,73,0.616,1.0,1,0.1474,0.4845
1997-06-28,1997,R,,CLE,PHX,63,68,0.5555,0.0,0,0.3086,0.8108
1997-06-28,1997,R,,UTA,HOU,58,76,0.5685,0.0,0,0.3232,0.8406
1997-06-29,1997,R,,CHA,CLE,67,44,0.6476,1.0,1,0.1242,0.4345
1997-06-29,1997,R,,NYL,PHX,65,57,0.6948,1.0,1,0.0932,0.3641
1997-06-30,1997,R,,HOU,LAS,71,66,0.6491,1.0,1,0.1231,0.4321
1997-07-02,1997,R,,NYL,HOU,72,67,0.6405,1.0,1,0.1293,0.4456
1997-07-02,1997,R,,SAC,UTA,68,73,0.6722,0.0,0,0.4518,1.1153
1997-07-03,1997,R,,CLE,LAS,62,74,0.6003,0.0,0,0.3603,0.917
1997-07-03,1997,R,,UTA,PHX,55,77,0.5383,0.0,0,0.2897,0.7728
1997-07-04,1997,R,,HOU,NYL,58,65,0.5995,0.0,0,0.3594,0.915
1997-07-05,1997,R,,CHA,LAS,78,66,0.621,1.0,1,0.1436,0.4764
1997-07-05,1997,R,,UTA,NYL,53,66,0.4956,0.0,1,0.2456,0.6844
1997-07-06,1997,R,,SAC,CLE,70,67,0.6815,1.0,1,0.1015,0.3835
1997-07-07,1997,R,,HOU,CHA,74,56,0.6869,1.0,1,0.098,0.3755
1997-07-07,1997,R,,LAS,CLE,70,81,0.7099,0.0,0,0.504,1.2375
1997-07-07,1997,R,,PHX,NYL,69,50,0.5888,1.0,1,0.1691,0.5297
1997-07-07,1997,R,,UTA,SAC,69,79,0.5886,0.0,0,0.3465,0.8882
1997-07-09,1997,R,,CHA,NYL,87,69,0.499,1.0,0,0.251,0.6951
1997-07-09,1997,R,,PHX,HOU,69,64,0.6196,1.0,1,0.1447,0.4787
1997-07-10,1997,R,,CLE,SAC,77,61,0.5642,1.0,1,0.1899,0.5724
