date,season,type,round,home_team,away_team,home_pts,away_pts,expected_win,result,accuracy,brier,log_loss
1997-06-21,1997,R,,wnba_0002,wnba_0003,56,76,0.6186,0.0,0,0.3826,0.9639
1997-06-21,1997,R,,wnba_0004,wnba_0005,57,67,0.6186,0.0,0,0.3826,0.9639
1997-06-21,1997,R,,wnba_0008,wnba_0007,60,70,0.6186,0.0,0,0.3826,0.9639
1997-06-22,1997,R,,wnba_0006,wnba_0001,76,59,0.6186,1.0,1,0.1455,0.4803
1997-06-23,1997,R,,wnba_0007,wnba_0005,62,73,0.6186,0.0,0,0.3826,0.9639
1997-06-23,1997,R,,wnba_0008,wnba_0004,102,89,0.6186,1.0,1,0.1455,0.4803
1997-06-24,1997,R,,wnba_0003,wnba_0006,70,55,0.6553,1.0,1,0.1188,0.4227
1997-06-25,1997,R,,wnba_0004,wnba_0001,74,54,0.5714,1.0,1,0.1837,0.5597
1997-06-26,1997,R,,wnba_0002,wnba_0008,74,63,0.6337,1.0,1,0.1341,0.4561
1997-06-26,1997,R,,wnba_0003,wnba_0005,60,62,0.596,0.0,0,0.3552,0.9063
1997-06-26,1997,R,,wnba_0007,wnba_0001,78,70,0.7022,1.0,1,0.0887,0.3535
1997-06-27,1997,R,,wnba_0004,wnba_0007,93,73,0.6092,1.0,1,0.1527,0.4957
1997-06-28,1997,R,,wnba_0002,wnba_0006,63,68,0.5496,0.0,0,0.3021,0.7977
1997-06-28,1997,R,,wnba_0008,wnba_0003,58,76,0.5526,0.0,0,0.3054,0.8043
1997-06-29,1997,R,,wnba_0001,wnba_0002,67,44,0.6431,1.0,1,0.1274,0.4415
1997-06-29,1997,R,,wnba_0005,wnba_0006,65,57,0.705,1.0,1,0.087,0.3496
1997-06-30,1997,R,,wnba_0003,wnba_0004,71,66,0.663,1.0,1,0.1136,0.411
1997-07-02,1997,R,,wnba_0005,wnba_0003,72,67,0.6419,1.0,1,0.1282,0.4433
1997-07-02,1997,R,,wnba_0007,wnba_0008,68,73,0.6804,0.0,0,0.4629,1.1406
