Elo Model Accuracy Report
=============================================
Scope: all seasons

All games             n=6883   accuracy=0.656   brier=0.2170   log_loss=0.6232
Regular season        n=6411   accuracy=0.653   brier=0.2178   log_loss=0.6249
Playoffs              n= 472   accuracy=0.695   brier=0.2068   log_loss=0.6007

Baselines for context:
  Coin flip (always 50%):   Brier = 0.2500
  Always pick home team:    58.7% accuracy

By season:
  1997                  n= 115   accuracy=0.600   brier=0.2217   log_loss=0.6360
  1998                  n= 158   accuracy=0.759   brier=0.1815   log_loss=0.5441
  1999                  n= 203   accuracy=0.631   brier=0.2293   log_loss=0.6502
  2000                  n= 272   accuracy=0.691   brier=0.1965   log_loss=0.5755
  2001                  n= 274   accuracy=0.668   brier=0.2132   log_loss=0.6104
  2002                  n= 273   accuracy=0.645   brier=0.2234   log_loss=0.6367
  2003                  n= 257   accuracy=0.685   brier=0.2224   log_loss=0.6388
  2004                  n= 240   accuracy=0.608   brier=0.2398   log_loss=0.6738
  2005                  n= 238   accuracy=0.676   brier=0.2074   log_loss=0.6011
  2006                  n= 257   accuracy=0.685   brier=0.2092   log_loss=0.6064
  2007                  n= 242   accuracy=0.616   brier=0.2390   log_loss=0.6737
  2008                  n= 259   accuracy=0.641   brier=0.2186   log_loss=0.6297
  2009                  n= 242   accuracy=0.628   brier=0.2310   log_loss=0.6557
  2010                  n= 220   accuracy=0.650   brier=0.2228   log_loss=0.6352
  2011                  n= 223   accuracy=0.677   brier=0.1990   log_loss=0.5817
  2012                  n= 223   accuracy=0.709   brier=0.1965   log_loss=0.5774
  2013                  n= 221   accuracy=0.624   brier=0.2287   log_loss=0.6511
  2014                  n= 222   accuracy=0.599   brier=0.2254   log_loss=0.6374
  2015                  n= 225   accuracy=0.658   brier=0.2271   log_loss=0.6448
  2016                  n= 220   accuracy=0.627   brier=0.2236   log_loss=0.6352
  2017                  n= 219   accuracy=0.694   brier=0.2029   log_loss=0.5907
  2018                  n= 221   accuracy=0.624   brier=0.2276   log_loss=0.6491
  2019                  n= 220   accuracy=0.668   brier=0.2113   log_loss=0.6100
  2020                  n= 147   accuracy=0.701   brier=0.2054   log_loss=0.5997
  2021                  n= 209   accuracy=0.660   brier=0.2195   log_loss=0.6272
  2022                  n= 239   accuracy=0.640   brier=0.2188   log_loss=0.6272
  2023                  n= 260   accuracy=0.638   brier=0.2133   log_loss=0.6156
  2024                  n= 262   accuracy=0.676   brier=0.2090   log_loss=0.6059
  2025                  n= 310   accuracy=0.661   brier=0.2147   log_loss=0.6179
  2026                  n= 212   accuracy=0.651   brier=0.2247   log_loss=0.6429

By month:
  1997-06               n=  17   accuracy=0.588   brier=0.2230   log_loss=0.6361
  1997-07               n=  50   accuracy=0.580   brier=0.2337   log_loss=0.6629
  1997-08               n=  48   accuracy=0.625   brier=0.2088   log_loss=0.6080
  1998-06               n=  42   accuracy=0.762   brier=0.1886   log_loss=0.5616
  1998-07               n=  64   accuracy=0.734   brier=0.1926   log_loss=0.5696
  1998-08               n=  51   accuracy=0.784   brier=0.1643   log_loss=0.5029
  1998-09               n=   1   accuracy=1.000   brier=0.0575   log_loss=0.2741
  1999-06               n=  50   accuracy=0.680   brier=0.2345   log_loss=0.6636
  1999-07               n=  83   accuracy=0.602   brier=0.2303   log_loss=0.6501
  1999-08               n=  67   accuracy=0.627   brier=0.2213   log_loss=0.6321
  1999-09               n=   3   accuracy=0.667   brier=0.2931   log_loss=0.8351
  2000-05               n=   7   accuracy=1.000   brier=0.1357   log_loss=0.4549
  2000-06               n= 104   accuracy=0.596   brier=0.2305   log_loss=0.6500
  2000-07               n= 106   accuracy=0.717   brier=0.1859   log_loss=0.5532
