date,season,type,round,team,opponent,home_away,points_for,points_against,ot,pre_rate,post_rate,rating_change,expected_win,result
1997-06-21,1997,R,,wnba_0002,wnba_0003,H,56,76,0,1500.0,1473.026511819254,-26.97348818074603,0.6185841220890307,0.0
1997-06-21,1997,R,,wnba_0003,wnba_0002,A,76,56,0,1500.0,1526.973488180746,26.97348818074603,0.3814158779109693,1.0
1997-06-21,1997,R,,wnba_0004,wnba_0005,H,57,67,0,1500.0,1480.1469213641033,-19.853078635896793,0.6185841220890307,0.0
1997-06-21,1997,R,,wnba_0005,wnba_0004,A,67,57,0,1500.0,1519.8530786358967,19.853078635896793,0.3814158779109693,1.0
1997-06-21,1997,R,,wnba_0008,wnba_0007,H,60,70,0,1500.0,1480.1469213641033,-19.853078635896793,0.6185841220890307,0.0
1997-06-21,1997,R,,wnba_0007,wnba_0008,A,70,60,0,1500.0,1519.8530786358967,19.853078635896793,0.3814158779109693,1.0
1997-06-22,1997,R,,wnba_0006,wnba_0001,H,76,59,0,1500.0,1515.4037590215066,15.40375902150652,0.6185841220890307,1.0
1997-06-22,1997,R,,wnba_0001,wnba_0006,A,59,76,0,1500.0,1484.5962409784934,-15.40375902150652,0.3814158779109693,0.0
1997-06-23,1997,R,,wnba_0007,wnba_0005,H,62,73,0,1519.8530786358967,1499.2569596882547,-20.59611894764204,0.6185841220890307,0.0
1997-06-23,1997,R,,wnba_0005,wnba_0007,A,73,62,0,1519.8530786358967,1540.4491975835388,20.59611894764204,0.3814158779109693,1.0
1997-06-23,1997,R,,wnba_0008,wnba_0004,H,102,89,0,1480.1469213641033,1493.776326612984,13.629405248880634,0.6185841220890307,1.0
1997-06-23,1997,R,,wnba_0004,wnba_0008,A,89,102,0,1480.1469213641033,1466.5175161152226,-13.629405248880634,0.3814158779109693,0.0
1997-06-24,1997,R,,wnba_0003,wnba_0006,H,70,55,0,1526.973488180746,1539.9708618551133,12.997373674367307,0.6552612185333612,1.0
1997-06-24,1997,R,,wnba_0006,wnba_0003,A,55,70,0,1515.4037590215066,1502.4063853471393,-12.997373674367307,0.34473878146663883,0.0
1997-06-25,1997,R,,wnba_0004,wnba_0001,H,74,54,0,1466.5175161152226,1484.8585486827571,18.34103256753455,0.5713521339939153,1.0
1997-06-25,1997,R,,wnba_0001,wnba_0004,A,54,74,0,1484.5962409784934,1466.2187933893158,-18.37744758917757,0.42864786600608473,0.0
1997-06-26,1997,R,,wnba_0002,wnba_0008,H,74,63,0,1473.026511819254,1485.0140019595378,11.987490140283814,0.6337420494277303,1.0
1997-06-26,1997,R,,wnba_0008,wnba_0002,A,63,74,0,1493.776326612984,1481.812589755673,-11.963736857310991,0.36625795057226973,0.0
1997-06-26,1997,R,,wnba_0003,wnba_0005,H,60,62,1,1539.9708618551133,1529.1215249071022,-10.849336948011224,0.5959663270879593,0.0
1997-06-26,1997,R,,wnba_0005,wnba_0003,A,62,60,1,1540.4491975835388,1551.2985345315499,10.849336948011224,0.40403367291204073,1.0
1997-06-26,1997,R,,wnba_0007,wnba_0001,H,78,70,0,1499.2569596882547,1507.758684117224,8.501724428969311,0.7022285447976329,1.0
1997-06-26,1997,R,,wnba_0001,wnba_0007,A,70,78,0,1466.2187933893158,1457.7170689603465,-8.501724428969311,0.29777145520236714,0.0
1997-06-27,1997,R,,wnba_0004,wnba_0007,H,93,73,0,1484.8585486827571,1501.482445375022,16.62389669226485,0.6091694774065969,1.0
1997-06-27,1997,R,,wnba_0007,wnba_0004,A,73,93,0,1507.758684117224,1491.134787424959,-16.62389669226485,0.3908305225934031,0.0
1997-06-28,1997,R,,wnba_0002,wnba_0006,H,63,68,0,1485.0140019595378,1471.4345434024056,-13.579458557132307,0.5496402969838066,0.0
1997-06-28,1997,R,,wnba_0006,wnba_0002,A,68,63,0,1502.4063853471393,1515.9858439042716,13.579458557132307,0.45035970301619344,1.0
1997-06-28,1997,R,,wnba_0008,wnba_0003,H,58,76,0,1481.812589755673,1459.8920822892283,-21.92050746644457,0.5526072646860194,0.0
1997-06-28,1997,R,,wnba_0003,wnba_0008,A,76,58,0,1529.1215249071022,1551.0420323735468,21.92050746644457,0.4473927353139806,1.0
1997-06-29,1997,R,,wnba_0001,wnba_0002,H,67,44,0,1457.7170689603465,1474.0894408854804,16.372371925133884,0.6430864451914599,1.0
1997-06-29,1997,R,,wnba_0002,wnba_0001,A,44,67,0,1471.4345434024056,1455.0621714772717,-16.372371925133884,0.35691355480854015,0.0
1997-06-29,1997,R,,wnba_0005,wnba_0006,H,65,57,0,1551.2985345315499,1559.6900936289185,8.391559097368646,0.7049591142267218,1.0
1997-06-29,1997,R,,wnba_0006,wnba_0005,A,57,65,0,1515.9858439042716,1507.594284806903,-8.391559097368646,0.29504088577327825,0.0
1997-06-30,1997,R,,wnba_0003,wnba_0004,H,71,66,1,1551.0420323735468,1558.3133275189198,7.2712951453729096,0.6630078918882352,1.0
1997-06-30,1997,R,,wnba_0004,wnba_0003,A,66,71,1,1501.482445375022,1494.211150229649,-7.2712951453729096,0.33699210811176483,0.0
1997-07-02,1997,R,,wnba_0005,wnba_0003,H,72,67,0,1559.6900936289185,1568.6199642315576,8.929870602638982,0.6418888112134793,1.0
