date,season,team_id,opponent_id,home_away,points_for,points_against,type,round,expected_win_pct,result,team_538,opponent_538,jkey,elo_prob1,score1,score2
1995-11-03,1996,ATL,IND,H,106,111,R,RS,0.618584122089031,0,ATL,IND,1995-11-03_ATL_IND,0.528055276,106.0,111.0
1995-11-03,1996,BOS,MIL,H,100,101,R,RS,0.618584122089031,0,BOS,MIL,1995-11-03_BOS_MIL,0.690102117,100.0,101.0
1995-11-03,1996,BRK,TOR,A,79,94,R,RS,0.381415877910969,0,NJN,TOR,1995-11-03_NJN_TOR,0.505830457,79.0,94.0
1995-11-03,1996,CHI,NO,H,105,91,R,RS,0.618584122089031,1,CHI,CHH,1995-11-03_CHI_CHH,0.707123622,105.0,91.0
1995-11-03,1996,CLE,ORL,A,88,99,R,RS,0.381415877910969,0,CLE,ORL,1995-11-03_CLE_ORL,0.251220444,88.0,99.0
1995-11-03,1996,DAL,SA,A,103,97,R,RS,0.381415877910969,1,DAL,SAS,1995-11-03_DAL_SAS,0.177107215,103.0,97.0
1995-11-03,1996,DEN,LAL,A,96,98,R,RS,0.381415877910969,0,DEN,LAL,1995-11-03_DEN_LAL,0.380280286,96.0,98.0
1995-11-03,1996,DET,NY,H,100,106,R,RS,0.618584122089031,0,DET,NYK,1995-11-03_DET_NYK,0.319525541,100.0,106.0
1995-11-03,1996,GS,HOU,A,92,110,R,RS,0.381415877910969,0,GSW,HOU,1995-11-03_GSW_HOU,0.130539346,92.0,110.0
1995-11-03,1996,HOU,GS,H,110,92,R,RS,0.618584122089031,1,HOU,GSW,1995-11-03_HOU_GSW,0.869460654,110.0,92.0
1995-11-03,1996,IND,ATL,A,111,106,R,RS,0.381415877910969,1,IND,ATL,1995-11-03_IND_ATL,0.471944724,111.0,106.0
1995-11-03,1996,LAC,PHX,H,112,106,R,RS,0.618584122089031,1,LAC,PHO,1995-11-03_LAC_PHO,0.334096178,112.0,106.0
1995-11-03,1996,LAL,DEN,H,98,96,R,RS,0.618584122089031,1,LAL,DEN,1995-11-03_LAL_DEN,0.619719714,98.0,96.0
1995-11-03,1996,MEM,POR,A,92,80,R,RS,0.381415877910969,1,VAN,POR,1995-11-03_VAN_POR,0.12725884,92.0,80.0
1995-11-03,1996,MIL,BOS,A,101,100,R,RS,0.381415877910969,1,MIL,BOS,1995-11-03_MIL_BOS,0.309897883,101.0,100.0
1995-11-03,1996,MIN,SAC,A,86,95,R,RS,0.381415877910969,0,MIN,SAC,1995-11-03_MIN_SAC,0.210363912,86.0,95.0
1995-11-03,1996,NO,CHI,A,91,105,R,RS,0.381415877910969,0,CHH,CHI,1995-11-03_CHH_CHI,0.292876378,91.0,105.0
1995-11-03,1996,NY,DET,A,106,100,R,RS,0.381415877910969,1,NYK,DET,1995-11-03_NYK_DET,0.680474459,106.0,100.0
1995-11-03,1996,OKC,UTA,A,94,112,R,RS,0.381415877910969,0,SEA,UTA,1995-11-03_SEA_UTA,0.389894134,94.0,112.0
1995-11-03,1996,ORL,CLE,H,99,88,R,RS,0.618584122089031,1,ORL,CLE,1995-11-03_ORL_CLE,0.748779556,99.0,88.0
1995-11-03,1996,PHI,WAS,H,105,103,R,RS,0.618584122089031,1,PHI,WSB,1995-11-03_PHI_WSB,0.670624564,105.0,103.0
1995-11-03,1996,PHX,LAC,A,106,112,R,RS,0.381415877910969,0,PHO,LAC,1995-11-03_PHO_LAC,0.665903822,106.0,112.0
1995-11-03,1996,POR,MEM,H,80,92,R,RS,0.618584122089031,0,POR,VAN,1995-11-03_POR_VAN,0.87274116,80.0,92.0
1995-11-03,1996,SA,DAL,H,97,103,R,RS,0.618584122089031,0,SAS,DAL,1995-11-03_SAS_DAL,0.822892785,97.0,103.0
1995-11-03,1996,SAC,MIN,H,95,86,R,RS,0.618584122089031,1,SAC,MIN,1995-11-03_SAC_MIN,0.789636088,95.0,86.0
1995-11-03,1996,TOR,BRK,H,94,79,R,RS,0.618584122089031,1,TOR,NJN,1995-11-03_TOR_NJN,0.494169543,94.0,79.0
1995-11-03,1996,UTA,OKC,H,112,94,R,RS,0.618584122089031,1,UTA,SEA,1995-11-03_UTA_SEA,0.610105866,112.0,94.0
1995-11-03,1996,WAS,PHI,A,103,105,R,RS,0.381415877910969,0,WSB,PHI,1995-11-03_WSB_PHI,0.329375436,103.0,105.0
1995-11-04,1996,ATL,ORL,H,124,91,R,RS,0.588879807121523,1,ATL,ORL,1995-11-04_ATL_ORL,0.540974939,124.0,91.0
1995-11-04,1996,BOS,CHI,A,85,107,R,RS,0.355310502640793,0,BOS,CHI,1995-11-04_BOS_CHI,0.206784579,85.0,107.0
1995-11-04,1996,CHI,BOS,H,107,85,R,RS,0.644689497359207,1,CHI,BOS,1995-11-04_CHI_BOS,0.793215421,107.0,85.0
1995-11-04,1996,CLE,MIA,A,71,85,R,RS,0.347167684540413,0,CLE,MIA,1995-11-04_CLE_MIA,0.389410458,71.0,85.0
1995-11-04,1996,DAL,GS,H,99,84,R,RS,0.651437000101981,1,DAL,GSW,1995-11-04_DAL_GSW,0.747638584,99.0,84.0
1995-11-04,1996,DEN,SA,H,108,116,R,RS,0.627588449584831,0,DEN,SAS,1995-11-04_DEN_SAS,0.524865522,108.0,116.0
1995-11-04,1996,DET,WAS,A,89,100,R,RS,0.372411550415169,0,DET,WSB,1995-11-04_DET_WSB,0.375716683,89.0,100.0
1995-11-04,1996,GS,DAL,A,84,99,R,RS,0.348562999898019,0,GSW,DAL,1995-11-04_GSW_DAL,0.252361416,84.0,99.0
